DYU|CCC,|CCC|YUL|FRA|IST|DYU|
DYU|CDG,|CDG|IST|DYU|
DYU|CUN,|CUN|YHZ|LHR|IST|DYU|
DYU|CZM,|CZM|YUL|FRA|IST|DYU|
DYU|FDF,|FDF|YUL|FRA|IST|DYU|
DYU|FLL,|FLL|MCO|FRA|IST|DYU|
DYU|GVA,|GVA|IST|DYU|
DYU|HOG,|HOG|YUL|FRA|IST|DYU|
DYU|LAS,|LAS|SEA|PEK|URC|DYU|
DYU|MBJ,|MBJ|YHZ|LHR|IST|DYU|
DYU|MCO,|MCO|FRA|IST|DYU|
DYU|MUC,|MUC|IST|DYU|
DYU|PAP,|PAP|YUL|FRA|IST|DYU|
DYU|PTP,|PTP|YUL|FRA|IST|DYU|
DYU|PUJ,|PUJ|YHZ|LHR|IST|DYU|
DYU|SNU,|SNU|YUL|FRA|IST|DYU|
DYU|VRA,|VRA|YUL|FRA|IST|DYU|
DYU|YBC,|YBC|YUL|FRA|IST|DYU|
DYU|YBG,|YBG|YUL|FRA|IST|DYU|
DYU|YTZ,|YTZ|YUL|FRA|IST|DYU|
DYU|YUY,|YUY|YUL|FRA|IST|DYU|
DYU|YVO,|YVO|YUL|FRA|IST|DYU|
DYU|ZBF,|ZBF|YUL|FRA|IST|DYU|
DYU|ZRH,|ZRH|IST|DYU|
DYU|ZSA,|ZSA|YUL|FRA|IST|DYU|
DYU|AKL,|AKL|CAN|URC|DYU|
DYU|HKG,|HKG|CAN|URC|DYU|
DYU|HND,|HND|HNL|PEK|URC|DYU|
DYU|HNL,|HNL|PEK|URC|DYU|
DYU|MEX,|MEX|IAD|IST|DYU|
DYU|OGG,|OGG|HNL|PEK|URC|DYU|
DYU|PDX,|PDX|SEA|PEK|URC|DYU|
DYU|PEK,|PEK|URC|DYU|
DYU|PVG,|PVG|URC|DYU|
DYU|PVR,|PVR|ORD|IST|DYU|
DYU|SEA,|SEA|PEK|URC|DYU|
DYU|SYD,|SYD|CAN|URC|DYU|
DYU|YBL,|YBL|YVR|PEK|URC|DYU|
DYU|YCD,|YCD|YVR|PEK|URC|DYU|
DYU|YCG,|YCG|YVR|PEK|URC|DYU|
DYU|YKA,|YKA|YVR|PEK|URC|DYU|
DYU|YPR,|YPR|YVR|PEK|URC|DYU|
DYU|YQZ,|YQZ|YVR|PEK|URC|DYU|
DYU|YXC,|YXC|YYC|FRA|IST|DYU|
DYU|YXJ,|YXJ|YVR|PEK|URC|DYU|
DYU|YXS,|YXS|YVR|PEK|URC|DYU|
DYU|YXT,|YXT|YVR|PEK|URC|DYU|
DYU|YXY,|YXY|YVR|PEK|URC|DYU|
DYU|YYD,|YYD|YVR|PEK|URC|DYU|
DYU|YYF,|YYF|YVR|PEK|URC|DYU|
DYU|YZP,|YZP|YVR|PEK|URC|DYU|
DYU|YQT,|YQT|YYZ|IST|DYU|
DYU|SJD,|SJD|ORD|IST|DYU|
DYU|YQF,|YQF|YYC|FRA|IST|DYU|
DYU|YQL,|YQL|YYC|FRA|IST|DYU|
DYU|YXH,|YXH|YYC|FRA|IST|DYU|
DYU|YWK,|YWK|YYR|YYT|LHR|IST|DYU|
DYU|ANU,|ANU|EWR|BHX|IST|DYU|
DYU|AUA,|AUA|EWR|BHX|IST|DYU|
DYU|AUH,|AUH|IST|DYU|
DYU|BCN,|BCN|IST|DYU|
DYU|BDA,|BDA|EWR|BHX|IST|DYU|
DYU|BGI,|BGI|YYZ|IST|DYU|
DYU|BNA,|BNA|YYZ|IST|DYU|
DYU|BOG,|BOG|MIA|ZRH|IST|DYU|
DYU|BWI,|BWI|EWR|BHX|IST|DYU|
DYU|CLE,|CLE|YYZ|IST|DYU|
DYU|CLT,|CLT|EWR|BHX|IST|DYU|
DYU|CMH,|CMH|YYZ|IST|DYU|
DYU|CVG,|CVG|YYZ|IST|DYU|
DYU|DFW,|DFW|ORD|IST|DYU|
DYU|DTW,|DTW|FRA|IST|DYU|
DYU|DUB,|DUB|IST|DYU|
DYU|FCO,|FCO|IST|DYU|
DYU|GCM,|GCM|EWR|BHX|IST|DYU|
DYU|GGT,|GGT|FLL|MCO|FRA|IST|DYU|
DYU|GND,|GND|YYZ|IST|DYU|
DYU|GRU,|GRU|IST|DYU|
DYU|HAV,|HAV|YYZ|IST|DYU|
DYU|IND,|IND|YYZ|IST|DYU|
DYU|JFK,|JFK|IST|DYU|
DYU|KIN,|KIN|YYZ|IST|DYU|
DYU|LIM,|LIM|MIA|ZRH|IST|DYU|
DYU|LIR,|LIR|EWR|BHX|IST|DYU|
DYU|MCI,|MCI|ORD|IST|DYU|
DYU|MDT,|MDT|IAD|IST|DYU|
DYU|MIA,|MIA|ZRH|IST|DYU|
DYU|MKE,|MKE|YYZ|IST|DYU|
DYU|MSP,|MSP|YUL|FRA|IST|DYU|
DYU|NAS,|NAS|EWR|BHX|IST|DYU|
DYU|PHL,|PHL|IAD|IST|DYU|
DYU|PHX,|PHX|DEN|FRA|IST|DYU|
DYU|PIT,|PIT|YYZ|IST|DYU|
DYU|PLS,|PLS|EWR|BHX|IST|DYU|
DYU|POP,|POP|EWR|BHX|IST|DYU|
DYU|RDU,|RDU|EWR|BHX|IST|DYU|
DYU|ROC,|ROC|YYZ|IST|DYU|
DYU|RSW,|RSW|MCO|FRA|IST|DYU|
DYU|SAN,|SAN|LAX|PEK|URC|DYU|
DYU|SJO,|SJO|EWR|BHX|IST|DYU|
DYU|STL,|STL|ORD|IST|DYU|
DYU|SYR,|SYR|EWR|BHX|IST|DYU|
DYU|TLV,|TLV|IST|DYU|
DYU|TPA,|TPA|EWR|BHX|IST|DYU|
DYU|UVF,|UVF|EWR|BHX|IST|DYU|
DYU|VIE,|VIE|IST|DYU|
DYU|YAM,|YAM|YYZ|IST|DYU|
DYU|YGK,|YGK|YYZ|IST|DYU|
DYU|YQG,|YQG|YYZ|IST|DYU|
DYU|YSB,|YSB|YYZ|IST|DYU|
DYU|YTS,|YTS|YYZ|IST|DYU|
DYU|YYB,|YYB|YYZ|IST|DYU|
DYU|YZR,|YZR|YYZ|IST|DYU|
DYU|CAN,|CAN|URC|DYU|
DYU|URC,|URC|DYU|
