LUN|MEX,|MEX|EWR|ZRH|NBO|LUN|
LUN|OGG,|OGG|HNL|NRT|CAN|NBO|LUN|
LUN|PDX,|PDX|SEA|FRA|IST|NBO|LUN|
LUN|PEK,|PEK|CGO|BKK|NBO|LUN|
LUN|PVG,|PVG|CAN|NBO|LUN|
LUN|PVR,|PVR|IAH|YUL|ZRH|NBO|LUN|
LUN|SEA,|SEA|FRA|IST|NBO|LUN|
LUN|SYD,|SYD|BKK|NBO|LUN|
LUN|YBL,|YBL|YVR|MUC|IST|NBO|LUN|
LUN|YCD,|YCD|YVR|MUC|IST|NBO|LUN|
LUN|YCG,|YCG|YYC|FRA|IST|NBO|LUN|
LUN|YKA,|YKA|YYC|FRA|IST|NBO|LUN|
LUN|YPR,|YPR|YVR|MUC|IST|NBO|LUN|
LUN|YQZ,|YQZ|YVR|MUC|IST|NBO|LUN|
LUN|YXC,|YXC|YYC|FRA|IST|NBO|LUN|
LUN|YXJ,|YXJ|YYC|FRA|IST|NBO|LUN|
LUN|YXS,|YXS|YYC|FRA|IST|NBO|LUN|
LUN|YXT,|YXT|YVR|MUC|IST|NBO|LUN|
LUN|YXY,|YXY|YVR|MUC|IST|NBO|LUN|
LUN|YYD,|YYD|YVR|MUC|IST|NBO|LUN|
LUN|YYF,|YYF|YVR|MUC|IST|NBO|LUN|
LUN|YZP,|YZP|YVR|MUC|IST|NBO|LUN|
LUN|YQT,|YQT|YYZ|ZRH|NBO|LUN|
LUN|SJD,|SJD|ORD|ZRH|NBO|LUN|
LUN|YQF,|YQF|YYC|FRA|IST|NBO|LUN|
LUN|YQL,|YQL|YYC|FRA|IST|NBO|LUN|
LUN|YXH,|YXH|YYC|FRA|IST|NBO|LUN|
LUN|YWK,|YWK|YYR|YYT|LHR|IST|NBO|LUN|
LUN|ANU,|ANU|EWR|ZRH|NBO|LUN|
LUN|AUA,|AUA|EWR|ZRH|NBO|LUN|
LUN|AUH,|AUH|IST|NBO|LUN|
LUN|BCN,|BCN|IST|NBO|LUN|
LUN|BDA,|BDA|EWR|ZRH|NBO|LUN|
LUN|BGI,|BGI|YYZ|ZRH|NBO|LUN|
LUN|BNA,|BNA|YYZ|ZRH|NBO|LUN|
LUN|BOG,|BOG|MIA|ZRH|NBO|LUN|
LUN|BWI,|BWI|BOS|ZRH|NBO|LUN|
LUN|CLE,|CLE|YYZ|ZRH|NBO|LUN|
LUN|CLT,|CLT|EWR|ZRH|NBO|LUN|
LUN|CMH,|CMH|YYZ|ZRH|NBO|LUN|
LUN|CVG,|CVG|YYZ|ZRH|NBO|LUN|
LUN|DFW,|DFW|YYZ|ZRH|NBO|LUN|
LUN|DTW,|DTW|YYZ|ZRH|NBO|LUN|
LUN|DUB,|DUB|IST|NBO|LUN|
LUN|FCO,|FCO|IST|NBO|LUN|
LUN|GCM,|GCM|EWR|ZRH|NBO|LUN|
LUN|GGT,|GGT|FLL|EWR|ZRH|NBO|LUN|
LUN|GND,|GND|YYZ|ZRH|NBO|LUN|
LUN|GRU,|GRU|IST|NBO|LUN|
LUN|HAV,|HAV|YYZ|ZRH|NBO|LUN|
LUN|IND,|IND|YYZ|ZRH|NBO|LUN|
LUN|JFK,|JFK|ZRH|NBO|LUN|
LUN|KIN,|KIN|YYZ|ZRH|NBO|LUN|
LUN|LIM,|LIM|MIA|ZRH|NBO|LUN|
LUN|LIR,|LIR|EWR|ZRH|NBO|LUN|
LUN|MCI,|MCI|ORD|ZRH|NBO|LUN|
LUN|MDT,|MDT|IAD|ZRH|NBO|LUN|
LUN|MIA,|MIA|ZRH|NBO|LUN|
LUN|MKE,|MKE|YYZ|ZRH|NBO|LUN|
LUN|MSP,|MSP|YUL|ZRH|NBO|LUN|
LUN|NAS,|NAS|EWR|ZRH|NBO|LUN|
LUN|PHL,|PHL|IAD|ZRH|NBO|LUN|
LUN|PHX,|PHX|ORD|ZRH|NBO|LUN|
LUN|PIT,|PIT|EWR|ZRH|NBO|LUN|
LUN|PLS,|PLS|EWR|ZRH|NBO|LUN|
LUN|POP,|POP|EWR|ZRH|NBO|LUN|
LUN|RDU,|RDU|EWR|ZRH|NBO|LUN|
LUN|ROC,|ROC|YYZ|ZRH|NBO|LUN|
LUN|RSW,|RSW|MCO|BOS|ZRH|NBO|LUN|
LUN|SAN,|SAN|LAX|ZRH|NBO|LUN|
LUN|SJO,|SJO|EWR|ZRH|NBO|LUN|
LUN|STL,|STL|YYZ|ZRH|NBO|LUN|
LUN|SYR,|SYR|EWR|ZRH|NBO|LUN|
LUN|TLV,|TLV|IST|NBO|LUN|
LUN|TPA,|TPA|EWR|ZRH|NBO|LUN|
LUN|UVF,|UVF|EWR|ZRH|NBO|LUN|
LUN|VIE,|VIE|IST|NBO|LUN|
LUN|YAM,|YAM|YYZ|ZRH|NBO|LUN|
LUN|YGK,|YGK|YYZ|ZRH|NBO|LUN|
LUN|YQG,|YQG|YYZ|ZRH|NBO|LUN|
LUN|YSB,|YSB|YYZ|ZRH|NBO|LUN|
LUN|YTS,|YTS|YYZ|ZRH|NBO|LUN|
LUN|YYB,|YYB|YYZ|ZRH|NBO|LUN|
LUN|YZR,|YZR|YYZ|ZRH|NBO|LUN|
LUN|CAN,|CAN|NBO|LUN|
LUN|URC,|URC|IST|NBO|LUN|
LUN|CTU,|CTU|KWE|NNG|BKK|NBO|LUN|
