HEK|ZRH,|ZRH|IST|PEK|HRB|HEK|
HEK|ZSA,|ZSA|YUL|YYZ|PEK|HRB|HEK|
HEK|AKL,|AKL|CAN|HRB|HEK|
HEK|HKG,|HKG|CAN|HRB|HEK|
HEK|HND,|HND|HNL|NRT|ICN|HRB|HEK|
HEK|HNL,|HNL|NRT|ICN|HRB|HEK|
HEK|MEX,|MEX|SFO|ICN|HRB|HEK|
HEK|OGG,|OGG|HNL|NRT|ICN|HRB|HEK|
HEK|PDX,|PDX|SEA|ICN|HRB|HEK|
HEK|PEK,|PEK|HRB|HEK|
HEK|PVG,|PVG|HRB|HEK|
HEK|PVR,|PVR|LAX|ICN|HRB|HEK|
HEK|SEA,|SEA|ICN|HRB|HEK|
HEK|SYD,|SYD|ICN|HRB|HEK|
HEK|YBL,|YBL|YVR|ICN|HRB|HEK|
HEK|YCD,|YCD|YVR|ICN|HRB|HEK|
HEK|YCG,|YCG|YVR|ICN|HRB|HEK|
HEK|YKA,|YKA|YVR|ICN|HRB|HEK|
HEK|YPR,|YPR|YVR|ICN|HRB|HEK|
HEK|YQZ,|YQZ|YVR|ICN|HRB|HEK|
HEK|YXC,|YXC|YVR|ICN|HRB|HEK|
HEK|YXJ,|YXJ|YVR|ICN|HRB|HEK|
HEK|YXS,|YXS|YVR|ICN|HRB|HEK|
HEK|YXT,|YXT|YVR|ICN|HRB|HEK|
HEK|YXY,|YXY|YVR|ICN|HRB|HEK|
HEK|YYD,|YYD|YVR|ICN|HRB|HEK|
HEK|YYF,|YYF|YVR|ICN|HRB|HEK|
HEK|YZP,|YZP|YVR|ICN|HRB|HEK|
HEK|YQT,|YQT|YWG|YVR|ICN|HRB|HEK|
HEK|SJD,|SJD|LAX|ICN|HRB|HEK|
HEK|YQF,|YQF|YYC|YVR|ICN|HRB|HEK|
HEK|YQL,|YQL|YYC|YVR|ICN|HRB|HEK|
HEK|YXH,|YXH|YYC|YVR|ICN|HRB|HEK|
HEK|YWK,|YWK|YZV|YQB|YYZ|PEK|HRB|HEK|
HEK|ANU,|ANU|EWR|PEK|HRB|HEK|
HEK|AUA,|AUA|EWR|PEK|HRB|HEK|
HEK|AUH,|AUH|IST|PEK|HRB|HEK|
HEK|BCN,|BCN|IST|PEK|HRB|HEK|
HEK|BDA,|BDA|EWR|PEK|HRB|HEK|
HEK|BGI,|BGI|YYZ|PEK|HRB|HEK|
HEK|BNA,|BNA|ORD|PEK|HRB|HEK|
HEK|BOG,|BOG|IAH|YVR|ICN|HRB|HEK|
HEK|BWI,|BWI|YYZ|PEK|HRB|HEK|
HEK|CLE,|CLE|YYZ|PEK|HRB|HEK|
HEK|CLT,|CLT|YYZ|PEK|HRB|HEK|
HEK|CMH,|CMH|ORD|PEK|HRB|HEK|
HEK|CVG,|CVG|ORD|PEK|HRB|HEK|
HEK|DFW,|DFW|YVR|ICN|HRB|HEK|
HEK|DTW,|DTW|PEK|HRB|HEK|
HEK|DUB,|DUB|IST|PEK|HRB|HEK|
HEK|FCO,|FCO|IST|PEK|HRB|HEK|
HEK|GCM,|GCM|IAH|YVR|ICN|HRB|HEK|
HEK|GGT,|GGT|YYZ|PEK|HRB|HEK|
HEK|GND,|GND|YYZ|PEK|HRB|HEK|
HEK|GRU,|GRU|IST|PEK|HRB|HEK|
HEK|HAV,|HAV|YYZ|PEK|HRB|HEK|
HEK|IND,|IND|ORD|PEK|HRB|HEK|
HEK|JFK,|JFK|PEK|HRB|HEK|
HEK|KIN,|KIN|YYZ|PEK|HRB|HEK|
HEK|LIM,|LIM|IAH|YVR|ICN|HRB|HEK|
HEK|LIR,|LIR|IAH|YVR|ICN|HRB|HEK|
HEK|MCI,|MCI|DEN|YVR|ICN|HRB|HEK|
