MIA|YWK,|YWK|YZV|YQB|EWR|MIA|
MIA|ANU,|ANU|EWR|MIA|
MIA|AUA,|AUA|IAD|MIA|
MIA|AUH,|AUH|IST|ZRH|MIA|
MIA|BCN,|BCN|EWR|MIA|
MIA|BDA,|BDA|EWR|MIA|
MIA|BGI,|BGI|YYZ|MIA|
MIA|BNA,|BNA|MSY|MIA|
MIA|BOG,|BOG|MIA|
MIA|BWI,|BWI|ORF|IAD|MIA|
MIA|CLE,|CLE|IAD|MIA|
MIA|CLT,|CLT|IAD|MIA|
MIA|CMH,|CMH|IAD|MIA|
MIA|CVG,|CVG|IAD|MIA|
MIA|DFW,|DFW|IAH|MIA|
MIA|DTW,|DTW|IAD|MIA|
MIA|DUB,|DUB|EWR|MIA|
MIA|FCO,|FCO|EWR|MIA|
MIA|GCM,|GCM|IAH|MIA|
MIA|GGT,|GGT|FLL|MSY|MIA|
MIA|GND,|GND|YYZ|MIA|
MIA|GRU,|GRU|IAD|MIA|
MIA|HAV,|HAV|YYZ|MIA|
MIA|IND,|IND|ORD|MIA|
MIA|JFK,|JFK|IAD|MIA|
MIA|KIN,|KIN|YYZ|MIA|
MIA|LIM,|LIM|MIA|
MIA|LIR,|LIR|IAH|MIA|
MIA|MCI,|MCI|MSY|MIA|
MIA|MDT,|MDT|IAD|MIA|
MIA|MKE,|MKE|ORD|MIA|
MIA|MSP,|MSP|ORD|MIA|
MIA|NAS,|NAS|ATL|MSY|MIA|
MIA|PHL,|PHL|IAD|MIA|
MIA|PHX,|PHX|IAH|MIA|
MIA|PIT,|PIT|IAD|MIA|
MIA|PLS,|PLS|EWR|MIA|
MIA|POP,|POP|EWR|MIA|
MIA|RDU,|RDU|IAD|MIA|
MIA|ROC,|ROC|IAD|MIA|
MIA|RSW,|RSW|MCO|MSY|MIA|
MIA|SAN,|SAN|IAH|MIA|
MIA|SJO,|SJO|IAH|MIA|
MIA|STL,|STL|MSY|MIA|
MIA|SYR,|SYR|IAD|MIA|
MIA|TLV,|TLV|IST|ZRH|MIA|
MIA|TPA,|TPA|MSY|MIA|
MIA|UVF,|UVF|EWR|MIA|
MIA|VIE,|VIE|IAD|MIA|
MIA|YAM,|YAM|YYZ|MIA|
MIA|YGK,|YGK|YYZ|MIA|
MIA|YQG,|YQG|YYZ|MIA|
MIA|YSB,|YSB|YYZ|MIA|
MIA|YTS,|YTS|YYZ|MIA|
MIA|YYB,|YYB|YYZ|MIA|
MIA|YZR,|YZR|YYZ|MIA|
MIA|CAN,|CAN|PEK|ORD|MIA|
MIA|URC,|URC|TSE|FRA|MIA|
MIA|CTU,|CTU|PEK|ORD|MIA|
MIA|HGH,|HGH|PEK|ORD|MIA|
