NGB|EBB,|EBB|KGL|IST|URC|WUH|NGB|
NGB|YLW,|YLW|YVR|ICN|DLC|NGB|
NGB|YYT,|YYT|YYZ|PEK|NGB|
NGB|GUA,|GUA|IAH|PEK|NGB|
NGB|EWR,|EWR|PEK|NGB|
NGB|IAD,|IAD|PEK|NGB|
NGB|IAH,|IAH|PEK|NGB|
NGB|ORD,|ORD|PEK|NGB|
NGB|SOF,|SOF|IST|URC|WUH|NGB|
NGB|YQB,|YQB|YYZ|PEK|NGB|
NGB|YXU,|YXU|YYZ|PEK|NGB|
NGB|EZE,|EZE|GRU|IST|URC|WUH|NGB|
NGB|YYJ,|YYJ|YVR|ICN|DLC|NGB|
NGB|YYY,|YYY|YUL|YYZ|PEK|NGB|
NGB|YQQ,|YQQ|YBL|YVR|ICN|DLC|NGB|
NGB|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|NGB|
NGB|LHR,|LHR|CAN|NGB|
NGB|SFO,|SFO|ICN|DLC|NGB|
NGB|YQU,|YQU|YEG|YVR|ICN|DLC|NGB|
NGB|YZF,|YZF|YEG|YVR|ICN|DLC|NGB|
NGB|YGR,|YGR|YGP|YQB|YYZ|PEK|NGB|
NGB|YGP,|YGP|YQB|YYZ|PEK|NGB|
NGB|BOS,|BOS|YYZ|PEK|NGB|
NGB|YDF,|YDF|YYZ|PEK|NGB|
NGB|YFC,|YFC|YYZ|PEK|NGB|
NGB|YQM,|YQM|YYZ|PEK|NGB|
NGB|YQX,|YQX|YHZ|YYZ|PEK|NGB|
NGB|YQY,|YQY|YYZ|PEK|NGB|
NGB|YSJ,|YSJ|YYZ|PEK|NGB|
NGB|YYG,|YYG|YYZ|PEK|NGB|
NGB|LAX,|LAX|ICN|DLC|NGB|
NGB|DCA,|DCA|YYZ|PEK|NGB|
NGB|LGA,|LGA|YYZ|PEK|NGB|
NGB|YZV,|YZV|YQB|YYZ|PEK|NGB|
NGB|YWL,|YWL|YVR|ICN|DLC|NGB|
NGB|AZS,|AZS|YYZ|PEK|NGB|
NGB|BDL,|BDL|YYZ|PEK|NGB|
NGB|CCC,|CCC|YYZ|PEK|NGB|
NGB|CDG,|CDG|IST|URC|WUH|NGB|
NGB|CUN,|CUN|IAH|PEK|NGB|
NGB|CZM,|CZM|IAH|PEK|NGB|
NGB|FDF,|FDF|YUL|YYZ|PEK|NGB|
NGB|FLL,|FLL|ORD|PEK|NGB|
NGB|GVA,|GVA|IST|URC|WUH|NGB|
NGB|HOG,|HOG|YYZ|PEK|NGB|
NGB|LAS,|LAS|SFO|ICN|DLC|NGB|
NGB|MBJ,|MBJ|ATL|ORD|PEK|NGB|
NGB|MCO,|MCO|ORD|PEK|NGB|
NGB|MUC,|MUC|IST|URC|WUH|NGB|
NGB|PAP,|PAP|YUL|YYZ|PEK|NGB|
NGB|PTP,|PTP|YUL|YYZ|PEK|NGB|
NGB|PUJ,|PUJ|EWR|PEK|NGB|
NGB|SNU,|SNU|YYZ|PEK|NGB|
NGB|VRA,|VRA|YYZ|PEK|NGB|
NGB|YBC,|YBC|YUL|YYZ|PEK|NGB|
NGB|YBG,|YBG|YUL|YYZ|PEK|NGB|
NGB|YTZ,|YTZ|YUL|YYZ|PEK|NGB|
NGB|YUY,|YUY|YUL|YYZ|PEK|NGB|
NGB|YVO,|YVO|YUL|YYZ|PEK|NGB|
NGB|ZBF,|ZBF|YUL|YYZ|PEK|NGB|
NGB|ZRH,|ZRH|IST|URC|WUH|NGB|
NGB|ZSA,|ZSA|YUL|YYZ|PEK|NGB|
NGB|AKL,|AKL|CAN|NGB|
NGB|HKG,|HKG|SWA|NGB|
NGB|HND,|HND|HNL|NRT|DLC|NGB|
NGB|HNL,|HNL|NRT|DLC|NGB|
NGB|MEX,|MEX|SFO|ICN|DLC|NGB|
NGB|OGG,|OGG|HNL|NRT|DLC|NGB|
NGB|PDX,|PDX|SEA|ICN|DLC|NGB|
NGB|PEK,|PEK|NGB|
NGB|PVG,|PVG|TAO|NGB|
NGB|PVR,|PVR|LAX|ICN|DLC|NGB|
NGB|SEA,|SEA|ICN|DLC|NGB|
NGB|SYD,|SYD|CAN|NGB|
NGB|YBL,|YBL|YVR|ICN|DLC|NGB|
NGB|YCD,|YCD|YVR|ICN|DLC|NGB|
NGB|YCG,|YCG|YVR|ICN|DLC|NGB|
NGB|YKA,|YKA|YVR|ICN|DLC|NGB|
NGB|YPR,|YPR|YVR|ICN|DLC|NGB|
NGB|YQZ,|YQZ|YVR|ICN|DLC|NGB|
NGB|YXC,|YXC|YVR|ICN|DLC|NGB|
NGB|YXJ,|YXJ|YVR|ICN|DLC|NGB|
NGB|YXS,|YXS|YVR|ICN|DLC|NGB|
NGB|YXT,|YXT|YVR|ICN|DLC|NGB|
NGB|YXY,|YXY|YVR|ICN|DLC|NGB|
NGB|YYD,|YYD|YVR|ICN|DLC|NGB|
NGB|YYF,|YYF|YVR|ICN|DLC|NGB|
NGB|YZP,|YZP|YVR|ICN|DLC|NGB|
NGB|YQT,|YQT|YWG|YVR|ICN|DLC|NGB|
NGB|SJD,|SJD|LAX|ICN|DLC|NGB|
NGB|YQF,|YQF|YYC|YVR|ICN|DLC|NGB|
NGB|YQL,|YQL|YYC|YVR|ICN|DLC|NGB|
NGB|YXH,|YXH|YYC|YVR|ICN|DLC|NGB|
NGB|YWK,|YWK|YZV|YQB|YYZ|PEK|NGB|
NGB|ANU,|ANU|EWR|PEK|NGB|
NGB|AUA,|AUA|EWR|PEK|NGB|
NGB|AUH,|AUH|IST|URC|WUH|NGB|
NGB|BCN,|BCN|IST|URC|WUH|NGB|
NGB|BDA,|BDA|EWR|PEK|NGB|
NGB|BGI,|BGI|YYZ|PEK|NGB|
NGB|BNA,|BNA|ORD|PEK|NGB|
NGB|BOG,|BOG|MIA|ORD|PEK|NGB|
NGB|BWI,|BWI|YYZ|PEK|NGB|
NGB|CLE,|CLE|YYZ|PEK|NGB|
NGB|CLT,|CLT|YYZ|PEK|NGB|
NGB|CMH,|CMH|ORD|PEK|NGB|
NGB|CVG,|CVG|ORD|PEK|NGB|
NGB|DFW,|DFW|YVR|ICN|DLC|NGB|
NGB|DTW,|DTW|PEK|NGB|
NGB|DUB,|DUB|IST|URC|WUH|NGB|
NGB|FCO,|FCO|IST|URC|WUH|NGB|
NGB|GCM,|GCM|YYZ|PEK|NGB|
NGB|GGT,|GGT|YYZ|PEK|NGB|
NGB|GND,|GND|YYZ|PEK|NGB|
NGB|GRU,|GRU|IST|URC|WUH|NGB|
NGB|HAV,|HAV|YYZ|PEK|NGB|
NGB|IND,|IND|ORD|PEK|NGB|
NGB|JFK,|JFK|PEK|NGB|
NGB|KIN,|KIN|YYZ|PEK|NGB|
NGB|LIM,|LIM|IAH|PEK|NGB|
NGB|LIR,|LIR|IAH|PEK|NGB|
NGB|MCI,|MCI|DEN|YVR|ICN|DLC|NGB|
NGB|MDT,|MDT|YYZ|PEK|NGB|
NGB|MIA,|MIA|ORD|PEK|NGB|
NGB|MKE,|MKE|ORD|PEK|NGB|
NGB|MSP,|MSP|ORD|PEK|NGB|
NGB|NAS,|NAS|YYZ|PEK|NGB|
NGB|PHL,|PHL|YYZ|PEK|NGB|
NGB|PHX,|PHX|SFO|ICN|DLC|NGB|
NGB|PIT,|PIT|YYZ|PEK|NGB|
NGB|PLS,|PLS|EWR|PEK|NGB|
NGB|POP,|POP|EWR|PEK|NGB|
NGB|RDU,|RDU|YYZ|PEK|NGB|
NGB|ROC,|ROC|YYZ|PEK|NGB|
NGB|RSW,|RSW|ORD|PEK|NGB|
NGB|SAN,|SAN|LAX|ICN|DLC|NGB|
NGB|SJO,|SJO|IAH|PEK|NGB|
NGB|STL,|STL|ORD|PEK|NGB|
NGB|SYR,|SYR|YYZ|PEK|NGB|
NGB|TLV,|TLV|SAW|TBS|URC|WUH|NGB|
NGB|TPA,|TPA|ORD|PEK|NGB|
NGB|UVF,|UVF|EWR|PEK|NGB|
NGB|VIE,|VIE|IST|URC|WUH|NGB|
