HPN|YLW,|YLW|YYC|ORD|HPN|
HPN|YYT,|YYT|YOW|ORD|HPN|
HPN|GUA,|GUA|IAH|ORD|HPN|
HPN|EWR,|EWR|ORD|HPN|
HPN|IAD,|IAD|ORD|HPN|
HPN|IAH,|IAH|ORD|HPN|
HPN|ORD,|ORD|HPN|
HPN|SOF,|SOF|MUC|ORD|HPN|
HPN|YQB,|YQB|ORD|HPN|
HPN|YXU,|YXU|ORD|HPN|
HPN|EZE,|EZE|IAH|ORD|HPN|
HPN|YYJ,|YYJ|YVR|ORD|HPN|
HPN|YYY,|YYY|YUL|ORD|HPN|
HPN|YQQ,|YQQ|YYC|ORD|HPN|
HPN|YYR,|YYR|YWK|YZV|YQB|ORD|HPN|
HPN|LHR,|LHR|ORD|HPN|
HPN|SFO,|SFO|ORD|HPN|
HPN|YQU,|YQU|YEG|ORD|HPN|
HPN|YZF,|YZF|YEG|ORD|HPN|
HPN|YGR,|YGR|YGP|YQB|ORD|HPN|
HPN|YGP,|YGP|YQB|ORD|HPN|
HPN|BOS,|BOS|ORD|HPN|
HPN|YDF,|YDF|YYZ|ORD|HPN|
HPN|YFC,|YFC|YYZ|ORD|HPN|
HPN|YQM,|YQM|YUL|ORD|HPN|
HPN|YQX,|YQX|YHZ|ORD|HPN|
HPN|YQY,|YQY|YYZ|ORD|HPN|
HPN|YSJ,|YSJ|YYZ|ORD|HPN|
HPN|YYG,|YYG|YUL|ORD|HPN|
HPN|LAX,|LAX|ORD|HPN|
HPN|DCA,|DCA|ORD|HPN|
HPN|LGA,|LGA|ORD|HPN|
HPN|YZV,|YZV|YQB|ORD|HPN|
HPN|YWL,|YWL|YVR|ORD|HPN|
HPN|AZS,|AZS|YYZ|ORD|HPN|
HPN|BDL,|BDL|ORD|HPN|
HPN|CCC,|CCC|YYZ|ORD|HPN|
HPN|CDG,|CDG|ORD|HPN|
HPN|CUN,|CUN|ORD|HPN|
HPN|CZM,|CZM|IAH|ORD|HPN|
HPN|FDF,|FDF|YUL|ORD|HPN|
HPN|FLL,|FLL|ORD|HPN|
HPN|GVA,|GVA|YUL|ORD|HPN|
HPN|HOG,|HOG|YYZ|ORD|HPN|
HPN|LAS,|LAS|ORD|HPN|
HPN|MBJ,|MBJ|ATL|ORD|HPN|
HPN|MCO,|MCO|ORD|HPN|
HPN|MUC,|MUC|ORD|HPN|
HPN|PAP,|PAP|YUL|ORD|HPN|
