MXP|YXH,|YXH|YYC|EWR|MXP|
MXP|YWK,|YWK|YZV|YQB|EWR|MXP|
MXP|ANU,|ANU|EWR|MXP|
MXP|AUA,|AUA|EWR|MXP|
MXP|AUH,|AUH|IST|MXP|
MXP|BCN,|BCN|IST|MXP|
MXP|BDA,|BDA|EWR|MXP|
MXP|BGI,|BGI|YYZ|EWR|MXP|
MXP|BNA,|BNA|EWR|MXP|
MXP|BOG,|BOG|EWR|MXP|
MXP|BWI,|BWI|EWR|MXP|
MXP|CLE,|CLE|EWR|MXP|
MXP|CLT,|CLT|EWR|MXP|
MXP|CMH,|CMH|EWR|MXP|
MXP|CVG,|CVG|EWR|MXP|
MXP|DFW,|DFW|EWR|MXP|
MXP|DTW,|DTW|EWR|MXP|
MXP|DUB,|DUB|IST|MXP|
MXP|FCO,|FCO|IST|MXP|
MXP|GCM,|GCM|EWR|MXP|
MXP|GGT,|GGT|FLL|EWR|MXP|
MXP|GND,|GND|YYZ|EWR|MXP|
MXP|GRU,|GRU|IST|MXP|
MXP|HAV,|HAV|YYZ|EWR|MXP|
MXP|IND,|IND|EWR|MXP|
MXP|JFK,|JFK|IAD|EWR|MXP|
MXP|KIN,|KIN|YYZ|EWR|MXP|
MXP|LIM,|LIM|EWR|MXP|
MXP|LIR,|LIR|EWR|MXP|
MXP|MCI,|MCI|EWR|MXP|
MXP|MDT,|MDT|IAD|EWR|MXP|
MXP|MIA,|MIA|EWR|MXP|
MXP|MKE,|MKE|EWR|MXP|
MXP|MSP,|MSP|EWR|MXP|
MXP|NAS,|NAS|EWR|MXP|
MXP|PHL,|PHL|IAD|EWR|MXP|
MXP|PHX,|PHX|EWR|MXP|
MXP|PIT,|PIT|EWR|MXP|
MXP|PLS,|PLS|EWR|MXP|
MXP|POP,|POP|EWR|MXP|
MXP|RDU,|RDU|EWR|MXP|
MXP|ROC,|ROC|EWR|MXP|
MXP|RSW,|RSW|EWR|MXP|
MXP|SAN,|SAN|EWR|MXP|
MXP|SJO,|SJO|EWR|MXP|
MXP|STL,|STL|EWR|MXP|
MXP|SYR,|SYR|EWR|MXP|
MXP|TLV,|TLV|IST|MXP|
MXP|TPA,|TPA|EWR|MXP|
MXP|UVF,|UVF|EWR|MXP|
MXP|VIE,|VIE|IST|MXP|
MXP|YAM,|YAM|YYZ|EWR|MXP|
MXP|YGK,|YGK|YYZ|EWR|MXP|
MXP|YQG,|YQG|YYZ|EWR|MXP|
MXP|YSB,|YSB|YYZ|EWR|MXP|
MXP|YTS,|YTS|YYZ|EWR|MXP|
MXP|YYB,|YYB|YYZ|EWR|MXP|
MXP|YZR,|YZR|YYZ|EWR|MXP|
MXP|CAN,|CAN|IST|MXP|
MXP|URC,|URC|IST|MXP|
MXP|CTU,|CTU|URC|IST|MXP|
MXP|HGH,|HGH|URC|IST|MXP|
MXP|XMN,|XMN|CSX|URC|IST|MXP|
MXP|CGO,|CGO|URC|IST|MXP|
MXP|CSX,|CSX|URC|IST|MXP|
MXP|SHE,|SHE|PEK|IST|MXP|
MXP|SJW,|SJW|URC|IST|MXP|
MXP|WUH,|WUH|URC|IST|MXP|
MXP|SZX,|SZX|CKG|URC|IST|MXP|
MXP|CKG,|CKG|URC|IST|MXP|
MXP|KMG,|KMG|CTU|URC|IST|MXP|
MXP|FOC,|FOC|XIY|URC|IST|MXP|
MXP|NNG,|NNG|KWE|URC|IST|MXP|
MXP|SWA,|SWA|CAN|IST|MXP|
MXP|ACX,|ACX|CAN|IST|MXP|
MXP|AQG,|AQG|CAN|IST|MXP|
MXP|AVA,|AVA|CAN|IST|MXP|
MXP|BFJ,|BFJ|CAN|IST|MXP|
MXP|BHY,|BHY|CKG|URC|IST|MXP|
MXP|BNE,|BNE|BKK|IST|MXP|
MXP|CGD,|CGD|PEK|IST|MXP|
MXP|CGK,|CGK|SIN|IST|MXP|
MXP|CGQ,|CGQ|HET|URC|IST|MXP|
MXP|CIH,|CIH|PEK|IST|MXP|
MXP|CNX,|CNX|CAN|IST|MXP|
MXP|CZX,|CZX|TYN|URC|IST|MXP|
MXP|DAC,|DAC|IST|MXP|
MXP|DAD,|DAD|CAN|IST|MXP|
MXP|DEL,|DEL|IST|MXP|
MXP|DIG,|DIG|KMG|CTU|URC|IST|MXP|
MXP|DLC,|DLC|PEK|IST|MXP|
MXP|DPS,|DPS|CAN|IST|MXP|
MXP|DXB,|DXB|IST|MXP|
MXP|DYG,|DYG|CSX|URC|IST|MXP|
MXP|FUG,|FUG|CAN|IST|MXP|
MXP|FUK,|FUK|ICN|IST|MXP|
MXP|HAK,|HAK|CTU|URC|IST|MXP|
MXP|HAN,|HAN|CAN|IST|MXP|
MXP|HDG,|HDG|CAN|IST|MXP|
MXP|HET,|HET|URC|IST|MXP|
MXP|HFE,|HFE|XIY|URC|IST|MXP|
MXP|HJJ,|HJJ|CSX|URC|IST|MXP|
MXP|HKT,|HKT|KWE|URC|IST|MXP|
MXP|HRB,|HRB|PEK|IST|MXP|
MXP|HZH,|HZH|CAN|IST|MXP|
MXP|JIU,|JIU|CAN|IST|MXP|
MXP|JJN,|JJN|CSX|URC|IST|MXP|
MXP|JNG,|JNG|CAN|IST|MXP|
MXP|KHN,|KHN|XIY|URC|IST|MXP|
MXP|KIX,|KIX|IST|MXP|
MXP|KOW,|KOW|CAN|IST|MXP|
MXP|KTM,|KTM|IST|MXP|
MXP|KUL,|KUL|IST|MXP|
MXP|KWE,|KWE|URC|IST|MXP|
MXP|KWL,|KWL|CKG|URC|IST|MXP|
MXP|LHW,|LHW|URC|IST|MXP|
MXP|LYA,|LYA|KHN|XIY|URC|IST|MXP|
MXP|LYG,|LYG|XUZ|INC|URC|IST|MXP|
MXP|LZH,|LZH|CAN|IST|MXP|
MXP|MEL,|MEL|BKK|IST|MXP|
MXP|MIG,|MIG|CSX|URC|IST|MXP|
MXP|MLE,|MLE|IST|MXP|
MXP|MNL,|MNL|CAN|IST|MXP|
MXP|MXZ,|MXZ|CAN|IST|MXP|
MXP|NAO,|NAO|PEK|IST|MXP|
MXP|NGB,|NGB|WUH|URC|IST|MXP|
MXP|NKG,|NKG|URC|IST|MXP|
MXP|NNY,|NNY|CGO|URC|IST|MXP|
MXP|PEN,|PEN|CAN|IST|MXP|
MXP|PER,|PER|BKK|IST|MXP|
MXP|PNH,|PNH|CAN|IST|MXP|
