HTN|SNU,|SNU|YUL|FRA|TSE|URC|HTN|
HTN|VRA,|VRA|YUL|FRA|TSE|URC|HTN|
HTN|YBC,|YBC|YUL|FRA|TSE|URC|HTN|
HTN|YBG,|YBG|YUL|FRA|TSE|URC|HTN|
HTN|YTZ,|YTZ|YUL|FRA|TSE|URC|HTN|
HTN|YUY,|YUY|YUL|FRA|TSE|URC|HTN|
HTN|YVO,|YVO|YUL|FRA|TSE|URC|HTN|
HTN|ZBF,|ZBF|YUL|FRA|TSE|URC|HTN|
HTN|ZRH,|ZRH|IST|URC|HTN|
HTN|ZSA,|ZSA|YUL|FRA|TSE|URC|HTN|
HTN|AKL,|AKL|CAN|URC|HTN|
HTN|HKG,|HKG|CAN|URC|HTN|
HTN|HND,|HND|HNL|PEK|URC|HTN|
HTN|HNL,|HNL|PEK|URC|HTN|
HTN|MEX,|MEX|YVR|PEK|URC|HTN|
HTN|OGG,|OGG|HNL|PEK|URC|HTN|
HTN|PDX,|PDX|SEA|PEK|URC|HTN|
HTN|PEK,|PEK|URC|HTN|
HTN|PVG,|PVG|URC|HTN|
HTN|PVR,|PVR|SFO|PEK|URC|HTN|
HTN|SEA,|SEA|PEK|URC|HTN|
HTN|SYD,|SYD|CAN|URC|HTN|
HTN|YBL,|YBL|YVR|PEK|URC|HTN|
HTN|YCD,|YCD|YVR|PEK|URC|HTN|
HTN|YCG,|YCG|YVR|PEK|URC|HTN|
HTN|YKA,|YKA|YVR|PEK|URC|HTN|
HTN|YPR,|YPR|YVR|PEK|URC|HTN|
HTN|YQZ,|YQZ|YVR|PEK|URC|HTN|
HTN|YXC,|YXC|YVR|PEK|URC|HTN|
HTN|YXJ,|YXJ|YVR|PEK|URC|HTN|
HTN|YXS,|YXS|YVR|PEK|URC|HTN|
HTN|YXT,|YXT|YVR|PEK|URC|HTN|
HTN|YXY,|YXY|YVR|PEK|URC|HTN|
HTN|YYD,|YYD|YVR|PEK|URC|HTN|
HTN|YYF,|YYF|YVR|PEK|URC|HTN|
HTN|YZP,|YZP|YVR|PEK|URC|HTN|
HTN|YQT,|YQT|YYZ|FRA|TSE|URC|HTN|
HTN|SJD,|SJD|SFO|PEK|URC|HTN|
HTN|YQF,|YQF|YYC|YVR|PEK|URC|HTN|
HTN|YQL,|YQL|YYC|YVR|PEK|URC|HTN|
HTN|YXH,|YXH|YYC|YVR|PEK|URC|HTN|
HTN|YWK,|YWK|YYR|YYT|LHR|IST|URC|HTN|
HTN|ANU,|ANU|EWR|FRA|TSE|URC|HTN|
HTN|AUA,|AUA|EWR|FRA|TSE|URC|HTN|
HTN|AUH,|AUH|IST|URC|HTN|
HTN|BCN,|BCN|IST|URC|HTN|
HTN|BDA,|BDA|EWR|FRA|TSE|URC|HTN|
HTN|BGI,|BGI|YYZ|FRA|TSE|URC|HTN|
HTN|BNA,|BNA|YYZ|FRA|TSE|URC|HTN|
HTN|BOG,|BOG|JFK|FRA|TSE|URC|HTN|
HTN|BWI,|BWI|EWR|FRA|TSE|URC|HTN|
HTN|CLE,|CLE|YYZ|FRA|TSE|URC|HTN|
HTN|CLT,|CLT|EWR|FRA|TSE|URC|HTN|
HTN|CMH,|CMH|YYZ|FRA|TSE|URC|HTN|
HTN|CVG,|CVG|YYZ|FRA|TSE|URC|HTN|
HTN|DFW,|DFW|YVR|PEK|URC|HTN|
HTN|DTW,|DTW|FRA|TSE|URC|HTN|
HTN|DUB,|DUB|IST|URC|HTN|
HTN|FCO,|FCO|IST|URC|HTN|
HTN|GCM,|GCM|EWR|FRA|TSE|URC|HTN|
HTN|GGT,|GGT|FLL|MCO|FRA|TSE|URC|HTN|
HTN|GND,|GND|YYZ|FRA|TSE|URC|HTN|
HTN|GRU,|GRU|IST|URC|HTN|
HTN|HAV,|HAV|YYZ|FRA|TSE|URC|HTN|
HTN|IND,|IND|YYZ|FRA|TSE|URC|HTN|
HTN|JFK,|JFK|FRA|TSE|URC|HTN|
HTN|KIN,|KIN|YYZ|FRA|TSE|URC|HTN|
HTN|LIM,|LIM|MIA|FRA|TSE|URC|HTN|
HTN|LIR,|LIR|EWR|FRA|TSE|URC|HTN|
HTN|MCI,|MCI|ORD|FRA|TSE|URC|HTN|
HTN|MDT,|MDT|IAD|FRA|TSE|URC|HTN|
HTN|MIA,|MIA|FRA|TSE|URC|HTN|
HTN|MKE,|MKE|YYZ|FRA|TSE|URC|HTN|
HTN|MSP,|MSP|YUL|FRA|TSE|URC|HTN|
HTN|NAS,|NAS|EWR|FRA|TSE|URC|HTN|
HTN|PHL,|PHL|IAD|FRA|TSE|URC|HTN|
HTN|PHX,|PHX|SEA|PEK|URC|HTN|
HTN|PIT,|PIT|YYZ|FRA|TSE|URC|HTN|
HTN|PLS,|PLS|EWR|FRA|TSE|URC|HTN|
HTN|POP,|POP|EWR|FRA|TSE|URC|HTN|
HTN|RDU,|RDU|EWR|FRA|TSE|URC|HTN|
HTN|ROC,|ROC|YYZ|FRA|TSE|URC|HTN|
HTN|RSW,|RSW|MCO|FRA|TSE|URC|HTN|
HTN|SAN,|SAN|LAX|PEK|URC|HTN|
HTN|SJO,|SJO|EWR|FRA|TSE|URC|HTN|
HTN|STL,|STL|DTW|FRA|TSE|URC|HTN|
HTN|SYR,|SYR|EWR|FRA|TSE|URC|HTN|
HTN|TLV,|TLV|SAW|TBS|URC|HTN|
HTN|TPA,|TPA|EWR|FRA|TSE|URC|HTN|
HTN|UVF,|UVF|EWR|FRA|TSE|URC|HTN|
HTN|VIE,|VIE|IST|URC|HTN|
HTN|YAM,|YAM|YYZ|FRA|TSE|URC|HTN|
HTN|YGK,|YGK|YYZ|FRA|TSE|URC|HTN|
HTN|YQG,|YQG|YYZ|FRA|TSE|URC|HTN|
HTN|YSB,|YSB|YYZ|FRA|TSE|URC|HTN|
HTN|YTS,|YTS|YYZ|FRA|TSE|URC|HTN|
HTN|YYB,|YYB|YYZ|FRA|TSE|URC|HTN|
HTN|YZR,|YZR|YYZ|FRA|TSE|URC|HTN|
HTN|CAN,|CAN|URC|HTN|
HTN|URC,|URC|HTN|
HTN|CTU,|CTU|URC|HTN|
HTN|HGH,|HGH|URC|HTN|
HTN|XMN,|XMN|CSX|URC|HTN|
HTN|CGO,|CGO|URC|HTN|
HTN|CSX,|CSX|URC|HTN|
HTN|SHE,|SHE|HET|URC|HTN|
HTN|SJW,|SJW|URC|HTN|
HTN|WUH,|WUH|URC|HTN|
HTN|SZX,|SZX|CKG|URC|HTN|
HTN|CKG,|CKG|URC|HTN|
HTN|KMG,|KMG|CTU|URC|HTN|
HTN|FOC,|FOC|XIY|URC|HTN|
HTN|NNG,|NNG|KWE|URC|HTN|
HTN|SWA,|SWA|CSX|URC|HTN|
HTN|ACX,|ACX|CAN|URC|HTN|
HTN|AQG,|AQG|CAN|URC|HTN|
HTN|AVA,|AVA|CAN|URC|HTN|
HTN|BFJ,|BFJ|CAN|URC|HTN|
HTN|BHY,|BHY|CKG|URC|HTN|
HTN|BNE,|BNE|CAN|URC|HTN|
HTN|CGD,|CGD|PEK|URC|HTN|
HTN|CGK,|CGK|CAN|URC|HTN|
HTN|CGQ,|CGQ|HET|URC|HTN|
HTN|CIH,|CIH|DAT|TYN|URC|HTN|
HTN|CNX,|CNX|CAN|URC|HTN|
HTN|CZX,|CZX|TYN|URC|HTN|
HTN|DAC,|DAC|CAN|URC|HTN|
HTN|DAD,|DAD|CAN|URC|HTN|
HTN|DEL,|DEL|CAN|URC|HTN|
HTN|DIG,|DIG|KMG|CTU|URC|HTN|
HTN|DLC,|DLC|PEK|URC|HTN|
HTN|DPS,|DPS|CAN|URC|HTN|
HTN|DXB,|DXB|IST|URC|HTN|
HTN|DYG,|DYG|CSX|URC|HTN|
HTN|FUG,|FUG|CAN|URC|HTN|
HTN|FUK,|FUK|ICN|PEK|URC|HTN|
HTN|HAK,|HAK|CTU|URC|HTN|
HTN|HAN,|HAN|CAN|URC|HTN|
HTN|HDG,|HDG|CAN|URC|HTN|
HTN|HET,|HET|URC|HTN|
HTN|HFE,|HFE|XIY|URC|HTN|
HTN|HJJ,|HJJ|CSX|URC|HTN|
HTN|HKT,|HKT|KWE|URC|HTN|
HTN|HRB,|HRB|PEK|URC|HTN|
HTN|HZH,|HZH|CAN|URC|HTN|
HTN|JIU,|JIU|CAN|URC|HTN|
HTN|JJN,|JJN|CSX|URC|HTN|
HTN|JNG,|JNG|CAN|URC|HTN|
HTN|KHN,|KHN|XIY|URC|HTN|
HTN|KIX,|KIX|DLC|PEK|URC|HTN|
HTN|KOW,|KOW|CAN|URC|HTN|
HTN|KTM,|KTM|CAN|URC|HTN|
HTN|KUL,|KUL|BKK|NNG|KWE|URC|HTN|
HTN|KWE,|KWE|URC|HTN|
HTN|KWL,|KWL|CKG|URC|HTN|
HTN|LHW,|LHW|URC|HTN|
HTN|LYA,|LYA|KHN|XIY|URC|HTN|
HTN|LYG,|LYG|XUZ|INC|URC|HTN|
HTN|LZH,|LZH|CAN|URC|HTN|
HTN|MEL,|MEL|CAN|URC|HTN|
HTN|MIG,|MIG|CSX|URC|HTN|
HTN|MLE,|MLE|CAN|URC|HTN|
HTN|MNL,|MNL|CAN|URC|HTN|
HTN|MXZ,|MXZ|CAN|URC|HTN|
HTN|NAO,|NAO|PEK|URC|HTN|
HTN|NGB,|NGB|WUH|URC|HTN|
HTN|NKG,|NKG|URC|HTN|
HTN|NNY,|NNY|CGO|URC|HTN|
HTN|PEN,|PEN|CAN|URC|HTN|
HTN|PER,|PER|CAN|URC|HTN|
HTN|PNH,|PNH|CAN|URC|HTN|
HTN|REP,|REP|CAN|URC|HTN|
HTN|RGN,|RGN|CAN|URC|HTN|
HTN|SGN,|SGN|CAN|URC|HTN|
HTN|SHA,|SHA|URC|HTN|
HTN|SIN,|SIN|CAN|URC|HTN|
HTN|SVO,|SVO|URC|HTN|
HTN|SYX,|SYX|CKG|URC|HTN|
HTN|TAO,|TAO|TYN|URC|HTN|
HTN|TEN,|TEN|CAN|URC|HTN|
HTN|TNA,|TNA|URC|HTN|
HTN|TPE,|TPE|URC|HTN|
HTN|TSN,|TSN|HET|URC|HTN|
HTN|TXN,|TXN|TYN|URC|HTN|
HTN|TYN,|TYN|URC|HTN|
HTN|WNZ,|WNZ|XIY|URC|HTN|
HTN|WUX,|WUX|CAN|URC|HTN|
HTN|XFN,|XFN|CAN|URC|HTN|
HTN|XIY,|XIY|URC|HTN|
HTN|XUZ,|XUZ|INC|URC|HTN|
HTN|YIH,|YIH|CKG|URC|HTN|
HTN|YIW,|YIW|URC|HTN|
HTN|YNT,|YNT|SHE|HET|URC|HTN|
HTN|YNZ,|YNZ|WUH|URC|HTN|
HTN|YTY,|YTY|CGO|URC|HTN|
HTN|ZHA,|ZHA|CAN|URC|HTN|
HTN|ZYI,|ZYI|CAN|URC|HTN|
HTN|BAV,|BAV|URC|HTN|
HTN|CJU,|CJU|DLC|PEK|URC|HTN|
HTN|DSN,|DSN|CGO|URC|HTN|
HTN|HMI,|HMI|URC|HTN|
HTN|INC,|INC|URC|HTN|
HTN|KHH,|KHH|WUH|URC|HTN|
HTN|UYN,|UYN|XIY|URC|HTN|
HTN|XNN,|XNN|URC|HTN|
HTN|ZUH,|ZUH|KWE|URC|HTN|
HTN|YNJ,|YNJ|CGQ|HET|URC|HTN|
HTN|DAT,|DAT|TYN|URC|HTN|
HTN|JHG,|JHG|KMG|CTU|URC|HTN|
HTN|LJG,|LJG|KMG|CTU|URC|HTN|
HTN|LXA,|LXA|CKG|URC|HTN|
HTN|YCU,|YCU|CKG|URC|HTN|
HTN|LZO,|LZO|CSX|URC|HTN|
HTN|MDG,|MDG|DLC|PEK|URC|HTN|
HTN|NGO,|NGO|DLC|PEK|URC|HTN|
HTN|TOY,|TOY|DLC|PEK|URC|HTN|
HTN|MFM,|MFM|XMN|CSX|URC|HTN|
HTN|TGO,|TGO|HET|URC|HTN|
HTN|XIL,|XIL|HET|URC|HTN|
HTN|HEK,|HEK|HRB|PEK|URC|HTN|
HTN|KIJ,|KIJ|HRB|PEK|URC|HTN|
HTN|LDS,|LDS|HRB|PEK|URC|HTN|
HTN|OHE,|OHE|HRB|PEK|URC|HTN|
HTN|HSN,|HSN|LYG|XUZ|INC|URC|HTN|
HTN|DLU,|DLU|KMG|CTU|URC|HTN|
HTN|SYM,|SYM|KMG|CTU|URC|HTN|
HTN|ZAT,|ZAT|KMG|CTU|URC|HTN|
HTN|LUN,|LUN|NBO|IST|URC|HTN|
HTN|AOG,|AOG|PEK|URC|HTN|
HTN|GMP,|GMP|PEK|URC|HTN|
HTN|ISB,|ISB|URC|HTN|
HTN|TAS,|TAS|URC|HTN|
HTN|WUS,|WUS|PEK|URC|HTN|
HTN|JMU,|JMU|PVG|URC|HTN|
HTN|NDG,|NDG|PVG|URC|HTN|
HTN|JXA,|JXA|SHE|HET|URC|HTN|
HTN|PUS,|PUS|SHE|HET|URC|HTN|
HTN|BKI,|BKI|SZX|CKG|URC|HTN|
HTN|AKU,|AKU|URC|HTN|
HTN|ALA,|ALA|URC|HTN|
HTN|ASB,|ASB|URC|HTN|
HTN|DNH,|DNH|URC|HTN|
HTN|DYU,|DYU|URC|HTN|
HTN|FRU,|FRU|URC|HTN|
HTN|GYD,|GYD|URC|HTN|
HTN|IKA,|IKA|URC|HTN|
HTN|KCA,|KCA|URC|HTN|
HTN|KHG,|KHG|URC|HTN|
HTN|KRL,|KRL|URC|HTN|
HTN|KRY,|KRY|URC|HTN|
HTN|LBD,|LBD|URC|HTN|
HTN|NLT,|NLT|URC|HTN|
HTN|OSS,|OSS|URC|HTN|
HTN|OVB,|OVB|URC|HTN|
HTN|TBS,|TBS|URC|HTN|
HTN|TCG,|TCG|URC|HTN|
HTN|TSE,|TSE|URC|HTN|
HTN|YIN,|YIN|URC|HTN|
HTN|ENH,|ENH|WUH|URC|HTN|
HTN|ENY,|ENY|XIY|URC|HTN|
HTN|WXN,|WXN|XIY|URC|HTN|
HTN|BLL,|BLL|IST|URC|HTN|
HTN|ESB,|ESB|SAW|TBS|URC|HTN|
HTN|SAW,|SAW|TBS|URC|HTN|
HTN|HAM,|HAM|IST|URC|HTN|
HTN|HRE,|HRE|ADD|IST|URC|HTN|
HTN|JUB,|JUB|CAI|IST|URC|HTN|
HTN|SSG,|SSG|DLA|IST|URC|HTN|
HTN|BGW,|BGW|ESB|SAW|TBS|URC|HTN|
HTN|EBL,|EBL|IST|URC|HTN|
HTN|VKO,|VKO|IST|URC|HTN|
HTN|MCT,|MCT|IST|URC|HTN|
HTN|AYT,|AYT|IST|URC|HTN|
HTN|SCQ,|SCQ|BIO|IST|URC|HTN|
HTN|AAL,|AAL|IST|URC|HTN|
HTN|AOE,|AOE|BRU|IST|URC|HTN|
HTN|JNB,|JNB|IST|URC|HTN|
HTN|LBV,|LBV|DLA|IST|URC|HTN|
HTN|ADA,|ADA|SAW|TBS|URC|HTN|
HTN|ADB,|ADB|IST|URC|HTN|
