IND|PDX,|PDX|ORD|IND|
IND|PEK,|PEK|ORD|IND|
IND|PVG,|PVG|ORD|IND|
IND|PVR,|PVR|IAH|IND|
IND|SEA,|SEA|ORD|IND|
IND|SYD,|SYD|LAX|MCI|IND|
IND|YBL,|YBL|YVR|ORD|IND|
IND|YCD,|YCD|YVR|ORD|IND|
IND|YCG,|YCG|YYC|ORD|IND|
IND|YKA,|YKA|YYC|ORD|IND|
IND|YPR,|YPR|YVR|ORD|IND|
IND|YQZ,|YQZ|YVR|ORD|IND|
IND|YXC,|YXC|YYC|ORD|IND|
IND|YXJ,|YXJ|YYC|ORD|IND|
IND|YXS,|YXS|YYC|ORD|IND|
IND|YXT,|YXT|YVR|ORD|IND|
IND|YXY,|YXY|YVR|ORD|IND|
IND|YYD,|YYD|YVR|ORD|IND|
IND|YYF,|YYF|YVR|ORD|IND|
IND|YZP,|YZP|YVR|ORD|IND|
IND|YQT,|YQT|YYZ|IND|
IND|SJD,|SJD|IAH|IND|
IND|YQF,|YQF|YYC|ORD|IND|
IND|YQL,|YQL|YYC|ORD|IND|
IND|YXH,|YXH|YYC|ORD|IND|
IND|YWK,|YWK|YZV|YQB|YYZ|IND|
IND|ANU,|ANU|EWR|IND|
IND|AUA,|AUA|ATL|IND|
IND|AUH,|AUH|YYZ|IND|
IND|BCN,|BCN|YYZ|IND|
IND|BDA,|BDA|EWR|IND|
IND|BGI,|BGI|YYZ|IND|
IND|BNA,|BNA|ORD|IND|
IND|BOG,|BOG|IAD|IND|
IND|BWI,|BWI|IND|
IND|CLE,|CLE|IND|
IND|CLT,|CLT|CLE|IND|
IND|CMH,|CMH|CLE|IND|
IND|CVG,|CVG|ORD|IND|
IND|DFW,|DFW|ORD|IND|
IND|DTW,|DTW|ORD|IND|
IND|DUB,|DUB|YYZ|IND|
IND|FCO,|FCO|YYZ|IND|
IND|GCM,|GCM|IAD|IND|
IND|GGT,|GGT|FLL|IND|
IND|GND,|GND|YYZ|IND|
IND|GRU,|GRU|IAD|IND|
IND|HAV,|HAV|YYZ|IND|
IND|JFK,|JFK|IAD|IND|
IND|KIN,|KIN|YYZ|IND|
IND|LIM,|LIM|IAH|IND|
IND|LIR,|LIR|IAH|IND|
IND|MCI,|MCI|IND|
IND|MDT,|MDT|IAD|IND|
IND|MIA,|MIA|ORD|IND|
IND|MKE,|MKE|ORD|IND|
IND|MSP,|MSP|ORD|IND|
IND|NAS,|NAS|ATL|IND|
IND|PHL,|PHL|IAD|IND|
IND|PHX,|PHX|IND|
IND|PIT,|PIT|ORD|IND|
IND|PLS,|PLS|EWR|IND|
IND|POP,|POP|EWR|IND|
IND|RDU,|RDU|IAD|IND|
IND|ROC,|ROC|CLE|IND|
IND|RSW,|RSW|IND|
IND|SAN,|SAN|MCI|IND|
