CID|AUH,|AUH|YYZ|ORD|CID|
CID|BCN,|BCN|YYZ|ORD|CID|
CID|BDA,|BDA|EWR|ORD|CID|
CID|BGI,|BGI|YYZ|ORD|CID|
CID|BNA,|BNA|ORD|CID|
CID|BOG,|BOG|MIA|ORD|CID|
CID|BWI,|BWI|ORD|CID|
CID|CLE,|CLE|ORD|CID|
CID|CLT,|CLT|ORD|CID|
CID|CMH,|CMH|ORD|CID|
CID|CVG,|CVG|ORD|CID|
CID|DFW,|DFW|ORD|CID|
CID|DTW,|DTW|ORD|CID|
CID|DUB,|DUB|ORD|CID|
CID|FCO,|FCO|YYZ|ORD|CID|
CID|GCM,|GCM|IAD|ORD|CID|
CID|GGT,|GGT|FLL|ORD|CID|
CID|GND,|GND|YYZ|ORD|CID|
CID|GRU,|GRU|ORD|CID|
CID|HAV,|HAV|YYZ|ORD|CID|
CID|IND,|IND|ORD|CID|
CID|JFK,|JFK|YYZ|ORD|CID|
CID|KIN,|KIN|YYZ|ORD|CID|
CID|LIM,|LIM|MIA|ORD|CID|
CID|LIR,|LIR|IAH|ORD|CID|
CID|MCI,|MCI|ORD|CID|
CID|MDT,|MDT|ORD|CID|
CID|MIA,|MIA|ORD|CID|
CID|MKE,|MKE|ORD|CID|
CID|MSP,|MSP|ORD|CID|
CID|NAS,|NAS|ORD|CID|
CID|PHL,|PHL|ORD|CID|
CID|PHX,|PHX|DEN|CID|
CID|PIT,|PIT|ORD|CID|
CID|PLS,|PLS|YYZ|ORD|CID|
CID|POP,|POP|YYZ|ORD|CID|
CID|RDU,|RDU|ORD|CID|
CID|ROC,|ROC|ORD|CID|
CID|RSW,|RSW|ORD|CID|
CID|SAN,|SAN|DEN|CID|
CID|SJO,|SJO|ORD|CID|
CID|STL,|STL|ORD|CID|
CID|SYR,|SYR|ORD|CID|
CID|TLV,|TLV|IST|ORD|CID|
CID|TPA,|TPA|ORD|CID|
CID|UVF,|UVF|EWR|ORD|CID|
CID|VIE,|VIE|ORD|CID|
CID|YAM,|YAM|YYZ|ORD|CID|
CID|YGK,|YGK|YYZ|ORD|CID|
CID|YQG,|YQG|YYZ|ORD|CID|
CID|YSB,|YSB|YYZ|ORD|CID|
CID|YTS,|YTS|YYZ|ORD|CID|
CID|YYB,|YYB|YYZ|ORD|CID|
CID|YZR,|YZR|YYZ|ORD|CID|
CID|CAN,|CAN|PEK|ORD|CID|
CID|URC,|URC|TSE|FRA|ORD|CID|
CID|CTU,|CTU|PEK|ORD|CID|
CID|HGH,|HGH|PEK|ORD|CID|
CID|XMN,|XMN|PEK|ORD|CID|
CID|CGO,|CGO|PEK|ORD|CID|
CID|CSX,|CSX|PEK|ORD|CID|
CID|SHE,|SHE|PEK|ORD|CID|
CID|SJW,|SJW|DLC|PEK|ORD|CID|
CID|WUH,|WUH|PEK|ORD|CID|
CID|SZX,|SZX|PEK|ORD|CID|
CID|CKG,|CKG|PEK|ORD|CID|
CID|KMG,|KMG|PEK|ORD|CID|
CID|FOC,|FOC|PEK|ORD|CID|
CID|NNG,|NNG|PEK|ORD|CID|
CID|SWA,|SWA|PEK|ORD|CID|
CID|ACX,|ACX|CAN|PEK|ORD|CID|
CID|AQG,|AQG|CAN|PEK|ORD|CID|
