MZH|YQZ,|YQZ|YVR|MUC|IST|MZH|
MZH|YXC,|YXC|YYC|FRA|IST|MZH|
MZH|YXJ,|YXJ|YYC|FRA|IST|MZH|
MZH|YXS,|YXS|YYC|FRA|IST|MZH|
MZH|YXT,|YXT|YVR|MUC|IST|MZH|
MZH|YXY,|YXY|YVR|MUC|IST|MZH|
MZH|YYD,|YYD|YVR|MUC|IST|MZH|
MZH|YYF,|YYF|YVR|MUC|IST|MZH|
MZH|YZP,|YZP|YVR|MUC|IST|MZH|
MZH|YQT,|YQT|YYZ|IST|MZH|
MZH|SJD,|SJD|ORD|IST|MZH|
MZH|YQF,|YQF|YYC|FRA|IST|MZH|
MZH|YQL,|YQL|YYC|FRA|IST|MZH|
MZH|YXH,|YXH|YYC|FRA|IST|MZH|
MZH|YWK,|YWK|YYR|YYT|LHR|IST|MZH|
MZH|ANU,|ANU|EWR|BHX|IST|MZH|
MZH|AUA,|AUA|EWR|BHX|IST|MZH|
MZH|AUH,|AUH|IST|MZH|
MZH|BCN,|BCN|IST|MZH|
MZH|BDA,|BDA|EWR|BHX|IST|MZH|
MZH|BGI,|BGI|YYZ|IST|MZH|
MZH|BNA,|BNA|YYZ|IST|MZH|
MZH|BOG,|BOG|MIA|ZRH|IST|MZH|
MZH|BWI,|BWI|EWR|BHX|IST|MZH|
MZH|CLE,|CLE|YYZ|IST|MZH|
MZH|CLT,|CLT|EWR|BHX|IST|MZH|
MZH|CMH,|CMH|YYZ|IST|MZH|
MZH|CVG,|CVG|YYZ|IST|MZH|
MZH|DFW,|DFW|ORD|IST|MZH|
MZH|DTW,|DTW|FRA|IST|MZH|
MZH|DUB,|DUB|IST|MZH|
MZH|FCO,|FCO|IST|MZH|
MZH|GCM,|GCM|EWR|BHX|IST|MZH|
MZH|GGT,|GGT|FLL|MCO|FRA|IST|MZH|
MZH|GND,|GND|YYZ|IST|MZH|
MZH|GRU,|GRU|IST|MZH|
MZH|HAV,|HAV|YYZ|IST|MZH|
MZH|IND,|IND|YYZ|IST|MZH|
MZH|JFK,|JFK|IST|MZH|
MZH|KIN,|KIN|YYZ|IST|MZH|
MZH|LIM,|LIM|MIA|ZRH|IST|MZH|
MZH|LIR,|LIR|EWR|BHX|IST|MZH|
MZH|MCI,|MCI|ORD|IST|MZH|
MZH|MDT,|MDT|IAD|IST|MZH|
MZH|MIA,|MIA|ZRH|IST|MZH|
MZH|MKE,|MKE|YYZ|IST|MZH|
MZH|MSP,|MSP|YUL|FRA|IST|MZH|
MZH|NAS,|NAS|EWR|BHX|IST|MZH|
MZH|PHL,|PHL|IAD|IST|MZH|
MZH|PHX,|PHX|DEN|FRA|IST|MZH|
MZH|PIT,|PIT|YYZ|IST|MZH|
MZH|PLS,|PLS|EWR|BHX|IST|MZH|
MZH|POP,|POP|EWR|BHX|IST|MZH|
MZH|RDU,|RDU|EWR|BHX|IST|MZH|
MZH|ROC,|ROC|YYZ|IST|MZH|
MZH|RSW,|RSW|MCO|FRA|IST|MZH|
MZH|SAN,|SAN|LAX|IST|MZH|
MZH|SJO,|SJO|EWR|BHX|IST|MZH|
MZH|STL,|STL|ORD|IST|MZH|
MZH|SYR,|SYR|EWR|BHX|IST|MZH|
MZH|TLV,|TLV|IST|MZH|
MZH|TPA,|TPA|EWR|BHX|IST|MZH|
MZH|UVF,|UVF|EWR|BHX|IST|MZH|
MZH|VIE,|VIE|IST|MZH|
MZH|YAM,|YAM|YYZ|IST|MZH|
MZH|YGK,|YGK|YYZ|IST|MZH|
MZH|YQG,|YQG|YYZ|IST|MZH|
MZH|YSB,|YSB|YYZ|IST|MZH|
MZH|YTS,|YTS|YYZ|IST|MZH|
MZH|YYB,|YYB|YYZ|IST|MZH|
MZH|YZR,|YZR|YYZ|IST|MZH|
MZH|CAN,|CAN|IST|MZH|
MZH|URC,|URC|IST|MZH|
MZH|CTU,|CTU|URC|IST|MZH|
MZH|HGH,|HGH|URC|IST|MZH|
MZH|XMN,|XMN|CSX|URC|IST|MZH|
MZH|CGO,|CGO|URC|IST|MZH|
MZH|CSX,|CSX|URC|IST|MZH|
MZH|SHE,|SHE|PEK|IST|MZH|
MZH|SJW,|SJW|URC|IST|MZH|
MZH|WUH,|WUH|URC|IST|MZH|
MZH|SZX,|SZX|CKG|URC|IST|MZH|
MZH|CKG,|CKG|URC|IST|MZH|
MZH|KMG,|KMG|CTU|URC|IST|MZH|
MZH|FOC,|FOC|XIY|URC|IST|MZH|
MZH|NNG,|NNG|KWE|URC|IST|MZH|
MZH|SWA,|SWA|CAN|IST|MZH|
MZH|ACX,|ACX|CAN|IST|MZH|
MZH|AQG,|AQG|CAN|IST|MZH|
MZH|AVA,|AVA|CAN|IST|MZH|
MZH|BFJ,|BFJ|CAN|IST|MZH|
MZH|BHY,|BHY|CKG|URC|IST|MZH|
MZH|BNE,|BNE|BKK|IST|MZH|
MZH|CGD,|CGD|PEK|IST|MZH|
MZH|CGK,|CGK|SIN|IST|MZH|
MZH|CGQ,|CGQ|HET|URC|IST|MZH|
MZH|CIH,|CIH|PEK|IST|MZH|
MZH|CNX,|CNX|CAN|IST|MZH|
MZH|CZX,|CZX|TYN|URC|IST|MZH|
MZH|DAC,|DAC|IST|MZH|
MZH|DAD,|DAD|CAN|IST|MZH|
MZH|DEL,|DEL|IST|MZH|
MZH|DIG,|DIG|KMG|CTU|URC|IST|MZH|
MZH|DLC,|DLC|PEK|IST|MZH|
MZH|DPS,|DPS|CAN|IST|MZH|
MZH|DXB,|DXB|IST|MZH|
MZH|DYG,|DYG|CSX|URC|IST|MZH|
MZH|FUG,|FUG|CAN|IST|MZH|
MZH|FUK,|FUK|ICN|IST|MZH|
MZH|HAK,|HAK|CTU|URC|IST|MZH|
MZH|HAN,|HAN|CAN|IST|MZH|
MZH|HDG,|HDG|CAN|IST|MZH|
MZH|HET,|HET|URC|IST|MZH|
MZH|HFE,|HFE|XIY|URC|IST|MZH|
MZH|HJJ,|HJJ|CSX|URC|IST|MZH|
MZH|HKT,|HKT|KWE|URC|IST|MZH|
MZH|HRB,|HRB|PEK|IST|MZH|
MZH|HZH,|HZH|CAN|IST|MZH|
MZH|JIU,|JIU|CAN|IST|MZH|
MZH|JJN,|JJN|CSX|URC|IST|MZH|
MZH|JNG,|JNG|CAN|IST|MZH|
MZH|KHN,|KHN|XIY|URC|IST|MZH|
MZH|KIX,|KIX|IST|MZH|
MZH|KOW,|KOW|CAN|IST|MZH|
MZH|KTM,|KTM|IST|MZH|
MZH|KUL,|KUL|IST|MZH|
MZH|KWE,|KWE|URC|IST|MZH|
MZH|KWL,|KWL|CKG|URC|IST|MZH|
MZH|LHW,|LHW|URC|IST|MZH|
MZH|LYA,|LYA|KHN|XIY|URC|IST|MZH|
MZH|LYG,|LYG|XUZ|INC|URC|IST|MZH|
MZH|LZH,|LZH|CAN|IST|MZH|
MZH|MEL,|MEL|BKK|IST|MZH|
MZH|MIG,|MIG|CSX|URC|IST|MZH|
MZH|MLE,|MLE|IST|MZH|
MZH|MNL,|MNL|CAN|IST|MZH|
MZH|MXZ,|MXZ|CAN|IST|MZH|
MZH|NAO,|NAO|PEK|IST|MZH|
MZH|NGB,|NGB|WUH|URC|IST|MZH|
MZH|NKG,|NKG|URC|IST|MZH|
MZH|NNY,|NNY|CGO|URC|IST|MZH|
MZH|PEN,|PEN|CAN|IST|MZH|
MZH|PER,|PER|BKK|IST|MZH|
MZH|PNH,|PNH|CAN|IST|MZH|
MZH|REP,|REP|CAN|IST|MZH|
MZH|RGN,|RGN|CAN|IST|MZH|
MZH|SGN,|SGN|BKK|IST|MZH|
MZH|SHA,|SHA|URC|IST|MZH|
MZH|SIN,|SIN|IST|MZH|
MZH|SVO,|SVO|URC|IST|MZH|
MZH|SYX,|SYX|CKG|URC|IST|MZH|
MZH|TAO,|TAO|TYN|URC|IST|MZH|
MZH|TEN,|TEN|CAN|IST|MZH|
MZH|TNA,|TNA|URC|IST|MZH|
MZH|TPE,|TPE|URC|IST|MZH|
MZH|TSN,|TSN|HET|URC|IST|MZH|
MZH|TXN,|TXN|TYN|URC|IST|MZH|
MZH|TYN,|TYN|URC|IST|MZH|
MZH|WNZ,|WNZ|XIY|URC|IST|MZH|
MZH|WUX,|WUX|CAN|IST|MZH|
MZH|XFN,|XFN|CAN|IST|MZH|
MZH|XIY,|XIY|URC|IST|MZH|
MZH|XUZ,|XUZ|INC|URC|IST|MZH|
MZH|YIH,|YIH|CKG|URC|IST|MZH|
MZH|YIW,|YIW|URC|IST|MZH|
MZH|YNT,|YNT|SHE|PEK|IST|MZH|
MZH|YNZ,|YNZ|WUH|URC|IST|MZH|
MZH|YTY,|YTY|CGO|URC|IST|MZH|
MZH|ZHA,|ZHA|CAN|IST|MZH|
MZH|ZYI,|ZYI|CAN|IST|MZH|
MZH|BAV,|BAV|URC|IST|MZH|
MZH|CJU,|CJU|DLC|PEK|IST|MZH|
MZH|DSN,|DSN|CGO|URC|IST|MZH|
MZH|HMI,|HMI|URC|IST|MZH|
MZH|INC,|INC|URC|IST|MZH|
MZH|KHH,|KHH|WUH|URC|IST|MZH|
MZH|UYN,|UYN|XIY|URC|IST|MZH|
MZH|XNN,|XNN|URC|IST|MZH|
MZH|ZUH,|ZUH|KWE|URC|IST|MZH|
MZH|YNJ,|YNJ|PEK|IST|MZH|
MZH|DAT,|DAT|TYN|URC|IST|MZH|
MZH|JHG,|JHG|KMG|CTU|URC|IST|MZH|
MZH|LJG,|LJG|KMG|CTU|URC|IST|MZH|
MZH|LXA,|LXA|CKG|URC|IST|MZH|
MZH|YCU,|YCU|CKG|URC|IST|MZH|
MZH|LZO,|LZO|CSX|URC|IST|MZH|
MZH|MDG,|MDG|DLC|PEK|IST|MZH|
MZH|NGO,|NGO|ICN|IST|MZH|
MZH|TOY,|TOY|DLC|PEK|IST|MZH|
MZH|MFM,|MFM|XMN|CSX|URC|IST|MZH|
MZH|TGO,|TGO|HET|URC|IST|MZH|
