CJU|YQF,|YQF|YYC|YVR|ICN|DLC|CJU|
CJU|YQL,|YQL|YYC|YVR|ICN|DLC|CJU|
CJU|YXH,|YXH|YYC|YVR|ICN|DLC|CJU|
CJU|YWK,|YWK|YZV|YQB|YYZ|PEK|DLC|CJU|
CJU|ANU,|ANU|EWR|PEK|DLC|CJU|
CJU|AUA,|AUA|EWR|PEK|DLC|CJU|
CJU|AUH,|AUH|IST|PEK|DLC|CJU|
CJU|BCN,|BCN|IST|PEK|DLC|CJU|
CJU|BDA,|BDA|EWR|PEK|DLC|CJU|
CJU|BGI,|BGI|YYZ|PEK|DLC|CJU|
CJU|BNA,|BNA|ORD|PEK|DLC|CJU|
CJU|BOG,|BOG|MIA|ORD|PEK|DLC|CJU|
CJU|BWI,|BWI|YYZ|PEK|DLC|CJU|
CJU|CLE,|CLE|YYZ|PEK|DLC|CJU|
CJU|CLT,|CLT|YYZ|PEK|DLC|CJU|
CJU|CMH,|CMH|ORD|PEK|DLC|CJU|
CJU|CVG,|CVG|ORD|PEK|DLC|CJU|
CJU|DFW,|DFW|YVR|ICN|DLC|CJU|
CJU|DTW,|DTW|PEK|DLC|CJU|
CJU|DUB,|DUB|IST|PEK|DLC|CJU|
CJU|FCO,|FCO|IST|PEK|DLC|CJU|
CJU|GCM,|GCM|IAH|YVR|ICN|DLC|CJU|
CJU|GGT,|GGT|YYZ|PEK|DLC|CJU|
CJU|GND,|GND|YYZ|PEK|DLC|CJU|
CJU|GRU,|GRU|IST|PEK|DLC|CJU|
CJU|HAV,|HAV|YYZ|PEK|DLC|CJU|
CJU|IND,|IND|ORD|PEK|DLC|CJU|
CJU|JFK,|JFK|PEK|DLC|CJU|
CJU|KIN,|KIN|YYZ|PEK|DLC|CJU|
CJU|LIM,|LIM|IAH|YVR|ICN|DLC|CJU|
CJU|LIR,|LIR|IAH|YVR|ICN|DLC|CJU|
CJU|MCI,|MCI|DEN|YVR|ICN|DLC|CJU|
CJU|MDT,|MDT|YYZ|PEK|DLC|CJU|
CJU|MIA,|MIA|ORD|PEK|DLC|CJU|
CJU|MKE,|MKE|ORD|PEK|DLC|CJU|
CJU|MSP,|MSP|DEN|YVR|ICN|DLC|CJU|
CJU|NAS,|NAS|YYZ|PEK|DLC|CJU|
CJU|PHL,|PHL|YYZ|PEK|DLC|CJU|
CJU|PHX,|PHX|SFO|ICN|DLC|CJU|
CJU|PIT,|PIT|YYZ|PEK|DLC|CJU|
CJU|PLS,|PLS|EWR|PEK|DLC|CJU|
CJU|POP,|POP|EWR|PEK|DLC|CJU|
