DSN|ZSA,|ZSA|YUL|YYZ|PEK|CGO|DSN|
DSN|AKL,|AKL|CAN|CGO|DSN|
DSN|HKG,|HKG|CGO|DSN|
DSN|HND,|HND|HNL|NRT|ICN|CGO|DSN|
DSN|HNL,|HNL|NRT|ICN|CGO|DSN|
DSN|MEX,|MEX|YVR|PEK|CGO|DSN|
DSN|OGG,|OGG|HNL|NRT|ICN|CGO|DSN|
DSN|PDX,|PDX|SEA|PEK|CGO|DSN|
DSN|PEK,|PEK|CGO|DSN|
DSN|PVG,|PVG|CGO|DSN|
DSN|PVR,|PVR|SFO|PEK|CGO|DSN|
DSN|SEA,|SEA|PEK|CGO|DSN|
DSN|SYD,|SYD|CAN|CGO|DSN|
DSN|YBL,|YBL|YVR|PEK|CGO|DSN|
DSN|YCD,|YCD|YVR|PEK|CGO|DSN|
DSN|YCG,|YCG|YVR|PEK|CGO|DSN|
DSN|YKA,|YKA|YVR|PEK|CGO|DSN|
DSN|YPR,|YPR|YVR|PEK|CGO|DSN|
DSN|YQZ,|YQZ|YVR|PEK|CGO|DSN|
DSN|YXC,|YXC|YVR|PEK|CGO|DSN|
DSN|YXJ,|YXJ|YVR|PEK|CGO|DSN|
DSN|YXS,|YXS|YVR|PEK|CGO|DSN|
DSN|YXT,|YXT|YVR|PEK|CGO|DSN|
DSN|YXY,|YXY|YVR|PEK|CGO|DSN|
DSN|YYD,|YYD|YVR|PEK|CGO|DSN|
DSN|YYF,|YYF|YVR|PEK|CGO|DSN|
DSN|YZP,|YZP|YVR|PEK|CGO|DSN|
DSN|YQT,|YQT|YWG|YVR|PEK|CGO|DSN|
DSN|SJD,|SJD|SFO|PEK|CGO|DSN|
DSN|YQF,|YQF|YYC|YVR|PEK|CGO|DSN|
DSN|YQL,|YQL|YYC|YVR|PEK|CGO|DSN|
DSN|YXH,|YXH|YYC|YVR|PEK|CGO|DSN|
DSN|YWK,|YWK|YZV|YQB|YYZ|PEK|CGO|DSN|
DSN|ANU,|ANU|EWR|PEK|CGO|DSN|
DSN|AUA,|AUA|EWR|PEK|CGO|DSN|
DSN|AUH,|AUH|IST|URC|CGO|DSN|
DSN|BCN,|BCN|IST|URC|CGO|DSN|
DSN|BDA,|BDA|EWR|PEK|CGO|DSN|
DSN|BGI,|BGI|YYZ|PEK|CGO|DSN|
DSN|BNA,|BNA|ORD|PEK|CGO|DSN|
DSN|BOG,|BOG|MIA|ORD|PEK|CGO|DSN|
DSN|BWI,|BWI|YYZ|PEK|CGO|DSN|
DSN|CLE,|CLE|YYZ|PEK|CGO|DSN|
DSN|CLT,|CLT|YYZ|PEK|CGO|DSN|
DSN|CMH,|CMH|ORD|PEK|CGO|DSN|
DSN|CVG,|CVG|ORD|PEK|CGO|DSN|
DSN|DFW,|DFW|YVR|PEK|CGO|DSN|
DSN|DTW,|DTW|PEK|CGO|DSN|
DSN|DUB,|DUB|IST|URC|CGO|DSN|
DSN|FCO,|FCO|IST|URC|CGO|DSN|
DSN|GCM,|GCM|YYZ|PEK|CGO|DSN|
DSN|GGT,|GGT|YYZ|PEK|CGO|DSN|
DSN|GND,|GND|YYZ|PEK|CGO|DSN|
DSN|GRU,|GRU|IST|URC|CGO|DSN|
DSN|HAV,|HAV|YYZ|PEK|CGO|DSN|
DSN|IND,|IND|ORD|PEK|CGO|DSN|
DSN|JFK,|JFK|PEK|CGO|DSN|
DSN|KIN,|KIN|YYZ|PEK|CGO|DSN|
DSN|LIM,|LIM|IAH|PEK|CGO|DSN|
DSN|LIR,|LIR|IAH|PEK|CGO|DSN|
DSN|MCI,|MCI|DEN|YVR|PEK|CGO|DSN|
DSN|MDT,|MDT|YYZ|PEK|CGO|DSN|
DSN|MIA,|MIA|ORD|PEK|CGO|DSN|
DSN|MKE,|MKE|ORD|PEK|CGO|DSN|
DSN|MSP,|MSP|ORD|PEK|CGO|DSN|
DSN|NAS,|NAS|YYZ|PEK|CGO|DSN|
DSN|PHL,|PHL|YYZ|PEK|CGO|DSN|
DSN|PHX,|PHX|SEA|PEK|CGO|DSN|
DSN|PIT,|PIT|YYZ|PEK|CGO|DSN|
DSN|PLS,|PLS|EWR|PEK|CGO|DSN|
DSN|POP,|POP|EWR|PEK|CGO|DSN|
DSN|RDU,|RDU|YYZ|PEK|CGO|DSN|
DSN|ROC,|ROC|YYZ|PEK|CGO|DSN|
DSN|RSW,|RSW|ORD|PEK|CGO|DSN|
DSN|SAN,|SAN|LAX|PEK|CGO|DSN|
DSN|SJO,|SJO|IAH|PEK|CGO|DSN|
DSN|STL,|STL|ORD|PEK|CGO|DSN|
DSN|SYR,|SYR|YYZ|PEK|CGO|DSN|
DSN|TLV,|TLV|SAW|TBS|URC|CGO|DSN|
DSN|TPA,|TPA|ORD|PEK|CGO|DSN|
DSN|UVF,|UVF|EWR|PEK|CGO|DSN|
DSN|VIE,|VIE|IST|URC|CGO|DSN|
DSN|YAM,|YAM|YYZ|PEK|CGO|DSN|
DSN|YGK,|YGK|YYZ|PEK|CGO|DSN|
DSN|YQG,|YQG|YYZ|PEK|CGO|DSN|
DSN|YSB,|YSB|YYZ|PEK|CGO|DSN|
DSN|YTS,|YTS|YYZ|PEK|CGO|DSN|
DSN|YYB,|YYB|YYZ|PEK|CGO|DSN|
DSN|YZR,|YZR|YYZ|PEK|CGO|DSN|
DSN|CAN,|CAN|CGO|DSN|
DSN|URC,|URC|CGO|DSN|
DSN|CTU,|CTU|CGO|DSN|
DSN|HGH,|HGH|CGO|DSN|
DSN|XMN,|XMN|CGO|DSN|
DSN|CGO,|CGO|DSN|
DSN|CSX,|CSX|YTY|CGO|DSN|
DSN|SHE,|SHE|CGO|DSN|
DSN|SJW,|SJW|BAV|CGO|DSN|
DSN|WUH,|WUH|HGH|CGO|DSN|
DSN|SZX,|SZX|CGO|DSN|
DSN|CKG,|CKG|CGO|DSN|
DSN|KMG,|KMG|CGO|DSN|
DSN|FOC,|FOC|CGO|DSN|
DSN|NNG,|NNG|CGO|DSN|
DSN|SWA,|SWA|YIW|CGO|DSN|
DSN|ACX,|ACX|CAN|CGO|DSN|
DSN|AQG,|AQG|CAN|CGO|DSN|
DSN|AVA,|AVA|CAN|CGO|DSN|
DSN|BFJ,|BFJ|CAN|CGO|DSN|
DSN|BHY,|BHY|CGO|DSN|
DSN|BNE,|BNE|CAN|CGO|DSN|
DSN|CGD,|CGD|CAN|CGO|DSN|
DSN|CGK,|CGK|CAN|CGO|DSN|
DSN|CGQ,|CGQ|CGO|DSN|
DSN|CIH,|CIH|PEK|CGO|DSN|
DSN|CNX,|CNX|CAN|CGO|DSN|
DSN|CZX,|CZX|FOC|CGO|DSN|
DSN|DAC,|DAC|CAN|CGO|DSN|
DSN|DAD,|DAD|CAN|CGO|DSN|
DSN|DEL,|DEL|CAN|CGO|DSN|
DSN|DIG,|DIG|KMG|CGO|DSN|
DSN|DLC,|DLC|CGO|DSN|
DSN|DPS,|DPS|SZX|CGO|DSN|
DSN|DXB,|DXB|CAN|CGO|DSN|
DSN|DYG,|DYG|CSX|YTY|CGO|DSN|
DSN|FUG,|FUG|CAN|CGO|DSN|
DSN|FUK,|FUK|ICN|CGO|DSN|
DSN|HAK,|HAK|CGO|DSN|
DSN|HAN,|HAN|CAN|CGO|DSN|
DSN|HDG,|HDG|CAN|CGO|DSN|
DSN|HET,|HET|INC|CGO|DSN|
DSN|HFE,|HFE|XIY|UYN|CGO|DSN|
DSN|HJJ,|HJJ|CSX|YTY|CGO|DSN|
DSN|HKT,|HKT|KWE|CGO|DSN|
DSN|HRB,|HRB|CGO|DSN|
DSN|HZH,|HZH|CAN|CGO|DSN|
DSN|JIU,|JIU|CAN|CGO|DSN|
DSN|JJN,|JJN|HGH|CGO|DSN|
DSN|JNG,|JNG|CAN|CGO|DSN|
DSN|KHN,|KHN|XMN|CGO|DSN|
DSN|KIX,|KIX|DLC|CGO|DSN|
DSN|KOW,|KOW|CAN|CGO|DSN|
DSN|KTM,|KTM|CAN|CGO|DSN|
DSN|KUL,|KUL|CAN|CGO|DSN|
DSN|KWE,|KWE|CGO|DSN|
DSN|KWL,|KWL|CKG|CGO|DSN|
DSN|LHW,|LHW|CGO|DSN|
DSN|LYA,|LYA|KHN|XMN|CGO|DSN|
DSN|LYG,|LYG|XUZ|INC|CGO|DSN|
DSN|LZH,|LZH|CAN|CGO|DSN|
DSN|MEL,|MEL|CAN|CGO|DSN|
DSN|MIG,|MIG|CSX|YTY|CGO|DSN|
DSN|MLE,|MLE|CAN|CGO|DSN|
DSN|MNL,|MNL|XMN|CGO|DSN|
DSN|MXZ,|MXZ|CAN|CGO|DSN|
DSN|NAO,|NAO|PEK|CGO|DSN|
DSN|NGB,|NGB|TAO|CGO|DSN|
DSN|NKG,|NKG|DLC|CGO|DSN|
DSN|NNY,|NNY|CGO|DSN|
DSN|PEN,|PEN|CAN|CGO|DSN|
DSN|PER,|PER|CAN|CGO|DSN|
DSN|PNH,|PNH|CAN|CGO|DSN|
DSN|REP,|REP|CAN|CGO|DSN|
DSN|RGN,|RGN|CAN|CGO|DSN|
DSN|SGN,|SGN|CAN|CGO|DSN|
DSN|SHA,|SHA|CGO|DSN|
DSN|SIN,|SIN|CAN|CGO|DSN|
DSN|SVO,|SVO|URC|CGO|DSN|
DSN|SYX,|SYX|CGO|DSN|
DSN|TAO,|TAO|CGO|DSN|
DSN|TEN,|TEN|CAN|CGO|DSN|
DSN|TNA,|TNA|DLC|CGO|DSN|
DSN|TPE,|TPE|CGO|DSN|
DSN|TSN,|TSN|DLC|CGO|DSN|
DSN|TXN,|TXN|TAO|CGO|DSN|
DSN|TYN,|TYN|TAO|CGO|DSN|
DSN|WNZ,|WNZ|CGO|DSN|
DSN|WUX,|WUX|CAN|CGO|DSN|
DSN|XFN,|XFN|XMN|CGO|DSN|
DSN|XIY,|XIY|UYN|CGO|DSN|
DSN|XUZ,|XUZ|INC|CGO|DSN|
DSN|YIH,|YIH|CKG|CGO|DSN|
DSN|YIW,|YIW|CGO|DSN|
DSN|YNT,|YNT|SHE|CGO|DSN|
DSN|YNZ,|YNZ|DLC|CGO|DSN|
DSN|YTY,|YTY|CGO|DSN|
DSN|ZHA,|ZHA|CAN|CGO|DSN|
DSN|ZYI,|ZYI|CAN|CGO|DSN|
DSN|BAV,|BAV|CGO|DSN|
DSN|CJU,|CJU|CGO|DSN|
