CND|YFC,|YFC|YHZ|LHR|IST|CND|
CND|YQM,|YQM|YHZ|LHR|IST|CND|
CND|YQX,|YQX|YYT|LHR|IST|CND|
CND|YQY,|YQY|YHZ|LHR|IST|CND|
CND|YSJ,|YSJ|YHZ|LHR|IST|CND|
CND|YYG,|YYG|YHZ|LHR|IST|CND|
CND|LAX,|LAX|IST|CND|
CND|DCA,|DCA|EWR|BHX|IST|CND|
CND|LGA,|LGA|YHZ|LHR|IST|CND|
CND|YZV,|YZV|YWK|YYR|YYT|LHR|IST|CND|
CND|YWL,|YWL|YVR|MUC|IST|CND|
CND|AZS,|AZS|YUL|FRA|IST|CND|
CND|BDL,|BDL|YUL|FRA|IST|CND|
CND|CCC,|CCC|YUL|FRA|IST|CND|
CND|CDG,|CDG|IST|CND|
CND|CUN,|CUN|YHZ|LHR|IST|CND|
CND|CZM,|CZM|YUL|FRA|IST|CND|
CND|FDF,|FDF|YUL|FRA|IST|CND|
CND|FLL,|FLL|MCO|FRA|IST|CND|
CND|GVA,|GVA|IST|CND|
CND|HOG,|HOG|YUL|FRA|IST|CND|
CND|LAS,|LAS|DEN|FRA|IST|CND|
CND|MBJ,|MBJ|YHZ|LHR|IST|CND|
CND|MCO,|MCO|FRA|IST|CND|
CND|MUC,|MUC|IST|CND|
CND|PAP,|PAP|YUL|FRA|IST|CND|
CND|PTP,|PTP|YUL|FRA|IST|CND|
CND|PUJ,|PUJ|YHZ|LHR|IST|CND|
CND|SNU,|SNU|YUL|FRA|IST|CND|
CND|VRA,|VRA|YUL|FRA|IST|CND|
CND|YBC,|YBC|YUL|FRA|IST|CND|
CND|YBG,|YBG|YUL|FRA|IST|CND|
CND|YTZ,|YTZ|YUL|FRA|IST|CND|
CND|YUY,|YUY|YUL|FRA|IST|CND|
CND|YVO,|YVO|YUL|FRA|IST|CND|
CND|ZBF,|ZBF|YUL|FRA|IST|CND|
CND|ZRH,|ZRH|IST|CND|
CND|ZSA,|ZSA|YUL|FRA|IST|CND|
CND|AKL,|AKL|BKK|IST|CND|
CND|HKG,|HKG|IST|CND|
CND|HND,|HND|YVR|MUC|IST|CND|
CND|HNL,|HNL|YVR|MUC|IST|CND|
CND|MEX,|MEX|IAD|IST|CND|
CND|OGG,|OGG|YVR|MUC|IST|CND|
CND|PDX,|PDX|SEA|FRA|IST|CND|
CND|PEK,|PEK|IST|CND|
CND|PVG,|PVG|IST|CND|
CND|PVR,|PVR|ORD|IST|CND|
CND|SEA,|SEA|FRA|IST|CND|
CND|SYD,|SYD|BKK|IST|CND|
CND|YBL,|YBL|YVR|MUC|IST|CND|
CND|YCD,|YCD|YVR|MUC|IST|CND|
CND|YCG,|YCG|YYC|FRA|IST|CND|
CND|YKA,|YKA|YYC|FRA|IST|CND|
CND|YPR,|YPR|YVR|MUC|IST|CND|
CND|YQZ,|YQZ|YVR|MUC|IST|CND|
CND|YXC,|YXC|YYC|FRA|IST|CND|
CND|YXJ,|YXJ|YYC|FRA|IST|CND|
CND|YXS,|YXS|YYC|FRA|IST|CND|
CND|YXT,|YXT|YVR|MUC|IST|CND|
CND|YXY,|YXY|YVR|MUC|IST|CND|
CND|YYD,|YYD|YVR|MUC|IST|CND|
CND|YYF,|YYF|YVR|MUC|IST|CND|
CND|YZP,|YZP|YVR|MUC|IST|CND|
CND|YQT,|YQT|YYZ|IST|CND|
CND|SJD,|SJD|ORD|IST|CND|
CND|YQF,|YQF|YYC|FRA|IST|CND|
CND|YQL,|YQL|YYC|FRA|IST|CND|
CND|YXH,|YXH|YYC|FRA|IST|CND|
CND|YWK,|YWK|YYR|YYT|LHR|IST|CND|
CND|ANU,|ANU|EWR|BHX|IST|CND|
CND|AUA,|AUA|EWR|BHX|IST|CND|
CND|AUH,|AUH|IST|CND|
CND|BCN,|BCN|IST|CND|
CND|BDA,|BDA|EWR|BHX|IST|CND|
CND|BGI,|BGI|YYZ|IST|CND|
CND|BNA,|BNA|YYZ|IST|CND|
CND|BOG,|BOG|MIA|ZRH|IST|CND|
CND|BWI,|BWI|EWR|BHX|IST|CND|
CND|CLE,|CLE|YYZ|IST|CND|
CND|CLT,|CLT|EWR|BHX|IST|CND|
CND|CMH,|CMH|YYZ|IST|CND|
CND|CVG,|CVG|YYZ|IST|CND|
CND|DFW,|DFW|ORD|IST|CND|
CND|DTW,|DTW|FRA|IST|CND|
CND|DUB,|DUB|IST|CND|
CND|FCO,|FCO|IST|CND|
CND|GCM,|GCM|EWR|BHX|IST|CND|
CND|GGT,|GGT|FLL|MCO|FRA|IST|CND|
CND|GND,|GND|YYZ|IST|CND|
CND|GRU,|GRU|IST|CND|
CND|HAV,|HAV|YYZ|IST|CND|
CND|IND,|IND|YYZ|IST|CND|
CND|JFK,|JFK|IST|CND|
CND|KIN,|KIN|YYZ|IST|CND|
CND|LIM,|LIM|MIA|ZRH|IST|CND|
CND|LIR,|LIR|EWR|BHX|IST|CND|
CND|MCI,|MCI|ORD|IST|CND|
CND|MDT,|MDT|IAD|IST|CND|
CND|MIA,|MIA|ZRH|IST|CND|
CND|MKE,|MKE|YYZ|IST|CND|
CND|MSP,|MSP|YUL|FRA|IST|CND|
CND|NAS,|NAS|EWR|BHX|IST|CND|
CND|PHL,|PHL|IAD|IST|CND|
CND|PHX,|PHX|DEN|FRA|IST|CND|
CND|PIT,|PIT|YYZ|IST|CND|
CND|PLS,|PLS|EWR|BHX|IST|CND|
CND|POP,|POP|EWR|BHX|IST|CND|
CND|RDU,|RDU|EWR|BHX|IST|CND|
CND|ROC,|ROC|YYZ|IST|CND|
CND|RSW,|RSW|MCO|FRA|IST|CND|
CND|SAN,|SAN|LAX|IST|CND|
CND|SJO,|SJO|EWR|BHX|IST|CND|
CND|STL,|STL|ORD|IST|CND|
CND|SYR,|SYR|EWR|BHX|IST|CND|
CND|TLV,|TLV|IST|CND|
CND|TPA,|TPA|EWR|BHX|IST|CND|
CND|UVF,|UVF|EWR|BHX|IST|CND|
CND|VIE,|VIE|IST|CND|
CND|YAM,|YAM|YYZ|IST|CND|
CND|YGK,|YGK|YYZ|IST|CND|
CND|YQG,|YQG|YYZ|IST|CND|
CND|YSB,|YSB|YYZ|IST|CND|
CND|YTS,|YTS|YYZ|IST|CND|
CND|YYB,|YYB|YYZ|IST|CND|
CND|YZR,|YZR|YYZ|IST|CND|
CND|CAN,|CAN|IST|CND|
CND|URC,|URC|IST|CND|
CND|CTU,|CTU|URC|IST|CND|
CND|HGH,|HGH|URC|IST|CND|
