YYY|YQT,|YQT|YYZ|YUL|YYY|
YYY|SJD,|SJD|ORD|YUL|YYY|
YYY|YQF,|YQF|YYC|YUL|YYY|
YYY|YQL,|YQL|YYC|YUL|YYY|
YYY|YXH,|YXH|YYC|YUL|YYY|
YYY|YWK,|YWK|YZV|YUL|YYY|
YYY|ANU,|ANU|EWR|YUL|YYY|
YYY|AUA,|AUA|EWR|YUL|YYY|
YYY|AUH,|AUH|FRA|YUL|YYY|
YYY|BCN,|BCN|EWR|YUL|YYY|
YYY|BDA,|BDA|EWR|YUL|YYY|
YYY|BGI,|BGI|YYZ|YUL|YYY|
YYY|BNA,|BNA|YYZ|YUL|YYY|
YYY|BOG,|BOG|JFK|YUL|YYY|
YYY|BWI,|BWI|EWR|YUL|YYY|
YYY|CLE,|CLE|YYZ|YUL|YYY|
YYY|CLT,|CLT|IAD|YUL|YYY|
YYY|CMH,|CMH|YYZ|YUL|YYY|
YYY|CVG,|CVG|YYZ|YUL|YYY|
YYY|DFW,|DFW|YUL|YYY|
YYY|DTW,|DTW|YYZ|YUL|YYY|
YYY|DUB,|DUB|BOS|YUL|YYY|
YYY|FCO,|FCO|EWR|YUL|YYY|
YYY|GCM,|GCM|IAD|YUL|YYY|
YYY|GGT,|GGT|FLL|YUL|YYY|
YYY|GND,|GND|YYZ|YUL|YYY|
YYY|GRU,|GRU|EWR|YUL|YYY|
YYY|HAV,|HAV|YYZ|YUL|YYY|
YYY|IND,|IND|YYZ|YUL|YYY|
YYY|JFK,|JFK|YUL|YYY|
YYY|KIN,|KIN|YYZ|YUL|YYY|
YYY|LIM,|LIM|EWR|YUL|YYY|
YYY|LIR,|LIR|EWR|YUL|YYY|
YYY|MCI,|MCI|ORD|YUL|YYY|
YYY|MDT,|MDT|IAD|YUL|YYY|
YYY|MIA,|MIA|YUL|YYY|
YYY|MKE,|MKE|YYZ|YUL|YYY|
YYY|MSP,|MSP|YUL|YYY|
YYY|NAS,|NAS|EWR|YUL|YYY|
