CNS|YUY,|YUY|YUL|YYZ|NRT|GUM|CNS|
CNS|YVO,|YVO|YUL|YYZ|NRT|GUM|CNS|
CNS|ZBF,|ZBF|YUL|YYZ|NRT|GUM|CNS|
CNS|ZRH,|ZRH|IST|ICN|FUK|GUM|CNS|
CNS|ZSA,|ZSA|YUL|YYZ|NRT|GUM|CNS|
CNS|AKL,|AKL|CAN|HKG|GUM|CNS|
CNS|HKG,|HKG|GUM|CNS|
CNS|HND,|HND|HNL|GUM|CNS|
CNS|HNL,|HNL|GUM|CNS|
CNS|MEX,|MEX|LAX|HNL|GUM|CNS|
CNS|OGG,|OGG|HNL|GUM|CNS|
CNS|PDX,|PDX|SEA|NRT|GUM|CNS|
CNS|PEK,|PEK|ICN|FUK|GUM|CNS|
CNS|PVG,|PVG|NGO|GUM|CNS|
CNS|PVR,|PVR|LAX|HNL|GUM|CNS|
CNS|SEA,|SEA|NRT|GUM|CNS|
CNS|SYD,|SYD|CAN|HKG|GUM|CNS|
CNS|YBL,|YBL|YVR|NRT|GUM|CNS|
CNS|YCD,|YCD|YVR|NRT|GUM|CNS|
CNS|YCG,|YCG|YVR|NRT|GUM|CNS|
CNS|YKA,|YKA|YVR|NRT|GUM|CNS|
CNS|YPR,|YPR|YVR|NRT|GUM|CNS|
CNS|YQZ,|YQZ|YVR|NRT|GUM|CNS|
CNS|YXC,|YXC|YVR|NRT|GUM|CNS|
CNS|YXJ,|YXJ|YVR|NRT|GUM|CNS|
CNS|YXS,|YXS|YVR|NRT|GUM|CNS|
CNS|YXT,|YXT|YVR|NRT|GUM|CNS|
CNS|YXY,|YXY|YVR|NRT|GUM|CNS|
CNS|YYD,|YYD|YVR|NRT|GUM|CNS|
CNS|YYF,|YYF|YVR|NRT|GUM|CNS|
CNS|YZP,|YZP|YVR|NRT|GUM|CNS|
CNS|YQT,|YQT|YWG|YYC|NRT|GUM|CNS|
CNS|SJD,|SJD|LAX|HNL|GUM|CNS|
CNS|YQF,|YQF|YYC|NRT|GUM|CNS|
CNS|YQL,|YQL|YYC|NRT|GUM|CNS|
CNS|YXH,|YXH|YYC|NRT|GUM|CNS|
CNS|YWK,|YWK|YZV|YQB|YYZ|NRT|GUM|CNS|
CNS|ANU,|ANU|EWR|NRT|GUM|CNS|
CNS|AUA,|AUA|ATL|LAX|HNL|GUM|CNS|
CNS|AUH,|AUH|IST|ICN|FUK|GUM|CNS|
CNS|BCN,|BCN|IST|ICN|FUK|GUM|CNS|
CNS|BDA,|BDA|EWR|NRT|GUM|CNS|
CNS|BGI,|BGI|YYZ|NRT|GUM|CNS|
CNS|BNA,|BNA|LAX|HNL|GUM|CNS|
CNS|BOG,|BOG|IAH|HNL|GUM|CNS|
CNS|BWI,|BWI|YYZ|NRT|GUM|CNS|
CNS|CLE,|CLE|ORD|NRT|GUM|CNS|
CNS|CLT,|CLT|ORD|NRT|GUM|CNS|
CNS|CMH,|CMH|ORD|NRT|GUM|CNS|
CNS|CVG,|CVG|ORD|NRT|GUM|CNS|
CNS|DFW,|DFW|LAX|HNL|GUM|CNS|
CNS|DTW,|DTW|ORD|NRT|GUM|CNS|
CNS|DUB,|DUB|IST|ICN|FUK|GUM|CNS|
CNS|FCO,|FCO|IST|ICN|FUK|GUM|CNS|
CNS|GCM,|GCM|IAH|HNL|GUM|CNS|
CNS|GGT,|GGT|FLL|IAH|HNL|GUM|CNS|
CNS|GND,|GND|YYZ|NRT|GUM|CNS|
CNS|GRU,|GRU|IAH|HNL|GUM|CNS|
CNS|HAV,|HAV|YYZ|NRT|GUM|CNS|
CNS|IND,|IND|ORD|NRT|GUM|CNS|
