SYZ|PVR,|PVR|ORD|IST|SYZ|
SYZ|SEA,|SEA|FRA|IST|SYZ|
SYZ|SYD,|SYD|BKK|IST|SYZ|
SYZ|YBL,|YBL|YVR|MUC|IST|SYZ|
SYZ|YCD,|YCD|YVR|MUC|IST|SYZ|
SYZ|YCG,|YCG|YYC|FRA|IST|SYZ|
SYZ|YKA,|YKA|YYC|FRA|IST|SYZ|
SYZ|YPR,|YPR|YVR|MUC|IST|SYZ|
SYZ|YQZ,|YQZ|YVR|MUC|IST|SYZ|
SYZ|YXC,|YXC|YYC|FRA|IST|SYZ|
SYZ|YXJ,|YXJ|YYC|FRA|IST|SYZ|
SYZ|YXS,|YXS|YYC|FRA|IST|SYZ|
SYZ|YXT,|YXT|YVR|MUC|IST|SYZ|
SYZ|YXY,|YXY|YVR|MUC|IST|SYZ|
SYZ|YYD,|YYD|YVR|MUC|IST|SYZ|
SYZ|YYF,|YYF|YVR|MUC|IST|SYZ|
SYZ|YZP,|YZP|YVR|MUC|IST|SYZ|
SYZ|YQT,|YQT|YYZ|IST|SYZ|
SYZ|SJD,|SJD|ORD|IST|SYZ|
SYZ|YQF,|YQF|YYC|FRA|IST|SYZ|
SYZ|YQL,|YQL|YYC|FRA|IST|SYZ|
SYZ|YXH,|YXH|YYC|FRA|IST|SYZ|
SYZ|YWK,|YWK|YYR|YYT|LHR|IST|SYZ|
SYZ|ANU,|ANU|EWR|BHX|IST|SYZ|
SYZ|AUA,|AUA|EWR|BHX|IST|SYZ|
SYZ|AUH,|AUH|IST|SYZ|
SYZ|BCN,|BCN|IST|SYZ|
SYZ|BDA,|BDA|EWR|BHX|IST|SYZ|
SYZ|BGI,|BGI|YYZ|IST|SYZ|
SYZ|BNA,|BNA|YYZ|IST|SYZ|
SYZ|BOG,|BOG|MIA|ZRH|IST|SYZ|
SYZ|BWI,|BWI|EWR|BHX|IST|SYZ|
SYZ|CLE,|CLE|YYZ|IST|SYZ|
SYZ|CLT,|CLT|EWR|BHX|IST|SYZ|
SYZ|CMH,|CMH|YYZ|IST|SYZ|
SYZ|CVG,|CVG|YYZ|IST|SYZ|
SYZ|DFW,|DFW|ORD|IST|SYZ|
SYZ|DTW,|DTW|FRA|IST|SYZ|
SYZ|DUB,|DUB|IST|SYZ|
SYZ|FCO,|FCO|IST|SYZ|
SYZ|GCM,|GCM|EWR|BHX|IST|SYZ|
SYZ|GGT,|GGT|FLL|MCO|FRA|IST|SYZ|
SYZ|GND,|GND|YYZ|IST|SYZ|
SYZ|GRU,|GRU|IST|SYZ|
SYZ|HAV,|HAV|YYZ|IST|SYZ|
SYZ|IND,|IND|YYZ|IST|SYZ|
SYZ|JFK,|JFK|IST|SYZ|
SYZ|KIN,|KIN|YYZ|IST|SYZ|
SYZ|LIM,|LIM|MIA|ZRH|IST|SYZ|
SYZ|LIR,|LIR|EWR|BHX|IST|SYZ|
SYZ|MCI,|MCI|ORD|IST|SYZ|
SYZ|MDT,|MDT|IAD|IST|SYZ|
SYZ|MIA,|MIA|ZRH|IST|SYZ|
SYZ|MKE,|MKE|YYZ|IST|SYZ|
SYZ|MSP,|MSP|YUL|FRA|IST|SYZ|
SYZ|NAS,|NAS|EWR|BHX|IST|SYZ|
SYZ|PHL,|PHL|IAD|IST|SYZ|
SYZ|PHX,|PHX|DEN|FRA|IST|SYZ|
SYZ|PIT,|PIT|YYZ|IST|SYZ|
SYZ|PLS,|PLS|EWR|BHX|IST|SYZ|
SYZ|POP,|POP|EWR|BHX|IST|SYZ|
SYZ|RDU,|RDU|EWR|BHX|IST|SYZ|
SYZ|ROC,|ROC|YYZ|IST|SYZ|
SYZ|RSW,|RSW|MCO|FRA|IST|SYZ|
SYZ|SAN,|SAN|LAX|IST|SYZ|
SYZ|SJO,|SJO|EWR|BHX|IST|SYZ|
SYZ|STL,|STL|ORD|IST|SYZ|
SYZ|SYR,|SYR|EWR|BHX|IST|SYZ|
SYZ|TLV,|TLV|IST|SYZ|
SYZ|TPA,|TPA|EWR|BHX|IST|SYZ|
SYZ|UVF,|UVF|EWR|BHX|IST|SYZ|
SYZ|VIE,|VIE|IST|SYZ|
SYZ|YAM,|YAM|YYZ|IST|SYZ|
SYZ|YGK,|YGK|YYZ|IST|SYZ|
SYZ|YQG,|YQG|YYZ|IST|SYZ|
SYZ|YSB,|YSB|YYZ|IST|SYZ|
SYZ|YTS,|YTS|YYZ|IST|SYZ|
SYZ|YYB,|YYB|YYZ|IST|SYZ|
SYZ|YZR,|YZR|YYZ|IST|SYZ|
SYZ|CAN,|CAN|IST|SYZ|
SYZ|URC,|URC|IST|SYZ|
SYZ|CTU,|CTU|URC|IST|SYZ|
SYZ|HGH,|HGH|URC|IST|SYZ|
SYZ|XMN,|XMN|CSX|URC|IST|SYZ|
SYZ|CGO,|CGO|URC|IST|SYZ|
SYZ|CSX,|CSX|URC|IST|SYZ|
SYZ|SHE,|SHE|PEK|IST|SYZ|
SYZ|SJW,|SJW|URC|IST|SYZ|
SYZ|WUH,|WUH|URC|IST|SYZ|
SYZ|SZX,|SZX|CKG|URC|IST|SYZ|
SYZ|CKG,|CKG|URC|IST|SYZ|
SYZ|KMG,|KMG|CTU|URC|IST|SYZ|
SYZ|FOC,|FOC|XIY|URC|IST|SYZ|
SYZ|NNG,|NNG|KWE|URC|IST|SYZ|
SYZ|SWA,|SWA|CAN|IST|SYZ|
SYZ|ACX,|ACX|CAN|IST|SYZ|
SYZ|AQG,|AQG|CAN|IST|SYZ|
SYZ|AVA,|AVA|CAN|IST|SYZ|
SYZ|BFJ,|BFJ|CAN|IST|SYZ|
SYZ|BHY,|BHY|CKG|URC|IST|SYZ|
SYZ|BNE,|BNE|BKK|IST|SYZ|
SYZ|CGD,|CGD|PEK|IST|SYZ|
SYZ|CGK,|CGK|SIN|IST|SYZ|
SYZ|CGQ,|CGQ|HET|URC|IST|SYZ|
SYZ|CIH,|CIH|PEK|IST|SYZ|
SYZ|CNX,|CNX|CAN|IST|SYZ|
SYZ|CZX,|CZX|TYN|URC|IST|SYZ|
SYZ|DAC,|DAC|IST|SYZ|
SYZ|DAD,|DAD|CAN|IST|SYZ|
SYZ|DEL,|DEL|IST|SYZ|
SYZ|DIG,|DIG|KMG|CTU|URC|IST|SYZ|
