SGF|YYD,|YYD|YVR|DEN|SGF|
SGF|YYF,|YYF|YVR|DEN|SGF|
SGF|YZP,|YZP|YVR|DEN|SGF|
SGF|YQT,|YQT|YYZ|ORD|SGF|
SGF|SJD,|SJD|DEN|SGF|
SGF|YQF,|YQF|YYC|DEN|SGF|
SGF|YQL,|YQL|YYC|DEN|SGF|
SGF|YXH,|YXH|YYC|DEN|SGF|
SGF|YWK,|YWK|YZV|YQB|ORD|SGF|
SGF|ANU,|ANU|EWR|ORD|SGF|
SGF|AUA,|AUA|ATL|ORD|SGF|
SGF|AUH,|AUH|YYZ|ORD|SGF|
SGF|BCN,|BCN|YYZ|ORD|SGF|
SGF|BDA,|BDA|EWR|ORD|SGF|
SGF|BGI,|BGI|YYZ|ORD|SGF|
SGF|BNA,|BNA|ORD|SGF|
SGF|BOG,|BOG|MIA|ORD|SGF|
SGF|BWI,|BWI|ORD|SGF|
SGF|CLE,|CLE|ORD|SGF|
SGF|CLT,|CLT|ORD|SGF|
SGF|CMH,|CMH|ORD|SGF|
SGF|CVG,|CVG|ORD|SGF|
SGF|DFW,|DFW|ORD|SGF|
SGF|DTW,|DTW|ORD|SGF|
SGF|DUB,|DUB|ORD|SGF|
SGF|FCO,|FCO|YYZ|ORD|SGF|
SGF|GCM,|GCM|IAD|ORD|SGF|
SGF|GGT,|GGT|FLL|ORD|SGF|
SGF|GND,|GND|YYZ|ORD|SGF|
SGF|GRU,|GRU|ORD|SGF|
SGF|HAV,|HAV|YYZ|ORD|SGF|
SGF|IND,|IND|ORD|SGF|
SGF|JFK,|JFK|YYZ|ORD|SGF|
SGF|KIN,|KIN|YYZ|ORD|SGF|
SGF|LIM,|LIM|MIA|ORD|SGF|
SGF|LIR,|LIR|IAH|ORD|SGF|
SGF|MCI,|MCI|ORD|SGF|
SGF|MDT,|MDT|ORD|SGF|
SGF|MIA,|MIA|ORD|SGF|
SGF|MKE,|MKE|ORD|SGF|
SGF|MSP,|MSP|ORD|SGF|
SGF|NAS,|NAS|ORD|SGF|
SGF|PHL,|PHL|ORD|SGF|
SGF|PHX,|PHX|DEN|SGF|
SGF|PIT,|PIT|ORD|SGF|
SGF|PLS,|PLS|YYZ|ORD|SGF|
SGF|POP,|POP|YYZ|ORD|SGF|
SGF|RDU,|RDU|ORD|SGF|
SGF|ROC,|ROC|ORD|SGF|
SGF|RSW,|RSW|ORD|SGF|
SGF|SAN,|SAN|DEN|SGF|
SGF|SJO,|SJO|ORD|SGF|
SGF|STL,|STL|ORD|SGF|
SGF|SYR,|SYR|ORD|SGF|
SGF|TLV,|TLV|IST|ORD|SGF|
SGF|TPA,|TPA|ORD|SGF|
SGF|UVF,|UVF|EWR|ORD|SGF|
SGF|VIE,|VIE|ORD|SGF|
SGF|YAM,|YAM|YYZ|ORD|SGF|
SGF|YGK,|YGK|YYZ|ORD|SGF|
SGF|YQG,|YQG|YYZ|ORD|SGF|
SGF|YSB,|YSB|YYZ|ORD|SGF|
SGF|YTS,|YTS|YYZ|ORD|SGF|
SGF|YYB,|YYB|YYZ|ORD|SGF|
SGF|YZR,|YZR|YYZ|ORD|SGF|
SGF|CAN,|CAN|YVR|DEN|SGF|
SGF|URC,|URC|TSE|FRA|ORD|SGF|
SGF|CTU,|CTU|PEK|ORD|SGF|
SGF|HGH,|HGH|PEK|ORD|SGF|
SGF|XMN,|XMN|PEK|ORD|SGF|
SGF|CGO,|CGO|PEK|ORD|SGF|
SGF|CSX,|CSX|ICN|YVR|DEN|SGF|
SGF|SHE,|SHE|ICN|YVR|DEN|SGF|
SGF|SJW,|SJW|DLC|ICN|YVR|DEN|SGF|
SGF|WUH,|WUH|PEK|ORD|SGF|
SGF|SZX,|SZX|PVG|YVR|DEN|SGF|
SGF|CKG,|CKG|PEK|ORD|SGF|
SGF|KMG,|KMG|PEK|ORD|SGF|
SGF|FOC,|FOC|PEK|ORD|SGF|
SGF|NNG,|NNG|PEK|ORD|SGF|
SGF|SWA,|SWA|PEK|ORD|SGF|
SGF|ACX,|ACX|CAN|YVR|DEN|SGF|
SGF|AQG,|AQG|CAN|YVR|DEN|SGF|
SGF|AVA,|AVA|CAN|YVR|DEN|SGF|
SGF|BFJ,|BFJ|CAN|YVR|DEN|SGF|
SGF|BHY,|BHY|CGO|PEK|ORD|SGF|
SGF|BNE,|BNE|CAN|YVR|DEN|SGF|
SGF|CGD,|CGD|PEK|ORD|SGF|
SGF|CGK,|CGK|CAN|YVR|DEN|SGF|
SGF|CGQ,|CGQ|ICN|YVR|DEN|SGF|
SGF|CIH,|CIH|PEK|ORD|SGF|
SGF|CNX,|CNX|CAN|YVR|DEN|SGF|
SGF|CZX,|CZX|SHE|ICN|YVR|DEN|SGF|
SGF|DAC,|DAC|CAN|YVR|DEN|SGF|
SGF|DAD,|DAD|CAN|YVR|DEN|SGF|
SGF|DEL,|DEL|EWR|ORD|SGF|
SGF|DIG,|DIG|KMG|PEK|ORD|SGF|
SGF|DLC,|DLC|ICN|YVR|DEN|SGF|
SGF|DPS,|DPS|SZX|PVG|YVR|DEN|SGF|
