PRG|YXS,|YXS|YYC|YUL|BRU|PRG|
PRG|YXT,|YXT|YVR|YUL|BRU|PRG|
PRG|YXY,|YXY|YVR|YUL|BRU|PRG|
PRG|YYD,|YYD|YVR|YUL|BRU|PRG|
PRG|YYF,|YYF|YVR|YUL|BRU|PRG|
PRG|YZP,|YZP|YVR|YUL|BRU|PRG|
PRG|YQT,|YQT|YYZ|BRU|PRG|
PRG|SJD,|SJD|ORD|BRU|PRG|
PRG|YQF,|YQF|YYC|YUL|BRU|PRG|
PRG|YQL,|YQL|YYC|YUL|BRU|PRG|
PRG|YXH,|YXH|YYC|YUL|BRU|PRG|
PRG|YWK,|YWK|YZV|YUL|BRU|PRG|
PRG|ANU,|ANU|EWR|BRU|PRG|
PRG|AUA,|AUA|EWR|BRU|PRG|
PRG|AUH,|AUH|IST|PRG|
PRG|BCN,|BCN|IST|PRG|
PRG|BDA,|BDA|EWR|BRU|PRG|
PRG|BGI,|BGI|YYZ|BRU|PRG|
PRG|BNA,|BNA|YYZ|BRU|PRG|
PRG|BOG,|BOG|JFK|BRU|PRG|
PRG|BWI,|BWI|EWR|BRU|PRG|
PRG|CLE,|CLE|YYZ|BRU|PRG|
PRG|CLT,|CLT|EWR|BRU|PRG|
PRG|CMH,|CMH|YYZ|BRU|PRG|
PRG|CVG,|CVG|YYZ|BRU|PRG|
PRG|DFW,|DFW|ORD|BRU|PRG|
PRG|DTW,|DTW|YYZ|BRU|PRG|
PRG|DUB,|DUB|IST|PRG|
PRG|FCO,|FCO|IST|PRG|
PRG|GCM,|GCM|EWR|BRU|PRG|
PRG|GGT,|GGT|FLL|EWR|BRU|PRG|
PRG|GND,|GND|YYZ|BRU|PRG|
PRG|GRU,|GRU|IST|PRG|
PRG|HAV,|HAV|YYZ|BRU|PRG|
PRG|IND,|IND|YYZ|BRU|PRG|
PRG|JFK,|JFK|BRU|PRG|
PRG|KIN,|KIN|YYZ|BRU|PRG|
