YBC|YQT,|YQT|YYZ|YUL|YBC|
YBC|SJD,|SJD|ORD|YUL|YBC|
YBC|YQF,|YQF|YYC|YUL|YBC|
YBC|YQL,|YQL|YYC|YUL|YBC|
YBC|YXH,|YXH|YYC|YUL|YBC|
YBC|YWK,|YWK|YZV|YUL|YBC|
YBC|ANU,|ANU|EWR|YUL|YBC|
YBC|AUA,|AUA|EWR|YUL|YBC|
YBC|AUH,|AUH|FRA|YUL|YBC|
YBC|BCN,|BCN|EWR|YUL|YBC|
YBC|BDA,|BDA|EWR|YUL|YBC|
YBC|BGI,|BGI|YYZ|YUL|YBC|
YBC|BNA,|BNA|YYZ|YUL|YBC|
YBC|BOG,|BOG|JFK|YUL|YBC|
YBC|BWI,|BWI|EWR|YUL|YBC|
YBC|CLE,|CLE|YYZ|YUL|YBC|
YBC|CLT,|CLT|IAD|YUL|YBC|
YBC|CMH,|CMH|YYZ|YUL|YBC|
YBC|CVG,|CVG|YYZ|YUL|YBC|
YBC|DFW,|DFW|YUL|YBC|
YBC|DTW,|DTW|YYZ|YUL|YBC|
YBC|DUB,|DUB|BOS|YUL|YBC|
YBC|FCO,|FCO|EWR|YUL|YBC|
YBC|GCM,|GCM|IAD|YUL|YBC|
YBC|GGT,|GGT|FLL|YUL|YBC|
YBC|GND,|GND|YYZ|YUL|YBC|
YBC|GRU,|GRU|EWR|YUL|YBC|
YBC|HAV,|HAV|YYZ|YUL|YBC|
YBC|IND,|IND|YYZ|YUL|YBC|
YBC|JFK,|JFK|YUL|YBC|
YBC|KIN,|KIN|YYZ|YUL|YBC|
YBC|LIM,|LIM|EWR|YUL|YBC|
YBC|LIR,|LIR|EWR|YUL|YBC|
YBC|MCI,|MCI|ORD|YUL|YBC|
YBC|MDT,|MDT|IAD|YUL|YBC|
YBC|MIA,|MIA|YUL|YBC|
YBC|MKE,|MKE|YYZ|YUL|YBC|
YBC|MSP,|MSP|YUL|YBC|
YBC|NAS,|NAS|EWR|YUL|YBC|
YBC|PHL,|PHL|IAD|YUL|YBC|
YBC|PHX,|PHX|ORD|YUL|YBC|
YBC|PIT,|PIT|YYZ|YUL|YBC|
YBC|PLS,|PLS|EWR|YUL|YBC|
YBC|POP,|POP|EWR|YUL|YBC|
YBC|RDU,|RDU|IAD|YUL|YBC|
YBC|ROC,|ROC|YYZ|YUL|YBC|
YBC|RSW,|RSW|DCA|YUL|YBC|
YBC|SAN,|SAN|DEN|YUL|YBC|
YBC|SJO,|SJO|IAD|YUL|YBC|
YBC|STL,|STL|YYZ|YUL|YBC|
YBC|SYR,|SYR|YYZ|YUL|YBC|
YBC|TLV,|TLV|IST|FRA|YUL|YBC|
YBC|TPA,|TPA|IAD|YUL|YBC|
YBC|UVF,|UVF|EWR|YUL|YBC|
YBC|VIE,|VIE|JFK|YUL|YBC|
YBC|YAM,|YAM|YYZ|YUL|YBC|
YBC|YGK,|YGK|YYZ|YUL|YBC|
YBC|YQG,|YQG|YYZ|YUL|YBC|
YBC|YSB,|YSB|YYZ|YUL|YBC|
YBC|YTS,|YTS|YYZ|YUL|YBC|
YBC|YYB,|YYB|YYZ|YUL|YBC|
YBC|YZR,|YZR|YYZ|YUL|YBC|
YBC|CAN,|CAN|PEK|YYZ|YUL|YBC|
YBC|URC,|URC|TSE|FRA|YUL|YBC|
YBC|CTU,|CTU|PEK|YYZ|YUL|YBC|
YBC|HGH,|HGH|PEK|YYZ|YUL|YBC|
YBC|XMN,|XMN|PEK|YYZ|YUL|YBC|
YBC|CGO,|CGO|PEK|YYZ|YUL|YBC|
YBC|CSX,|CSX|PEK|YYZ|YUL|YBC|
YBC|SHE,|SHE|PEK|YYZ|YUL|YBC|
YBC|SJW,|SJW|DLC|PEK|YYZ|YUL|YBC|
YBC|WUH,|WUH|PEK|YYZ|YUL|YBC|
YBC|SZX,|SZX|PEK|YYZ|YUL|YBC|
YBC|CKG,|CKG|PEK|YYZ|YUL|YBC|
YBC|KMG,|KMG|PEK|YYZ|YUL|YBC|
YBC|FOC,|FOC|PEK|YYZ|YUL|YBC|
YBC|NNG,|NNG|PEK|YYZ|YUL|YBC|
YBC|SWA,|SWA|PEK|YYZ|YUL|YBC|
YBC|ACX,|ACX|CAN|PEK|YYZ|YUL|YBC|
YBC|AQG,|AQG|CAN|PEK|YYZ|YUL|YBC|
YBC|AVA,|AVA|CAN|PEK|YYZ|YUL|YBC|
YBC|BFJ,|BFJ|CAN|PEK|YYZ|YUL|YBC|
YBC|BHY,|BHY|CGO|PEK|YYZ|YUL|YBC|
YBC|BNE,|BNE|CAN|PEK|YYZ|YUL|YBC|
YBC|CGD,|CGD|PEK|YYZ|YUL|YBC|
YBC|CGK,|CGK|CAN|PEK|YYZ|YUL|YBC|
YBC|CGQ,|CGQ|PEK|YYZ|YUL|YBC|
YBC|CIH,|CIH|PEK|YYZ|YUL|YBC|
YBC|CNX,|CNX|CAN|PEK|YYZ|YUL|YBC|
YBC|CZX,|CZX|SHE|PEK|YYZ|YUL|YBC|
YBC|DAC,|DAC|IST|FRA|YUL|YBC|
YBC|DAD,|DAD|CAN|PEK|YYZ|YUL|YBC|
YBC|DEL,|DEL|IST|FRA|YUL|YBC|
YBC|DIG,|DIG|KMG|PEK|YYZ|YUL|YBC|
YBC|DLC,|DLC|PEK|YYZ|YUL|YBC|
YBC|DPS,|DPS|SZX|PEK|YYZ|YUL|YBC|
YBC|DXB,|DXB|IST|FRA|YUL|YBC|
YBC|DYG,|DYG|PEK|YYZ|YUL|YBC|
YBC|FUG,|FUG|CAN|PEK|YYZ|YUL|YBC|
YBC|FUK,|FUK|ICN|JFK|YUL|YBC|
YBC|HAK,|HAK|PEK|YYZ|YUL|YBC|
YBC|HAN,|HAN|PEK|YYZ|YUL|YBC|
YBC|HDG,|HDG|CAN|PEK|YYZ|YUL|YBC|
YBC|HET,|HET|DLC|PEK|YYZ|YUL|YBC|
YBC|HFE,|HFE|XIY|PEK|YYZ|YUL|YBC|
YBC|HJJ,|HJJ|CSX|PEK|YYZ|YUL|YBC|
YBC|HKT,|HKT|KWE|PEK|YYZ|YUL|YBC|
YBC|HRB,|HRB|PEK|YYZ|YUL|YBC|
YBC|HZH,|HZH|CAN|PEK|YYZ|YUL|YBC|
YBC|JIU,|JIU|CAN|PEK|YYZ|YUL|YBC|
YBC|JJN,|JJN|PEK|YYZ|YUL|YBC|
YBC|JNG,|JNG|CAN|PEK|YYZ|YUL|YBC|
YBC|KHN,|KHN|DLC|PEK|YYZ|YUL|YBC|
YBC|KIX,|KIX|SFO|YUL|YBC|
YBC|KOW,|KOW|PEK|YYZ|YUL|YBC|
YBC|KTM,|KTM|IST|FRA|YUL|YBC|
YBC|KUL,|KUL|CAN|PEK|YYZ|YUL|YBC|
YBC|KWE,|KWE|PEK|YYZ|YUL|YBC|
YBC|KWL,|KWL|PEK|YYZ|YUL|YBC|
YBC|LHW,|LHW|CGO|PEK|YYZ|YUL|YBC|
YBC|LYA,|LYA|KHN|DLC|PEK|YYZ|YUL|YBC|
YBC|LYG,|LYG|HSN|PEK|YYZ|YUL|YBC|
YBC|LZH,|LZH|CAN|PEK|YYZ|YUL|YBC|
YBC|MEL,|MEL|SYD|SFO|YUL|YBC|
YBC|MIG,|MIG|CSX|PEK|YYZ|YUL|YBC|
YBC|MLE,|MLE|IST|FRA|YUL|YBC|
YBC|MNL,|MNL|XMN|PEK|YYZ|YUL|YBC|
YBC|MXZ,|MXZ|CAN|PEK|YYZ|YUL|YBC|
YBC|NAO,|NAO|PEK|YYZ|YUL|YBC|
YBC|NGB,|NGB|PEK|YYZ|YUL|YBC|
YBC|NKG,|NKG|DLC|PEK|YYZ|YUL|YBC|
YBC|NNY,|NNY|CGO|PEK|YYZ|YUL|YBC|
YBC|PEN,|PEN|CAN|PEK|YYZ|YUL|YBC|
YBC|PER,|PER|CAN|PEK|YYZ|YUL|YBC|
YBC|PNH,|PNH|CAN|PEK|YYZ|YUL|YBC|
YBC|REP,|REP|CAN|PEK|YYZ|YUL|YBC|
YBC|RGN,|RGN|CAN|PEK|YYZ|YUL|YBC|
YBC|SGN,|SGN|CAN|PEK|YYZ|YUL|YBC|
YBC|SHA,|SHA|PEK|YYZ|YUL|YBC|
YBC|SIN,|SIN|CAN|PEK|YYZ|YUL|YBC|
YBC|SVO,|SVO|URC|TSE|FRA|YUL|YBC|
YBC|SYX,|SYX|PEK|YYZ|YUL|YBC|
YBC|TAO,|TAO|DLC|PEK|YYZ|YUL|YBC|
YBC|TEN,|TEN|PEK|YYZ|YUL|YBC|
YBC|TNA,|TNA|DLC|PEK|YYZ|YUL|YBC|
YBC|TPE,|TPE|PVG|YYZ|YUL|YBC|
YBC|TSN,|TSN|DLC|PEK|YYZ|YUL|YBC|
YBC|TXN,|TXN|DLC|PEK|YYZ|YUL|YBC|
YBC|TYN,|TYN|DAT|CIH|PEK|YYZ|YUL|YBC|
YBC|WNZ,|WNZ|CGO|PEK|YYZ|YUL|YBC|
YBC|WUX,|WUX|CAN|PEK|YYZ|YUL|YBC|
YBC|XFN,|XFN|XMN|PEK|YYZ|YUL|YBC|
YBC|XIY,|XIY|PEK|YYZ|YUL|YBC|
YBC|XUZ,|XUZ|LYG|HSN|PEK|YYZ|YUL|YBC|
YBC|YIH,|YIH|CKG|PEK|YYZ|YUL|YBC|
YBC|YIW,|YIW|PEK|YYZ|YUL|YBC|
YBC|YNT,|YNT|SHE|PEK|YYZ|YUL|YBC|
YBC|YNZ,|YNZ|DLC|PEK|YYZ|YUL|YBC|
