BHY|SCL,|SCL|YYZ|PEK|CGO|BHY|
BHY|LCA,|LCA|FRA|TSE|URC|CKG|BHY|
BHY|NAP,|NAP|IST|URC|CKG|BHY|
BHY|VLC,|VLC|FRA|TSE|URC|CKG|BHY|
BHY|BKK,|BKK|CAN|BHY|
BHY|ADD,|ADD|IST|URC|CKG|BHY|
BHY|FRA,|FRA|TSE|URC|CKG|BHY|
BHY|IST,|IST|URC|CKG|BHY|
BHY|EBB,|EBB|KGL|IST|URC|CKG|BHY|
BHY|YLW,|YLW|YVR|ICN|CSX|BHY|
BHY|YYT,|YYT|LHR|CAN|BHY|
BHY|GUA,|GUA|IAH|PEK|CGO|BHY|
BHY|EWR,|EWR|PEK|CGO|BHY|
BHY|IAD,|IAD|PEK|CGO|BHY|
BHY|IAH,|IAH|PEK|CGO|BHY|
BHY|ORD,|ORD|PEK|CGO|BHY|
BHY|SOF,|SOF|IST|URC|CKG|BHY|
BHY|YQB,|YQB|YYZ|PEK|CGO|BHY|
BHY|YXU,|YXU|YYZ|PEK|CGO|BHY|
BHY|EZE,|EZE|GRU|IST|URC|CKG|BHY|
BHY|YYJ,|YYJ|YVR|ICN|CSX|BHY|
BHY|YYY,|YYY|YUL|YYZ|PEK|CGO|BHY|
BHY|YQQ,|YQQ|YBL|YVR|ICN|CSX|BHY|
BHY|YYR,|YYR|YYT|LHR|CAN|BHY|
BHY|LHR,|LHR|CAN|BHY|
BHY|SFO,|SFO|ICN|CSX|BHY|
BHY|YQU,|YQU|YEG|YVR|ICN|CSX|BHY|
BHY|YZF,|YZF|YEG|YVR|ICN|CSX|BHY|
BHY|YGR,|YGR|YGP|YQB|YYZ|PEK|CGO|BHY|
BHY|YGP,|YGP|YQB|YYZ|PEK|CGO|BHY|
BHY|BOS,|BOS|YYZ|PEK|CGO|BHY|
BHY|YDF,|YDF|YYT|LHR|CAN|BHY|
BHY|YFC,|YFC|YYZ|PEK|CGO|BHY|
BHY|YQM,|YQM|YYZ|PEK|CGO|BHY|
BHY|YQX,|YQX|YYT|LHR|CAN|BHY|
BHY|YQY,|YQY|YYZ|PEK|CGO|BHY|
BHY|YSJ,|YSJ|YYZ|PEK|CGO|BHY|
BHY|YYG,|YYG|YYZ|PEK|CGO|BHY|
BHY|LAX,|LAX|ICN|CSX|BHY|
BHY|DCA,|DCA|YYZ|PEK|CGO|BHY|
BHY|LGA,|LGA|YYZ|PEK|CGO|BHY|
BHY|YZV,|YZV|YQB|YYZ|PEK|CGO|BHY|
BHY|YWL,|YWL|YVR|ICN|CSX|BHY|
BHY|AZS,|AZS|YYZ|PEK|CGO|BHY|
BHY|BDL,|BDL|YYZ|PEK|CGO|BHY|
BHY|CCC,|CCC|YYZ|PEK|CGO|BHY|
BHY|CDG,|CDG|CAN|BHY|
BHY|CUN,|CUN|IAH|PEK|CGO|BHY|
BHY|CZM,|CZM|IAH|PEK|CGO|BHY|
BHY|FDF,|FDF|YUL|YYZ|PEK|CGO|BHY|
BHY|FLL,|FLL|ORD|PEK|CGO|BHY|
BHY|GVA,|GVA|IST|URC|CKG|BHY|
BHY|HOG,|HOG|YYZ|PEK|CGO|BHY|
BHY|LAS,|LAS|SFO|ICN|CSX|BHY|
BHY|MBJ,|MBJ|ATL|ORD|PEK|CGO|BHY|
BHY|MCO,|MCO|ORD|PEK|CGO|BHY|
BHY|MUC,|MUC|IST|URC|CKG|BHY|
BHY|PAP,|PAP|YUL|YYZ|PEK|CGO|BHY|
BHY|PTP,|PTP|YUL|YYZ|PEK|CGO|BHY|
BHY|PUJ,|PUJ|EWR|PEK|CGO|BHY|
BHY|SNU,|SNU|YYZ|PEK|CGO|BHY|
BHY|VRA,|VRA|YYZ|PEK|CGO|BHY|
BHY|YBC,|YBC|YUL|YYZ|PEK|CGO|BHY|
BHY|YBG,|YBG|YUL|YYZ|PEK|CGO|BHY|
BHY|YTZ,|YTZ|YUL|YYZ|PEK|CGO|BHY|
BHY|YUY,|YUY|YUL|YYZ|PEK|CGO|BHY|
BHY|YVO,|YVO|YUL|YYZ|PEK|CGO|BHY|
BHY|ZBF,|ZBF|YUL|YYZ|PEK|CGO|BHY|
BHY|ZRH,|ZRH|IST|URC|CKG|BHY|
BHY|ZSA,|ZSA|YUL|YYZ|PEK|CGO|BHY|
BHY|AKL,|AKL|CAN|BHY|
BHY|HKG,|HKG|CAN|BHY|
BHY|HND,|HND|HNL|NRT|CAN|BHY|
BHY|HNL,|HNL|NRT|CAN|BHY|
