COO|SEA,|SEA|YYZ|BRU|ABJ|COO|
COO|SYD,|SYD|BKK|IST|ABJ|COO|
COO|YBL,|YBL|YVR|YUL|BRU|ABJ|COO|
COO|YCD,|YCD|YVR|YUL|BRU|ABJ|COO|
COO|YCG,|YCG|YYC|YUL|BRU|ABJ|COO|
COO|YKA,|YKA|YYC|YUL|BRU|ABJ|COO|
COO|YPR,|YPR|YVR|YUL|BRU|ABJ|COO|
COO|YQZ,|YQZ|YVR|YUL|BRU|ABJ|COO|
COO|YXC,|YXC|YYC|YUL|BRU|ABJ|COO|
COO|YXJ,|YXJ|YYC|YUL|BRU|ABJ|COO|
COO|YXS,|YXS|YYC|YUL|BRU|ABJ|COO|
COO|YXT,|YXT|YVR|YUL|BRU|ABJ|COO|
COO|YXY,|YXY|YVR|YUL|BRU|ABJ|COO|
COO|YYD,|YYD|YVR|YUL|BRU|ABJ|COO|
COO|YYF,|YYF|YVR|YUL|BRU|ABJ|COO|
COO|YZP,|YZP|YVR|YUL|BRU|ABJ|COO|
COO|YQT,|YQT|YYZ|BRU|ABJ|COO|
COO|SJD,|SJD|ORD|BRU|ABJ|COO|
COO|YQF,|YQF|YYC|YUL|BRU|ABJ|COO|
COO|YQL,|YQL|YYC|YUL|BRU|ABJ|COO|
COO|YXH,|YXH|YYC|YUL|BRU|ABJ|COO|
COO|YWK,|YWK|YZV|YUL|BRU|ABJ|COO|
COO|ANU,|ANU|EWR|BRU|ABJ|COO|
COO|AUA,|AUA|EWR|BRU|ABJ|COO|
COO|AUH,|AUH|IST|ABJ|COO|
COO|BCN,|BCN|IST|ABJ|COO|
COO|BDA,|BDA|EWR|BRU|ABJ|COO|
COO|BGI,|BGI|YYZ|BRU|ABJ|COO|
COO|BNA,|BNA|YYZ|BRU|ABJ|COO|
COO|BOG,|BOG|JFK|BRU|ABJ|COO|
COO|BWI,|BWI|EWR|BRU|ABJ|COO|
COO|CLE,|CLE|YYZ|BRU|ABJ|COO|
COO|CLT,|CLT|EWR|BRU|ABJ|COO|
COO|CMH,|CMH|YYZ|BRU|ABJ|COO|
COO|CVG,|CVG|YYZ|BRU|ABJ|COO|
COO|DFW,|DFW|ORD|BRU|ABJ|COO|
COO|DTW,|DTW|YYZ|BRU|ABJ|COO|
COO|DUB,|DUB|IST|ABJ|COO|
COO|FCO,|FCO|IST|ABJ|COO|
COO|GCM,|GCM|EWR|BRU|ABJ|COO|
COO|GGT,|GGT|FLL|EWR|BRU|ABJ|COO|
COO|GND,|GND|YYZ|BRU|ABJ|COO|
COO|GRU,|GRU|IST|ABJ|COO|
COO|HAV,|HAV|YYZ|BRU|ABJ|COO|
COO|IND,|IND|YYZ|BRU|ABJ|COO|
COO|JFK,|JFK|BRU|ABJ|COO|
COO|KIN,|KIN|YYZ|BRU|ABJ|COO|
COO|LIM,|LIM|EWR|BRU|ABJ|COO|
COO|LIR,|LIR|EWR|BRU|ABJ|COO|
COO|MCI,|MCI|ORD|BRU|ABJ|COO|
COO|MDT,|MDT|IAD|BRU|ABJ|COO|
COO|MIA,|MIA|EWR|BRU|ABJ|COO|
COO|MKE,|MKE|YYZ|BRU|ABJ|COO|
COO|MSP,|MSP|YUL|BRU|ABJ|COO|
COO|NAS,|NAS|EWR|BRU|ABJ|COO|
COO|PHL,|PHL|IAD|BRU|ABJ|COO|
COO|PHX,|PHX|ORD|BRU|ABJ|COO|
COO|PIT,|PIT|YYZ|BRU|ABJ|COO|
COO|PLS,|PLS|EWR|BRU|ABJ|COO|
COO|POP,|POP|EWR|BRU|ABJ|COO|
COO|RDU,|RDU|EWR|BRU|ABJ|COO|
COO|ROC,|ROC|YYZ|BRU|ABJ|COO|
COO|RSW,|RSW|EWR|BRU|ABJ|COO|
COO|SAN,|SAN|ORD|BRU|ABJ|COO|
COO|SJO,|SJO|EWR|BRU|ABJ|COO|
COO|STL,|STL|ORD|BRU|ABJ|COO|
COO|SYR,|SYR|EWR|BRU|ABJ|COO|
COO|TLV,|TLV|IST|ABJ|COO|
COO|TPA,|TPA|EWR|BRU|ABJ|COO|
COO|UVF,|UVF|EWR|BRU|ABJ|COO|
COO|VIE,|VIE|IST|ABJ|COO|
COO|YAM,|YAM|YYZ|BRU|ABJ|COO|
COO|YGK,|YGK|YYZ|BRU|ABJ|COO|
COO|YQG,|YQG|YYZ|BRU|ABJ|COO|
COO|YSB,|YSB|YYZ|BRU|ABJ|COO|
COO|YTS,|YTS|YYZ|BRU|ABJ|COO|
COO|YYB,|YYB|YYZ|BRU|ABJ|COO|
COO|YZR,|YZR|YYZ|BRU|ABJ|COO|
COO|CAN,|CAN|IST|ABJ|COO|
COO|URC,|URC|IST|ABJ|COO|
COO|CTU,|CTU|URC|IST|ABJ|COO|
COO|HGH,|HGH|URC|IST|ABJ|COO|
COO|XMN,|XMN|CSX|URC|IST|ABJ|COO|
COO|CGO,|CGO|URC|IST|ABJ|COO|
COO|CSX,|CSX|URC|IST|ABJ|COO|
COO|SHE,|SHE|PEK|IST|ABJ|COO|
COO|SJW,|SJW|URC|IST|ABJ|COO|
COO|WUH,|WUH|URC|IST|ABJ|COO|
COO|SZX,|SZX|CKG|URC|IST|ABJ|COO|
COO|CKG,|CKG|URC|IST|ABJ|COO|
COO|KMG,|KMG|CTU|URC|IST|ABJ|COO|
COO|FOC,|FOC|XIY|URC|IST|ABJ|COO|
COO|NNG,|NNG|KWE|URC|IST|ABJ|COO|
COO|SWA,|SWA|CAN|IST|ABJ|COO|
COO|ACX,|ACX|CAN|IST|ABJ|COO|
COO|AQG,|AQG|CAN|IST|ABJ|COO|
COO|AVA,|AVA|CAN|IST|ABJ|COO|
COO|BFJ,|BFJ|CAN|IST|ABJ|COO|
COO|BHY,|BHY|CKG|URC|IST|ABJ|COO|
COO|BNE,|BNE|BKK|IST|ABJ|COO|
COO|CGD,|CGD|PEK|IST|ABJ|COO|
COO|CGK,|CGK|SIN|IST|ABJ|COO|
COO|CGQ,|CGQ|HET|URC|IST|ABJ|COO|
COO|CIH,|CIH|PEK|IST|ABJ|COO|
COO|CNX,|CNX|CAN|IST|ABJ|COO|
COO|CZX,|CZX|TYN|URC|IST|ABJ|COO|
COO|DAC,|DAC|IST|ABJ|COO|
COO|DAD,|DAD|CAN|IST|ABJ|COO|
COO|DEL,|DEL|IST|ABJ|COO|
COO|DIG,|DIG|KMG|CTU|URC|IST|ABJ|COO|
COO|DLC,|DLC|PEK|IST|ABJ|COO|
COO|DPS,|DPS|CAN|IST|ABJ|COO|
COO|DXB,|DXB|IST|ABJ|COO|
COO|DYG,|DYG|CSX|URC|IST|ABJ|COO|
COO|FUG,|FUG|CAN|IST|ABJ|COO|
COO|FUK,|FUK|ICN|IST|ABJ|COO|
COO|HAK,|HAK|CTU|URC|IST|ABJ|COO|
COO|HAN,|HAN|CAN|IST|ABJ|COO|
COO|HDG,|HDG|CAN|IST|ABJ|COO|
COO|HET,|HET|URC|IST|ABJ|COO|
COO|HFE,|HFE|XIY|URC|IST|ABJ|COO|
COO|HJJ,|HJJ|CSX|URC|IST|ABJ|COO|
COO|HKT,|HKT|KWE|URC|IST|ABJ|COO|
COO|HRB,|HRB|PEK|IST|ABJ|COO|
COO|HZH,|HZH|CAN|IST|ABJ|COO|
COO|JIU,|JIU|CAN|IST|ABJ|COO|
COO|JJN,|JJN|CSX|URC|IST|ABJ|COO|
COO|JNG,|JNG|CAN|IST|ABJ|COO|
COO|KHN,|KHN|XIY|URC|IST|ABJ|COO|
COO|KIX,|KIX|IST|ABJ|COO|
COO|KOW,|KOW|CAN|IST|ABJ|COO|
COO|KTM,|KTM|IST|ABJ|COO|
COO|KUL,|KUL|IST|ABJ|COO|
COO|KWE,|KWE|URC|IST|ABJ|COO|
COO|KWL,|KWL|CKG|URC|IST|ABJ|COO|
COO|LHW,|LHW|URC|IST|ABJ|COO|
COO|LYA,|LYA|KHN|XIY|URC|IST|ABJ|COO|
COO|LYG,|LYG|XUZ|INC|URC|IST|ABJ|COO|
COO|LZH,|LZH|CAN|IST|ABJ|COO|
COO|MEL,|MEL|BKK|IST|ABJ|COO|
COO|MIG,|MIG|CSX|URC|IST|ABJ|COO|
COO|MLE,|MLE|IST|ABJ|COO|
COO|MNL,|MNL|CAN|IST|ABJ|COO|
COO|MXZ,|MXZ|CAN|IST|ABJ|COO|
COO|NAO,|NAO|PEK|IST|ABJ|COO|
COO|NGB,|NGB|WUH|URC|IST|ABJ|COO|
COO|NKG,|NKG|URC|IST|ABJ|COO|
COO|NNY,|NNY|CGO|URC|IST|ABJ|COO|
COO|PEN,|PEN|CAN|IST|ABJ|COO|
COO|PER,|PER|BKK|IST|ABJ|COO|
COO|PNH,|PNH|CAN|IST|ABJ|COO|
COO|REP,|REP|CAN|IST|ABJ|COO|
COO|RGN,|RGN|CAN|IST|ABJ|COO|
COO|SGN,|SGN|BKK|IST|ABJ|COO|
COO|SHA,|SHA|URC|IST|ABJ|COO|
COO|SIN,|SIN|IST|ABJ|COO|
COO|SVO,|SVO|URC|IST|ABJ|COO|
COO|SYX,|SYX|CKG|URC|IST|ABJ|COO|
COO|TAO,|TAO|TYN|URC|IST|ABJ|COO|
COO|TEN,|TEN|CAN|IST|ABJ|COO|
COO|TNA,|TNA|URC|IST|ABJ|COO|
COO|TPE,|TPE|URC|IST|ABJ|COO|
COO|TSN,|TSN|HET|URC|IST|ABJ|COO|
COO|TXN,|TXN|TYN|URC|IST|ABJ|COO|
COO|TYN,|TYN|URC|IST|ABJ|COO|
COO|WNZ,|WNZ|XIY|URC|IST|ABJ|COO|
COO|WUX,|WUX|CAN|IST|ABJ|COO|
COO|XFN,|XFN|CAN|IST|ABJ|COO|
COO|XIY,|XIY|URC|IST|ABJ|COO|
COO|XUZ,|XUZ|INC|URC|IST|ABJ|COO|
COO|YIH,|YIH|CKG|URC|IST|ABJ|COO|
COO|YIW,|YIW|URC|IST|ABJ|COO|
COO|YNT,|YNT|SHE|PEK|IST|ABJ|COO|
COO|YNZ,|YNZ|WUH|URC|IST|ABJ|COO|
COO|YTY,|YTY|CGO|URC|IST|ABJ|COO|
COO|ZHA,|ZHA|CAN|IST|ABJ|COO|
COO|ZYI,|ZYI|CAN|IST|ABJ|COO|
COO|BAV,|BAV|URC|IST|ABJ|COO|
COO|CJU,|CJU|DLC|PEK|IST|ABJ|COO|
COO|DSN,|DSN|CGO|URC|IST|ABJ|COO|
COO|HMI,|HMI|URC|IST|ABJ|COO|
COO|INC,|INC|URC|IST|ABJ|COO|
COO|KHH,|KHH|WUH|URC|IST|ABJ|COO|
COO|UYN,|UYN|XIY|URC|IST|ABJ|COO|
COO|XNN,|XNN|URC|IST|ABJ|COO|
COO|ZUH,|ZUH|KWE|URC|IST|ABJ|COO|
COO|YNJ,|YNJ|PEK|IST|ABJ|COO|
COO|DAT,|DAT|TYN|URC|IST|ABJ|COO|
COO|JHG,|JHG|KMG|CTU|URC|IST|ABJ|COO|
COO|LJG,|LJG|KMG|CTU|URC|IST|ABJ|COO|
COO|LXA,|LXA|CKG|URC|IST|ABJ|COO|
COO|YCU,|YCU|CKG|URC|IST|ABJ|COO|
COO|LZO,|LZO|CSX|URC|IST|ABJ|COO|
COO|MDG,|MDG|DLC|PEK|IST|ABJ|COO|
COO|NGO,|NGO|ICN|IST|ABJ|COO|
COO|TOY,|TOY|DLC|PEK|IST|ABJ|COO|
COO|MFM,|MFM|XMN|CSX|URC|IST|ABJ|COO|
COO|TGO,|TGO|HET|URC|IST|ABJ|COO|
COO|XIL,|XIL|HET|URC|IST|ABJ|COO|
COO|HEK,|HEK|HRB|PEK|IST|ABJ|COO|
COO|KIJ,|KIJ|HRB|PEK|IST|ABJ|COO|
COO|LDS,|LDS|HRB|PEK|IST|ABJ|COO|
COO|OHE,|OHE|HRB|PEK|IST|ABJ|COO|
COO|HSN,|HSN|LYG|XUZ|INC|URC|IST|ABJ|COO|
COO|DLU,|DLU|KMG|CTU|URC|IST|ABJ|COO|
COO|SYM,|SYM|KMG|CTU|URC|IST|ABJ|COO|
COO|ZAT,|ZAT|KMG|CTU|URC|IST|ABJ|COO|
COO|LUN,|LUN|NBO|IST|ABJ|COO|
COO|AOG,|AOG|PEK|IST|ABJ|COO|
COO|GMP,|GMP|PEK|IST|ABJ|COO|
COO|ISB,|ISB|IST|ABJ|COO|
COO|TAS,|TAS|IST|ABJ|COO|
COO|WUS,|WUS|PEK|IST|ABJ|COO|
COO|JMU,|JMU|PVG|IST|ABJ|COO|
COO|NDG,|NDG|PVG|IST|ABJ|COO|
COO|JXA,|JXA|SHE|PEK|IST|ABJ|COO|
COO|PUS,|PUS|SHE|PEK|IST|ABJ|COO|
COO|BKI,|BKI|SZX|CKG|URC|IST|ABJ|COO|
COO|AKU,|AKU|URC|IST|ABJ|COO|
COO|ALA,|ALA|IST|ABJ|COO|
COO|ASB,|ASB|IST|ABJ|COO|
COO|DNH,|DNH|URC|IST|ABJ|COO|
COO|DYU,|DYU|IST|ABJ|COO|
COO|FRU,|FRU|IST|ABJ|COO|
COO|GYD,|GYD|IST|ABJ|COO|
COO|HTN,|HTN|URC|IST|ABJ|COO|
COO|IKA,|IKA|IST|ABJ|COO|
COO|KCA,|KCA|URC|IST|ABJ|COO|
COO|KHG,|KHG|URC|IST|ABJ|COO|
COO|KRL,|KRL|URC|IST|ABJ|COO|
COO|KRY,|KRY|URC|IST|ABJ|COO|
COO|LBD,|LBD|URC|IST|ABJ|COO|
COO|NLT,|NLT|URC|IST|ABJ|COO|
COO|OSS,|OSS|IST|ABJ|COO|
COO|OVB,|OVB|IST|ABJ|COO|
COO|TBS,|TBS|IST|ABJ|COO|
COO|TCG,|TCG|URC|IST|ABJ|COO|
COO|TSE,|TSE|IST|ABJ|COO|
COO|YIN,|YIN|URC|IST|ABJ|COO|
COO|ENH,|ENH|WUH|URC|IST|ABJ|COO|
COO|ENY,|ENY|XIY|URC|IST|ABJ|COO|
COO|WXN,|WXN|XIY|URC|IST|ABJ|COO|
COO|BLL,|BLL|IST|ABJ|COO|
COO|ESB,|ESB|IST|ABJ|COO|
COO|SAW,|SAW|ADB|IST|ABJ|COO|
COO|HAM,|HAM|IST|ABJ|COO|
COO|HRE,|HRE|ADD|IST|ABJ|COO|
COO|JUB,|JUB|CAI|IST|ABJ|COO|
COO|SSG,|SSG|DLA|IST|ABJ|COO|
COO|BGW,|BGW|IST|ABJ|COO|
COO|EBL,|EBL|IST|ABJ|COO|
COO|VKO,|VKO|IST|ABJ|COO|
COO|MCT,|MCT|IST|ABJ|COO|
COO|AYT,|AYT|IST|ABJ|COO|
COO|SCQ,|SCQ|BIO|IST|ABJ|COO|
COO|AAL,|AAL|IST|ABJ|COO|
COO|AOE,|AOE|BRU|ABJ|COO|
COO|JNB,|JNB|IST|ABJ|COO|
COO|LBV,|LBV|DLA|IST|ABJ|COO|
COO|ADA,|ADA|IST|ABJ|COO|
COO|ADB,|ADB|IST|ABJ|COO|
COO|ADF,|ADF|IST|ABJ|COO|
COO|AJI,|AJI|IST|ABJ|COO|
COO|BAL,|BAL|IST|ABJ|COO|
COO|BJV,|BJV|IST|ABJ|COO|
COO|CKZ,|CKZ|ESB|IST|ABJ|COO|
COO|DIY,|DIY|IST|ABJ|COO|
COO|ECN,|ECN|IST|ABJ|COO|
COO|ERC,|ERC|IST|ABJ|COO|
COO|ERZ,|ERZ|IST|ABJ|COO|
COO|EZS,|EZS|IST|ABJ|COO|
COO|GNY,|GNY|IST|ABJ|COO|
COO|GZP,|GZP|ESB|IST|ABJ|COO|
COO|GZT,|GZT|IST|ABJ|COO|
COO|HTY,|HTY|IST|ABJ|COO|
COO|KCM,|KCM|IST|ABJ|COO|
COO|KSY,|KSY|IST|ABJ|COO|
COO|MLX,|MLX|IST|ABJ|COO|
COO|MQM,|MQM|IST|ABJ|COO|
COO|MSR,|MSR|IST|ABJ|COO|
COO|TEQ,|TEQ|ESB|IST|ABJ|COO|
COO|TZX,|TZX|IST|ABJ|COO|
COO|VAN,|VAN|IST|ABJ|COO|
COO|ULN,|ULN|FRU|IST|ABJ|COO|
COO|HIJ,|HIJ|ICN|IST|ABJ|COO|
COO|VVO,|VVO|ICN|IST|ABJ|COO|
COO|ACC,|ACC|IST|ABJ|COO|
COO|AER,|AER|IST|ABJ|COO|
COO|AGP,|AGP|IST|ABJ|COO|
COO|ALG,|ALG|IST|ABJ|COO|
COO|AMM,|AMM|IST|ABJ|COO|
COO|AQJ,|AQJ|IST|ABJ|COO|
COO|ARN,|ARN|GOT|BRU|ABJ|COO|
COO|ASR,|ASR|IST|ABJ|COO|
COO|ATH,|ATH|IST|ABJ|COO|
COO|BAH,|BAH|IST|ABJ|COO|
COO|BEG,|BEG|IST|ABJ|COO|
COO|BEN,|BEN|IST|ABJ|COO|
COO|BEY,|BEY|IST|ABJ|COO|
COO|BHX,|BHX|BRU|ABJ|COO|
COO|BIO,|BIO|IST|ABJ|COO|
COO|BLQ,|BLQ|IST|ABJ|COO|
COO|BOM,|BOM|IST|ABJ|COO|
COO|BRE,|BRE|IST|ABJ|COO|
COO|BSL,|BSL|IST|ABJ|COO|
COO|BSR,|BSR|IST|ABJ|COO|
