HAM|YQF,|YQF|YYC|EWR|HAM|
HAM|YQL,|YQL|YYC|EWR|HAM|
HAM|YXH,|YXH|YYC|EWR|HAM|
HAM|YWK,|YWK|YZV|YQB|EWR|HAM|
HAM|ANU,|ANU|EWR|HAM|
HAM|AUA,|AUA|EWR|HAM|
HAM|AUH,|AUH|IST|HAM|
HAM|BCN,|BCN|IST|HAM|
HAM|BDA,|BDA|EWR|HAM|
HAM|BGI,|BGI|YYZ|EWR|HAM|
HAM|BNA,|BNA|EWR|HAM|
HAM|BOG,|BOG|EWR|HAM|
HAM|BWI,|BWI|EWR|HAM|
HAM|CLE,|CLE|EWR|HAM|
HAM|CLT,|CLT|EWR|HAM|
HAM|CMH,|CMH|EWR|HAM|
HAM|CVG,|CVG|EWR|HAM|
HAM|DFW,|DFW|EWR|HAM|
HAM|DTW,|DTW|EWR|HAM|
HAM|DUB,|DUB|IST|HAM|
HAM|FCO,|FCO|IST|HAM|
HAM|GCM,|GCM|EWR|HAM|
HAM|GGT,|GGT|FLL|EWR|HAM|
HAM|GND,|GND|YYZ|EWR|HAM|
HAM|GRU,|GRU|IST|HAM|
HAM|HAV,|HAV|YYZ|EWR|HAM|
HAM|IND,|IND|EWR|HAM|
HAM|JFK,|JFK|IAD|EWR|HAM|
HAM|KIN,|KIN|YYZ|EWR|HAM|
HAM|LIM,|LIM|EWR|HAM|
HAM|LIR,|LIR|EWR|HAM|
HAM|MCI,|MCI|EWR|HAM|
HAM|MDT,|MDT|IAD|EWR|HAM|
HAM|MIA,|MIA|EWR|HAM|
HAM|MKE,|MKE|EWR|HAM|
HAM|MSP,|MSP|EWR|HAM|
HAM|NAS,|NAS|EWR|HAM|
HAM|PHL,|PHL|IAD|EWR|HAM|
HAM|PHX,|PHX|EWR|HAM|
HAM|PIT,|PIT|EWR|HAM|
HAM|PLS,|PLS|EWR|HAM|
HAM|POP,|POP|EWR|HAM|
HAM|RDU,|RDU|EWR|HAM|
HAM|ROC,|ROC|EWR|HAM|
HAM|RSW,|RSW|EWR|HAM|
HAM|SAN,|SAN|EWR|HAM|
HAM|SJO,|SJO|EWR|HAM|
HAM|STL,|STL|EWR|HAM|
HAM|SYR,|SYR|EWR|HAM|
HAM|TLV,|TLV|IST|HAM|
HAM|TPA,|TPA|EWR|HAM|
HAM|UVF,|UVF|EWR|HAM|
HAM|VIE,|VIE|IST|HAM|
HAM|YAM,|YAM|YYZ|EWR|HAM|
HAM|YGK,|YGK|YYZ|EWR|HAM|
HAM|YQG,|YQG|YYZ|EWR|HAM|
HAM|YSB,|YSB|YYZ|EWR|HAM|
HAM|YTS,|YTS|YYZ|EWR|HAM|
HAM|YYB,|YYB|YYZ|EWR|HAM|
HAM|YZR,|YZR|YYZ|EWR|HAM|
HAM|CAN,|CAN|IST|HAM|
HAM|URC,|URC|IST|HAM|
HAM|CTU,|CTU|URC|IST|HAM|
HAM|HGH,|HGH|URC|IST|HAM|
HAM|XMN,|XMN|CSX|URC|IST|HAM|
HAM|CGO,|CGO|URC|IST|HAM|
HAM|CSX,|CSX|URC|IST|HAM|
HAM|SHE,|SHE|PEK|IST|HAM|
HAM|SJW,|SJW|URC|IST|HAM|
HAM|WUH,|WUH|URC|IST|HAM|
HAM|SZX,|SZX|CKG|URC|IST|HAM|
HAM|CKG,|CKG|URC|IST|HAM|
HAM|KMG,|KMG|CTU|URC|IST|HAM|
HAM|FOC,|FOC|XIY|URC|IST|HAM|
HAM|NNG,|NNG|KWE|URC|IST|HAM|
HAM|SWA,|SWA|CAN|IST|HAM|
HAM|ACX,|ACX|CAN|IST|HAM|
HAM|AQG,|AQG|CAN|IST|HAM|
HAM|AVA,|AVA|CAN|IST|HAM|
HAM|BFJ,|BFJ|CAN|IST|HAM|
HAM|BHY,|BHY|CKG|URC|IST|HAM|
HAM|BNE,|BNE|BKK|IST|HAM|
HAM|CGD,|CGD|PEK|IST|HAM|
HAM|CGK,|CGK|SIN|IST|HAM|
HAM|CGQ,|CGQ|HET|URC|IST|HAM|
HAM|CIH,|CIH|PEK|IST|HAM|
HAM|CNX,|CNX|CAN|IST|HAM|
HAM|CZX,|CZX|TYN|URC|IST|HAM|
HAM|DAC,|DAC|IST|HAM|
HAM|DAD,|DAD|CAN|IST|HAM|
HAM|DEL,|DEL|IST|HAM|
HAM|DIG,|DIG|KMG|CTU|URC|IST|HAM|
HAM|DLC,|DLC|PEK|IST|HAM|
HAM|DPS,|DPS|CAN|IST|HAM|
HAM|DXB,|DXB|IST|HAM|
HAM|DYG,|DYG|CSX|URC|IST|HAM|
HAM|FUG,|FUG|CAN|IST|HAM|
HAM|FUK,|FUK|ICN|IST|HAM|
HAM|HAK,|HAK|CTU|URC|IST|HAM|
HAM|HAN,|HAN|CAN|IST|HAM|
HAM|HDG,|HDG|CAN|IST|HAM|
HAM|HET,|HET|URC|IST|HAM|
HAM|HFE,|HFE|XIY|URC|IST|HAM|
HAM|HJJ,|HJJ|CSX|URC|IST|HAM|
HAM|HKT,|HKT|KWE|URC|IST|HAM|
HAM|HRB,|HRB|PEK|IST|HAM|
HAM|HZH,|HZH|CAN|IST|HAM|
HAM|JIU,|JIU|CAN|IST|HAM|
HAM|JJN,|JJN|CSX|URC|IST|HAM|
HAM|JNG,|JNG|CAN|IST|HAM|
HAM|KHN,|KHN|XIY|URC|IST|HAM|
HAM|KIX,|KIX|IST|HAM|
HAM|KOW,|KOW|CAN|IST|HAM|
HAM|KTM,|KTM|IST|HAM|
HAM|KUL,|KUL|IST|HAM|
HAM|KWE,|KWE|URC|IST|HAM|
HAM|KWL,|KWL|CKG|URC|IST|HAM|
HAM|LHW,|LHW|URC|IST|HAM|
HAM|LYA,|LYA|KHN|XIY|URC|IST|HAM|
HAM|LYG,|LYG|XUZ|INC|URC|IST|HAM|
HAM|LZH,|LZH|CAN|IST|HAM|
HAM|MEL,|MEL|BKK|IST|HAM|
HAM|MIG,|MIG|CSX|URC|IST|HAM|
HAM|MLE,|MLE|IST|HAM|
HAM|MNL,|MNL|CAN|IST|HAM|
HAM|MXZ,|MXZ|CAN|IST|HAM|
HAM|NAO,|NAO|PEK|IST|HAM|
HAM|NGB,|NGB|WUH|URC|IST|HAM|
HAM|NKG,|NKG|URC|IST|HAM|
HAM|NNY,|NNY|CGO|URC|IST|HAM|
HAM|PEN,|PEN|CAN|IST|HAM|
HAM|PER,|PER|BKK|IST|HAM|
HAM|PNH,|PNH|CAN|IST|HAM|
HAM|REP,|REP|CAN|IST|HAM|
HAM|RGN,|RGN|CAN|IST|HAM|
HAM|SGN,|SGN|BKK|IST|HAM|
HAM|SHA,|SHA|URC|IST|HAM|
HAM|SIN,|SIN|IST|HAM|
HAM|SVO,|SVO|URC|IST|HAM|
HAM|SYX,|SYX|CKG|URC|IST|HAM|
HAM|TAO,|TAO|TYN|URC|IST|HAM|
HAM|TEN,|TEN|CAN|IST|HAM|
HAM|TNA,|TNA|URC|IST|HAM|
HAM|TPE,|TPE|URC|IST|HAM|
HAM|TSN,|TSN|HET|URC|IST|HAM|
HAM|TXN,|TXN|TYN|URC|IST|HAM|
HAM|TYN,|TYN|URC|IST|HAM|
HAM|WNZ,|WNZ|XIY|URC|IST|HAM|
HAM|WUX,|WUX|CAN|IST|HAM|
HAM|XFN,|XFN|CAN|IST|HAM|
HAM|XIY,|XIY|URC|IST|HAM|
HAM|XUZ,|XUZ|INC|URC|IST|HAM|
HAM|YIH,|YIH|CKG|URC|IST|HAM|
HAM|YIW,|YIW|URC|IST|HAM|
HAM|YNT,|YNT|SHE|PEK|IST|HAM|
HAM|YNZ,|YNZ|WUH|URC|IST|HAM|
HAM|YTY,|YTY|CGO|URC|IST|HAM|
HAM|ZHA,|ZHA|CAN|IST|HAM|
HAM|ZYI,|ZYI|CAN|IST|HAM|
HAM|BAV,|BAV|URC|IST|HAM|
HAM|CJU,|CJU|DLC|PEK|IST|HAM|
HAM|DSN,|DSN|CGO|URC|IST|HAM|
HAM|HMI,|HMI|URC|IST|HAM|
HAM|INC,|INC|URC|IST|HAM|
HAM|KHH,|KHH|WUH|URC|IST|HAM|
HAM|UYN,|UYN|XIY|URC|IST|HAM|
HAM|XNN,|XNN|URC|IST|HAM|
HAM|ZUH,|ZUH|KWE|URC|IST|HAM|
HAM|YNJ,|YNJ|PEK|IST|HAM|
HAM|DAT,|DAT|TYN|URC|IST|HAM|
HAM|JHG,|JHG|KMG|CTU|URC|IST|HAM|
HAM|LJG,|LJG|KMG|CTU|URC|IST|HAM|
HAM|LXA,|LXA|CKG|URC|IST|HAM|
HAM|YCU,|YCU|CKG|URC|IST|HAM|
HAM|LZO,|LZO|CSX|URC|IST|HAM|
HAM|MDG,|MDG|DLC|PEK|IST|HAM|
HAM|NGO,|NGO|ICN|IST|HAM|
HAM|TOY,|TOY|DLC|PEK|IST|HAM|
HAM|MFM,|MFM|XMN|CSX|URC|IST|HAM|
HAM|TGO,|TGO|HET|URC|IST|HAM|
HAM|XIL,|XIL|HET|URC|IST|HAM|
HAM|HEK,|HEK|HRB|PEK|IST|HAM|
HAM|KIJ,|KIJ|HRB|PEK|IST|HAM|
HAM|LDS,|LDS|HRB|PEK|IST|HAM|
HAM|OHE,|OHE|HRB|PEK|IST|HAM|
HAM|HSN,|HSN|LYG|XUZ|INC|URC|IST|HAM|
HAM|DLU,|DLU|KMG|CTU|URC|IST|HAM|
HAM|SYM,|SYM|KMG|CTU|URC|IST|HAM|
HAM|ZAT,|ZAT|KMG|CTU|URC|IST|HAM|
HAM|LUN,|LUN|NBO|IST|HAM|
HAM|AOG,|AOG|PEK|IST|HAM|
HAM|GMP,|GMP|PEK|IST|HAM|
HAM|ISB,|ISB|IST|HAM|
HAM|TAS,|TAS|IST|HAM|
HAM|WUS,|WUS|PEK|IST|HAM|
HAM|JMU,|JMU|PVG|IST|HAM|
HAM|NDG,|NDG|PVG|IST|HAM|
HAM|JXA,|JXA|SHE|PEK|IST|HAM|
HAM|PUS,|PUS|SHE|PEK|IST|HAM|
HAM|BKI,|BKI|SZX|CKG|URC|IST|HAM|
HAM|AKU,|AKU|URC|IST|HAM|
HAM|ALA,|ALA|IST|HAM|
HAM|ASB,|ASB|IST|HAM|
HAM|DNH,|DNH|URC|IST|HAM|
HAM|DYU,|DYU|IST|HAM|
HAM|FRU,|FRU|IST|HAM|
HAM|GYD,|GYD|IST|HAM|
HAM|HTN,|HTN|URC|IST|HAM|
HAM|IKA,|IKA|IST|HAM|
HAM|KCA,|KCA|URC|IST|HAM|
HAM|KHG,|KHG|URC|IST|HAM|
HAM|KRL,|KRL|URC|IST|HAM|
HAM|KRY,|KRY|URC|IST|HAM|
HAM|LBD,|LBD|URC|IST|HAM|
HAM|NLT,|NLT|URC|IST|HAM|
HAM|OSS,|OSS|IST|HAM|
HAM|OVB,|OVB|IST|HAM|
HAM|TBS,|TBS|IST|HAM|
HAM|TCG,|TCG|URC|IST|HAM|
HAM|TSE,|TSE|IST|HAM|
HAM|YIN,|YIN|URC|IST|HAM|
HAM|ENH,|ENH|WUH|URC|IST|HAM|
HAM|ENY,|ENY|XIY|URC|IST|HAM|
HAM|WXN,|WXN|XIY|URC|IST|HAM|
HAM|BLL,|BLL|IST|HAM|
HAM|ESB,|ESB|IST|HAM|
HAM|SAW,|SAW|ADB|HAM|
HAM|HRE,|HRE|ADD|IST|HAM|
HAM|JUB,|JUB|CAI|IST|HAM|
HAM|SSG,|SSG|DLA|IST|HAM|
HAM|BGW,|BGW|IST|HAM|
HAM|EBL,|EBL|IST|HAM|
HAM|VKO,|VKO|IST|HAM|
HAM|MCT,|MCT|IST|HAM|
HAM|AYT,|AYT|HAM|
HAM|SCQ,|SCQ|BIO|IST|HAM|
HAM|AAL,|AAL|IST|HAM|
HAM|AOE,|AOE|BRU|IST|HAM|
HAM|JNB,|JNB|IST|HAM|
HAM|LBV,|LBV|DLA|IST|HAM|
HAM|ADA,|ADA|IST|HAM|
HAM|ADB,|ADB|HAM|
HAM|ADF,|ADF|IST|HAM|
HAM|AJI,|AJI|IST|HAM|
HAM|BAL,|BAL|IST|HAM|
HAM|BJV,|BJV|IST|HAM|
HAM|CKZ,|CKZ|ESB|IST|HAM|
HAM|DIY,|DIY|IST|HAM|
HAM|ECN,|ECN|IST|HAM|
HAM|ERC,|ERC|IST|HAM|
HAM|ERZ,|ERZ|IST|HAM|
HAM|EZS,|EZS|IST|HAM|
HAM|GNY,|GNY|IST|HAM|
HAM|GZP,|GZP|ESB|IST|HAM|
HAM|GZT,|GZT|IST|HAM|
HAM|HTY,|HTY|IST|HAM|
HAM|KCM,|KCM|IST|HAM|
HAM|KSY,|KSY|IST|HAM|
HAM|MLX,|MLX|IST|HAM|
HAM|MQM,|MQM|IST|HAM|
HAM|MSR,|MSR|IST|HAM|
HAM|TEQ,|TEQ|ESB|IST|HAM|
HAM|TZX,|TZX|IST|HAM|
HAM|VAN,|VAN|IST|HAM|
HAM|ULN,|ULN|FRU|IST|HAM|
HAM|HIJ,|HIJ|ICN|IST|HAM|
HAM|VVO,|VVO|ICN|IST|HAM|
HAM|ACC,|ACC|IST|HAM|
HAM|AER,|AER|IST|HAM|
HAM|AGP,|AGP|IST|HAM|
HAM|ALG,|ALG|IST|HAM|
HAM|AMM,|AMM|IST|HAM|
HAM|AQJ,|AQJ|IST|HAM|
HAM|ARN,|ARN|IST|HAM|
HAM|ASR,|ASR|IST|HAM|
HAM|ATH,|ATH|IST|HAM|
HAM|BAH,|BAH|IST|HAM|
HAM|BEG,|BEG|IST|HAM|
HAM|BEN,|BEN|IST|HAM|
HAM|BEY,|BEY|IST|HAM|
HAM|BHX,|BHX|IST|HAM|
HAM|BIO,|BIO|IST|HAM|
HAM|BLQ,|BLQ|IST|HAM|
HAM|BOM,|BOM|IST|HAM|
HAM|BRE,|BRE|IST|HAM|
HAM|BSL,|BSL|IST|HAM|
HAM|BSR,|BSR|IST|HAM|
HAM|BUD,|BUD|IST|HAM|
HAM|BUS,|BUS|IST|HAM|
HAM|CAI,|CAI|IST|HAM|
HAM|CGN,|CGN|IST|HAM|
HAM|CMN,|CMN|IST|HAM|
HAM|CND,|CND|IST|HAM|
HAM|DAR,|DAR|IST|HAM|
HAM|DLM,|DLM|IST|HAM|
HAM|DMM,|DMM|IST|HAM|
HAM|DNK,|DNK|IST|HAM|
HAM|DNZ,|DNZ|IST|HAM|
HAM|DOK,|DOK|IST|HAM|
HAM|DUS,|DUS|IST|HAM|
HAM|EDI,|EDI|IST|HAM|
HAM|ELQ,|ELQ|IST|HAM|
HAM|FDH,|FDH|IST|HAM|
HAM|GOA,|GOA|IST|HAM|
HAM|GOT,|GOT|IST|HAM|
HAM|HAJ,|HAJ|IST|HAM|
HAM|HBE,|HBE|IST|HAM|
HAM|HEL,|HEL|IST|HAM|
HAM|HRG,|HRG|IST|HAM|
HAM|IFN,|IFN|IST|HAM|
HAM|ISE,|ISE|IST|HAM|
HAM|ISU,|ISU|IST|HAM|
HAM|JIB,|JIB|IST|HAM|
HAM|JRO,|JRO|IST|HAM|
HAM|KAN,|KAN|IST|HAM|
HAM|KBL,|KBL|IST|HAM|
HAM|KBP,|KBP|IST|HAM|
HAM|KFS,|KFS|IST|HAM|
HAM|KHI,|KHI|IST|HAM|
HAM|KIV,|KIV|IST|HAM|
HAM|KRT,|KRT|IST|HAM|
HAM|KSH,|KSH|IST|HAM|
HAM|KVD,|KVD|IST|HAM|
HAM|KWI,|KWI|IST|HAM|
HAM|KYA,|KYA|IST|HAM|
HAM|KZN,|KZN|IST|HAM|
HAM|KZR,|KZR|IST|HAM|
HAM|LED,|LED|IST|HAM|
HAM|LEJ,|LEJ|IST|HAM|
HAM|LGW,|LGW|IST|HAM|
HAM|LHE,|LHE|IST|HAM|
HAM|LIS,|LIS|IST|HAM|
HAM|LJU,|LJU|IST|HAM|
HAM|LOS,|LOS|IST|HAM|
HAM|LUX,|LUX|IST|HAM|
HAM|LWO,|LWO|IST|HAM|
HAM|LYS,|LYS|IST|HAM|
HAM|MAD,|MAD|IST|HAM|
HAM|MAN,|MAN|IST|HAM|
HAM|MED,|MED|IST|HAM|
HAM|MHD,|MHD|IST|HAM|
HAM|MLA,|MLA|IST|HAM|
HAM|MRS,|MRS|IST|HAM|
HAM|MSQ,|MSQ|IST|HAM|
HAM|MXP,|MXP|IST|HAM|
HAM|MZH,|MZH|IST|HAM|
HAM|MZR,|MZR|IST|HAM|
HAM|NAJ,|NAJ|IST|HAM|
HAM|NAV,|NAV|IST|HAM|
HAM|NCE,|NCE|IST|HAM|
HAM|NIM,|NIM|IST|HAM|
HAM|NJF,|NJF|IST|HAM|
HAM|NSI,|NSI|IST|HAM|
HAM|NUE,|NUE|IST|HAM|
HAM|ODS,|ODS|IST|HAM|
HAM|ORN,|ORN|IST|HAM|
HAM|OTP,|OTP|IST|HAM|
HAM|PRG,|PRG|IST|HAM|
HAM|PRN,|PRN|IST|HAM|
HAM|RIX,|RIX|IST|HAM|
HAM|ROV,|ROV|IST|HAM|
HAM|RTM,|RTM|IST|HAM|
HAM|RUH,|RUH|IST|HAM|
HAM|SAH,|SAH|IST|HAM|
HAM|SJJ,|SJJ|IST|HAM|
HAM|SKG,|SKG|IST|HAM|
HAM|SKP,|SKP|IST|HAM|
HAM|SSH,|SSH|IST|HAM|
HAM|STR,|STR|IST|HAM|
HAM|SVX,|SVX|IST|HAM|
HAM|SYZ,|SYZ|IST|HAM|
HAM|SZG,|SZG|IST|HAM|
HAM|TBZ,|TBZ|IST|HAM|
HAM|TGD,|TGD|IST|HAM|
HAM|TIA,|TIA|IST|HAM|
HAM|TIF,|TIF|IST|HAM|
HAM|TIP,|TIP|IST|HAM|
HAM|TLL,|TLL|IST|HAM|
HAM|TLS,|TLS|IST|HAM|
HAM|TRN,|TRN|IST|HAM|
HAM|TUN,|TUN|IST|HAM|
HAM|TXL,|TXL|IST|HAM|
HAM|UFA,|UFA|IST|HAM|
HAM|VAS,|VAS|IST|HAM|
HAM|VCE,|VCE|IST|HAM|
HAM|YNB,|YNB|IST|HAM|
HAM|ZAG,|ZAG|IST|HAM|
HAM|MGQ,|MGQ|JIB|IST|HAM|
HAM|CPT,|CPT|JNB|IST|HAM|
HAM|MBA,|MBA|JRO|IST|HAM|
HAM|NDJ,|NDJ|KAN|IST|HAM|
HAM|CMB,|CMB|MLE|IST|HAM|
HAM|ADE,|ADE|SAH|IST|HAM|
HAM|ASF,|ASF|SAW|ADB|HAM|
HAM|STW,|STW|SAW|ADB|HAM|
HAM|LFW,|LFW|ABJ|OUA|NIM|IST|HAM|
HAM|CEC,|CEC|ACV|SMF|ORD|EWR|HAM|
HAM|SMF,|SMF|ORD|EWR|HAM|
HAM|CDR,|CDR|AIA|DEN|EWR|HAM|
HAM|FMN,|FMN|DEN|EWR|HAM|
HAM|JST,|JST|IAD|EWR|HAM|
HAM|JHW,|JHW|CLE|EWR|HAM|
HAM|SHD,|SHD|IAD|EWR|HAM|
HAM|PTY,|PTY|EWR|HAM|
HAM|FNA,|FNA|BRU|IST|HAM|
HAM|SXB,|SXB|BRU|IST|HAM|
HAM|ACV,|ACV|SMF|ORD|EWR|HAM|
HAM|MGW,|MGW|IAD|EWR|HAM|
HAM|ALB,|ALB|EWR|HAM|
HAM|AUS,|AUS|EWR|HAM|
HAM|BFD,|BFD|CLE|EWR|HAM|
HAM|BUF,|BUF|EWR|HAM|
HAM|CHS,|CHS|EWR|HAM|
HAM|DAY,|DAY|EWR|HAM|
HAM|DUJ,|DUJ|CLE|EWR|HAM|
HAM|ERI,|ERI|CLE|EWR|HAM|
HAM|FKL,|FKL|CLE|EWR|HAM|
HAM|FNT,|FNT|CLE|EWR|HAM|
HAM|GRR,|GRR|EWR|HAM|
HAM|GSP,|GSP|EWR|HAM|
HAM|PBI,|PBI|EWR|HAM|
HAM|PKB,|PKB|CLE|EWR|HAM|
HAM|RIC,|RIC|EWR|HAM|
HAM|SDF,|SDF|EWR|HAM|
HAM|GUM,|GUM|FUK|ICN|IST|HAM|
HAM|WRL,|WRL|CYS|DEN|EWR|HAM|
HAM|LBL,|HAM|
HAM|ABQ,|ABQ|MCI|EWR|HAM|
HAM|AIA,|AIA|DEN|EWR|HAM|
HAM|ALS,|ALS|DEN|EWR|HAM|
HAM|AMA,|AMA|DAL|LIT|BWI|EWR|HAM|
HAM|ANC,|ANC|ORD|EWR|HAM|
HAM|ASE,|ASE|DEN|EWR|HAM|
HAM|BFL,|BFL|DEN|EWR|HAM|
HAM|BHM,|BHM|BWI|EWR|HAM|
HAM|BIL,|BIL|DEN|EWR|HAM|
HAM|BIS,|BIS|DEN|EWR|HAM|
HAM|BOI,|BOI|ORD|EWR|HAM|
HAM|BUR,|BUR|LAS|EWR|HAM|
HAM|BZN,|BZN|ORD|EWR|HAM|
HAM|CID,|CID|ORD|EWR|HAM|
HAM|COD,|COD|DEN|EWR|HAM|
HAM|COS,|COS|ORD|EWR|HAM|
HAM|CPR,|CPR|DEN|EWR|HAM|
HAM|CYS,|CYS|DEN|EWR|HAM|
HAM|DIK,|DIK|DEN|EWR|HAM|
HAM|DRO,|DRO|DEN|EWR|HAM|
HAM|DSM,|DSM|EWR|HAM|
HAM|EGE,|EGE|DEN|EWR|HAM|
HAM|ELP,|ELP|DAL|LIT|BWI|EWR|HAM|
HAM|EUG,|EUG|PDX|EWR|HAM|
HAM|FAR,|FAR|ORD|EWR|HAM|
