MOT|YXJ,|YXJ|YYC|DEN|MOT|
MOT|YXS,|YXS|YYC|DEN|MOT|
MOT|YXT,|YXT|YVR|DEN|MOT|
MOT|YXY,|YXY|YVR|DEN|MOT|
MOT|YYD,|YYD|YVR|DEN|MOT|
MOT|YYF,|YYF|YVR|DEN|MOT|
MOT|YZP,|YZP|YVR|DEN|MOT|
MOT|YQT,|YQT|YWG|DEN|MOT|
MOT|SJD,|SJD|DEN|MOT|
MOT|YQF,|YQF|YYC|DEN|MOT|
MOT|YQL,|YQL|YYC|DEN|MOT|
MOT|YXH,|YXH|YYC|DEN|MOT|
MOT|YWK,|YWK|YZV|YUL|DEN|MOT|
MOT|ANU,|ANU|EWR|DEN|MOT|
MOT|AUA,|AUA|ATL|DEN|MOT|
MOT|AUH,|AUH|FRA|DEN|MOT|
MOT|BCN,|BCN|YYZ|DEN|MOT|
MOT|BDA,|BDA|EWR|DEN|MOT|
MOT|BGI,|BGI|YYZ|DEN|MOT|
MOT|BNA,|BNA|DEN|MOT|
MOT|BOG,|BOG|IAH|DEN|MOT|
MOT|BWI,|BWI|DEN|MOT|
MOT|CLE,|CLE|DEN|MOT|
MOT|CLT,|CLT|MDW|DEN|MOT|
MOT|CMH,|CMH|DEN|MOT|
MOT|CVG,|CVG|DEN|MOT|
MOT|DFW,|DFW|DEN|MOT|
MOT|DTW,|DTW|DEN|MOT|
MOT|DUB,|DUB|ORD|DEN|MOT|
MOT|FCO,|FCO|YYZ|DEN|MOT|
MOT|GCM,|GCM|IAH|DEN|MOT|
MOT|GGT,|GGT|FLL|DEN|MOT|
MOT|GND,|GND|YYZ|DEN|MOT|
MOT|GRU,|GRU|IAH|DEN|MOT|
MOT|HAV,|HAV|YYZ|DEN|MOT|
MOT|IND,|IND|DEN|MOT|
MOT|JFK,|JFK|IAD|DEN|MOT|
MOT|KIN,|KIN|YYZ|DEN|MOT|
MOT|LIM,|LIM|IAH|DEN|MOT|
MOT|LIR,|LIR|IAH|DEN|MOT|
MOT|MCI,|MCI|DEN|MOT|
MOT|MDT,|MDT|ORD|DEN|MOT|
MOT|MIA,|MIA|DEN|MOT|
MOT|MKE,|MKE|DEN|MOT|
MOT|MSP,|MSP|DEN|MOT|
MOT|NAS,|NAS|ATL|DEN|MOT|
MOT|PHL,|PHL|DEN|MOT|
MOT|PHX,|PHX|DEN|MOT|
MOT|PIT,|PIT|DEN|MOT|
MOT|PLS,|PLS|YYZ|DEN|MOT|
MOT|POP,|POP|YYZ|DEN|MOT|
MOT|RDU,|RDU|DEN|MOT|
MOT|ROC,|ROC|ORD|DEN|MOT|
MOT|RSW,|RSW|DEN|MOT|
MOT|SAN,|SAN|DEN|MOT|
MOT|SJO,|SJO|IAH|DEN|MOT|
MOT|STL,|STL|DEN|MOT|
MOT|SYR,|SYR|ORD|DEN|MOT|
MOT|TLV,|TLV|IST|FRA|DEN|MOT|
MOT|TPA,|TPA|DEN|MOT|
MOT|UVF,|UVF|EWR|DEN|MOT|
MOT|VIE,|VIE|ORD|DEN|MOT|
MOT|YAM,|YAM|YYZ|DEN|MOT|
MOT|YGK,|YGK|YYZ|DEN|MOT|
MOT|YQG,|YQG|YYZ|DEN|MOT|
MOT|YSB,|YSB|YYZ|DEN|MOT|
MOT|YTS,|YTS|YYZ|DEN|MOT|
MOT|YYB,|YYB|YYZ|DEN|MOT|
MOT|YZR,|YZR|YYZ|DEN|MOT|
MOT|CAN,|CAN|YVR|DEN|MOT|
MOT|URC,|URC|PEK|YVR|DEN|MOT|
MOT|CTU,|CTU|PEK|YVR|DEN|MOT|
MOT|HGH,|HGH|DLC|ICN|YVR|DEN|MOT|
MOT|XMN,|XMN|PEK|YVR|DEN|MOT|
MOT|CGO,|CGO|PEK|YVR|DEN|MOT|
MOT|CSX,|CSX|ICN|YVR|DEN|MOT|
MOT|SHE,|SHE|ICN|YVR|DEN|MOT|
MOT|SJW,|SJW|DLC|ICN|YVR|DEN|MOT|
MOT|WUH,|WUH|ICN|YVR|DEN|MOT|
MOT|SZX,|SZX|PVG|YVR|DEN|MOT|
MOT|CKG,|CKG|PEK|YVR|DEN|MOT|
MOT|KMG,|KMG|PEK|YVR|DEN|MOT|
MOT|FOC,|FOC|PEK|YVR|DEN|MOT|
MOT|NNG,|NNG|PEK|YVR|DEN|MOT|
MOT|SWA,|SWA|PEK|YVR|DEN|MOT|
MOT|ACX,|ACX|CAN|YVR|DEN|MOT|
MOT|AQG,|AQG|CAN|YVR|DEN|MOT|
MOT|AVA,|AVA|CAN|YVR|DEN|MOT|
MOT|BFJ,|BFJ|CAN|YVR|DEN|MOT|
MOT|BHY,|BHY|CSX|ICN|YVR|DEN|MOT|
MOT|BNE,|BNE|CAN|YVR|DEN|MOT|
MOT|CGD,|CGD|PEK|YVR|DEN|MOT|
MOT|CGK,|CGK|CAN|YVR|DEN|MOT|
MOT|CGQ,|CGQ|ICN|YVR|DEN|MOT|
MOT|CIH,|CIH|PEK|YVR|DEN|MOT|
MOT|CNX,|CNX|CAN|YVR|DEN|MOT|
MOT|CZX,|CZX|SHE|ICN|YVR|DEN|MOT|
MOT|DAC,|DAC|CAN|YVR|DEN|MOT|
MOT|DAD,|DAD|CAN|YVR|DEN|MOT|
MOT|DEL,|DEL|EWR|DEN|MOT|
MOT|DIG,|DIG|KMG|PEK|YVR|DEN|MOT|
MOT|DLC,|DLC|ICN|YVR|DEN|MOT|
MOT|DPS,|DPS|SZX|PVG|YVR|DEN|MOT|
MOT|DXB,|DXB|IST|FRA|DEN|MOT|
MOT|DYG,|DYG|PEK|YVR|DEN|MOT|
MOT|FUG,|FUG|CAN|YVR|DEN|MOT|
MOT|FUK,|FUK|ICN|YVR|DEN|MOT|
MOT|HAK,|HAK|CAN|YVR|DEN|MOT|
MOT|HAN,|HAN|PEK|YVR|DEN|MOT|
MOT|HDG,|HDG|CAN|YVR|DEN|MOT|
MOT|HET,|HET|DLC|ICN|YVR|DEN|MOT|
MOT|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|MOT|
MOT|HJJ,|HJJ|CSX|ICN|YVR|DEN|MOT|
MOT|HKT,|HKT|KWE|PEK|YVR|DEN|MOT|
MOT|HRB,|HRB|ICN|YVR|DEN|MOT|
MOT|HZH,|HZH|CAN|YVR|DEN|MOT|
MOT|JIU,|JIU|CAN|YVR|DEN|MOT|
MOT|JJN,|JJN|PEK|YVR|DEN|MOT|
MOT|JNG,|JNG|CAN|YVR|DEN|MOT|
MOT|KHN,|KHN|DLC|ICN|YVR|DEN|MOT|
MOT|KIX,|KIX|SFO|DEN|MOT|
MOT|KOW,|KOW|PEK|YVR|DEN|MOT|
MOT|KTM,|KTM|CAN|YVR|DEN|MOT|
MOT|KUL,|KUL|PVG|YVR|DEN|MOT|
MOT|KWE,|KWE|PEK|YVR|DEN|MOT|
MOT|KWL,|KWL|PEK|YVR|DEN|MOT|
MOT|LHW,|LHW|CGO|PEK|YVR|DEN|MOT|
MOT|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|MOT|
MOT|LYG,|LYG|HSN|PEK|YVR|DEN|MOT|
MOT|LZH,|LZH|CAN|YVR|DEN|MOT|
MOT|MEL,|MEL|SYD|LAX|DEN|MOT|
MOT|MIG,|MIG|CSX|ICN|YVR|DEN|MOT|
MOT|MLE,|MLE|IST|FRA|DEN|MOT|
MOT|MNL,|MNL|XMN|PEK|YVR|DEN|MOT|
MOT|MXZ,|MXZ|CAN|YVR|DEN|MOT|
MOT|NAO,|NAO|PEK|YVR|DEN|MOT|
MOT|NGB,|NGB|DLC|ICN|YVR|DEN|MOT|
MOT|NKG,|NKG|DLC|ICN|YVR|DEN|MOT|
MOT|NNY,|NNY|CGO|PEK|YVR|DEN|MOT|
MOT|PEN,|PEN|CAN|YVR|DEN|MOT|
MOT|PER,|PER|CAN|YVR|DEN|MOT|
MOT|PNH,|PNH|CAN|YVR|DEN|MOT|
MOT|REP,|REP|ICN|YVR|DEN|MOT|
MOT|RGN,|RGN|CAN|YVR|DEN|MOT|
MOT|SGN,|SGN|HKG|YVR|DEN|MOT|
MOT|SHA,|SHA|PEK|YVR|DEN|MOT|
MOT|SIN,|SIN|HKG|YVR|DEN|MOT|
MOT|SVO,|SVO|URC|PEK|YVR|DEN|MOT|
MOT|SYX,|SYX|CAN|YVR|DEN|MOT|
MOT|TAO,|TAO|DLC|ICN|YVR|DEN|MOT|
MOT|TEN,|TEN|PEK|YVR|DEN|MOT|
MOT|TNA,|TNA|DLC|ICN|YVR|DEN|MOT|
MOT|TPE,|TPE|PVG|YVR|DEN|MOT|
MOT|TSN,|TSN|DLC|ICN|YVR|DEN|MOT|
MOT|TXN,|TXN|DLC|ICN|YVR|DEN|MOT|
MOT|TYN,|TYN|DLC|ICN|YVR|DEN|MOT|
MOT|WNZ,|WNZ|CGO|PEK|YVR|DEN|MOT|
MOT|WUX,|WUX|CAN|YVR|DEN|MOT|
MOT|XFN,|XFN|CAN|YVR|DEN|MOT|
MOT|XIY,|XIY|PEK|YVR|DEN|MOT|
MOT|XUZ,|XUZ|LYG|HSN|PEK|YVR|DEN|MOT|
MOT|YIH,|YIH|CKG|PEK|YVR|DEN|MOT|
MOT|YIW,|YIW|PEK|YVR|DEN|MOT|
MOT|YNT,|YNT|SHE|ICN|YVR|DEN|MOT|
MOT|YNZ,|YNZ|DLC|ICN|YVR|DEN|MOT|
MOT|YTY,|YTY|DLC|ICN|YVR|DEN|MOT|
MOT|ZHA,|ZHA|CAN|YVR|DEN|MOT|
MOT|ZYI,|ZYI|PEK|YVR|DEN|MOT|
MOT|BAV,|BAV|SJW|DLC|ICN|YVR|DEN|MOT|
MOT|CJU,|CJU|DLC|ICN|YVR|DEN|MOT|
MOT|DSN,|DSN|CGO|PEK|YVR|DEN|MOT|
MOT|HMI,|HMI|CGO|PEK|YVR|DEN|MOT|
MOT|INC,|INC|PEK|YVR|DEN|MOT|
MOT|KHH,|KHH|CGO|PEK|YVR|DEN|MOT|
MOT|UYN,|UYN|CGO|PEK|YVR|DEN|MOT|
MOT|XNN,|XNN|PEK|YVR|DEN|MOT|
MOT|ZUH,|ZUH|PVG|YVR|DEN|MOT|
MOT|YNJ,|YNJ|ICN|YVR|DEN|MOT|
MOT|DAT,|DAT|CIH|PEK|YVR|DEN|MOT|
MOT|JHG,|JHG|CKG|PEK|YVR|DEN|MOT|
MOT|LJG,|LJG|CKG|PEK|YVR|DEN|MOT|
MOT|LXA,|LXA|XIY|PEK|YVR|DEN|MOT|
MOT|YCU,|YCU|CSX|ICN|YVR|DEN|MOT|
MOT|LZO,|LZO|CSX|ICN|YVR|DEN|MOT|
MOT|MDG,|MDG|ICN|YVR|DEN|MOT|
MOT|NGO,|NGO|ICN|YVR|DEN|MOT|
MOT|TOY,|TOY|DLC|ICN|YVR|DEN|MOT|
MOT|MFM,|MFM|XMN|PEK|YVR|DEN|MOT|
MOT|TGO,|TGO|HET|DLC|ICN|YVR|DEN|MOT|
MOT|XIL,|XIL|HET|DLC|ICN|YVR|DEN|MOT|
MOT|HEK,|HEK|HRB|ICN|YVR|DEN|MOT|
MOT|KIJ,|KIJ|HRB|ICN|YVR|DEN|MOT|
MOT|LDS,|LDS|HRB|ICN|YVR|DEN|MOT|
MOT|OHE,|OHE|HRB|ICN|YVR|DEN|MOT|
MOT|HSN,|HSN|PEK|YVR|DEN|MOT|
MOT|DLU,|DLU|KMG|PEK|YVR|DEN|MOT|
MOT|SYM,|SYM|KMG|PEK|YVR|DEN|MOT|
MOT|ZAT,|ZAT|KMG|PEK|YVR|DEN|MOT|
MOT|LUN,|LUN|NBO|ZRH|ORD|DEN|MOT|
MOT|AOG,|AOG|PEK|YVR|DEN|MOT|
MOT|GMP,|GMP|PEK|YVR|DEN|MOT|
