NLT|MEX,|MEX|YVR|PEK|URC|NLT|
NLT|OGG,|OGG|HNL|PEK|URC|NLT|
NLT|PDX,|PDX|SEA|PEK|URC|NLT|
NLT|PEK,|PEK|URC|NLT|
NLT|PVG,|PVG|URC|NLT|
NLT|PVR,|PVR|SFO|PEK|URC|NLT|
NLT|SEA,|SEA|PEK|URC|NLT|
NLT|SYD,|SYD|CAN|URC|NLT|
NLT|YBL,|YBL|YVR|PEK|URC|NLT|
NLT|YCD,|YCD|YVR|PEK|URC|NLT|
NLT|YCG,|YCG|YVR|PEK|URC|NLT|
NLT|YKA,|YKA|YVR|PEK|URC|NLT|
NLT|YPR,|YPR|YVR|PEK|URC|NLT|
NLT|YQZ,|YQZ|YVR|PEK|URC|NLT|
NLT|YXC,|YXC|YVR|PEK|URC|NLT|
NLT|YXJ,|YXJ|YVR|PEK|URC|NLT|
NLT|YXS,|YXS|YVR|PEK|URC|NLT|
NLT|YXT,|YXT|YVR|PEK|URC|NLT|
NLT|YXY,|YXY|YVR|PEK|URC|NLT|
NLT|YYD,|YYD|YVR|PEK|URC|NLT|
NLT|YYF,|YYF|YVR|PEK|URC|NLT|
NLT|YZP,|YZP|YVR|PEK|URC|NLT|
NLT|YQT,|YQT|YYZ|FRA|TSE|URC|NLT|
NLT|SJD,|SJD|SFO|PEK|URC|NLT|
NLT|YQF,|YQF|YYC|YVR|PEK|URC|NLT|
NLT|YQL,|YQL|YYC|YVR|PEK|URC|NLT|
NLT|YXH,|YXH|YYC|YVR|PEK|URC|NLT|
NLT|YWK,|YWK|YYR|YYT|LHR|IST|URC|NLT|
NLT|ANU,|ANU|EWR|FRA|TSE|URC|NLT|
NLT|AUA,|AUA|EWR|FRA|TSE|URC|NLT|
NLT|AUH,|AUH|IST|URC|NLT|
NLT|BCN,|BCN|IST|URC|NLT|
NLT|BDA,|BDA|EWR|FRA|TSE|URC|NLT|
NLT|BGI,|BGI|YYZ|FRA|TSE|URC|NLT|
NLT|BNA,|BNA|YYZ|FRA|TSE|URC|NLT|
NLT|BOG,|BOG|JFK|FRA|TSE|URC|NLT|
NLT|BWI,|BWI|EWR|FRA|TSE|URC|NLT|
NLT|CLE,|CLE|YYZ|FRA|TSE|URC|NLT|
NLT|CLT,|CLT|EWR|FRA|TSE|URC|NLT|
NLT|CMH,|CMH|YYZ|FRA|TSE|URC|NLT|
NLT|CVG,|CVG|YYZ|FRA|TSE|URC|NLT|
NLT|DFW,|DFW|YVR|PEK|URC|NLT|
NLT|DTW,|DTW|FRA|TSE|URC|NLT|
NLT|DUB,|DUB|IST|URC|NLT|
NLT|FCO,|FCO|IST|URC|NLT|
NLT|GCM,|GCM|EWR|FRA|TSE|URC|NLT|
NLT|GGT,|GGT|FLL|MCO|FRA|TSE|URC|NLT|
NLT|GND,|GND|YYZ|FRA|TSE|URC|NLT|
NLT|GRU,|GRU|IST|URC|NLT|
NLT|HAV,|HAV|YYZ|FRA|TSE|URC|NLT|
NLT|IND,|IND|YYZ|FRA|TSE|URC|NLT|
NLT|JFK,|JFK|FRA|TSE|URC|NLT|
NLT|KIN,|KIN|YYZ|FRA|TSE|URC|NLT|
NLT|LIM,|LIM|MIA|FRA|TSE|URC|NLT|
NLT|LIR,|LIR|EWR|FRA|TSE|URC|NLT|
NLT|MCI,|MCI|ORD|FRA|TSE|URC|NLT|
NLT|MDT,|MDT|IAD|FRA|TSE|URC|NLT|
NLT|MIA,|MIA|FRA|TSE|URC|NLT|
NLT|MKE,|MKE|YYZ|FRA|TSE|URC|NLT|
NLT|MSP,|MSP|YUL|FRA|TSE|URC|NLT|
NLT|NAS,|NAS|EWR|FRA|TSE|URC|NLT|
NLT|PHL,|PHL|IAD|FRA|TSE|URC|NLT|
NLT|PHX,|PHX|SEA|PEK|URC|NLT|
NLT|PIT,|PIT|YYZ|FRA|TSE|URC|NLT|
NLT|PLS,|PLS|EWR|FRA|TSE|URC|NLT|
NLT|POP,|POP|EWR|FRA|TSE|URC|NLT|
NLT|RDU,|RDU|EWR|FRA|TSE|URC|NLT|
NLT|ROC,|ROC|YYZ|FRA|TSE|URC|NLT|
NLT|RSW,|RSW|MCO|FRA|TSE|URC|NLT|
NLT|SAN,|SAN|LAX|PEK|URC|NLT|
NLT|SJO,|SJO|EWR|FRA|TSE|URC|NLT|
NLT|STL,|STL|DTW|FRA|TSE|URC|NLT|
NLT|SYR,|SYR|EWR|FRA|TSE|URC|NLT|
NLT|TLV,|TLV|SAW|TBS|URC|NLT|
NLT|TPA,|TPA|EWR|FRA|TSE|URC|NLT|
NLT|UVF,|UVF|EWR|FRA|TSE|URC|NLT|
NLT|VIE,|VIE|IST|URC|NLT|
NLT|YAM,|YAM|YYZ|FRA|TSE|URC|NLT|
NLT|YGK,|YGK|YYZ|FRA|TSE|URC|NLT|
NLT|YQG,|YQG|YYZ|FRA|TSE|URC|NLT|
NLT|YSB,|YSB|YYZ|FRA|TSE|URC|NLT|
NLT|YTS,|YTS|YYZ|FRA|TSE|URC|NLT|
NLT|YYB,|YYB|YYZ|FRA|TSE|URC|NLT|
NLT|YZR,|YZR|YYZ|FRA|TSE|URC|NLT|
NLT|CAN,|CAN|URC|NLT|
NLT|URC,|URC|NLT|
NLT|CTU,|CTU|URC|NLT|
NLT|HGH,|HGH|URC|NLT|
NLT|XMN,|XMN|CSX|URC|NLT|
NLT|CGO,|CGO|URC|NLT|
NLT|CSX,|CSX|URC|NLT|
NLT|SHE,|SHE|HET|URC|NLT|
NLT|SJW,|SJW|URC|NLT|
NLT|WUH,|WUH|URC|NLT|
NLT|SZX,|SZX|CKG|URC|NLT|
NLT|CKG,|CKG|URC|NLT|
NLT|KMG,|KMG|CTU|URC|NLT|
NLT|FOC,|FOC|XIY|URC|NLT|
NLT|NNG,|NNG|KWE|URC|NLT|
NLT|SWA,|SWA|CSX|URC|NLT|
NLT|ACX,|ACX|CAN|URC|NLT|
NLT|AQG,|AQG|CAN|URC|NLT|
NLT|AVA,|AVA|CAN|URC|NLT|
NLT|BFJ,|BFJ|CAN|URC|NLT|
NLT|BHY,|BHY|CKG|URC|NLT|
NLT|BNE,|BNE|CAN|URC|NLT|
NLT|CGD,|CGD|PEK|URC|NLT|
NLT|CGK,|CGK|CAN|URC|NLT|
NLT|CGQ,|CGQ|HET|URC|NLT|
NLT|CIH,|CIH|DAT|TYN|URC|NLT|
NLT|CNX,|CNX|CAN|URC|NLT|
NLT|CZX,|CZX|TYN|URC|NLT|
NLT|DAC,|DAC|CAN|URC|NLT|
NLT|DAD,|DAD|CAN|URC|NLT|
NLT|DEL,|DEL|CAN|URC|NLT|
NLT|DIG,|DIG|KMG|CTU|URC|NLT|
NLT|DLC,|DLC|PEK|URC|NLT|
NLT|DPS,|DPS|CAN|URC|NLT|
NLT|DXB,|DXB|IST|URC|NLT|
NLT|DYG,|DYG|CSX|URC|NLT|
NLT|FUG,|FUG|CAN|URC|NLT|
NLT|FUK,|FUK|ICN|PEK|URC|NLT|
NLT|HAK,|HAK|CTU|URC|NLT|
NLT|HAN,|HAN|CAN|URC|NLT|
NLT|HDG,|HDG|CAN|URC|NLT|
NLT|HET,|HET|URC|NLT|
NLT|HFE,|HFE|XIY|URC|NLT|
