BOI|YXY,|YXY|YVR|PDX|OAK|BOI|
BOI|YYD,|YYD|YVR|PDX|OAK|BOI|
BOI|YYF,|YYF|YVR|PDX|OAK|BOI|
BOI|YZP,|YZP|YVR|PDX|OAK|BOI|
BOI|YQT,|YQT|YWG|DEN|BOI|
BOI|SJD,|SJD|LAX|BOI|
BOI|YQF,|YQF|YYC|SFO|BOI|
BOI|YQL,|YQL|YYC|SFO|BOI|
BOI|YXH,|YXH|YYC|SFO|BOI|
BOI|YWK,|YWK|YZV|YQB|ORD|BOI|
BOI|ANU,|ANU|EWR|ORD|BOI|
BOI|AUA,|AUA|ATL|DEN|BOI|
BOI|AUH,|AUH|FRA|DEN|BOI|
BOI|BCN,|BCN|YYZ|ORD|BOI|
BOI|BDA,|BDA|EWR|ORD|BOI|
BOI|BGI,|BGI|YYZ|ORD|BOI|
BOI|BNA,|BNA|DEN|BOI|
BOI|BOG,|BOG|IAH|DEN|BOI|
BOI|BWI,|BWI|ORD|BOI|
BOI|CLE,|CLE|ORD|BOI|
BOI|CLT,|CLT|ORD|BOI|
BOI|CMH,|CMH|ORD|BOI|
BOI|CVG,|CVG|ORD|BOI|
BOI|DFW,|DFW|DEN|BOI|
BOI|DTW,|DTW|ORD|BOI|
BOI|DUB,|DUB|ORD|BOI|
BOI|FCO,|FCO|YYZ|ORD|BOI|
BOI|GCM,|GCM|IAH|DEN|BOI|
BOI|GGT,|GGT|FLL|DEN|BOI|
BOI|GND,|GND|YYZ|ORD|BOI|
BOI|GRU,|GRU|IAH|DEN|BOI|
BOI|HAV,|HAV|YYZ|ORD|BOI|
BOI|IND,|IND|ORD|BOI|
BOI|JFK,|JFK|YYZ|ORD|BOI|
BOI|KIN,|KIN|YYZ|ORD|BOI|
BOI|LIM,|LIM|IAH|DEN|BOI|
BOI|LIR,|LIR|IAH|DEN|BOI|
BOI|MCI,|MCI|DEN|BOI|
BOI|MDT,|MDT|ORD|BOI|
BOI|MIA,|MIA|DEN|BOI|
BOI|MKE,|MKE|ORD|BOI|
BOI|MSP,|MSP|DEN|BOI|
BOI|NAS,|NAS|ATL|DEN|BOI|
BOI|PHL,|PHL|ORD|BOI|
BOI|PHX,|PHX|BOI|
BOI|PIT,|PIT|ORD|BOI|
BOI|PLS,|PLS|YYZ|ORD|BOI|
BOI|POP,|POP|YYZ|ORD|BOI|
BOI|RDU,|RDU|ORD|BOI|
BOI|ROC,|ROC|ORD|BOI|
BOI|RSW,|RSW|DEN|BOI|
BOI|SAN,|SAN|LAS|BOI|
BOI|SJO,|SJO|IAH|DEN|BOI|
BOI|STL,|STL|DEN|BOI|
BOI|SYR,|SYR|ORD|BOI|
BOI|TLV,|TLV|IST|FRA|DEN|BOI|
BOI|TPA,|TPA|DEN|BOI|
BOI|UVF,|UVF|EWR|ORD|BOI|
BOI|VIE,|VIE|ORD|BOI|
BOI|YAM,|YAM|YYZ|ORD|BOI|
BOI|YGK,|YGK|YYZ|ORD|BOI|
BOI|YQG,|YQG|YYZ|ORD|BOI|
BOI|YSB,|YSB|YYZ|ORD|BOI|
BOI|YTS,|YTS|YYZ|ORD|BOI|
BOI|YYB,|YYB|YYZ|ORD|BOI|
BOI|YZR,|YZR|YYZ|ORD|BOI|
BOI|CAN,|CAN|PVG|SFO|BOI|
BOI|URC,|URC|PEK|SFO|BOI|
BOI|CTU,|CTU|PEK|SFO|BOI|
BOI|HGH,|HGH|DLC|ICN|SFO|BOI|
BOI|XMN,|XMN|YNZ|DLC|ICN|SFO|BOI|
BOI|CGO,|CGO|PEK|SFO|BOI|
BOI|CSX,|CSX|ICN|SFO|BOI|
BOI|SHE,|SHE|ICN|SFO|BOI|
BOI|SJW,|SJW|DLC|ICN|SFO|BOI|
BOI|WUH,|WUH|ICN|SFO|BOI|
BOI|SZX,|SZX|PVG|SFO|BOI|
BOI|CKG,|CKG|PEK|SFO|BOI|
BOI|KMG,|KMG|PEK|SFO|BOI|
BOI|FOC,|FOC|HGH|DLC|ICN|SFO|BOI|
BOI|NNG,|NNG|CSX|ICN|SFO|BOI|
BOI|SWA,|SWA|WUH|ICN|SFO|BOI|
BOI|ACX,|ACX|CAN|PVG|SFO|BOI|
BOI|AQG,|AQG|CAN|PVG|SFO|BOI|
BOI|AVA,|AVA|CAN|PVG|SFO|BOI|
BOI|BFJ,|BFJ|CAN|PVG|SFO|BOI|
BOI|BHY,|BHY|CSX|ICN|SFO|BOI|
BOI|BNE,|BNE|CAN|PVG|SFO|BOI|
BOI|CGD,|CGD|PEK|SFO|BOI|
BOI|CGK,|CGK|CAN|PVG|SFO|BOI|
BOI|CGQ,|CGQ|NRT|SFO|BOI|
BOI|CIH,|CIH|PEK|SFO|BOI|
BOI|CNX,|CNX|CAN|PVG|SFO|BOI|
BOI|CZX,|CZX|SHE|ICN|SFO|BOI|
BOI|DAC,|DAC|CAN|PVG|SFO|BOI|
BOI|DAD,|DAD|CAN|PVG|SFO|BOI|
BOI|DEL,|DEL|EWR|ORD|BOI|
BOI|DIG,|DIG|KMG|PEK|SFO|BOI|
BOI|DLC,|DLC|ICN|SFO|BOI|
BOI|DPS,|DPS|SZX|PVG|SFO|BOI|
BOI|DXB,|DXB|IST|FRA|DEN|BOI|
BOI|DYG,|DYG|PEK|SFO|BOI|
BOI|FUG,|FUG|CAN|PVG|SFO|BOI|
BOI|FUK,|FUK|ICN|SFO|BOI|
BOI|HAK,|HAK|PVG|SFO|BOI|
BOI|HAN,|HAN|PEK|SFO|BOI|
BOI|HDG,|HDG|CAN|PVG|SFO|BOI|
BOI|HET,|HET|DLC|ICN|SFO|BOI|
BOI|HFE,|HFE|TYN|DLC|ICN|SFO|BOI|
BOI|HJJ,|HJJ|CSX|ICN|SFO|BOI|
BOI|HKT,|HKT|CAN|PVG|SFO|BOI|
BOI|HRB,|HRB|ICN|SFO|BOI|
BOI|HZH,|HZH|CAN|PVG|SFO|BOI|
BOI|JIU,|JIU|CAN|PVG|SFO|BOI|
BOI|JJN,|JJN|HGH|DLC|ICN|SFO|BOI|
BOI|JNG,|JNG|CAN|PVG|SFO|BOI|
BOI|KHN,|KHN|DLC|ICN|SFO|BOI|
BOI|KIX,|KIX|SFO|BOI|
BOI|KOW,|KOW|PEK|SFO|BOI|
BOI|KTM,|KTM|CAN|PVG|SFO|BOI|
BOI|KUL,|KUL|PVG|SFO|BOI|
BOI|KWE,|KWE|PEK|SFO|BOI|
BOI|KWL,|KWL|WUH|ICN|SFO|BOI|
BOI|LHW,|LHW|CGO|PEK|SFO|BOI|
BOI|LYA,|LYA|KHN|DLC|ICN|SFO|BOI|
BOI|LYG,|LYG|HSN|PEK|SFO|BOI|
BOI|LZH,|LZH|CAN|PVG|SFO|BOI|
BOI|MEL,|MEL|SYD|SFO|BOI|
BOI|MIG,|MIG|CSX|ICN|SFO|BOI|
BOI|MLE,|MLE|CAN|PVG|SFO|BOI|
BOI|MNL,|MNL|XMN|YNZ|DLC|ICN|SFO|BOI|
BOI|MXZ,|MXZ|CAN|PVG|SFO|BOI|
BOI|NAO,|NAO|PEK|SFO|BOI|
BOI|NGB,|NGB|DLC|ICN|SFO|BOI|
BOI|NKG,|NKG|DLC|ICN|SFO|BOI|
BOI|NNY,|NNY|CGO|PEK|SFO|BOI|
BOI|PEN,|PEN|CAN|PVG|SFO|BOI|
BOI|PER,|PER|CAN|PVG|SFO|BOI|
BOI|PNH,|PNH|CAN|PVG|SFO|BOI|
BOI|REP,|REP|CAN|PVG|SFO|BOI|
BOI|RGN,|RGN|CAN|PVG|SFO|BOI|
BOI|SGN,|SGN|HKG|SFO|BOI|
BOI|SHA,|SHA|PEK|SFO|BOI|
BOI|SIN,|SIN|NRT|SFO|BOI|
BOI|SVO,|SVO|URC|PEK|SFO|BOI|
BOI|SYX,|SYX|PVG|SFO|BOI|
BOI|TAO,|TAO|DLC|ICN|SFO|BOI|
BOI|TEN,|TEN|PEK|SFO|BOI|
BOI|TNA,|TNA|DLC|ICN|SFO|BOI|
BOI|TPE,|TPE|SFO|BOI|
BOI|TSN,|TSN|DLC|ICN|SFO|BOI|
BOI|TXN,|TXN|DLC|ICN|SFO|BOI|
BOI|TYN,|TYN|DLC|ICN|SFO|BOI|
BOI|WNZ,|WNZ|CGO|PEK|SFO|BOI|
BOI|WUX,|WUX|CAN|PVG|SFO|BOI|
BOI|XFN,|XFN|CAN|PVG|SFO|BOI|
BOI|XIY,|XIY|PEK|SFO|BOI|
BOI|XUZ,|XUZ|LYG|HSN|PEK|SFO|BOI|
BOI|YIH,|YIH|CKG|PEK|SFO|BOI|
BOI|YIW,|YIW|PEK|SFO|BOI|
BOI|YNT,|YNT|SHE|ICN|SFO|BOI|
BOI|YNZ,|YNZ|DLC|ICN|SFO|BOI|
BOI|YTY,|YTY|DLC|ICN|SFO|BOI|
BOI|ZHA,|ZHA|CAN|PVG|SFO|BOI|
BOI|ZYI,|ZYI|PEK|SFO|BOI|
BOI|BAV,|BAV|SJW|DLC|ICN|SFO|BOI|
BOI|CJU,|CJU|DLC|ICN|SFO|BOI|
BOI|DSN,|DSN|CGO|PEK|SFO|BOI|
BOI|HMI,|HMI|CGO|PEK|SFO|BOI|
BOI|INC,|INC|PEK|SFO|BOI|
BOI|KHH,|KHH|WUH|ICN|SFO|BOI|
BOI|UYN,|UYN|CGO|PEK|SFO|BOI|
BOI|XNN,|XNN|PEK|SFO|BOI|
BOI|ZUH,|ZUH|PVG|SFO|BOI|
BOI|YNJ,|YNJ|ICN|SFO|BOI|
BOI|DAT,|DAT|CIH|PEK|SFO|BOI|
BOI|JHG,|JHG|CKG|PEK|SFO|BOI|
BOI|LJG,|LJG|CKG|PEK|SFO|BOI|
BOI|LXA,|LXA|XIY|PEK|SFO|BOI|
BOI|YCU,|YCU|CSX|ICN|SFO|BOI|
BOI|LZO,|LZO|CSX|ICN|SFO|BOI|
BOI|MDG,|MDG|ICN|SFO|BOI|
BOI|NGO,|NGO|ICN|SFO|BOI|
BOI|TOY,|TOY|DLC|ICN|SFO|BOI|
BOI|MFM,|MFM|HGH|DLC|ICN|SFO|BOI|
BOI|TGO,|TGO|HET|DLC|ICN|SFO|BOI|
BOI|XIL,|XIL|HET|DLC|ICN|SFO|BOI|
BOI|HEK,|HEK|HRB|ICN|SFO|BOI|
BOI|KIJ,|KIJ|HRB|ICN|SFO|BOI|
BOI|LDS,|LDS|HRB|ICN|SFO|BOI|
BOI|OHE,|OHE|HRB|ICN|SFO|BOI|
BOI|HSN,|HSN|PEK|SFO|BOI|
BOI|DLU,|DLU|KMG|PEK|SFO|BOI|
BOI|SYM,|SYM|KMG|PEK|SFO|BOI|
BOI|ZAT,|ZAT|KMG|PEK|SFO|BOI|
BOI|LUN,|LUN|NBO|ZRH|ORD|BOI|
BOI|AOG,|AOG|PEK|SFO|BOI|
BOI|GMP,|GMP|PEK|SFO|BOI|
BOI|ISB,|ISB|PEK|SFO|BOI|
BOI|TAS,|TAS|PEK|SFO|BOI|
BOI|WUS,|WUS|PEK|SFO|BOI|
BOI|JMU,|JMU|PVG|SFO|BOI|
BOI|NDG,|NDG|PVG|SFO|BOI|
BOI|JXA,|JXA|SHE|ICN|SFO|BOI|
BOI|PUS,|PUS|SHE|ICN|SFO|BOI|
BOI|BKI,|BKI|SZX|PVG|SFO|BOI|
BOI|AKU,|AKU|URC|PEK|SFO|BOI|
BOI|ALA,|ALA|URC|PEK|SFO|BOI|
BOI|ASB,|ASB|GYD|FRA|DEN|BOI|
BOI|DNH,|DNH|XIY|PEK|SFO|BOI|
BOI|DYU,|DYU|IST|FRA|DEN|BOI|
BOI|FRU,|FRU|URC|PEK|SFO|BOI|
BOI|GYD,|GYD|FRA|DEN|BOI|
BOI|HTN,|HTN|URC|PEK|SFO|BOI|
BOI|IKA,|IKA|SAW|FRA|DEN|BOI|
BOI|KCA,|KCA|URC|PEK|SFO|BOI|
BOI|KHG,|KHG|URC|PEK|SFO|BOI|
BOI|KRL,|KRL|URC|PEK|SFO|BOI|
BOI|KRY,|KRY|URC|PEK|SFO|BOI|
BOI|LBD,|LBD|URC|PEK|SFO|BOI|
BOI|NLT,|NLT|URC|PEK|SFO|BOI|
BOI|OSS,|OSS|URC|PEK|SFO|BOI|
BOI|OVB,|OVB|URC|PEK|SFO|BOI|
BOI|TBS,|TBS|SAW|FRA|DEN|BOI|
BOI|TCG,|TCG|URC|PEK|SFO|BOI|
BOI|TSE,|TSE|FRA|DEN|BOI|
BOI|YIN,|YIN|URC|PEK|SFO|BOI|
BOI|ENH,|ENH|WUH|ICN|SFO|BOI|
BOI|ENY,|ENY|XIY|PEK|SFO|BOI|
BOI|WXN,|WXN|XIY|PEK|SFO|BOI|
BOI|BLL,|BLL|IST|FRA|DEN|BOI|
BOI|ESB,|ESB|FRA|DEN|BOI|
BOI|SAW,|SAW|FRA|DEN|BOI|
BOI|HAM,|HAM|EWR|ORD|BOI|
BOI|HRE,|HRE|ADD|JED|FRA|DEN|BOI|
BOI|JUB,|JUB|CAI|IST|FRA|DEN|BOI|
BOI|SSG,|SSG|DLA|BRU|ORD|BOI|
BOI|BGW,|BGW|ESB|FRA|DEN|BOI|
BOI|EBL,|EBL|IST|FRA|DEN|BOI|
