XNA|YYF,|YYF|YVR|DEN|XNA|
XNA|YZP,|YZP|YVR|DEN|XNA|
XNA|YQT,|YQT|YYZ|ORD|XNA|
XNA|SJD,|SJD|IAH|XNA|
XNA|YQF,|YQF|YYC|DEN|XNA|
XNA|YQL,|YQL|YYC|DEN|XNA|
XNA|YXH,|YXH|YYC|DEN|XNA|
XNA|YWK,|YWK|YZV|YQB|ORD|XNA|
XNA|ANU,|ANU|EWR|XNA|
XNA|AUA,|AUA|ATL|IAH|XNA|
XNA|AUH,|AUH|YYZ|ORD|XNA|
XNA|BCN,|BCN|YYZ|ORD|XNA|
XNA|BDA,|BDA|EWR|XNA|
XNA|BGI,|BGI|YYZ|ORD|XNA|
XNA|BNA,|BNA|ORD|XNA|
XNA|BOG,|BOG|IAH|XNA|
XNA|BWI,|BWI|ORD|XNA|
XNA|CLE,|CLE|ORD|XNA|
XNA|CLT,|CLT|ORD|XNA|
XNA|CMH,|CMH|ORD|XNA|
XNA|CVG,|CVG|ORD|XNA|
XNA|DFW,|DFW|IAH|XNA|
XNA|DTW,|DTW|ORD|XNA|
XNA|DUB,|DUB|ORD|XNA|
XNA|FCO,|FCO|YYZ|ORD|XNA|
XNA|GCM,|GCM|IAH|XNA|
XNA|GGT,|GGT|FLL|IAH|XNA|
XNA|GND,|GND|YYZ|ORD|XNA|
XNA|GRU,|GRU|IAH|XNA|
XNA|HAV,|HAV|YYZ|ORD|XNA|
XNA|IND,|IND|ORD|XNA|
XNA|JFK,|JFK|YYZ|ORD|XNA|
XNA|KIN,|KIN|YYZ|ORD|XNA|
XNA|LIM,|LIM|IAH|XNA|
XNA|LIR,|LIR|IAH|XNA|
XNA|MCI,|MCI|ORD|XNA|
XNA|MDT,|MDT|ORD|XNA|
XNA|MIA,|MIA|IAH|XNA|
XNA|MKE,|MKE|ORD|XNA|
XNA|MSP,|MSP|ORD|XNA|
XNA|NAS,|NAS|IAH|XNA|
XNA|PHL,|PHL|ORD|XNA|
XNA|PHX,|PHX|DEN|XNA|
XNA|PIT,|PIT|ORD|XNA|
XNA|PLS,|PLS|EWR|XNA|
XNA|POP,|POP|EWR|XNA|
XNA|RDU,|RDU|ORD|XNA|
XNA|ROC,|ROC|ORD|XNA|
XNA|RSW,|RSW|IAH|XNA|
XNA|SAN,|SAN|DEN|XNA|
XNA|SJO,|SJO|IAH|XNA|
XNA|STL,|STL|ORD|XNA|
XNA|SYR,|SYR|ORD|XNA|
XNA|TLV,|TLV|IST|ORD|XNA|
XNA|TPA,|TPA|IAH|XNA|
XNA|UVF,|UVF|EWR|XNA|
XNA|VIE,|VIE|ORD|XNA|
XNA|YAM,|YAM|YYZ|ORD|XNA|
XNA|YGK,|YGK|YYZ|ORD|XNA|
XNA|YQG,|YQG|YYZ|ORD|XNA|
XNA|YSB,|YSB|YYZ|ORD|XNA|
XNA|YTS,|YTS|YYZ|ORD|XNA|
XNA|YYB,|YYB|YYZ|ORD|XNA|
XNA|YZR,|YZR|YYZ|ORD|XNA|
XNA|CAN,|CAN|YVR|DEN|XNA|
XNA|URC,|URC|TSE|FRA|ORD|XNA|
XNA|CTU,|CTU|PEK|YVR|DEN|XNA|
XNA|HGH,|HGH|DLC|ICN|YVR|DEN|XNA|
XNA|XMN,|XMN|PEK|YVR|DEN|XNA|
XNA|CGO,|CGO|PEK|YVR|DEN|XNA|
XNA|CSX,|CSX|ICN|YVR|DEN|XNA|
XNA|SHE,|SHE|ICN|YVR|DEN|XNA|
XNA|SJW,|SJW|DLC|ICN|YVR|DEN|XNA|
XNA|WUH,|WUH|ICN|YVR|DEN|XNA|
XNA|SZX,|SZX|PVG|YVR|DEN|XNA|
XNA|CKG,|CKG|PEK|YVR|DEN|XNA|
XNA|KMG,|KMG|PEK|YVR|DEN|XNA|
XNA|FOC,|FOC|PEK|YVR|DEN|XNA|
XNA|NNG,|NNG|PEK|YVR|DEN|XNA|
XNA|SWA,|SWA|PEK|YVR|DEN|XNA|
XNA|ACX,|ACX|CAN|YVR|DEN|XNA|
XNA|AQG,|AQG|CAN|YVR|DEN|XNA|
XNA|AVA,|AVA|CAN|YVR|DEN|XNA|
XNA|BFJ,|BFJ|CAN|YVR|DEN|XNA|
XNA|BHY,|BHY|CSX|ICN|YVR|DEN|XNA|
XNA|BNE,|BNE|CAN|YVR|DEN|XNA|
XNA|CGD,|CGD|PEK|YVR|DEN|XNA|
XNA|CGK,|CGK|CAN|YVR|DEN|XNA|
XNA|CGQ,|CGQ|ICN|YVR|DEN|XNA|
XNA|CIH,|CIH|PEK|YVR|DEN|XNA|
XNA|CNX,|CNX|CAN|YVR|DEN|XNA|
XNA|CZX,|CZX|SHE|ICN|YVR|DEN|XNA|
XNA|DAC,|DAC|CAN|YVR|DEN|XNA|
XNA|DAD,|DAD|CAN|YVR|DEN|XNA|
XNA|DEL,|DEL|EWR|XNA|
XNA|DIG,|DIG|KMG|PEK|YVR|DEN|XNA|
XNA|DLC,|DLC|ICN|YVR|DEN|XNA|
XNA|DPS,|DPS|SZX|PVG|YVR|DEN|XNA|
XNA|DXB,|DXB|IST|ORD|XNA|
XNA|DYG,|DYG|PEK|YVR|DEN|XNA|
XNA|FUG,|FUG|CAN|YVR|DEN|XNA|
XNA|FUK,|FUK|ICN|YVR|DEN|XNA|
XNA|HAK,|HAK|CAN|YVR|DEN|XNA|
XNA|HAN,|HAN|PEK|YVR|DEN|XNA|
XNA|HDG,|HDG|CAN|YVR|DEN|XNA|
XNA|HET,|HET|DLC|ICN|YVR|DEN|XNA|
XNA|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|XNA|
XNA|HJJ,|HJJ|CSX|ICN|YVR|DEN|XNA|
