LGW|YQZ,|YQZ|YVR|MUC|IST|LGW|
LGW|YXC,|YXC|YYC|FRA|IST|LGW|
LGW|YXJ,|YXJ|YYC|FRA|IST|LGW|
LGW|YXS,|YXS|YYC|FRA|IST|LGW|
LGW|YXT,|YXT|YVR|MUC|IST|LGW|
LGW|YXY,|YXY|YVR|MUC|IST|LGW|
LGW|YYD,|YYD|YVR|MUC|IST|LGW|
LGW|YYF,|YYF|YVR|MUC|IST|LGW|
LGW|YZP,|YZP|YVR|MUC|IST|LGW|
LGW|YQT,|YQT|YYZ|IST|LGW|
LGW|SJD,|SJD|ORD|IST|LGW|
LGW|YQF,|YQF|YYC|FRA|IST|LGW|
LGW|YQL,|YQL|YYC|FRA|IST|LGW|
LGW|YXH,|YXH|YYC|FRA|IST|LGW|
LGW|YWK,|YWK|YYR|YYT|LHR|IST|LGW|
LGW|ANU,|ANU|EWR|BHX|IST|LGW|
LGW|AUA,|AUA|EWR|BHX|IST|LGW|
LGW|AUH,|AUH|IST|LGW|
LGW|BCN,|BCN|IST|LGW|
LGW|BDA,|BDA|EWR|BHX|IST|LGW|
LGW|BGI,|BGI|YYZ|IST|LGW|
LGW|BNA,|BNA|YYZ|IST|LGW|
LGW|BOG,|BOG|MIA|ZRH|IST|LGW|
LGW|BWI,|BWI|EWR|BHX|IST|LGW|
LGW|CLE,|CLE|YYZ|IST|LGW|
LGW|CLT,|CLT|EWR|BHX|IST|LGW|
LGW|CMH,|CMH|YYZ|IST|LGW|
LGW|CVG,|CVG|YYZ|IST|LGW|
LGW|DFW,|DFW|ORD|IST|LGW|
LGW|DTW,|DTW|FRA|IST|LGW|
LGW|DUB,|DUB|IST|LGW|
LGW|FCO,|FCO|IST|LGW|
LGW|GCM,|GCM|EWR|BHX|IST|LGW|
LGW|GGT,|GGT|FLL|MCO|FRA|IST|LGW|
LGW|GND,|GND|YYZ|IST|LGW|
LGW|GRU,|GRU|IST|LGW|
LGW|HAV,|HAV|YYZ|IST|LGW|
LGW|IND,|IND|YYZ|IST|LGW|
LGW|JFK,|JFK|IST|LGW|
LGW|KIN,|KIN|YYZ|IST|LGW|
LGW|LIM,|LIM|MIA|ZRH|IST|LGW|
LGW|LIR,|LIR|EWR|BHX|IST|LGW|
LGW|MCI,|MCI|ORD|IST|LGW|
LGW|MDT,|MDT|IAD|IST|LGW|
LGW|MIA,|MIA|ZRH|IST|LGW|
LGW|MKE,|MKE|YYZ|IST|LGW|
LGW|MSP,|MSP|YUL|FRA|IST|LGW|
LGW|NAS,|NAS|EWR|BHX|IST|LGW|
LGW|PHL,|PHL|IAD|IST|LGW|
LGW|PHX,|PHX|DEN|FRA|IST|LGW|
LGW|PIT,|PIT|YYZ|IST|LGW|
LGW|PLS,|PLS|EWR|BHX|IST|LGW|
LGW|POP,|POP|EWR|BHX|IST|LGW|
LGW|RDU,|RDU|EWR|BHX|IST|LGW|
LGW|ROC,|ROC|YYZ|IST|LGW|
LGW|RSW,|RSW|MCO|FRA|IST|LGW|
LGW|SAN,|SAN|LAX|IST|LGW|
LGW|SJO,|SJO|EWR|BHX|IST|LGW|
LGW|STL,|STL|ORD|IST|LGW|
LGW|SYR,|SYR|EWR|BHX|IST|LGW|
LGW|TLV,|TLV|IST|LGW|
LGW|TPA,|TPA|EWR|BHX|IST|LGW|
LGW|UVF,|UVF|EWR|BHX|IST|LGW|
LGW|VIE,|VIE|IST|LGW|
LGW|YAM,|YAM|YYZ|IST|LGW|
LGW|YGK,|YGK|YYZ|IST|LGW|
LGW|YQG,|YQG|YYZ|IST|LGW|
LGW|YSB,|YSB|YYZ|IST|LGW|
LGW|YTS,|YTS|YYZ|IST|LGW|
LGW|YYB,|YYB|YYZ|IST|LGW|
LGW|YZR,|YZR|YYZ|IST|LGW|
LGW|CAN,|CAN|IST|LGW|
LGW|URC,|URC|IST|LGW|
LGW|CTU,|CTU|URC|IST|LGW|
LGW|HGH,|HGH|URC|IST|LGW|
LGW|XMN,|XMN|CSX|URC|IST|LGW|
LGW|CGO,|CGO|URC|IST|LGW|
LGW|CSX,|CSX|URC|IST|LGW|
LGW|SHE,|SHE|PEK|IST|LGW|
LGW|SJW,|SJW|URC|IST|LGW|
LGW|WUH,|WUH|URC|IST|LGW|
LGW|SZX,|SZX|CKG|URC|IST|LGW|
LGW|CKG,|CKG|URC|IST|LGW|
