DTW|YQT,|YQT|YYZ|DTW|
DTW|SJD,|SJD|ORD|DTW|
DTW|YQF,|YQF|YYC|ORD|DTW|
DTW|YQL,|YQL|YYC|ORD|DTW|
DTW|YXH,|YXH|YYC|ORD|DTW|
DTW|YWK,|YWK|YZV|YQB|YYZ|DTW|
DTW|ANU,|ANU|EWR|DTW|
DTW|AUA,|AUA|IAD|DTW|
DTW|AUH,|AUH|YYZ|DTW|
DTW|BCN,|BCN|YYZ|DTW|
DTW|BDA,|BDA|EWR|DTW|
DTW|BGI,|BGI|YYZ|DTW|
DTW|BNA,|BNA|DTW|
DTW|BOG,|BOG|IAD|DTW|
DTW|BWI,|BWI|DTW|
DTW|CLE,|CLE|YYZ|DTW|
DTW|CLT,|CLT|IAD|DTW|
DTW|CMH,|CMH|MDW|DTW|
DTW|CVG,|CVG|ORD|DTW|
DTW|DFW,|DFW|ORD|DTW|
DTW|DUB,|DUB|YYZ|DTW|
DTW|FCO,|FCO|YYZ|DTW|
DTW|GCM,|GCM|IAD|DTW|
DTW|GGT,|GGT|FLL|ATL|DTW|
DTW|GND,|GND|YYZ|DTW|
DTW|GRU,|GRU|IAD|DTW|
DTW|HAV,|HAV|YYZ|DTW|
DTW|IND,|IND|ORD|DTW|
DTW|JFK,|JFK|YYZ|DTW|
DTW|KIN,|KIN|YYZ|DTW|
DTW|LIM,|LIM|MIA|IAD|DTW|
DTW|LIR,|LIR|YYZ|DTW|
DTW|MCI,|MCI|MDW|DTW|
DTW|MDT,|MDT|IAD|DTW|
DTW|MIA,|MIA|IAD|DTW|
DTW|MKE,|MKE|ORD|DTW|
DTW|MSP,|MSP|ORD|DTW|
DTW|NAS,|NAS|ATL|DTW|
DTW|PHL,|PHL|IAD|DTW|
DTW|PHX,|PHX|DTW|
DTW|PIT,|PIT|YYZ|DTW|
DTW|PLS,|PLS|YYZ|DTW|
DTW|POP,|POP|YYZ|DTW|
DTW|RDU,|RDU|IAD|DTW|
DTW|ROC,|ROC|YYZ|DTW|
DTW|RSW,|RSW|ATL|DTW|
DTW|SAN,|SAN|MDW|DTW|
DTW|SJO,|SJO|IAD|DTW|
DTW|STL,|STL|DTW|
DTW|SYR,|SYR|YYZ|DTW|
DTW|TLV,|TLV|YYZ|DTW|
DTW|TPA,|TPA|ATL|DTW|
DTW|UVF,|UVF|EWR|DTW|
DTW|VIE,|VIE|YYZ|DTW|
DTW|YAM,|YAM|YYZ|DTW|
DTW|YGK,|YGK|YYZ|DTW|
DTW|YQG,|YQG|YYZ|DTW|
DTW|YSB,|YSB|YYZ|DTW|
DTW|YTS,|YTS|YYZ|DTW|
DTW|YYB,|YYB|YYZ|DTW|
DTW|YZR,|YZR|YYZ|DTW|
DTW|CAN,|CAN|PEK|DTW|
DTW|URC,|URC|TSE|FRA|DTW|
DTW|CTU,|CTU|PEK|DTW|
DTW|HGH,|HGH|PEK|DTW|
DTW|XMN,|XMN|PEK|DTW|
DTW|CGO,|CGO|PEK|DTW|
DTW|CSX,|CSX|PEK|DTW|
DTW|SHE,|SHE|PEK|DTW|
DTW|SJW,|SJW|DLC|PEK|DTW|
DTW|WUH,|WUH|PEK|DTW|
DTW|SZX,|SZX|PEK|DTW|
DTW|CKG,|CKG|PEK|DTW|
DTW|KMG,|KMG|PEK|DTW|
DTW|FOC,|FOC|PEK|DTW|
DTW|NNG,|NNG|PEK|DTW|
DTW|SWA,|SWA|PEK|DTW|
DTW|ACX,|ACX|CAN|PEK|DTW|
DTW|AQG,|AQG|CAN|PEK|DTW|
DTW|AVA,|AVA|CAN|PEK|DTW|
