KCM|YCG,|YCG|YYC|FRA|ESB|KCM|
KCM|YKA,|YKA|YYC|FRA|ESB|KCM|
KCM|YPR,|YPR|YVR|FRA|ESB|KCM|
KCM|YQZ,|YQZ|YVR|FRA|ESB|KCM|
KCM|YXC,|YXC|YYC|FRA|ESB|KCM|
KCM|YXJ,|YXJ|YYC|FRA|ESB|KCM|
KCM|YXS,|YXS|YYC|FRA|ESB|KCM|
KCM|YXT,|YXT|YVR|FRA|ESB|KCM|
KCM|YXY,|YXY|YVR|FRA|ESB|KCM|
KCM|YYD,|YYD|YVR|FRA|ESB|KCM|
KCM|YYF,|YYF|YVR|FRA|ESB|KCM|
KCM|YZP,|YZP|YVR|FRA|ESB|KCM|
KCM|YQT,|YQT|YYZ|VIE|ESB|KCM|
KCM|SJD,|SJD|ORD|VIE|ESB|KCM|
KCM|YQF,|YQF|YYC|FRA|ESB|KCM|
KCM|YQL,|YQL|YYC|FRA|ESB|KCM|
KCM|YXH,|YXH|YYC|FRA|ESB|KCM|
KCM|YWK,|YWK|YYR|YYT|LHR|IST|KCM|
KCM|ANU,|ANU|EWR|FRA|ESB|KCM|
KCM|AUA,|AUA|EWR|FRA|ESB|KCM|
KCM|AUH,|AUH|IST|KCM|
KCM|BCN,|BCN|IST|KCM|
KCM|BDA,|BDA|EWR|FRA|ESB|KCM|
KCM|BGI,|BGI|YYZ|VIE|ESB|KCM|
KCM|BNA,|BNA|YYZ|VIE|ESB|KCM|
KCM|BOG,|BOG|JFK|VIE|ESB|KCM|
KCM|BWI,|BWI|EWR|FRA|ESB|KCM|
KCM|CLE,|CLE|YYZ|VIE|ESB|KCM|
KCM|CLT,|CLT|EWR|FRA|ESB|KCM|
KCM|CMH,|CMH|YYZ|VIE|ESB|KCM|
KCM|CVG,|CVG|YYZ|VIE|ESB|KCM|
KCM|DFW,|DFW|ORD|VIE|ESB|KCM|
KCM|DTW,|DTW|YYZ|VIE|ESB|KCM|
KCM|DUB,|DUB|IST|KCM|
KCM|FCO,|FCO|IST|KCM|
KCM|GCM,|GCM|EWR|FRA|ESB|KCM|
KCM|GGT,|GGT|FLL|MCO|FRA|ESB|KCM|
KCM|GND,|GND|YYZ|VIE|ESB|KCM|
KCM|GRU,|GRU|IST|KCM|
KCM|HAV,|HAV|YYZ|VIE|ESB|KCM|
KCM|IND,|IND|YYZ|VIE|ESB|KCM|
KCM|JFK,|JFK|VIE|ESB|KCM|
KCM|KIN,|KIN|YYZ|VIE|ESB|KCM|
KCM|LIM,|LIM|MIA|ZRH|IST|KCM|
KCM|LIR,|LIR|EWR|FRA|ESB|KCM|
KCM|MCI,|MCI|ORD|VIE|ESB|KCM|
KCM|MDT,|MDT|IAD|VIE|ESB|KCM|
KCM|MIA,|MIA|ZRH|IST|KCM|
KCM|MKE,|MKE|YYZ|VIE|ESB|KCM|
KCM|MSP,|MSP|YUL|FRA|ESB|KCM|
KCM|NAS,|NAS|EWR|FRA|ESB|KCM|
KCM|PHL,|PHL|IAD|VIE|ESB|KCM|
KCM|PHX,|PHX|DEN|FRA|ESB|KCM|
KCM|PIT,|PIT|YYZ|VIE|ESB|KCM|
KCM|PLS,|PLS|EWR|FRA|ESB|KCM|
KCM|POP,|POP|EWR|FRA|ESB|KCM|
KCM|RDU,|RDU|EWR|FRA|ESB|KCM|
KCM|ROC,|ROC|YYZ|VIE|ESB|KCM|
KCM|RSW,|RSW|MCO|FRA|ESB|KCM|
KCM|SAN,|SAN|LAX|IST|KCM|
KCM|SJO,|SJO|EWR|FRA|ESB|KCM|
KCM|STL,|STL|ORD|VIE|ESB|KCM|
KCM|SYR,|SYR|EWR|FRA|ESB|KCM|
KCM|TLV,|TLV|SAW|ESB|KCM|
KCM|TPA,|TPA|EWR|FRA|ESB|KCM|
KCM|UVF,|UVF|EWR|FRA|ESB|KCM|
KCM|VIE,|VIE|ESB|KCM|
KCM|YAM,|YAM|YYZ|VIE|ESB|KCM|
KCM|YGK,|YGK|YYZ|VIE|ESB|KCM|
KCM|YQG,|YQG|YYZ|VIE|ESB|KCM|
KCM|YSB,|YSB|YYZ|VIE|ESB|KCM|
KCM|YTS,|YTS|YYZ|VIE|ESB|KCM|
KCM|YYB,|YYB|YYZ|VIE|ESB|KCM|
KCM|YZR,|YZR|YYZ|VIE|ESB|KCM|
KCM|CAN,|CAN|IST|KCM|
KCM|URC,|URC|TBS|SAW|ESB|KCM|
KCM|CTU,|CTU|URC|TBS|SAW|ESB|KCM|
KCM|HGH,|HGH|URC|TBS|SAW|ESB|KCM|
KCM|XMN,|XMN|CSX|URC|TBS|SAW|ESB|KCM|
KCM|CGO,|CGO|URC|TBS|SAW|ESB|KCM|
KCM|CSX,|CSX|URC|TBS|SAW|ESB|KCM|
KCM|SHE,|SHE|PEK|IST|KCM|
KCM|SJW,|SJW|URC|TBS|SAW|ESB|KCM|
KCM|WUH,|WUH|URC|TBS|SAW|ESB|KCM|
KCM|SZX,|SZX|CKG|URC|TBS|SAW|ESB|KCM|
KCM|CKG,|CKG|URC|TBS|SAW|ESB|KCM|
KCM|KMG,|KMG|CTU|URC|TBS|SAW|ESB|KCM|
KCM|FOC,|FOC|XIY|URC|TBS|SAW|ESB|KCM|
KCM|NNG,|NNG|KWE|URC|TBS|SAW|ESB|KCM|
KCM|SWA,|SWA|CSX|URC|TBS|SAW|ESB|KCM|
KCM|ACX,|ACX|CAN|IST|KCM|
KCM|AQG,|AQG|CAN|IST|KCM|
KCM|AVA,|AVA|CAN|IST|KCM|
KCM|BFJ,|BFJ|CAN|IST|KCM|
KCM|BHY,|BHY|CKG|URC|TBS|SAW|ESB|KCM|
KCM|BNE,|BNE|BKK|IST|KCM|
KCM|CGD,|CGD|PEK|IST|KCM|
KCM|CGK,|CGK|SIN|IST|KCM|
KCM|CGQ,|CGQ|HET|URC|TBS|SAW|ESB|KCM|
KCM|CIH,|CIH|PEK|IST|KCM|
KCM|CNX,|CNX|CAN|IST|KCM|
KCM|CZX,|CZX|TYN|URC|TBS|SAW|ESB|KCM|
KCM|DAC,|DAC|IST|KCM|
KCM|DAD,|DAD|CAN|IST|KCM|
KCM|DEL,|DEL|IST|KCM|
KCM|DIG,|DIG|KMG|CTU|URC|TBS|SAW|ESB|KCM|
KCM|DLC,|DLC|PEK|IST|KCM|
KCM|DPS,|DPS|CAN|IST|KCM|
KCM|DXB,|DXB|IST|KCM|
KCM|DYG,|DYG|CSX|URC|TBS|SAW|ESB|KCM|
KCM|FUG,|FUG|CAN|IST|KCM|
KCM|FUK,|FUK|ICN|IST|KCM|
KCM|HAK,|HAK|CTU|URC|TBS|SAW|ESB|KCM|
KCM|HAN,|HAN|CAN|IST|KCM|
KCM|HDG,|HDG|CAN|IST|KCM|
KCM|HET,|HET|URC|TBS|SAW|ESB|KCM|
KCM|HFE,|HFE|XIY|URC|TBS|SAW|ESB|KCM|
KCM|HJJ,|HJJ|CSX|URC|TBS|SAW|ESB|KCM|
KCM|HKT,|HKT|KWE|URC|TBS|SAW|ESB|KCM|
KCM|HRB,|HRB|PEK|IST|KCM|
KCM|HZH,|HZH|CAN|IST|KCM|
KCM|JIU,|JIU|CAN|IST|KCM|
KCM|JJN,|JJN|CSX|URC|TBS|SAW|ESB|KCM|
KCM|JNG,|JNG|CAN|IST|KCM|
KCM|KHN,|KHN|XIY|URC|TBS|SAW|ESB|KCM|
KCM|KIX,|KIX|IST|KCM|
KCM|KOW,|KOW|CAN|IST|KCM|
KCM|KTM,|KTM|IST|KCM|
KCM|KUL,|KUL|IST|KCM|
KCM|KWE,|KWE|URC|TBS|SAW|ESB|KCM|
KCM|KWL,|KWL|CKG|URC|TBS|SAW|ESB|KCM|
KCM|LHW,|LHW|URC|TBS|SAW|ESB|KCM|
KCM|LYA,|LYA|KHN|XIY|URC|TBS|SAW|ESB|KCM|
KCM|LYG,|LYG|XUZ|INC|URC|TBS|SAW|ESB|KCM|
KCM|LZH,|LZH|CAN|IST|KCM|
KCM|MEL,|MEL|BKK|IST|KCM|
KCM|MIG,|MIG|CSX|URC|TBS|SAW|ESB|KCM|
KCM|MLE,|MLE|IST|KCM|
KCM|MNL,|MNL|CAN|IST|KCM|
KCM|MXZ,|MXZ|CAN|IST|KCM|
KCM|NAO,|NAO|PEK|IST|KCM|
KCM|NGB,|NGB|WUH|URC|TBS|SAW|ESB|KCM|
KCM|NKG,|NKG|URC|TBS|SAW|ESB|KCM|
KCM|NNY,|NNY|CGO|URC|TBS|SAW|ESB|KCM|
KCM|PEN,|PEN|CAN|IST|KCM|
KCM|PER,|PER|BKK|IST|KCM|
KCM|PNH,|PNH|CAN|IST|KCM|
KCM|REP,|REP|CAN|IST|KCM|
KCM|RGN,|RGN|CAN|IST|KCM|
KCM|SGN,|SGN|BKK|IST|KCM|
KCM|SHA,|SHA|URC|TBS|SAW|ESB|KCM|
KCM|SIN,|SIN|IST|KCM|
KCM|SVO,|SVO|URC|TBS|SAW|ESB|KCM|
KCM|SYX,|SYX|CKG|URC|TBS|SAW|ESB|KCM|
KCM|TAO,|TAO|TYN|URC|TBS|SAW|ESB|KCM|
KCM|TEN,|TEN|CAN|IST|KCM|
KCM|TNA,|TNA|URC|TBS|SAW|ESB|KCM|
KCM|TPE,|TPE|URC|TBS|SAW|ESB|KCM|
KCM|TSN,|TSN|HET|URC|TBS|SAW|ESB|KCM|
KCM|TXN,|TXN|TYN|URC|TBS|SAW|ESB|KCM|
KCM|TYN,|TYN|URC|TBS|SAW|ESB|KCM|
KCM|WNZ,|WNZ|XIY|URC|TBS|SAW|ESB|KCM|
KCM|WUX,|WUX|CAN|IST|KCM|
KCM|XFN,|XFN|CAN|IST|KCM|
KCM|XIY,|XIY|URC|TBS|SAW|ESB|KCM|
KCM|XUZ,|XUZ|INC|URC|TBS|SAW|ESB|KCM|
KCM|YIH,|YIH|CKG|URC|TBS|SAW|ESB|KCM|
KCM|YIW,|YIW|URC|TBS|SAW|ESB|KCM|
KCM|YNT,|YNT|SHE|PEK|IST|KCM|
KCM|YNZ,|YNZ|WUH|URC|TBS|SAW|ESB|KCM|
KCM|YTY,|YTY|CGO|URC|TBS|SAW|ESB|KCM|
KCM|ZHA,|ZHA|CAN|IST|KCM|
KCM|ZYI,|ZYI|CAN|IST|KCM|
KCM|BAV,|BAV|URC|TBS|SAW|ESB|KCM|
KCM|CJU,|CJU|DLC|PEK|IST|KCM|
KCM|DSN,|DSN|CGO|URC|TBS|SAW|ESB|KCM|
KCM|HMI,|HMI|URC|TBS|SAW|ESB|KCM|
KCM|INC,|INC|URC|TBS|SAW|ESB|KCM|
KCM|KHH,|KHH|WUH|URC|TBS|SAW|ESB|KCM|
KCM|UYN,|UYN|XIY|URC|TBS|SAW|ESB|KCM|
KCM|XNN,|XNN|URC|TBS|SAW|ESB|KCM|
KCM|ZUH,|ZUH|KWE|URC|TBS|SAW|ESB|KCM|
KCM|YNJ,|YNJ|PEK|IST|KCM|
KCM|DAT,|DAT|TYN|URC|TBS|SAW|ESB|KCM|
KCM|JHG,|JHG|KMG|CTU|URC|TBS|SAW|ESB|KCM|
KCM|LJG,|LJG|KMG|CTU|URC|TBS|SAW|ESB|KCM|
KCM|LXA,|LXA|CKG|URC|TBS|SAW|ESB|KCM|
KCM|YCU,|YCU|CKG|URC|TBS|SAW|ESB|KCM|
KCM|LZO,|LZO|CSX|URC|TBS|SAW|ESB|KCM|
KCM|MDG,|MDG|DLC|PEK|IST|KCM|
KCM|NGO,|NGO|ICN|IST|KCM|
KCM|TOY,|TOY|DLC|PEK|IST|KCM|
KCM|MFM,|MFM|XMN|CSX|URC|TBS|SAW|ESB|KCM|
KCM|TGO,|TGO|HET|URC|TBS|SAW|ESB|KCM|
KCM|XIL,|XIL|HET|URC|TBS|SAW|ESB|KCM|
KCM|HEK,|HEK|HRB|PEK|IST|KCM|
KCM|KIJ,|KIJ|HRB|PEK|IST|KCM|
KCM|LDS,|LDS|HRB|PEK|IST|KCM|
KCM|OHE,|OHE|HRB|PEK|IST|KCM|
KCM|HSN,|HSN|LYG|XUZ|INC|URC|TBS|SAW|ESB|KCM|
KCM|DLU,|DLU|KMG|CTU|URC|TBS|SAW|ESB|KCM|
KCM|SYM,|SYM|KMG|CTU|URC|TBS|SAW|ESB|KCM|
KCM|ZAT,|ZAT|KMG|CTU|URC|TBS|SAW|ESB|KCM|
KCM|LUN,|LUN|NBO|IST|KCM|
KCM|AOG,|AOG|PEK|IST|KCM|
KCM|GMP,|GMP|PEK|IST|KCM|
KCM|ISB,|ISB|IST|KCM|
KCM|TAS,|TAS|IST|KCM|
KCM|WUS,|WUS|PEK|IST|KCM|
KCM|JMU,|JMU|PVG|IST|KCM|
KCM|NDG,|NDG|PVG|IST|KCM|
KCM|JXA,|JXA|SHE|PEK|IST|KCM|
KCM|PUS,|PUS|SHE|PEK|IST|KCM|
KCM|BKI,|BKI|SZX|CKG|URC|TBS|SAW|ESB|KCM|
KCM|AKU,|AKU|URC|TBS|SAW|ESB|KCM|
KCM|ALA,|ALA|IST|KCM|
KCM|ASB,|ASB|IST|KCM|
KCM|DNH,|DNH|URC|TBS|SAW|ESB|KCM|
KCM|DYU,|DYU|IST|KCM|
KCM|FRU,|FRU|IST|KCM|
KCM|GYD,|GYD|IST|KCM|
KCM|HTN,|HTN|URC|TBS|SAW|ESB|KCM|
KCM|IKA,|IKA|SAW|ESB|KCM|
