HON|SEA,|SEA|DEN|PIR|HON|
HON|SYD,|SYD|LAX|DEN|PIR|HON|
HON|YBL,|YBL|YVR|DEN|PIR|HON|
HON|YCD,|YCD|YVR|DEN|PIR|HON|
HON|YCG,|YCG|YYC|DEN|PIR|HON|
HON|YKA,|YKA|YYC|DEN|PIR|HON|
HON|YPR,|YPR|YVR|DEN|PIR|HON|
HON|YQZ,|YQZ|YVR|DEN|PIR|HON|
HON|YXC,|YXC|YYC|DEN|PIR|HON|
HON|YXJ,|YXJ|YYC|DEN|PIR|HON|
HON|YXS,|YXS|YYC|DEN|PIR|HON|
HON|YXT,|YXT|YVR|DEN|PIR|HON|
HON|YXY,|YXY|YVR|DEN|PIR|HON|
HON|YYD,|YYD|YVR|DEN|PIR|HON|
HON|YYF,|YYF|YVR|DEN|PIR|HON|
HON|YZP,|YZP|YVR|DEN|PIR|HON|
HON|YQT,|YQT|YWG|DEN|PIR|HON|
HON|SJD,|SJD|DEN|PIR|HON|
HON|YQF,|YQF|YYC|DEN|PIR|HON|
HON|YQL,|YQL|YYC|DEN|PIR|HON|
HON|YXH,|YXH|YYC|DEN|PIR|HON|
HON|YWK,|YWK|YZV|YUL|DEN|PIR|HON|
HON|ANU,|ANU|EWR|DEN|PIR|HON|
HON|AUA,|AUA|ATL|DEN|PIR|HON|
HON|AUH,|AUH|FRA|DEN|PIR|HON|
HON|BCN,|BCN|YYZ|DEN|PIR|HON|
HON|BDA,|BDA|EWR|DEN|PIR|HON|
HON|BGI,|BGI|YYZ|DEN|PIR|HON|
HON|BNA,|BNA|DEN|PIR|HON|
HON|BOG,|BOG|IAH|DEN|PIR|HON|
HON|BWI,|BWI|DEN|PIR|HON|
HON|CLE,|CLE|DEN|PIR|HON|
HON|CLT,|CLT|MDW|DEN|PIR|HON|
HON|CMH,|CMH|DEN|PIR|HON|
HON|CVG,|CVG|DEN|PIR|HON|
HON|DFW,|DFW|DEN|PIR|HON|
HON|DTW,|DTW|DEN|PIR|HON|
HON|DUB,|DUB|ORD|DEN|PIR|HON|
HON|FCO,|FCO|YYZ|DEN|PIR|HON|
HON|GCM,|GCM|IAH|DEN|PIR|HON|
HON|GGT,|GGT|FLL|DEN|PIR|HON|
HON|GND,|GND|YYZ|DEN|PIR|HON|
HON|GRU,|GRU|IAH|DEN|PIR|HON|
HON|HAV,|HAV|YYZ|DEN|PIR|HON|
HON|IND,|IND|DEN|PIR|HON|
HON|JFK,|JFK|IAD|DEN|PIR|HON|
HON|KIN,|KIN|YYZ|DEN|PIR|HON|
HON|LIM,|LIM|IAH|DEN|PIR|HON|
HON|LIR,|LIR|IAH|DEN|PIR|HON|
HON|MCI,|MCI|DEN|PIR|HON|
HON|MDT,|MDT|ORD|DEN|PIR|HON|
HON|MIA,|MIA|DEN|PIR|HON|
HON|MKE,|MKE|DEN|PIR|HON|
HON|MSP,|MSP|DEN|PIR|HON|
HON|NAS,|NAS|ATL|DEN|PIR|HON|
HON|PHL,|PHL|DEN|PIR|HON|
HON|PHX,|PHX|DEN|PIR|HON|
HON|PIT,|PIT|DEN|PIR|HON|
HON|PLS,|PLS|YYZ|DEN|PIR|HON|
HON|POP,|POP|YYZ|DEN|PIR|HON|
HON|RDU,|RDU|DEN|PIR|HON|
HON|ROC,|ROC|ORD|DEN|PIR|HON|
HON|RSW,|RSW|DEN|PIR|HON|
HON|SAN,|SAN|DEN|PIR|HON|
HON|SJO,|SJO|IAH|DEN|PIR|HON|
HON|STL,|STL|DEN|PIR|HON|
HON|SYR,|SYR|ORD|DEN|PIR|HON|
HON|TLV,|TLV|IST|FRA|DEN|PIR|HON|
HON|TPA,|TPA|DEN|PIR|HON|
HON|UVF,|UVF|EWR|DEN|PIR|HON|
HON|VIE,|VIE|ORD|DEN|PIR|HON|
HON|YAM,|YAM|YYZ|DEN|PIR|HON|
HON|YGK,|YGK|YYZ|DEN|PIR|HON|
HON|YQG,|YQG|YYZ|DEN|PIR|HON|
HON|YSB,|YSB|YYZ|DEN|PIR|HON|
HON|YTS,|YTS|YYZ|DEN|PIR|HON|
HON|YYB,|YYB|YYZ|DEN|PIR|HON|
HON|YZR,|YZR|YYZ|DEN|PIR|HON|
HON|CAN,|CAN|YVR|DEN|PIR|HON|
HON|URC,|URC|PEK|YVR|DEN|PIR|HON|
HON|CTU,|CTU|PEK|YVR|DEN|PIR|HON|
HON|HGH,|HGH|DLC|ICN|YVR|DEN|PIR|HON|
HON|XMN,|XMN|PEK|YVR|DEN|PIR|HON|
HON|CGO,|CGO|PEK|YVR|DEN|PIR|HON|
HON|CSX,|CSX|ICN|YVR|DEN|PIR|HON|
HON|SHE,|SHE|ICN|YVR|DEN|PIR|HON|
HON|SJW,|SJW|DLC|ICN|YVR|DEN|PIR|HON|
HON|WUH,|WUH|ICN|YVR|DEN|PIR|HON|
HON|SZX,|SZX|PVG|YVR|DEN|PIR|HON|
HON|CKG,|CKG|PEK|YVR|DEN|PIR|HON|
HON|KMG,|KMG|PEK|YVR|DEN|PIR|HON|
HON|FOC,|FOC|PEK|YVR|DEN|PIR|HON|
HON|NNG,|NNG|PEK|YVR|DEN|PIR|HON|
HON|SWA,|SWA|PEK|YVR|DEN|PIR|HON|
HON|ACX,|ACX|CAN|YVR|DEN|PIR|HON|
HON|AQG,|AQG|CAN|YVR|DEN|PIR|HON|
HON|AVA,|AVA|CAN|YVR|DEN|PIR|HON|
HON|BFJ,|BFJ|CAN|YVR|DEN|PIR|HON|
HON|BHY,|BHY|CSX|ICN|YVR|DEN|PIR|HON|
HON|BNE,|BNE|CAN|YVR|DEN|PIR|HON|
HON|CGD,|CGD|PEK|YVR|DEN|PIR|HON|
HON|CGK,|CGK|CAN|YVR|DEN|PIR|HON|
HON|CGQ,|CGQ|ICN|YVR|DEN|PIR|HON|
HON|CIH,|CIH|PEK|YVR|DEN|PIR|HON|
HON|CNX,|CNX|CAN|YVR|DEN|PIR|HON|
HON|CZX,|CZX|SHE|ICN|YVR|DEN|PIR|HON|
HON|DAC,|DAC|CAN|YVR|DEN|PIR|HON|
HON|DAD,|DAD|CAN|YVR|DEN|PIR|HON|
HON|DEL,|DEL|EWR|DEN|PIR|HON|
HON|DIG,|DIG|KMG|PEK|YVR|DEN|PIR|HON|
HON|DLC,|DLC|ICN|YVR|DEN|PIR|HON|
HON|DPS,|DPS|SZX|PVG|YVR|DEN|PIR|HON|
HON|DXB,|DXB|IST|FRA|DEN|PIR|HON|
HON|DYG,|DYG|PEK|YVR|DEN|PIR|HON|
HON|FUG,|FUG|CAN|YVR|DEN|PIR|HON|
HON|FUK,|FUK|ICN|YVR|DEN|PIR|HON|
HON|HAK,|HAK|CAN|YVR|DEN|PIR|HON|
HON|HAN,|HAN|PEK|YVR|DEN|PIR|HON|
HON|HDG,|HDG|CAN|YVR|DEN|PIR|HON|
HON|HET,|HET|DLC|ICN|YVR|DEN|PIR|HON|
HON|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|PIR|HON|
HON|HJJ,|HJJ|CSX|ICN|YVR|DEN|PIR|HON|
HON|HKT,|HKT|KWE|PEK|YVR|DEN|PIR|HON|
