MXZ|GUA,|GUA|IAH|YVR|CAN|MXZ|
MXZ|EWR,|EWR|PEK|CAN|MXZ|
MXZ|IAD,|IAD|PEK|CAN|MXZ|
MXZ|IAH,|IAH|YVR|CAN|MXZ|
MXZ|ORD,|ORD|PEK|CAN|MXZ|
MXZ|SOF,|SOF|IST|CAN|MXZ|
MXZ|YQB,|YQB|YYZ|PEK|CAN|MXZ|
MXZ|YXU,|YXU|YYZ|PEK|CAN|MXZ|
MXZ|EZE,|EZE|GRU|IST|CAN|MXZ|
MXZ|YYJ,|YYJ|YVR|CAN|MXZ|
MXZ|YYY,|YYY|YUL|YYZ|PEK|CAN|MXZ|
MXZ|YQQ,|YQQ|YBL|YVR|CAN|MXZ|
MXZ|YYR,|YYR|YYT|LHR|CAN|MXZ|
MXZ|LHR,|LHR|CAN|MXZ|
MXZ|SFO,|SFO|PVG|CAN|MXZ|
MXZ|YQU,|YQU|YEG|YVR|CAN|MXZ|
MXZ|YZF,|YZF|YEG|YVR|CAN|MXZ|
MXZ|YGR,|YGR|YGP|YQB|YYZ|PEK|CAN|MXZ|
MXZ|YGP,|YGP|YQB|YYZ|PEK|CAN|MXZ|
MXZ|BOS,|BOS|YYZ|PEK|CAN|MXZ|
MXZ|YDF,|YDF|YYT|LHR|CAN|MXZ|
MXZ|YFC,|YFC|YYZ|PEK|CAN|MXZ|
MXZ|YQM,|YQM|YYZ|PEK|CAN|MXZ|
MXZ|YQX,|YQX|YYT|LHR|CAN|MXZ|
MXZ|YQY,|YQY|YYZ|PEK|CAN|MXZ|
MXZ|YSJ,|YSJ|YYZ|PEK|CAN|MXZ|
MXZ|YYG,|YYG|YYZ|PEK|CAN|MXZ|
MXZ|LAX,|LAX|CAN|MXZ|
MXZ|DCA,|DCA|YYZ|PEK|CAN|MXZ|
MXZ|LGA,|LGA|YYZ|PEK|CAN|MXZ|
MXZ|YZV,|YZV|YQB|YYZ|PEK|CAN|MXZ|
MXZ|YWL,|YWL|YVR|CAN|MXZ|
MXZ|AZS,|AZS|YYZ|PEK|CAN|MXZ|
MXZ|BDL,|BDL|YYZ|PEK|CAN|MXZ|
MXZ|CCC,|CCC|YYZ|PEK|CAN|MXZ|
MXZ|CDG,|CDG|CAN|MXZ|
MXZ|CUN,|CUN|YVR|CAN|MXZ|
MXZ|CZM,|CZM|IAH|YVR|CAN|MXZ|
MXZ|FDF,|FDF|YUL|YYZ|PEK|CAN|MXZ|
MXZ|FLL,|FLL|ORD|PEK|CAN|MXZ|
MXZ|GVA,|GVA|IST|CAN|MXZ|
MXZ|HOG,|HOG|YYZ|PEK|CAN|MXZ|
MXZ|LAS,|LAS|SFO|PVG|CAN|MXZ|
MXZ|MBJ,|MBJ|ATL|ORD|PEK|CAN|MXZ|
MXZ|MCO,|MCO|ORD|PEK|CAN|MXZ|
MXZ|MUC,|MUC|IST|CAN|MXZ|
MXZ|PAP,|PAP|YUL|YYZ|PEK|CAN|MXZ|
MXZ|PTP,|PTP|YUL|YYZ|PEK|CAN|MXZ|
MXZ|PUJ,|PUJ|EWR|PEK|CAN|MXZ|
MXZ|SNU,|SNU|YYZ|PEK|CAN|MXZ|
MXZ|VRA,|VRA|YYZ|PEK|CAN|MXZ|
MXZ|YBC,|YBC|YUL|YYZ|PEK|CAN|MXZ|
MXZ|YBG,|YBG|YUL|YYZ|PEK|CAN|MXZ|
MXZ|YTZ,|YTZ|YUL|YYZ|PEK|CAN|MXZ|
MXZ|YUY,|YUY|YUL|YYZ|PEK|CAN|MXZ|
MXZ|YVO,|YVO|YUL|YYZ|PEK|CAN|MXZ|
MXZ|ZBF,|ZBF|YUL|YYZ|PEK|CAN|MXZ|
MXZ|ZRH,|ZRH|IST|CAN|MXZ|
MXZ|ZSA,|ZSA|YUL|YYZ|PEK|CAN|MXZ|
MXZ|AKL,|AKL|CAN|MXZ|
MXZ|HKG,|HKG|MXZ|
MXZ|HND,|HND|HNL|NRT|CAN|MXZ|
MXZ|HNL,|HNL|NRT|CAN|MXZ|
MXZ|MEX,|MEX|SFO|PVG|CAN|MXZ|
MXZ|OGG,|OGG|HNL|NRT|CAN|MXZ|
MXZ|PDX,|PDX|SEA|ICN|CAN|MXZ|
MXZ|PEK,|PEK|CAN|MXZ|
MXZ|PVG,|PVG|CAN|MXZ|
MXZ|PVR,|PVR|LAX|CAN|MXZ|
MXZ|SEA,|SEA|ICN|CAN|MXZ|
MXZ|SYD,|SYD|CAN|MXZ|
MXZ|YBL,|YBL|YVR|CAN|MXZ|
MXZ|YCD,|YCD|YVR|CAN|MXZ|
MXZ|YCG,|YCG|YVR|CAN|MXZ|
MXZ|YKA,|YKA|YVR|CAN|MXZ|
MXZ|YPR,|YPR|YVR|CAN|MXZ|
MXZ|YQZ,|YQZ|YVR|CAN|MXZ|
MXZ|YXC,|YXC|YVR|CAN|MXZ|
MXZ|YXJ,|YXJ|YVR|CAN|MXZ|
MXZ|YXS,|YXS|YVR|CAN|MXZ|
MXZ|YXT,|YXT|YVR|CAN|MXZ|
MXZ|YXY,|YXY|YVR|CAN|MXZ|
MXZ|YYD,|YYD|YVR|CAN|MXZ|
MXZ|YYF,|YYF|YVR|CAN|MXZ|
MXZ|YZP,|YZP|YVR|CAN|MXZ|
MXZ|YQT,|YQT|YWG|YVR|CAN|MXZ|
MXZ|SJD,|SJD|LAX|CAN|MXZ|
MXZ|YQF,|YQF|YYC|YVR|CAN|MXZ|
MXZ|YQL,|YQL|YYC|YVR|CAN|MXZ|
MXZ|YXH,|YXH|YYC|YVR|CAN|MXZ|
MXZ|YWK,|YWK|YZV|YQB|YYZ|PEK|CAN|MXZ|
MXZ|ANU,|ANU|EWR|PEK|CAN|MXZ|
MXZ|AUA,|AUA|EWR|PEK|CAN|MXZ|
MXZ|AUH,|AUH|IST|CAN|MXZ|
MXZ|BCN,|BCN|IST|CAN|MXZ|
MXZ|BDA,|BDA|EWR|PEK|CAN|MXZ|
MXZ|BGI,|BGI|YYZ|PEK|CAN|MXZ|
MXZ|BNA,|BNA|ORD|PEK|CAN|MXZ|
MXZ|BOG,|BOG|MIA|ORD|PEK|CAN|MXZ|
MXZ|BWI,|BWI|YYZ|PEK|CAN|MXZ|
MXZ|CLE,|CLE|YYZ|PEK|CAN|MXZ|
MXZ|CLT,|CLT|YYZ|PEK|CAN|MXZ|
MXZ|CMH,|CMH|ORD|PEK|CAN|MXZ|
MXZ|CVG,|CVG|ORD|PEK|CAN|MXZ|
MXZ|DFW,|DFW|YVR|CAN|MXZ|
MXZ|DTW,|DTW|PEK|CAN|MXZ|
MXZ|DUB,|DUB|IST|CAN|MXZ|
MXZ|FCO,|FCO|IST|CAN|MXZ|
MXZ|GCM,|GCM|YYZ|PEK|CAN|MXZ|
MXZ|GGT,|GGT|YYZ|PEK|CAN|MXZ|
MXZ|GND,|GND|YYZ|PEK|CAN|MXZ|
MXZ|GRU,|GRU|IST|CAN|MXZ|
MXZ|HAV,|HAV|YYZ|PEK|CAN|MXZ|
MXZ|IND,|IND|ORD|PEK|CAN|MXZ|
MXZ|JFK,|JFK|PEK|CAN|MXZ|
MXZ|KIN,|KIN|YYZ|PEK|CAN|MXZ|
MXZ|LIM,|LIM|IAH|YVR|CAN|MXZ|
MXZ|LIR,|LIR|IAH|YVR|CAN|MXZ|
MXZ|MCI,|MCI|DEN|YVR|CAN|MXZ|
MXZ|MDT,|MDT|YYZ|PEK|CAN|MXZ|
MXZ|MIA,|MIA|ORD|PEK|CAN|MXZ|
MXZ|MKE,|MKE|ORD|PEK|CAN|MXZ|
MXZ|MSP,|MSP|ORD|PEK|CAN|MXZ|
MXZ|NAS,|NAS|YYZ|PEK|CAN|MXZ|
MXZ|PHL,|PHL|YYZ|PEK|CAN|MXZ|
MXZ|PHX,|PHX|SFO|PVG|CAN|MXZ|
MXZ|PIT,|PIT|YYZ|PEK|CAN|MXZ|
MXZ|PLS,|PLS|EWR|PEK|CAN|MXZ|
MXZ|POP,|POP|EWR|PEK|CAN|MXZ|
MXZ|RDU,|RDU|YYZ|PEK|CAN|MXZ|
MXZ|ROC,|ROC|YYZ|PEK|CAN|MXZ|
MXZ|RSW,|RSW|ORD|PEK|CAN|MXZ|
MXZ|SAN,|SAN|LAX|CAN|MXZ|
MXZ|SJO,|SJO|IAH|YVR|CAN|MXZ|
MXZ|STL,|STL|ORD|PEK|CAN|MXZ|
MXZ|SYR,|SYR|YYZ|PEK|CAN|MXZ|
MXZ|TLV,|TLV|IST|CAN|MXZ|
MXZ|TPA,|TPA|ORD|PEK|CAN|MXZ|
MXZ|UVF,|UVF|EWR|PEK|CAN|MXZ|
MXZ|VIE,|VIE|IST|CAN|MXZ|
MXZ|YAM,|YAM|YYZ|PEK|CAN|MXZ|
MXZ|YGK,|YGK|YYZ|PEK|CAN|MXZ|
MXZ|YQG,|YQG|YYZ|PEK|CAN|MXZ|
MXZ|YSB,|YSB|YYZ|PEK|CAN|MXZ|
MXZ|YTS,|YTS|YYZ|PEK|CAN|MXZ|
MXZ|YYB,|YYB|YYZ|PEK|CAN|MXZ|
MXZ|YZR,|YZR|YYZ|PEK|CAN|MXZ|
MXZ|CAN,|CAN|MXZ|
MXZ|URC,|URC|CAN|MXZ|
MXZ|CTU,|CTU|CAN|MXZ|
MXZ|HGH,|HGH|CAN|MXZ|
