BKK|YCD,|YCD|YVR|PEK|CGO|BKK|
BKK|YCG,|YCG|YVR|PEK|CGO|BKK|
BKK|YKA,|YKA|YVR|PEK|CGO|BKK|
BKK|YPR,|YPR|YVR|PEK|CGO|BKK|
BKK|YQZ,|YQZ|YVR|PEK|CGO|BKK|
BKK|YXC,|YXC|YVR|PEK|CGO|BKK|
BKK|YXJ,|YXJ|YVR|PEK|CGO|BKK|
BKK|YXS,|YXS|YVR|PEK|CGO|BKK|
BKK|YXT,|YXT|YVR|PEK|CGO|BKK|
BKK|YXY,|YXY|YVR|PEK|CGO|BKK|
BKK|YYD,|YYD|YVR|PEK|CGO|BKK|
BKK|YYF,|YYF|YVR|PEK|CGO|BKK|
BKK|YZP,|YZP|YVR|PEK|CGO|BKK|
BKK|YQT,|YQT|YWG|YVR|PEK|CGO|BKK|
BKK|SJD,|SJD|LAX|ICN|BKK|
BKK|YQF,|YQF|YYC|YVR|PEK|CGO|BKK|
BKK|YQL,|YQL|YYC|YVR|PEK|CGO|BKK|
BKK|YXH,|YXH|YYC|YVR|PEK|CGO|BKK|
BKK|YWK,|YWK|YYR|YYT|LHR|IST|BKK|
BKK|ANU,|ANU|EWR|PEK|CGO|BKK|
BKK|AUA,|AUA|EWR|PEK|CGO|BKK|
BKK|AUH,|AUH|IST|BKK|
BKK|BCN,|BCN|IST|BKK|
BKK|BDA,|BDA|EWR|PEK|CGO|BKK|
BKK|BGI,|BGI|YYZ|PEK|CGO|BKK|
BKK|BNA,|BNA|ORD|PEK|CGO|BKK|
BKK|BOG,|BOG|MIA|ORD|PEK|CGO|BKK|
BKK|BWI,|BWI|YYZ|PEK|CGO|BKK|
BKK|CLE,|CLE|YYZ|PEK|CGO|BKK|
BKK|CLT,|CLT|YYZ|PEK|CGO|BKK|
BKK|CMH,|CMH|ORD|PEK|CGO|BKK|
BKK|CVG,|CVG|ORD|PEK|CGO|BKK|
BKK|DFW,|DFW|YVR|PEK|CGO|BKK|
BKK|DTW,|DTW|PEK|CGO|BKK|
BKK|DUB,|DUB|IST|BKK|
BKK|FCO,|FCO|IST|BKK|
BKK|GCM,|GCM|YYZ|PEK|CGO|BKK|
BKK|GGT,|GGT|YYZ|PEK|CGO|BKK|
BKK|GND,|GND|YYZ|PEK|CGO|BKK|
BKK|GRU,|GRU|IST|BKK|
BKK|HAV,|HAV|YYZ|PEK|CGO|BKK|
BKK|IND,|IND|ORD|PEK|CGO|BKK|
BKK|JFK,|JFK|PEK|CGO|BKK|
BKK|KIN,|KIN|YYZ|PEK|CGO|BKK|
BKK|LIM,|LIM|IAH|PEK|CGO|BKK|
BKK|LIR,|LIR|IAH|PEK|CGO|BKK|
BKK|MCI,|MCI|DEN|YVR|PEK|CGO|BKK|
BKK|MDT,|MDT|YYZ|PEK|CGO|BKK|
BKK|MIA,|MIA|ORD|PEK|CGO|BKK|
BKK|MKE,|MKE|ORD|PEK|CGO|BKK|
BKK|MSP,|MSP|ORD|PEK|CGO|BKK|
BKK|NAS,|NAS|YYZ|PEK|CGO|BKK|
BKK|PHL,|PHL|YYZ|PEK|CGO|BKK|
BKK|PHX,|PHX|SEA|PEK|CGO|BKK|
BKK|PIT,|PIT|YYZ|PEK|CGO|BKK|
BKK|PLS,|PLS|EWR|PEK|CGO|BKK|
BKK|POP,|POP|EWR|PEK|CGO|BKK|
BKK|RDU,|RDU|YYZ|PEK|CGO|BKK|
BKK|ROC,|ROC|YYZ|PEK|CGO|BKK|
BKK|RSW,|RSW|ORD|PEK|CGO|BKK|
BKK|SAN,|SAN|LAX|ICN|BKK|
BKK|SJO,|SJO|IAH|PEK|CGO|BKK|
BKK|STL,|STL|ORD|PEK|CGO|BKK|
BKK|SYR,|SYR|YYZ|PEK|CGO|BKK|
BKK|TLV,|TLV|IST|BKK|
BKK|TPA,|TPA|ORD|PEK|CGO|BKK|
BKK|UVF,|UVF|EWR|PEK|CGO|BKK|
BKK|VIE,|VIE|IST|BKK|
BKK|YAM,|YAM|YYZ|PEK|CGO|BKK|
BKK|YGK,|YGK|YYZ|PEK|CGO|BKK|
BKK|YQG,|YQG|YYZ|PEK|CGO|BKK|
BKK|YSB,|YSB|YYZ|PEK|CGO|BKK|
BKK|YTS,|YTS|YYZ|PEK|CGO|BKK|
BKK|YYB,|YYB|YYZ|PEK|CGO|BKK|
BKK|YZR,|YZR|YYZ|PEK|CGO|BKK|
BKK|CAN,|CAN|BKK|
BKK|URC,|URC|KWE|NNG|BKK|
BKK|CTU,|CTU|KWE|NNG|BKK|
BKK|HGH,|HGH|CAN|BKK|
BKK|XMN,|XMN|BKK|
BKK|CGO,|CGO|BKK|
BKK|CSX,|CSX|BKK|
BKK|SHE,|SHE|WUH|BKK|
BKK|SJW,|SJW|CSX|BKK|
BKK|WUH,|WUH|BKK|
BKK|SZX,|SZX|NNG|BKK|
