HDG|PDX,|PDX|SEA|ICN|CAN|HDG|
HDG|PEK,|PEK|CAN|HDG|
HDG|PVG,|PVG|CAN|HDG|
HDG|PVR,|PVR|LAX|CAN|HDG|
HDG|SEA,|SEA|ICN|CAN|HDG|
HDG|SYD,|SYD|CAN|HDG|
HDG|YBL,|YBL|YVR|CAN|HDG|
HDG|YCD,|YCD|YVR|CAN|HDG|
HDG|YCG,|YCG|YVR|CAN|HDG|
HDG|YKA,|YKA|YVR|CAN|HDG|
HDG|YPR,|YPR|YVR|CAN|HDG|
HDG|YQZ,|YQZ|YVR|CAN|HDG|
HDG|YXC,|YXC|YVR|CAN|HDG|
HDG|YXJ,|YXJ|YVR|CAN|HDG|
HDG|YXS,|YXS|YVR|CAN|HDG|
HDG|YXT,|YXT|YVR|CAN|HDG|
HDG|YXY,|YXY|YVR|CAN|HDG|
HDG|YYD,|YYD|YVR|CAN|HDG|
HDG|YYF,|YYF|YVR|CAN|HDG|
HDG|YZP,|YZP|YVR|CAN|HDG|
HDG|YQT,|YQT|YWG|YVR|CAN|HDG|
HDG|SJD,|SJD|LAX|CAN|HDG|
HDG|YQF,|YQF|YYC|YVR|CAN|HDG|
HDG|YQL,|YQL|YYC|YVR|CAN|HDG|
HDG|YXH,|YXH|YYC|YVR|CAN|HDG|
HDG|YWK,|YWK|YZV|YQB|YYZ|PEK|CAN|HDG|
HDG|ANU,|ANU|EWR|PEK|CAN|HDG|
HDG|AUA,|AUA|EWR|PEK|CAN|HDG|
HDG|AUH,|AUH|IST|CAN|HDG|
HDG|BCN,|BCN|IST|CAN|HDG|
HDG|BDA,|BDA|EWR|PEK|CAN|HDG|
HDG|BGI,|BGI|YYZ|PEK|CAN|HDG|
HDG|BNA,|BNA|ORD|PEK|CAN|HDG|
HDG|BOG,|BOG|MIA|ORD|PEK|CAN|HDG|
HDG|BWI,|BWI|YYZ|PEK|CAN|HDG|
HDG|CLE,|CLE|YYZ|PEK|CAN|HDG|
HDG|CLT,|CLT|YYZ|PEK|CAN|HDG|
HDG|CMH,|CMH|ORD|PEK|CAN|HDG|
HDG|CVG,|CVG|ORD|PEK|CAN|HDG|
HDG|DFW,|DFW|YVR|CAN|HDG|
HDG|DTW,|DTW|PEK|CAN|HDG|
HDG|DUB,|DUB|IST|CAN|HDG|
HDG|FCO,|FCO|IST|CAN|HDG|
HDG|GCM,|GCM|YYZ|PEK|CAN|HDG|
HDG|GGT,|GGT|YYZ|PEK|CAN|HDG|
HDG|GND,|GND|YYZ|PEK|CAN|HDG|
HDG|GRU,|GRU|IST|CAN|HDG|
HDG|HAV,|HAV|YYZ|PEK|CAN|HDG|
HDG|IND,|IND|ORD|PEK|CAN|HDG|
HDG|JFK,|JFK|PEK|CAN|HDG|
HDG|KIN,|KIN|YYZ|PEK|CAN|HDG|
HDG|LIM,|LIM|IAH|YVR|CAN|HDG|
HDG|LIR,|LIR|IAH|YVR|CAN|HDG|
HDG|MCI,|MCI|DEN|YVR|CAN|HDG|
HDG|MDT,|MDT|YYZ|PEK|CAN|HDG|
HDG|MIA,|MIA|ORD|PEK|CAN|HDG|
HDG|MKE,|MKE|ORD|PEK|CAN|HDG|
HDG|MSP,|MSP|ORD|PEK|CAN|HDG|
HDG|NAS,|NAS|YYZ|PEK|CAN|HDG|
HDG|PHL,|PHL|YYZ|PEK|CAN|HDG|
HDG|PHX,|PHX|SFO|PVG|CAN|HDG|
HDG|PIT,|PIT|YYZ|PEK|CAN|HDG|
HDG|PLS,|PLS|EWR|PEK|CAN|HDG|
HDG|POP,|POP|EWR|PEK|CAN|HDG|
HDG|RDU,|RDU|YYZ|PEK|CAN|HDG|
HDG|ROC,|ROC|YYZ|PEK|CAN|HDG|
HDG|RSW,|RSW|ORD|PEK|CAN|HDG|
