LIH|YYD,|YYD|YVR|LIH|
LIH|YYF,|YYF|YVR|LIH|
LIH|YZP,|YZP|YVR|LIH|
LIH|YQT,|YQT|YWG|YVR|LIH|
LIH|SJD,|SJD|LAX|LIH|
LIH|YQF,|YQF|YYC|YVR|LIH|
LIH|YQL,|YQL|YYC|YVR|LIH|
LIH|YXH,|YXH|YYC|YVR|LIH|
LIH|YWK,|YWK|YZV|YUL|SFO|LIH|
LIH|ANU,|ANU|EWR|SFO|LIH|
LIH|AUA,|AUA|ATL|LAX|LIH|
LIH|AUH,|AUH|FRA|YVR|LIH|
LIH|BCN,|BCN|YYZ|SFO|LIH|
LIH|BDA,|BDA|EWR|SFO|LIH|
LIH|BGI,|BGI|YYZ|SFO|LIH|
LIH|BNA,|BNA|LAX|LIH|
LIH|BOG,|BOG|IAH|LAX|LIH|
LIH|BWI,|BWI|SFO|LIH|
LIH|CLE,|CLE|SFO|LIH|
LIH|CLT,|CLT|MDW|SFO|LIH|
LIH|CMH,|CMH|DEN|LIH|
LIH|CVG,|CVG|DEN|LIH|
LIH|DFW,|DFW|LAX|LIH|
LIH|DTW,|DTW|ORD|SFO|LIH|
LIH|DUB,|DUB|ORD|SFO|LIH|
LIH|FCO,|FCO|YYZ|SFO|LIH|
LIH|GCM,|GCM|IAH|LAX|LIH|
LIH|GGT,|GGT|FLL|PHX|LAX|LIH|
LIH|GND,|GND|YYZ|SFO|LIH|
LIH|GRU,|GRU|IAH|LAX|LIH|
LIH|HAV,|HAV|YYZ|SFO|LIH|
LIH|IND,|IND|SFO|LIH|
LIH|JFK,|JFK|SFO|LIH|
LIH|KIN,|KIN|YYZ|SFO|LIH|
LIH|LIM,|LIM|IAH|LAX|LIH|
LIH|LIR,|LIR|IAH|LAX|LIH|
LIH|MCI,|MCI|SFO|LIH|
LIH|MDT,|MDT|ORD|SFO|LIH|
LIH|MIA,|MIA|IAH|LAX|LIH|
LIH|MKE,|MKE|SFO|LIH|
LIH|MSP,|MSP|SFO|LIH|
LIH|NAS,|NAS|IAH|LAX|LIH|
LIH|PHL,|PHL|SFO|LIH|
LIH|PHX,|PHX|LAX|LIH|
LIH|PIT,|PIT|SFO|LIH|
LIH|PLS,|PLS|YYZ|SFO|LIH|
LIH|POP,|POP|YYZ|SFO|LIH|
LIH|RDU,|RDU|SFO|LIH|
LIH|ROC,|ROC|YYZ|SFO|LIH|
LIH|RSW,|RSW|IAH|LAX|LIH|
LIH|SAN,|SAN|LAX|LIH|
LIH|SJO,|SJO|IAH|LAX|LIH|
LIH|STL,|STL|SFO|LIH|
LIH|SYR,|SYR|YYZ|SFO|LIH|
LIH|TLV,|TLV|IST|MUC|YVR|LIH|
LIH|TPA,|TPA|MSY|LAX|LIH|
LIH|UVF,|UVF|EWR|SFO|LIH|
LIH|VIE,|VIE|ORD|SFO|LIH|
LIH|YAM,|YAM|YYZ|SFO|LIH|
LIH|YGK,|YGK|YYZ|SFO|LIH|
LIH|YQG,|YQG|YYC|YVR|LIH|
LIH|YSB,|YSB|YYZ|SFO|LIH|
LIH|YTS,|YTS|YYZ|SFO|LIH|
LIH|YYB,|YYB|YYZ|SFO|LIH|
LIH|YZR,|YZR|YYZ|SFO|LIH|
LIH|CAN,|CAN|NRT|HNL|LIH|
LIH|URC,|URC|PEK|HNL|LIH|
LIH|CTU,|CTU|CGO|ICN|NRT|HNL|LIH|
LIH|HGH,|HGH|DLC|NRT|HNL|LIH|
LIH|XMN,|XMN|YNZ|DLC|NRT|HNL|LIH|
LIH|CGO,|CGO|ICN|NRT|HNL|LIH|
LIH|CSX,|CSX|ICN|NRT|HNL|LIH|
LIH|SHE,|SHE|NRT|HNL|LIH|
LIH|SJW,|SJW|DLC|NRT|HNL|LIH|
LIH|WUH,|WUH|ICN|NRT|HNL|LIH|
LIH|SZX,|SZX|PVG|ICN|NRT|HNL|LIH|
LIH|CKG,|CKG|CGO|ICN|NRT|HNL|LIH|
LIH|KMG,|KMG|WUH|ICN|NRT|HNL|LIH|
LIH|FOC,|FOC|HGH|DLC|NRT|HNL|LIH|
LIH|NNG,|NNG|CAN|NRT|HNL|LIH|
LIH|SWA,|SWA|CAN|NRT|HNL|LIH|
LIH|ACX,|ACX|CAN|NRT|HNL|LIH|
LIH|AQG,|AQG|CAN|NRT|HNL|LIH|
LIH|AVA,|AVA|CAN|NRT|HNL|LIH|
LIH|BFJ,|BFJ|CAN|NRT|HNL|LIH|
LIH|BHY,|BHY|CAN|NRT|HNL|LIH|
LIH|BNE,|BNE|CAN|NRT|HNL|LIH|
LIH|CGD,|CGD|PEK|HNL|LIH|
LIH|CGK,|CGK|SIN|NRT|HNL|LIH|
LIH|CGQ,|CGQ|NRT|HNL|LIH|
LIH|CIH,|CIH|PEK|HNL|LIH|
LIH|CNX,|CNX|CAN|NRT|HNL|LIH|
LIH|CZX,|CZX|SHE|NRT|HNL|LIH|
LIH|DAC,|DAC|CAN|NRT|HNL|LIH|
LIH|DAD,|DAD|CAN|NRT|HNL|LIH|
LIH|DEL,|DEL|CAN|NRT|HNL|LIH|
LIH|DIG,|DIG|KMG|WUH|ICN|NRT|HNL|LIH|
LIH|DLC,|DLC|NRT|HNL|LIH|
LIH|DPS,|DPS|CAN|NRT|HNL|LIH|
LIH|DXB,|DXB|CAN|NRT|HNL|LIH|
LIH|DYG,|DYG|CSX|ICN|NRT|HNL|LIH|
LIH|FUG,|FUG|CAN|NRT|HNL|LIH|
LIH|FUK,|FUK|ICN|NRT|HNL|LIH|
LIH|HAK,|HAK|CAN|NRT|HNL|LIH|
LIH|HAN,|HAN|CAN|NRT|HNL|LIH|
LIH|HDG,|HDG|CAN|NRT|HNL|LIH|
LIH|HET,|HET|DLC|NRT|HNL|LIH|
LIH|HFE,|HFE|CGQ|NRT|HNL|LIH|
LIH|HJJ,|HJJ|CSX|ICN|NRT|HNL|LIH|
LIH|HKT,|HKT|CAN|NRT|HNL|LIH|
LIH|HRB,|HRB|ICN|NRT|HNL|LIH|
LIH|HZH,|HZH|CAN|NRT|HNL|LIH|
LIH|JIU,|JIU|CAN|NRT|HNL|LIH|
LIH|JJN,|JJN|HGH|DLC|NRT|HNL|LIH|
LIH|JNG,|JNG|CAN|NRT|HNL|LIH|
LIH|KHN,|KHN|DLC|NRT|HNL|LIH|
LIH|KIX,|KIX|GUM|HNL|LIH|
LIH|KOW,|KOW|CAN|NRT|HNL|LIH|
LIH|KTM,|KTM|CAN|NRT|HNL|LIH|
LIH|KUL,|KUL|CAN|NRT|HNL|LIH|
LIH|KWE,|KWE|WUH|ICN|NRT|HNL|LIH|
LIH|KWL,|KWL|CAN|NRT|HNL|LIH|
