FCO|FLL,|FLL|EWR|FCO|
FCO|GVA,|GVA|IST|FCO|
FCO|HOG,|HOG|YYZ|FCO|
FCO|LAS,|LAS|YYZ|FCO|
FCO|MBJ,|MBJ|EWR|FCO|
FCO|MCO,|MCO|EWR|FCO|
FCO|MUC,|MUC|IST|FCO|
FCO|PAP,|PAP|YUL|EWR|FCO|
FCO|PTP,|PTP|YUL|EWR|FCO|
FCO|PUJ,|PUJ|EWR|FCO|
FCO|SNU,|SNU|YYZ|FCO|
FCO|VRA,|VRA|YYZ|FCO|
FCO|YBC,|YBC|YUL|EWR|FCO|
FCO|YBG,|YBG|YUL|EWR|FCO|
FCO|YTZ,|YTZ|YUL|EWR|FCO|
FCO|YUY,|YUY|YUL|EWR|FCO|
FCO|YVO,|YVO|YUL|EWR|FCO|
FCO|ZBF,|ZBF|YUL|EWR|FCO|
FCO|ZRH,|ZRH|IST|FCO|
FCO|ZSA,|ZSA|YUL|EWR|FCO|
FCO|AKL,|AKL|BKK|IST|FCO|
FCO|HKG,|HKG|IST|FCO|
FCO|HND,|HND|YVR|YYZ|FCO|
FCO|HNL,|HNL|SFO|YYZ|FCO|
FCO|MEX,|MEX|EWR|FCO|
FCO|OGG,|OGG|SFO|YYZ|FCO|
FCO|PDX,|PDX|ORD|YYZ|FCO|
FCO|PEK,|PEK|IST|FCO|
FCO|PVG,|PVG|IST|FCO|
FCO|PVR,|PVR|EWR|FCO|
FCO|SEA,|SEA|YYZ|FCO|
FCO|SYD,|SYD|BKK|IST|FCO|
FCO|YBL,|YBL|YVR|YYZ|FCO|
FCO|YCD,|YCD|YVR|YYZ|FCO|
FCO|YCG,|YCG|YYC|YYZ|FCO|
FCO|YKA,|YKA|YYC|YYZ|FCO|
FCO|YPR,|YPR|YVR|YYZ|FCO|
FCO|YQZ,|YQZ|YVR|YYZ|FCO|
FCO|YXC,|YXC|YYC|YYZ|FCO|
FCO|YXJ,|YXJ|YYC|YYZ|FCO|
FCO|YXS,|YXS|YYC|YYZ|FCO|
FCO|YXT,|YXT|YVR|YYZ|FCO|
FCO|YXY,|YXY|YVR|YYZ|FCO|
FCO|YYD,|YYD|YVR|YYZ|FCO|
FCO|YYF,|YYF|YVR|YYZ|FCO|
FCO|YZP,|YZP|YVR|YYZ|FCO|
FCO|YQT,|YQT|YYZ|FCO|
FCO|SJD,|SJD|ORD|YYZ|FCO|
FCO|YQF,|YQF|YYC|YYZ|FCO|
FCO|YQL,|YQL|YYC|YYZ|FCO|
FCO|YXH,|YXH|YYC|YYZ|FCO|
FCO|YWK,|YWK|YZV|YQB|EWR|FCO|
FCO|ANU,|ANU|EWR|FCO|
FCO|AUA,|AUA|EWR|FCO|
FCO|AUH,|AUH|IST|FCO|
FCO|BCN,|BCN|IST|FCO|
FCO|BDA,|BDA|EWR|FCO|
FCO|BGI,|BGI|YYZ|FCO|
FCO|BNA,|BNA|EWR|FCO|
FCO|BOG,|BOG|EWR|FCO|
FCO|BWI,|BWI|EWR|FCO|
FCO|CLE,|CLE|YYZ|FCO|
FCO|CLT,|CLT|EWR|FCO|
FCO|CMH,|CMH|YYZ|FCO|
