CLE|YQT,|YQT|YYZ|CLE|
CLE|SJD,|SJD|IAH|CLE|
CLE|YQF,|YQF|YYC|ORD|CLE|
CLE|YQL,|YQL|YYC|ORD|CLE|
CLE|YXH,|YXH|YYC|ORD|CLE|
CLE|YWK,|YWK|YZV|YQB|YYZ|CLE|
CLE|ANU,|ANU|EWR|CLE|
CLE|AUA,|AUA|IAD|CLE|
CLE|AUH,|AUH|YYZ|CLE|
CLE|BCN,|BCN|YYZ|CLE|
CLE|BDA,|BDA|EWR|CLE|
CLE|BGI,|BGI|YYZ|CLE|
CLE|BNA,|BNA|CLE|
CLE|BOG,|BOG|IAD|CLE|
CLE|BWI,|BWI|CLE|
CLE|CLT,|CLT|CLE|
CLE|CMH,|CMH|CLE|
CLE|CVG,|CVG|ORD|CLE|
CLE|DFW,|DFW|CLE|
CLE|DTW,|DTW|YYZ|CLE|
CLE|DUB,|DUB|YYZ|CLE|
CLE|FCO,|FCO|YYZ|CLE|
CLE|GCM,|GCM|IAD|CLE|
CLE|GGT,|GGT|FLL|CLE|
CLE|GND,|GND|YYZ|CLE|
CLE|GRU,|GRU|IAD|CLE|
CLE|HAV,|HAV|YYZ|CLE|
CLE|IND,|IND|CLE|
CLE|JFK,|JFK|IAD|CLE|
CLE|KIN,|KIN|YYZ|CLE|
CLE|LIM,|LIM|MIA|IAD|CLE|
CLE|LIR,|LIR|YYZ|CLE|
CLE|MCI,|MCI|CLE|
CLE|MDT,|MDT|IAD|CLE|
CLE|MIA,|MIA|IAD|CLE|
CLE|MKE,|MKE|CLE|
CLE|MSP,|MSP|CLE|
CLE|NAS,|NAS|ATL|CLE|
CLE|PHL,|PHL|IAD|CLE|
CLE|PHX,|PHX|CLE|
CLE|PIT,|PIT|YYZ|CLE|
CLE|PLS,|PLS|EWR|CLE|
CLE|POP,|POP|EWR|CLE|
CLE|RDU,|RDU|IAD|CLE|
CLE|ROC,|ROC|CLE|
CLE|RSW,|RSW|CLE|
CLE|SAN,|SAN|MCI|CLE|
CLE|SJO,|SJO|IAD|CLE|
CLE|STL,|STL|CLE|
CLE|SYR,|SYR|CLE|
CLE|TLV,|TLV|YYZ|CLE|
CLE|TPA,|TPA|CLE|
CLE|UVF,|UVF|EWR|CLE|
CLE|VIE,|VIE|YYZ|CLE|
CLE|YAM,|YAM|YYZ|CLE|
CLE|YGK,|YGK|YYZ|CLE|
CLE|YQG,|YQG|YYZ|CLE|
CLE|YSB,|YSB|YYZ|CLE|
CLE|YTS,|YTS|YYZ|CLE|
CLE|YYB,|YYB|YYZ|CLE|
CLE|YZR,|YZR|YYZ|CLE|
CLE|CAN,|CAN|PEK|YYZ|CLE|
CLE|URC,|URC|TSE|FRA|YYZ|CLE|
CLE|CTU,|CTU|PEK|YYZ|CLE|
CLE|HGH,|HGH|PEK|YYZ|CLE|
CLE|XMN,|XMN|PEK|YYZ|CLE|
CLE|CGO,|CGO|PEK|YYZ|CLE|
CLE|CSX,|CSX|PEK|YYZ|CLE|
CLE|SHE,|SHE|PEK|YYZ|CLE|
CLE|SJW,|SJW|DLC|PEK|YYZ|CLE|
CLE|WUH,|WUH|PEK|YYZ|CLE|
CLE|SZX,|SZX|PEK|YYZ|CLE|
CLE|CKG,|CKG|PEK|YYZ|CLE|
CLE|KMG,|KMG|PEK|YYZ|CLE|
CLE|FOC,|FOC|PEK|YYZ|CLE|
CLE|NNG,|NNG|PEK|YYZ|CLE|
CLE|SWA,|SWA|PEK|YYZ|CLE|
CLE|ACX,|ACX|CAN|PEK|YYZ|CLE|
CLE|AQG,|AQG|CAN|PEK|YYZ|CLE|
CLE|AVA,|AVA|CAN|PEK|YYZ|CLE|
CLE|BFJ,|BFJ|CAN|PEK|YYZ|CLE|
CLE|BHY,|BHY|CGO|PEK|YYZ|CLE|
CLE|BNE,|BNE|CAN|PEK|YYZ|CLE|
CLE|CGD,|CGD|PEK|YYZ|CLE|
CLE|CGK,|CGK|CAN|PEK|YYZ|CLE|
CLE|CGQ,|CGQ|PEK|YYZ|CLE|
CLE|CIH,|CIH|PEK|YYZ|CLE|
CLE|CNX,|CNX|CAN|PEK|YYZ|CLE|
CLE|CZX,|CZX|SHE|PEK|YYZ|CLE|
CLE|DAC,|DAC|IST|YYZ|CLE|
CLE|DAD,|DAD|CAN|PEK|YYZ|CLE|
CLE|DEL,|DEL|EWR|CLE|
CLE|DIG,|DIG|KMG|PEK|YYZ|CLE|
CLE|DLC,|DLC|PEK|YYZ|CLE|
CLE|DPS,|DPS|SZX|PEK|YYZ|CLE|
CLE|DXB,|DXB|IST|YYZ|CLE|
CLE|DYG,|DYG|PEK|YYZ|CLE|
CLE|FUG,|FUG|CAN|PEK|YYZ|CLE|
CLE|FUK,|FUK|ICN|YVR|ORD|CLE|
CLE|HAK,|HAK|PEK|YYZ|CLE|
CLE|HAN,|HAN|PEK|YYZ|CLE|
CLE|HDG,|HDG|CAN|PEK|YYZ|CLE|
CLE|HET,|HET|DLC|PEK|YYZ|CLE|
CLE|HFE,|HFE|XIY|PEK|YYZ|CLE|
CLE|HJJ,|HJJ|CSX|PEK|YYZ|CLE|
CLE|HKT,|HKT|KWE|PEK|YYZ|CLE|
CLE|HRB,|HRB|PEK|YYZ|CLE|
CLE|HZH,|HZH|CAN|PEK|YYZ|CLE|
CLE|JIU,|JIU|CAN|PEK|YYZ|CLE|
CLE|JJN,|JJN|PEK|YYZ|CLE|
CLE|JNG,|JNG|CAN|PEK|YYZ|CLE|
