TPA|KIN,|KIN|YYZ|TPA|
TPA|LIM,|LIM|MIA|MSY|TPA|
TPA|LIR,|LIR|IAH|TPA|
TPA|MCI,|MCI|TPA|
TPA|MDT,|MDT|IAD|TPA|
TPA|MIA,|MIA|MSY|TPA|
TPA|MKE,|MKE|TPA|
TPA|MSP,|MSP|ATL|TPA|
TPA|NAS,|NAS|ATL|TPA|
TPA|PHL,|PHL|TPA|
TPA|PHX,|PHX|TPA|
TPA|PIT,|PIT|TPA|
TPA|PLS,|PLS|EWR|TPA|
TPA|POP,|POP|EWR|TPA|
TPA|RDU,|RDU|TPA|
TPA|ROC,|ROC|TPA|
TPA|RSW,|RSW|MCO|GNV|TPA|
TPA|SAN,|SAN|MSY|TPA|
TPA|SJO,|SJO|IAH|TPA|
TPA|STL,|STL|TPA|
TPA|SYR,|SYR|IAD|TPA|
TPA|TLV,|TLV|EWR|TPA|
TPA|UVF,|UVF|EWR|TPA|
TPA|VIE,|VIE|IAD|TPA|
TPA|YAM,|YAM|YYZ|TPA|
TPA|YGK,|YGK|YYZ|TPA|
TPA|YQG,|YQG|YYZ|TPA|
TPA|YSB,|YSB|YYZ|TPA|
TPA|YTS,|YTS|YYZ|TPA|
TPA|YYB,|YYB|YYZ|TPA|
TPA|YZR,|YZR|YYZ|TPA|
TPA|CAN,|CAN|PEK|ORD|TPA|
TPA|URC,|URC|TSE|FRA|EWR|TPA|
TPA|CTU,|CTU|PEK|ORD|TPA|
TPA|HGH,|HGH|PEK|ORD|TPA|
TPA|XMN,|XMN|PEK|ORD|TPA|
TPA|CGO,|CGO|PEK|ORD|TPA|
TPA|CSX,|CSX|PEK|ORD|TPA|
TPA|SHE,|SHE|PEK|ORD|TPA|
TPA|SJW,|SJW|DLC|PEK|ORD|TPA|
TPA|WUH,|WUH|PEK|ORD|TPA|
TPA|SZX,|SZX|PEK|ORD|TPA|
TPA|CKG,|CKG|PEK|ORD|TPA|
TPA|KMG,|KMG|PEK|ORD|TPA|
TPA|FOC,|FOC|PEK|ORD|TPA|
TPA|NNG,|NNG|PEK|ORD|TPA|
TPA|SWA,|SWA|PEK|ORD|TPA|
TPA|ACX,|ACX|CAN|PEK|ORD|TPA|
TPA|AQG,|AQG|CAN|PEK|ORD|TPA|
TPA|AVA,|AVA|CAN|PEK|ORD|TPA|
TPA|BFJ,|BFJ|CAN|PEK|ORD|TPA|
TPA|BHY,|BHY|CGO|PEK|ORD|TPA|
TPA|BNE,|BNE|CAN|PEK|ORD|TPA|
TPA|CGD,|CGD|PEK|ORD|TPA|
TPA|CGK,|CGK|CAN|PEK|ORD|TPA|
TPA|CGQ,|CGQ|PEK|ORD|TPA|
TPA|CIH,|CIH|PEK|ORD|TPA|
TPA|CNX,|CNX|CAN|PEK|ORD|TPA|
TPA|CZX,|CZX|SHE|PEK|ORD|TPA|
TPA|DAC,|DAC|IST|BHX|EWR|TPA|
TPA|DAD,|DAD|CAN|PEK|ORD|TPA|
TPA|DEL,|DEL|EWR|TPA|
TPA|DIG,|DIG|KMG|PEK|ORD|TPA|
TPA|DLC,|DLC|PEK|ORD|TPA|
TPA|DPS,|DPS|SZX|PEK|ORD|TPA|
TPA|DXB,|DXB|IAD|TPA|
TPA|DYG,|DYG|PEK|ORD|TPA|
TPA|FUG,|FUG|CAN|PEK|ORD|TPA|
TPA|FUK,|FUK|ICN|YVR|DEN|TPA|
TPA|HAK,|HAK|PEK|ORD|TPA|
TPA|HAN,|HAN|PEK|ORD|TPA|
TPA|HDG,|HDG|CAN|PEK|ORD|TPA|
TPA|HET,|HET|DLC|PEK|ORD|TPA|
TPA|HFE,|HFE|XIY|PEK|ORD|TPA|
TPA|HJJ,|HJJ|CSX|PEK|ORD|TPA|
TPA|HKT,|HKT|KWE|PEK|ORD|TPA|
TPA|HRB,|HRB|PEK|ORD|TPA|
TPA|HZH,|HZH|CAN|PEK|ORD|TPA|
TPA|JIU,|JIU|CAN|PEK|ORD|TPA|
TPA|JJN,|JJN|PEK|ORD|TPA|
TPA|JNG,|JNG|CAN|PEK|ORD|TPA|
TPA|KHN,|KHN|DLC|PEK|ORD|TPA|
TPA|KIX,|KIX|SFO|LAS|TPA|
TPA|KOW,|KOW|PEK|ORD|TPA|
TPA|KTM,|KTM|IST|BHX|EWR|TPA|
TPA|KUL,|KUL|CAN|PEK|ORD|TPA|
TPA|KWE,|KWE|PEK|ORD|TPA|
TPA|KWL,|KWL|PEK|ORD|TPA|
TPA|LHW,|LHW|CGO|PEK|ORD|TPA|
TPA|LYA,|LYA|KHN|DLC|PEK|ORD|TPA|
TPA|LYG,|LYG|HSN|PEK|ORD|TPA|
TPA|LZH,|LZH|CAN|PEK|ORD|TPA|
TPA|MEL,|MEL|SYD|LAX|MSY|TPA|
TPA|MIG,|MIG|CSX|PEK|ORD|TPA|
TPA|MLE,|MLE|IST|BHX|EWR|TPA|
TPA|MNL,|MNL|XMN|PEK|ORD|TPA|
TPA|MXZ,|MXZ|CAN|PEK|ORD|TPA|
TPA|NAO,|NAO|PEK|ORD|TPA|
TPA|NGB,|NGB|PEK|ORD|TPA|
TPA|NKG,|NKG|DLC|PEK|ORD|TPA|
TPA|NNY,|NNY|CGO|PEK|ORD|TPA|
TPA|PEN,|PEN|CAN|PEK|ORD|TPA|
TPA|PER,|PER|CAN|PEK|ORD|TPA|
TPA|PNH,|PNH|CAN|PEK|ORD|TPA|
TPA|REP,|REP|CAN|PEK|ORD|TPA|
TPA|RGN,|RGN|CAN|PEK|ORD|TPA|
TPA|SGN,|SGN|CAN|PEK|ORD|TPA|
TPA|SHA,|SHA|PEK|ORD|TPA|
TPA|SIN,|SIN|HKG|ORD|TPA|
TPA|SVO,|SVO|URC|TSE|FRA|EWR|TPA|
TPA|SYX,|SYX|PEK|ORD|TPA|
TPA|TAO,|TAO|DLC|PEK|ORD|TPA|
TPA|TEN,|TEN|PEK|ORD|TPA|
TPA|TNA,|TNA|DLC|PEK|ORD|TPA|
TPA|TPE,|TPE|PVG|ORD|TPA|
TPA|TSN,|TSN|DLC|PEK|ORD|TPA|
TPA|TXN,|TXN|DLC|PEK|ORD|TPA|
TPA|TYN,|TYN|DAT|CIH|PEK|ORD|TPA|
TPA|WNZ,|WNZ|CGO|PEK|ORD|TPA|
TPA|WUX,|WUX|CAN|PEK|ORD|TPA|
TPA|XFN,|XFN|XMN|PEK|ORD|TPA|
TPA|XIY,|XIY|PEK|ORD|TPA|
TPA|XUZ,|XUZ|LYG|HSN|PEK|ORD|TPA|
TPA|YIH,|YIH|CKG|PEK|ORD|TPA|
TPA|YIW,|YIW|PEK|ORD|TPA|
TPA|YNT,|YNT|SHE|PEK|ORD|TPA|
TPA|YNZ,|YNZ|DLC|PEK|ORD|TPA|
TPA|YTY,|YTY|DLC|PEK|ORD|TPA|
TPA|ZHA,|ZHA|CAN|PEK|ORD|TPA|
TPA|ZYI,|ZYI|PEK|ORD|TPA|
TPA|BAV,|BAV|CGO|PEK|ORD|TPA|
TPA|CJU,|CJU|DLC|PEK|ORD|TPA|
TPA|DSN,|DSN|CGO|PEK|ORD|TPA|
TPA|HMI,|HMI|URC|TSE|FRA|EWR|TPA|
TPA|INC,|INC|PEK|ORD|TPA|
TPA|KHH,|KHH|CGO|PEK|ORD|TPA|
TPA|UYN,|UYN|CGO|PEK|ORD|TPA|
TPA|XNN,|XNN|PEK|ORD|TPA|
TPA|ZUH,|ZUH|PEK|ORD|TPA|
TPA|YNJ,|YNJ|ICN|YVR|DEN|TPA|
TPA|DAT,|DAT|CIH|PEK|ORD|TPA|
TPA|JHG,|JHG|CKG|PEK|ORD|TPA|
TPA|LJG,|LJG|CKG|PEK|ORD|TPA|
