GZP|OGG,|OGG|YVR|FRA|ESB|GZP|
GZP|PDX,|PDX|SEA|FRA|ESB|GZP|
GZP|PEK,|PEK|IST|ESB|GZP|
GZP|PVG,|PVG|URC|TBS|SAW|ESB|GZP|
GZP|PVR,|PVR|ORD|VIE|ESB|GZP|
GZP|SEA,|SEA|FRA|ESB|GZP|
GZP|SYD,|SYD|BKK|IST|ESB|GZP|
GZP|YBL,|YBL|YVR|FRA|ESB|GZP|
GZP|YCD,|YCD|YVR|FRA|ESB|GZP|
GZP|YCG,|YCG|YYC|FRA|ESB|GZP|
GZP|YKA,|YKA|YYC|FRA|ESB|GZP|
GZP|YPR,|YPR|YVR|FRA|ESB|GZP|
GZP|YQZ,|YQZ|YVR|FRA|ESB|GZP|
GZP|YXC,|YXC|YYC|FRA|ESB|GZP|
GZP|YXJ,|YXJ|YYC|FRA|ESB|GZP|
GZP|YXS,|YXS|YYC|FRA|ESB|GZP|
GZP|YXT,|YXT|YVR|FRA|ESB|GZP|
GZP|YXY,|YXY|YVR|FRA|ESB|GZP|
GZP|YYD,|YYD|YVR|FRA|ESB|GZP|
GZP|YYF,|YYF|YVR|FRA|ESB|GZP|
GZP|YZP,|YZP|YVR|FRA|ESB|GZP|
GZP|YQT,|YQT|YYZ|VIE|ESB|GZP|
GZP|SJD,|SJD|ORD|VIE|ESB|GZP|
GZP|YQF,|YQF|YYC|FRA|ESB|GZP|
GZP|YQL,|YQL|YYC|FRA|ESB|GZP|
GZP|YXH,|YXH|YYC|FRA|ESB|GZP|
GZP|YWK,|YWK|YYR|YYT|LHR|IST|ESB|GZP|
GZP|ANU,|ANU|EWR|FRA|ESB|GZP|
GZP|AUA,|AUA|EWR|FRA|ESB|GZP|
GZP|AUH,|AUH|IST|ESB|GZP|
GZP|BCN,|BCN|IST|ESB|GZP|
GZP|BDA,|BDA|EWR|FRA|ESB|GZP|
GZP|BGI,|BGI|YYZ|VIE|ESB|GZP|
GZP|BNA,|BNA|YYZ|VIE|ESB|GZP|
GZP|BOG,|BOG|JFK|VIE|ESB|GZP|
GZP|BWI,|BWI|EWR|FRA|ESB|GZP|
GZP|CLE,|CLE|YYZ|VIE|ESB|GZP|
GZP|CLT,|CLT|EWR|FRA|ESB|GZP|
GZP|CMH,|CMH|YYZ|VIE|ESB|GZP|
GZP|CVG,|CVG|YYZ|VIE|ESB|GZP|
GZP|DFW,|DFW|ORD|VIE|ESB|GZP|
GZP|DTW,|DTW|YYZ|VIE|ESB|GZP|
GZP|DUB,|DUB|IST|ESB|GZP|
GZP|FCO,|FCO|IST|ESB|GZP|
GZP|GCM,|GCM|EWR|FRA|ESB|GZP|
GZP|GGT,|GGT|FLL|MCO|FRA|ESB|GZP|
GZP|GND,|GND|YYZ|VIE|ESB|GZP|
GZP|GRU,|GRU|IST|ESB|GZP|
GZP|HAV,|HAV|YYZ|VIE|ESB|GZP|
GZP|IND,|IND|YYZ|VIE|ESB|GZP|
GZP|JFK,|JFK|VIE|ESB|GZP|
GZP|KIN,|KIN|YYZ|VIE|ESB|GZP|
GZP|LIM,|LIM|MIA|FRA|ESB|GZP|
GZP|LIR,|LIR|EWR|FRA|ESB|GZP|
GZP|MCI,|MCI|ORD|VIE|ESB|GZP|
GZP|MDT,|MDT|IAD|VIE|ESB|GZP|
GZP|MIA,|MIA|FRA|ESB|GZP|
GZP|MKE,|MKE|YYZ|VIE|ESB|GZP|
GZP|MSP,|MSP|YUL|FRA|ESB|GZP|
GZP|NAS,|NAS|EWR|FRA|ESB|GZP|
GZP|PHL,|PHL|IAD|VIE|ESB|GZP|
GZP|PHX,|PHX|DEN|FRA|ESB|GZP|
GZP|PIT,|PIT|YYZ|VIE|ESB|GZP|
GZP|PLS,|PLS|EWR|FRA|ESB|GZP|
GZP|POP,|POP|EWR|FRA|ESB|GZP|
GZP|RDU,|RDU|EWR|FRA|ESB|GZP|
GZP|ROC,|ROC|YYZ|VIE|ESB|GZP|
GZP|RSW,|RSW|MCO|FRA|ESB|GZP|
GZP|SAN,|SAN|LAX|IST|ESB|GZP|
GZP|SJO,|SJO|EWR|FRA|ESB|GZP|
GZP|STL,|STL|ORD|VIE|ESB|GZP|
GZP|SYR,|SYR|EWR|FRA|ESB|GZP|
GZP|TLV,|TLV|SAW|ESB|GZP|
GZP|TPA,|TPA|EWR|FRA|ESB|GZP|
GZP|UVF,|UVF|EWR|FRA|ESB|GZP|
GZP|VIE,|VIE|ESB|GZP|
GZP|YAM,|YAM|YYZ|VIE|ESB|GZP|
GZP|YGK,|YGK|YYZ|VIE|ESB|GZP|
GZP|YQG,|YQG|YYZ|VIE|ESB|GZP|
GZP|YSB,|YSB|YYZ|VIE|ESB|GZP|
GZP|YTS,|YTS|YYZ|VIE|ESB|GZP|
GZP|YYB,|YYB|YYZ|VIE|ESB|GZP|
GZP|YZR,|YZR|YYZ|VIE|ESB|GZP|
GZP|CAN,|CAN|IST|ESB|GZP|
GZP|URC,|URC|TBS|SAW|ESB|GZP|
GZP|CTU,|CTU|URC|TBS|SAW|ESB|GZP|
GZP|HGH,|HGH|URC|TBS|SAW|ESB|GZP|
GZP|XMN,|XMN|CSX|URC|TBS|SAW|ESB|GZP|
GZP|CGO,|CGO|URC|TBS|SAW|ESB|GZP|
GZP|CSX,|CSX|URC|TBS|SAW|ESB|GZP|
GZP|SHE,|SHE|PEK|IST|ESB|GZP|
GZP|SJW,|SJW|URC|TBS|SAW|ESB|GZP|
GZP|WUH,|WUH|URC|TBS|SAW|ESB|GZP|
GZP|SZX,|SZX|CKG|URC|TBS|SAW|ESB|GZP|
GZP|CKG,|CKG|URC|TBS|SAW|ESB|GZP|
GZP|KMG,|KMG|CTU|URC|TBS|SAW|ESB|GZP|
GZP|FOC,|FOC|XIY|URC|TBS|SAW|ESB|GZP|
GZP|NNG,|NNG|KWE|URC|TBS|SAW|ESB|GZP|
GZP|SWA,|SWA|CSX|URC|TBS|SAW|ESB|GZP|
GZP|ACX,|ACX|CAN|IST|ESB|GZP|
GZP|AQG,|AQG|CAN|IST|ESB|GZP|
GZP|AVA,|AVA|CAN|IST|ESB|GZP|
GZP|BFJ,|BFJ|CAN|IST|ESB|GZP|
GZP|BHY,|BHY|CKG|URC|TBS|SAW|ESB|GZP|
GZP|BNE,|BNE|BKK|IST|ESB|GZP|
GZP|CGD,|CGD|PEK|IST|ESB|GZP|
GZP|CGK,|CGK|SIN|IST|ESB|GZP|
GZP|CGQ,|CGQ|HET|URC|TBS|SAW|ESB|GZP|
GZP|CIH,|CIH|PEK|IST|ESB|GZP|
GZP|CNX,|CNX|CAN|IST|ESB|GZP|
GZP|CZX,|CZX|TYN|URC|TBS|SAW|ESB|GZP|
GZP|DAC,|DAC|IST|ESB|GZP|
GZP|DAD,|DAD|CAN|IST|ESB|GZP|
GZP|DEL,|DEL|IST|ESB|GZP|
GZP|DIG,|DIG|KMG|CTU|URC|TBS|SAW|ESB|GZP|
GZP|DLC,|DLC|PEK|IST|ESB|GZP|
GZP|DPS,|DPS|CAN|IST|ESB|GZP|
GZP|DXB,|DXB|IST|ESB|GZP|
GZP|DYG,|DYG|CSX|URC|TBS|SAW|ESB|GZP|
GZP|FUG,|FUG|CAN|IST|ESB|GZP|
GZP|FUK,|FUK|ICN|IST|ESB|GZP|
GZP|HAK,|HAK|CTU|URC|TBS|SAW|ESB|GZP|
GZP|HAN,|HAN|CAN|IST|ESB|GZP|
GZP|HDG,|HDG|CAN|IST|ESB|GZP|
GZP|HET,|HET|URC|TBS|SAW|ESB|GZP|
GZP|HFE,|HFE|XIY|URC|TBS|SAW|ESB|GZP|
GZP|HJJ,|HJJ|CSX|URC|TBS|SAW|ESB|GZP|
