AMM|FRU,|FRU|IST|AMM|
AMM|GYD,|GYD|IST|AMM|
AMM|HTN,|HTN|URC|IST|AMM|
AMM|IKA,|IKA|IST|AMM|
AMM|KCA,|KCA|URC|IST|AMM|
AMM|KHG,|KHG|URC|IST|AMM|
AMM|KRL,|KRL|URC|IST|AMM|
AMM|KRY,|KRY|URC|IST|AMM|
AMM|LBD,|LBD|URC|IST|AMM|
AMM|NLT,|NLT|URC|IST|AMM|
AMM|OSS,|OSS|IST|AMM|
AMM|OVB,|OVB|IST|AMM|
AMM|TBS,|TBS|IST|AMM|
AMM|TCG,|TCG|URC|IST|AMM|
AMM|TSE,|TSE|IST|AMM|
AMM|YIN,|YIN|URC|IST|AMM|
AMM|ENH,|ENH|WUH|URC|IST|AMM|
AMM|ENY,|ENY|XIY|URC|IST|AMM|
AMM|WXN,|WXN|XIY|URC|IST|AMM|
AMM|BLL,|BLL|IST|AMM|
AMM|ESB,|ESB|IST|AMM|
AMM|SAW,|SAW|ADB|IST|AMM|
AMM|HAM,|HAM|IST|AMM|
AMM|HRE,|HRE|ADD|IST|AMM|
AMM|JUB,|JUB|CAI|IST|AMM|
AMM|SSG,|SSG|DLA|IST|AMM|
AMM|BGW,|BGW|IST|AMM|
AMM|EBL,|EBL|IST|AMM|
AMM|VKO,|VKO|IST|AMM|
AMM|MCT,|MCT|IST|AMM|
AMM|AYT,|AYT|IST|AMM|
AMM|SCQ,|SCQ|BIO|IST|AMM|
AMM|AAL,|AAL|IST|AMM|
AMM|AOE,|AOE|BRU|IST|AMM|
AMM|JNB,|JNB|IST|AMM|
AMM|LBV,|LBV|DLA|IST|AMM|
AMM|ADA,|ADA|IST|AMM|
AMM|ADB,|ADB|IST|AMM|
AMM|ADF,|ADF|IST|AMM|
AMM|AJI,|AJI|IST|AMM|
AMM|BAL,|BAL|IST|AMM|
AMM|BJV,|BJV|IST|AMM|
AMM|CKZ,|CKZ|ESB|IST|AMM|
AMM|DIY,|DIY|IST|AMM|
AMM|ECN,|ECN|IST|AMM|
AMM|ERC,|ERC|IST|AMM|
AMM|ERZ,|ERZ|IST|AMM|
AMM|EZS,|EZS|IST|AMM|
AMM|GNY,|GNY|IST|AMM|
AMM|GZP,|GZP|ESB|IST|AMM|
AMM|GZT,|GZT|IST|AMM|
AMM|HTY,|HTY|IST|AMM|
AMM|KCM,|KCM|IST|AMM|
AMM|KSY,|KSY|IST|AMM|
AMM|MLX,|MLX|IST|AMM|
