TBZ|LIM,|LIM|MIA|ZRH|IST|TBZ|
TBZ|LIR,|LIR|EWR|BHX|IST|TBZ|
TBZ|MCI,|MCI|ORD|IST|TBZ|
TBZ|MDT,|MDT|IAD|IST|TBZ|
TBZ|MIA,|MIA|ZRH|IST|TBZ|
TBZ|MKE,|MKE|YYZ|IST|TBZ|
TBZ|MSP,|MSP|YUL|FRA|IST|TBZ|
TBZ|NAS,|NAS|EWR|BHX|IST|TBZ|
TBZ|PHL,|PHL|IAD|IST|TBZ|
TBZ|PHX,|PHX|DEN|FRA|IST|TBZ|
TBZ|PIT,|PIT|YYZ|IST|TBZ|
TBZ|PLS,|PLS|EWR|BHX|IST|TBZ|
TBZ|POP,|POP|EWR|BHX|IST|TBZ|
TBZ|RDU,|RDU|EWR|BHX|IST|TBZ|
TBZ|ROC,|ROC|YYZ|IST|TBZ|
TBZ|RSW,|RSW|MCO|FRA|IST|TBZ|
TBZ|SAN,|SAN|LAX|IST|TBZ|
TBZ|SJO,|SJO|EWR|BHX|IST|TBZ|
TBZ|STL,|STL|ORD|IST|TBZ|
TBZ|SYR,|SYR|EWR|BHX|IST|TBZ|
TBZ|TLV,|TLV|IST|TBZ|
TBZ|TPA,|TPA|EWR|BHX|IST|TBZ|
TBZ|UVF,|UVF|EWR|BHX|IST|TBZ|
TBZ|VIE,|VIE|IST|TBZ|
TBZ|YAM,|YAM|YYZ|IST|TBZ|
TBZ|YGK,|YGK|YYZ|IST|TBZ|
TBZ|YQG,|YQG|YYZ|IST|TBZ|
TBZ|YSB,|YSB|YYZ|IST|TBZ|
TBZ|YTS,|YTS|YYZ|IST|TBZ|
TBZ|YYB,|YYB|YYZ|IST|TBZ|
TBZ|YZR,|YZR|YYZ|IST|TBZ|
TBZ|CAN,|CAN|IST|TBZ|
TBZ|URC,|URC|IST|TBZ|
TBZ|CTU,|CTU|URC|IST|TBZ|
TBZ|HGH,|HGH|URC|IST|TBZ|
TBZ|XMN,|XMN|CSX|URC|IST|TBZ|
TBZ|CGO,|CGO|URC|IST|TBZ|
TBZ|CSX,|CSX|URC|IST|TBZ|
TBZ|SHE,|SHE|PEK|IST|TBZ|
TBZ|SJW,|SJW|URC|IST|TBZ|
TBZ|WUH,|WUH|URC|IST|TBZ|
TBZ|SZX,|SZX|CKG|URC|IST|TBZ|
TBZ|CKG,|CKG|URC|IST|TBZ|
TBZ|KMG,|KMG|CTU|URC|IST|TBZ|
TBZ|FOC,|FOC|XIY|URC|IST|TBZ|
TBZ|NNG,|NNG|KWE|URC|IST|TBZ|
TBZ|SWA,|SWA|CAN|IST|TBZ|
TBZ|ACX,|ACX|CAN|IST|TBZ|
TBZ|AQG,|AQG|CAN|IST|TBZ|
TBZ|AVA,|AVA|CAN|IST|TBZ|
TBZ|BFJ,|BFJ|CAN|IST|TBZ|
TBZ|BHY,|BHY|CKG|URC|IST|TBZ|
TBZ|BNE,|BNE|BKK|IST|TBZ|
TBZ|CGD,|CGD|PEK|IST|TBZ|
TBZ|CGK,|CGK|SIN|IST|TBZ|
TBZ|CGQ,|CGQ|HET|URC|IST|TBZ|
TBZ|CIH,|CIH|PEK|IST|TBZ|
TBZ|CNX,|CNX|CAN|IST|TBZ|
TBZ|CZX,|CZX|TYN|URC|IST|TBZ|
TBZ|DAC,|DAC|IST|TBZ|
TBZ|DAD,|DAD|CAN|IST|TBZ|
TBZ|DEL,|DEL|IST|TBZ|
TBZ|DIG,|DIG|KMG|CTU|URC|IST|TBZ|
TBZ|DLC,|DLC|PEK|IST|TBZ|
TBZ|DPS,|DPS|CAN|IST|TBZ|
TBZ|DXB,|DXB|IST|TBZ|
TBZ|DYG,|DYG|CSX|URC|IST|TBZ|
TBZ|FUG,|FUG|CAN|IST|TBZ|
TBZ|FUK,|FUK|ICN|IST|TBZ|
TBZ|HAK,|HAK|CTU|URC|IST|TBZ|
TBZ|HAN,|HAN|CAN|IST|TBZ|
TBZ|HDG,|HDG|CAN|IST|TBZ|
TBZ|HET,|HET|URC|IST|TBZ|
TBZ|HFE,|HFE|XIY|URC|IST|TBZ|
TBZ|HJJ,|HJJ|CSX|URC|IST|TBZ|
TBZ|HKT,|HKT|KWE|URC|IST|TBZ|
TBZ|HRB,|HRB|PEK|IST|TBZ|
TBZ|HZH,|HZH|CAN|IST|TBZ|
TBZ|JIU,|JIU|CAN|IST|TBZ|
TBZ|JJN,|JJN|CSX|URC|IST|TBZ|
TBZ|JNG,|JNG|CAN|IST|TBZ|
TBZ|KHN,|KHN|XIY|URC|IST|TBZ|
TBZ|KIX,|KIX|IST|TBZ|
TBZ|KOW,|KOW|CAN|IST|TBZ|
TBZ|KTM,|KTM|IST|TBZ|
TBZ|KUL,|KUL|IST|TBZ|
TBZ|KWE,|KWE|URC|IST|TBZ|
TBZ|KWL,|KWL|CKG|URC|IST|TBZ|
TBZ|LHW,|LHW|URC|IST|TBZ|
TBZ|LYA,|LYA|KHN|XIY|URC|IST|TBZ|
TBZ|LYG,|LYG|XUZ|INC|URC|IST|TBZ|
TBZ|LZH,|LZH|CAN|IST|TBZ|
TBZ|MEL,|MEL|BKK|IST|TBZ|
TBZ|MIG,|MIG|CSX|URC|IST|TBZ|
TBZ|MLE,|MLE|IST|TBZ|
TBZ|MNL,|MNL|CAN|IST|TBZ|
TBZ|MXZ,|MXZ|CAN|IST|TBZ|
TBZ|NAO,|NAO|PEK|IST|TBZ|
TBZ|NGB,|NGB|WUH|URC|IST|TBZ|
TBZ|NKG,|NKG|URC|IST|TBZ|
