PTY|YZP,|YZP|YVR|IAH|PTY|
PTY|YQT,|YQT|YYZ|MIA|PTY|
PTY|SJD,|SJD|IAH|PTY|
PTY|YQF,|YQF|YYC|IAH|PTY|
PTY|YQL,|YQL|YYC|IAH|PTY|
PTY|YXH,|YXH|YYC|IAH|PTY|
PTY|YWK,|YWK|YZV|YQB|EWR|PTY|
PTY|ANU,|ANU|EWR|PTY|
PTY|AUA,|AUA|ATL|MCO|PTY|
PTY|AUH,|AUH|IST|ZRH|MIA|PTY|
PTY|BCN,|BCN|EWR|PTY|
PTY|BDA,|BDA|EWR|PTY|
PTY|BGI,|BGI|YYZ|MIA|PTY|
PTY|BNA,|BNA|MCO|PTY|
PTY|BOG,|BOG|MIA|PTY|
PTY|BWI,|BWI|MCO|PTY|
PTY|CLE,|CLE|MCO|PTY|
PTY|CLT,|CLT|MCO|PTY|
PTY|CMH,|CMH|MCO|PTY|
PTY|CVG,|CVG|IAD|PTY|
PTY|DFW,|DFW|IAH|PTY|
PTY|DTW,|DTW|ATL|MCO|PTY|
PTY|DUB,|DUB|BOS|PTY|
PTY|FCO,|FCO|EWR|PTY|
PTY|GCM,|GCM|IAH|PTY|
PTY|GGT,|GGT|FLL|MCO|PTY|
PTY|GND,|GND|YYZ|MIA|PTY|
PTY|GRU,|GRU|IAH|PTY|
PTY|HAV,|HAV|YYZ|MIA|PTY|
PTY|IND,|IND|MCO|PTY|
PTY|JFK,|JFK|PTY|
PTY|KIN,|KIN|YYZ|MIA|PTY|
PTY|LIM,|LIM|MIA|PTY|
PTY|LIR,|LIR|IAH|PTY|
PTY|MCI,|MCI|MCO|PTY|
PTY|MDT,|MDT|IAD|PTY|
PTY|MIA,|MIA|PTY|
PTY|MKE,|MKE|ORD|PTY|
PTY|MSP,|MSP|MCO|PTY|
PTY|NAS,|NAS|ATL|MCO|PTY|
PTY|PHL,|PHL|IAD|PTY|
PTY|PHX,|PHX|IAH|PTY|
PTY|PIT,|PIT|MCO|PTY|
PTY|PLS,|PLS|EWR|PTY|
PTY|POP,|POP|EWR|PTY|
PTY|RDU,|RDU|MCO|PTY|
PTY|ROC,|ROC|IAD|PTY|
PTY|RSW,|RSW|MCO|PTY|
PTY|SAN,|SAN|IAH|PTY|
PTY|SJO,|SJO|IAH|PTY|
PTY|STL,|STL|MCO|PTY|
PTY|SYR,|SYR|IAD|PTY|
PTY|TLV,|TLV|IST|ZRH|MIA|PTY|
PTY|TPA,|TPA|GNV|MCO|PTY|
PTY|UVF,|UVF|EWR|PTY|
PTY|VIE,|VIE|JFK|PTY|
PTY|YAM,|YAM|YYZ|MIA|PTY|
PTY|YGK,|YGK|YYZ|MIA|PTY|
PTY|YQG,|YQG|YYZ|MIA|PTY|
PTY|YSB,|YSB|YYZ|MIA|PTY|
PTY|YTS,|YTS|YYZ|MIA|PTY|
PTY|YYB,|YYB|YYZ|MIA|PTY|
PTY|YZR,|YZR|YYZ|MIA|PTY|
PTY|CAN,|CAN|PEK|ORD|PTY|
PTY|URC,|URC|TSE|FRA|MIA|PTY|
PTY|CTU,|CTU|PEK|ORD|PTY|
PTY|HGH,|HGH|PEK|ORD|PTY|
PTY|XMN,|XMN|PEK|ORD|PTY|
PTY|CGO,|CGO|PEK|ORD|PTY|
PTY|CSX,|CSX|PEK|ORD|PTY|
PTY|SHE,|SHE|ICN|YVR|IAH|PTY|
PTY|SJW,|SJW|DLC|ICN|YVR|IAH|PTY|
PTY|WUH,|WUH|PEK|ORD|PTY|
PTY|SZX,|SZX|PEK|ORD|PTY|
PTY|CKG,|CKG|PEK|ORD|PTY|
PTY|KMG,|KMG|PEK|ORD|PTY|
PTY|FOC,|FOC|PEK|ORD|PTY|
PTY|NNG,|NNG|PEK|ORD|PTY|
PTY|SWA,|SWA|PEK|ORD|PTY|
PTY|ACX,|ACX|CAN|PEK|ORD|PTY|
PTY|AQG,|AQG|CAN|PEK|ORD|PTY|
PTY|AVA,|AVA|CAN|PEK|ORD|PTY|
PTY|BFJ,|BFJ|CAN|PEK|ORD|PTY|
PTY|BHY,|BHY|CGO|PEK|ORD|PTY|
PTY|BNE,|BNE|CAN|PEK|ORD|PTY|
PTY|CGD,|CGD|PEK|ORD|PTY|
PTY|CGK,|CGK|CAN|PEK|ORD|PTY|
PTY|CGQ,|CGQ|ICN|YVR|IAH|PTY|
PTY|CIH,|CIH|PEK|ORD|PTY|
PTY|CNX,|CNX|CAN|PEK|ORD|PTY|
PTY|CZX,|CZX|SHE|ICN|YVR|IAH|PTY|
PTY|DAC,|DAC|IST|ZRH|MIA|PTY|
PTY|DAD,|DAD|CAN|PEK|ORD|PTY|
PTY|DEL,|DEL|EWR|PTY|
PTY|DIG,|DIG|KMG|PEK|ORD|PTY|
PTY|DLC,|DLC|ICN|YVR|IAH|PTY|
PTY|DPS,|DPS|SZX|PEK|ORD|PTY|
PTY|DXB,|DXB|IST|ZRH|MIA|PTY|
PTY|DYG,|DYG|PEK|ORD|PTY|
PTY|FUG,|FUG|CAN|PEK|ORD|PTY|
PTY|FUK,|FUK|ICN|YVR|IAH|PTY|
PTY|HAK,|HAK|PEK|ORD|PTY|
PTY|HAN,|HAN|PEK|ORD|PTY|
PTY|HDG,|HDG|CAN|PEK|ORD|PTY|
PTY|HET,|HET|DLC|ICN|YVR|IAH|PTY|
PTY|HFE,|HFE|XIY|PEK|ORD|PTY|
PTY|HJJ,|HJJ|CSX|PEK|ORD|PTY|
PTY|HKT,|HKT|KWE|PEK|ORD|PTY|
PTY|HRB,|HRB|ICN|YVR|IAH|PTY|
PTY|HZH,|HZH|CAN|PEK|ORD|PTY|
PTY|JIU,|JIU|CAN|PEK|ORD|PTY|
PTY|JJN,|JJN|PEK|ORD|PTY|
PTY|JNG,|JNG|CAN|PEK|ORD|PTY|
PTY|KHN,|KHN|DLC|ICN|YVR|IAH|PTY|
PTY|KIX,|KIX|SFO|LAS|PTY|
PTY|KOW,|KOW|PEK|ORD|PTY|
PTY|KTM,|KTM|IST|ZRH|MIA|PTY|
PTY|KUL,|KUL|CAN|PEK|ORD|PTY|
PTY|KWE,|KWE|PEK|ORD|PTY|
PTY|KWL,|KWL|PEK|ORD|PTY|
PTY|LHW,|LHW|CGO|PEK|ORD|PTY|
PTY|LYA,|LYA|KHN|DLC|ICN|YVR|IAH|PTY|
PTY|LYG,|LYG|HSN|PEK|ORD|PTY|
PTY|LZH,|LZH|CAN|PEK|ORD|PTY|
PTY|MEL,|MEL|SYD|LAX|PTY|
PTY|MIG,|MIG|CSX|PEK|ORD|PTY|
PTY|MLE,|MLE|IST|ZRH|MIA|PTY|
PTY|MNL,|MNL|XMN|PEK|ORD|PTY|
PTY|MXZ,|MXZ|CAN|PEK|ORD|PTY|
PTY|NAO,|NAO|PEK|ORD|PTY|
PTY|NGB,|NGB|PEK|ORD|PTY|
PTY|NKG,|NKG|DLC|ICN|YVR|IAH|PTY|
PTY|NNY,|NNY|CGO|PEK|ORD|PTY|
PTY|PEN,|PEN|CAN|PEK|ORD|PTY|
PTY|PER,|PER|CAN|PEK|ORD|PTY|
PTY|PNH,|PNH|CAN|PEK|ORD|PTY|
PTY|REP,|REP|CAN|PEK|ORD|PTY|
PTY|RGN,|RGN|CAN|PEK|ORD|PTY|
PTY|SGN,|SGN|CAN|PEK|ORD|PTY|
PTY|SHA,|SHA|PEK|ORD|PTY|
PTY|SIN,|SIN|HKG|ORD|PTY|
PTY|SVO,|SVO|URC|TSE|FRA|MIA|PTY|
PTY|SYX,|SYX|PEK|ORD|PTY|
PTY|TAO,|TAO|DLC|ICN|YVR|IAH|PTY|
PTY|TEN,|TEN|PEK|ORD|PTY|
PTY|TNA,|TNA|DLC|ICN|YVR|IAH|PTY|
PTY|TPE,|TPE|PVG|YVR|IAH|PTY|
PTY|TSN,|TSN|DLC|ICN|YVR|IAH|PTY|
PTY|TXN,|TXN|DLC|ICN|YVR|IAH|PTY|
PTY|TYN,|TYN|DLC|ICN|YVR|IAH|PTY|
PTY|WNZ,|WNZ|CGO|PEK|ORD|PTY|
PTY|WUX,|WUX|CAN|PEK|ORD|PTY|
PTY|XFN,|XFN|XMN|PEK|ORD|PTY|
PTY|XIY,|XIY|PEK|ORD|PTY|
PTY|XUZ,|XUZ|LYG|HSN|PEK|ORD|PTY|
PTY|YIH,|YIH|CKG|PEK|ORD|PTY|
PTY|YIW,|YIW|PEK|ORD|PTY|
PTY|YNT,|YNT|SHE|ICN|YVR|IAH|PTY|
PTY|YNZ,|YNZ|DLC|ICN|YVR|IAH|PTY|
PTY|YTY,|YTY|DLC|ICN|YVR|IAH|PTY|
PTY|ZHA,|ZHA|CAN|PEK|ORD|PTY|
PTY|ZYI,|ZYI|PEK|ORD|PTY|
PTY|BAV,|BAV|CGO|PEK|ORD|PTY|
PTY|CJU,|CJU|DLC|ICN|YVR|IAH|PTY|
PTY|DSN,|DSN|CGO|PEK|ORD|PTY|
PTY|HMI,|HMI|URC|TSE|FRA|MIA|PTY|
PTY|INC,|INC|PEK|ORD|PTY|
PTY|KHH,|KHH|CGO|PEK|ORD|PTY|
PTY|UYN,|UYN|CGO|PEK|ORD|PTY|
PTY|XNN,|XNN|PEK|ORD|PTY|
PTY|ZUH,|ZUH|PEK|ORD|PTY|
PTY|YNJ,|YNJ|ICN|YVR|IAH|PTY|
PTY|DAT,|DAT|CIH|PEK|ORD|PTY|
PTY|JHG,|JHG|CKG|PEK|ORD|PTY|
PTY|LJG,|LJG|CKG|PEK|ORD|PTY|
PTY|LXA,|LXA|XIY|PEK|ORD|PTY|
PTY|YCU,|YCU|CSX|PEK|ORD|PTY|
PTY|LZO,|LZO|CSX|PEK|ORD|PTY|
PTY|MDG,|MDG|ICN|YVR|IAH|PTY|
PTY|NGO,|NGO|ICN|YVR|IAH|PTY|
PTY|TOY,|TOY|DLC|ICN|YVR|IAH|PTY|
PTY|MFM,|MFM|XMN|PEK|ORD|PTY|
PTY|TGO,|TGO|HET|DLC|ICN|YVR|IAH|PTY|
PTY|XIL,|XIL|HET|DLC|ICN|YVR|IAH|PTY|
PTY|HEK,|HEK|HRB|ICN|YVR|IAH|PTY|
PTY|KIJ,|KIJ|HRB|ICN|YVR|IAH|PTY|
PTY|LDS,|LDS|HRB|ICN|YVR|IAH|PTY|
PTY|OHE,|OHE|HRB|ICN|YVR|IAH|PTY|
PTY|HSN,|HSN|PEK|ORD|PTY|
PTY|DLU,|DLU|KMG|PEK|ORD|PTY|
PTY|SYM,|SYM|KMG|PEK|ORD|PTY|
PTY|ZAT,|ZAT|KMG|PEK|ORD|PTY|
PTY|LUN,|LUN|NBO|ZRH|MIA|PTY|
PTY|AOG,|AOG|PEK|ORD|PTY|
PTY|GMP,|GMP|PEK|ORD|PTY|
PTY|ISB,|ISB|IST|ZRH|MIA|PTY|
PTY|TAS,|TAS|IST|ZRH|MIA|PTY|
PTY|WUS,|WUS|PEK|ORD|PTY|
PTY|JMU,|JMU|PVG|YVR|IAH|PTY|
PTY|NDG,|NDG|PVG|YVR|IAH|PTY|
PTY|JXA,|JXA|SHE|ICN|YVR|IAH|PTY|
PTY|PUS,|PUS|SHE|ICN|YVR|IAH|PTY|
PTY|BKI,|BKI|SZX|PEK|ORD|PTY|
PTY|AKU,|AKU|URC|TSE|FRA|MIA|PTY|
PTY|ALA,|ALA|TSE|FRA|MIA|PTY|
PTY|ASB,|ASB|GYD|FRA|MIA|PTY|
PTY|DNH,|DNH|URC|TSE|FRA|MIA|PTY|
PTY|DYU,|DYU|IST|ZRH|MIA|PTY|
PTY|FRU,|FRU|IST|ZRH|MIA|PTY|
PTY|GYD,|GYD|FRA|MIA|PTY|
PTY|HTN,|HTN|URC|TSE|FRA|MIA|PTY|
PTY|IKA,|IKA|IST|ZRH|MIA|PTY|
PTY|KCA,|KCA|URC|TSE|FRA|MIA|PTY|
PTY|KHG,|KHG|URC|TSE|FRA|MIA|PTY|
PTY|KRL,|KRL|URC|TSE|FRA|MIA|PTY|
PTY|KRY,|KRY|URC|TSE|FRA|MIA|PTY|
PTY|LBD,|LBD|URC|TSE|FRA|MIA|PTY|
PTY|NLT,|NLT|URC|TSE|FRA|MIA|PTY|
PTY|OSS,|OSS|IST|ZRH|MIA|PTY|
PTY|OVB,|OVB|IST|ZRH|MIA|PTY|
PTY|TBS,|TBS|IST|ZRH|MIA|PTY|
PTY|TCG,|TCG|URC|TSE|FRA|MIA|PTY|
PTY|TSE,|TSE|FRA|MIA|PTY|
PTY|YIN,|YIN|URC|TSE|FRA|MIA|PTY|
PTY|ENH,|ENH|WUH|PEK|ORD|PTY|
PTY|ENY,|ENY|XIY|PEK|ORD|PTY|
PTY|WXN,|WXN|XIY|PEK|ORD|PTY|
PTY|BLL,|BLL|IST|ZRH|MIA|PTY|
PTY|ESB,|ESB|FRA|MIA|PTY|
PTY|SAW,|SAW|FRA|MIA|PTY|
PTY|HAM,|HAM|EWR|PTY|
PTY|HRE,|HRE|ADD|IST|ZRH|MIA|PTY|
PTY|JUB,|JUB|CAI|JFK|PTY|
