CZX|SJD,|SJD|LAX|ICN|SHE|CZX|
CZX|YQF,|YQF|YYC|YVR|ICN|SHE|CZX|
CZX|YQL,|YQL|YYC|YVR|ICN|SHE|CZX|
CZX|YXH,|YXH|YYC|YVR|ICN|SHE|CZX|
CZX|YWK,|YWK|YZV|YQB|YYZ|PEK|SHE|CZX|
CZX|ANU,|ANU|EWR|PEK|SHE|CZX|
CZX|AUA,|AUA|EWR|PEK|SHE|CZX|
CZX|AUH,|AUH|IST|URC|TYN|CZX|
CZX|BCN,|BCN|IST|URC|TYN|CZX|
CZX|BDA,|BDA|EWR|PEK|SHE|CZX|
CZX|BGI,|BGI|YYZ|PEK|SHE|CZX|
CZX|BNA,|BNA|ORD|PEK|SHE|CZX|
CZX|BOG,|BOG|IAH|YVR|ICN|SHE|CZX|
CZX|BWI,|BWI|YYZ|PEK|SHE|CZX|
CZX|CLE,|CLE|YYZ|PEK|SHE|CZX|
CZX|CLT,|CLT|YYZ|PEK|SHE|CZX|
CZX|CMH,|CMH|ORD|PEK|SHE|CZX|
CZX|CVG,|CVG|ORD|PEK|SHE|CZX|
CZX|DFW,|DFW|YVR|ICN|SHE|CZX|
CZX|DTW,|DTW|PEK|SHE|CZX|
CZX|DUB,|DUB|IST|URC|TYN|CZX|
CZX|FCO,|FCO|IST|URC|TYN|CZX|
CZX|GCM,|GCM|IAH|YVR|ICN|SHE|CZX|
CZX|GGT,|GGT|YYZ|PEK|SHE|CZX|
CZX|GND,|GND|YYZ|PEK|SHE|CZX|
CZX|GRU,|GRU|IST|URC|TYN|CZX|
CZX|HAV,|HAV|YYZ|PEK|SHE|CZX|
CZX|IND,|IND|ORD|PEK|SHE|CZX|
CZX|JFK,|JFK|PEK|SHE|CZX|
CZX|KIN,|KIN|YYZ|PEK|SHE|CZX|
CZX|LIM,|LIM|IAH|YVR|ICN|SHE|CZX|
CZX|LIR,|LIR|IAH|YVR|ICN|SHE|CZX|
CZX|MCI,|MCI|DEN|YVR|ICN|SHE|CZX|
CZX|MDT,|MDT|YYZ|PEK|SHE|CZX|
CZX|MIA,|MIA|ORD|PEK|SHE|CZX|
CZX|MKE,|MKE|ORD|PEK|SHE|CZX|
CZX|MSP,|MSP|DEN|YVR|ICN|SHE|CZX|
CZX|NAS,|NAS|YYZ|PEK|SHE|CZX|
CZX|PHL,|PHL|YYZ|PEK|SHE|CZX|
CZX|PHX,|PHX|SFO|ICN|SHE|CZX|
CZX|PIT,|PIT|YYZ|PEK|SHE|CZX|
CZX|PLS,|PLS|EWR|PEK|SHE|CZX|
CZX|POP,|POP|EWR|PEK|SHE|CZX|
CZX|RDU,|RDU|YYZ|PEK|SHE|CZX|
CZX|ROC,|ROC|YYZ|PEK|SHE|CZX|
