YXU|YZP,|YZP|YVR|YYC|YXU|
YXU|YQT,|YQT|YYZ|YXU|
YXU|SJD,|SJD|ORD|YXU|
YXU|YQF,|YQF|YYC|YXU|
YXU|YQL,|YQL|YYC|YXU|
YXU|YXH,|YXH|YYC|YXU|
YXU|YWK,|YWK|YZV|YQB|YOW|YXU|
YXU|ANU,|ANU|YYZ|YXU|
YXU|AUA,|AUA|YYZ|YXU|
YXU|AUH,|AUH|YYZ|YXU|
YXU|BCN,|BCN|YYZ|YXU|
YXU|BDA,|BDA|YYZ|YXU|
YXU|BGI,|BGI|YYZ|YXU|
YXU|BNA,|BNA|YYZ|YXU|
YXU|BOG,|BOG|YYZ|YXU|
YXU|BWI,|BWI|YYZ|YXU|
YXU|CLE,|CLE|YYZ|YXU|
YXU|CLT,|CLT|YYZ|YXU|
YXU|CMH,|CMH|YYZ|YXU|
YXU|CVG,|CVG|YYZ|YXU|
YXU|DFW,|DFW|ORD|YXU|
YXU|DTW,|DTW|YYZ|YXU|
YXU|DUB,|DUB|YYZ|YXU|
YXU|FCO,|FCO|YYZ|YXU|
YXU|GCM,|GCM|YYZ|YXU|
YXU|GGT,|GGT|YYZ|YXU|
YXU|GND,|GND|YYZ|YXU|
YXU|GRU,|GRU|YYZ|YXU|
YXU|HAV,|HAV|YYZ|YXU|
YXU|IND,|IND|YYZ|YXU|
YXU|JFK,|JFK|YYZ|YXU|
YXU|KIN,|KIN|YYZ|YXU|
YXU|LIM,|LIM|YYZ|YXU|
YXU|LIR,|LIR|YYZ|YXU|
YXU|MCI,|MCI|ORD|YXU|
YXU|MDT,|MDT|YYZ|YXU|
YXU|MIA,|MIA|YYZ|YXU|
YXU|MKE,|MKE|ORD|YXU|
YXU|MSP,|MSP|ORD|YXU|
YXU|NAS,|NAS|YYZ|YXU|
YXU|PHL,|PHL|YYZ|YXU|
YXU|PHX,|PHX|ORD|YXU|
YXU|PIT,|PIT|YYZ|YXU|
YXU|PLS,|PLS|YYZ|YXU|
YXU|POP,|POP|YYZ|YXU|
YXU|RDU,|RDU|YYZ|YXU|
YXU|ROC,|ROC|YYZ|YXU|
YXU|RSW,|RSW|YYZ|YXU|
YXU|SAN,|SAN|ORD|YXU|
YXU|SJO,|SJO|YYZ|YXU|
YXU|STL,|STL|ORD|YXU|
YXU|SYR,|SYR|YYZ|YXU|
YXU|TLV,|TLV|YYZ|YXU|
YXU|TPA,|TPA|YYZ|YXU|
YXU|UVF,|UVF|YYZ|YXU|
YXU|VIE,|VIE|YYZ|YXU|
YXU|YAM,|YAM|YYZ|YXU|
YXU|YGK,|YGK|YYZ|YXU|
YXU|YQG,|YQG|YYZ|YXU|
YXU|YSB,|YSB|YYZ|YXU|
YXU|YTS,|YTS|YYZ|YXU|
YXU|YYB,|YYB|YYZ|YXU|
YXU|YZR,|YZR|YYZ|YXU|
YXU|CAN,|CAN|PEK|YYZ|YXU|
YXU|URC,|URC|TSE|FRA|YYZ|YXU|
YXU|CTU,|CTU|PEK|YYZ|YXU|
YXU|HGH,|HGH|PEK|YYZ|YXU|
YXU|XMN,|XMN|PEK|YYZ|YXU|
YXU|CGO,|CGO|PEK|YYZ|YXU|
YXU|CSX,|CSX|PEK|YYZ|YXU|
YXU|SHE,|SHE|PEK|YYZ|YXU|
YXU|SJW,|SJW|DLC|PEK|YYZ|YXU|
YXU|WUH,|WUH|PEK|YYZ|YXU|
YXU|SZX,|SZX|PEK|YYZ|YXU|
YXU|CKG,|CKG|PEK|YYZ|YXU|
YXU|KMG,|KMG|PEK|YYZ|YXU|
YXU|FOC,|FOC|PEK|YYZ|YXU|
YXU|NNG,|NNG|PEK|YYZ|YXU|
YXU|SWA,|SWA|PEK|YYZ|YXU|
YXU|ACX,|ACX|CAN|PEK|YYZ|YXU|
YXU|AQG,|AQG|CAN|PEK|YYZ|YXU|
YXU|AVA,|AVA|CAN|PEK|YYZ|YXU|
YXU|BFJ,|BFJ|CAN|PEK|YYZ|YXU|
YXU|BHY,|BHY|CGO|PEK|YYZ|YXU|
YXU|BNE,|BNE|CAN|PEK|YYZ|YXU|
YXU|CGD,|CGD|PEK|YYZ|YXU|
YXU|CGK,|CGK|CAN|PEK|YYZ|YXU|
YXU|CGQ,|CGQ|PEK|YYZ|YXU|
YXU|CIH,|CIH|PEK|YYZ|YXU|
YXU|CNX,|CNX|CAN|PEK|YYZ|YXU|
YXU|CZX,|CZX|SHE|PEK|YYZ|YXU|
YXU|DAC,|DAC|IST|YYZ|YXU|
YXU|DAD,|DAD|CAN|PEK|YYZ|YXU|
YXU|DEL,|DEL|EWR|YYZ|YXU|
YXU|DIG,|DIG|KMG|PEK|YYZ|YXU|
YXU|DLC,|DLC|PEK|YYZ|YXU|
YXU|DPS,|DPS|SZX|PEK|YYZ|YXU|
YXU|DXB,|DXB|IST|YYZ|YXU|
YXU|DYG,|DYG|PEK|YYZ|YXU|
YXU|FUG,|FUG|CAN|PEK|YYZ|YXU|
YXU|FUK,|FUK|ICN|YVR|YYC|YXU|
YXU|HAK,|HAK|PEK|YYZ|YXU|
YXU|HAN,|HAN|PEK|YYZ|YXU|
YXU|HDG,|HDG|CAN|PEK|YYZ|YXU|
YXU|HET,|HET|DLC|PEK|YYZ|YXU|
YXU|HFE,|HFE|XIY|PEK|YYZ|YXU|
YXU|HJJ,|HJJ|CSX|PEK|YYZ|YXU|
YXU|HKT,|HKT|KWE|PEK|YYZ|YXU|
YXU|HRB,|HRB|PEK|YYZ|YXU|
YXU|HZH,|HZH|CAN|PEK|YYZ|YXU|
YXU|JIU,|JIU|CAN|PEK|YYZ|YXU|
YXU|JJN,|JJN|PEK|YYZ|YXU|
YXU|JNG,|JNG|CAN|PEK|YYZ|YXU|
YXU|KHN,|KHN|DLC|PEK|YYZ|YXU|
YXU|KIX,|KIX|SFO|ORD|YXU|
YXU|KOW,|KOW|PEK|YYZ|YXU|
YXU|KTM,|KTM|IST|YYZ|YXU|
YXU|KUL,|KUL|CAN|PEK|YYZ|YXU|
YXU|KWE,|KWE|PEK|YYZ|YXU|
YXU|KWL,|KWL|PEK|YYZ|YXU|
YXU|LHW,|LHW|CGO|PEK|YYZ|YXU|
YXU|LYA,|LYA|KHN|DLC|PEK|YYZ|YXU|
YXU|LYG,|LYG|HSN|PEK|YYZ|YXU|
YXU|LZH,|LZH|CAN|PEK|YYZ|YXU|
YXU|MEL,|MEL|SYD|LAX|ORD|YXU|
YXU|MIG,|MIG|CSX|PEK|YYZ|YXU|
YXU|MLE,|MLE|IST|YYZ|YXU|
YXU|MNL,|MNL|XMN|PEK|YYZ|YXU|
YXU|MXZ,|MXZ|CAN|PEK|YYZ|YXU|
YXU|NAO,|NAO|PEK|YYZ|YXU|
YXU|NGB,|NGB|PEK|YYZ|YXU|
YXU|NKG,|NKG|DLC|PEK|YYZ|YXU|
YXU|NNY,|NNY|CGO|PEK|YYZ|YXU|
YXU|PEN,|PEN|CAN|PEK|YYZ|YXU|
YXU|PER,|PER|CAN|PEK|YYZ|YXU|
YXU|PNH,|PNH|CAN|PEK|YYZ|YXU|
YXU|REP,|REP|CAN|PEK|YYZ|YXU|
YXU|RGN,|RGN|CAN|PEK|YYZ|YXU|
YXU|SGN,|SGN|CAN|PEK|YYZ|YXU|
YXU|SHA,|SHA|PEK|YYZ|YXU|
YXU|SIN,|SIN|CAN|PEK|YYZ|YXU|
YXU|SVO,|SVO|URC|TSE|FRA|YYZ|YXU|
YXU|SYX,|SYX|PEK|YYZ|YXU|
YXU|TAO,|TAO|DLC|PEK|YYZ|YXU|
YXU|TEN,|TEN|PEK|YYZ|YXU|
YXU|TNA,|TNA|DLC|PEK|YYZ|YXU|
YXU|TPE,|TPE|PVG|YYZ|YXU|
YXU|TSN,|TSN|DLC|PEK|YYZ|YXU|
YXU|TXN,|TXN|DLC|PEK|YYZ|YXU|
YXU|TYN,|TYN|DAT|CIH|PEK|YYZ|YXU|
YXU|WNZ,|WNZ|CGO|PEK|YYZ|YXU|
YXU|WUX,|WUX|CAN|PEK|YYZ|YXU|
YXU|XFN,|XFN|XMN|PEK|YYZ|YXU|
YXU|XIY,|XIY|PEK|YYZ|YXU|
YXU|XUZ,|XUZ|LYG|HSN|PEK|YYZ|YXU|
YXU|YIH,|YIH|CKG|PEK|YYZ|YXU|
YXU|YIW,|YIW|PEK|YYZ|YXU|
YXU|YNT,|YNT|SHE|PEK|YYZ|YXU|
YXU|YNZ,|YNZ|DLC|PEK|YYZ|YXU|
YXU|YTY,|YTY|DLC|PEK|YYZ|YXU|
YXU|ZHA,|ZHA|CAN|PEK|YYZ|YXU|
YXU|ZYI,|ZYI|PEK|YYZ|YXU|
YXU|BAV,|BAV|CGO|PEK|YYZ|YXU|
YXU|CJU,|CJU|DLC|PEK|YYZ|YXU|
YXU|DSN,|DSN|CGO|PEK|YYZ|YXU|
YXU|HMI,|HMI|URC|TSE|FRA|YYZ|YXU|
YXU|INC,|INC|PEK|YYZ|YXU|
YXU|KHH,|KHH|CGO|PEK|YYZ|YXU|
YXU|UYN,|UYN|CGO|PEK|YYZ|YXU|
YXU|XNN,|XNN|PEK|YYZ|YXU|
YXU|ZUH,|ZUH|PEK|YYZ|YXU|
YXU|YNJ,|YNJ|PEK|YYZ|YXU|
YXU|DAT,|DAT|CIH|PEK|YYZ|YXU|
YXU|JHG,|JHG|CKG|PEK|YYZ|YXU|
YXU|LJG,|LJG|CKG|PEK|YYZ|YXU|
YXU|LXA,|LXA|XIY|PEK|YYZ|YXU|
YXU|YCU,|YCU|CSX|PEK|YYZ|YXU|
YXU|LZO,|LZO|CSX|PEK|YYZ|YXU|
YXU|MDG,|MDG|DLC|PEK|YYZ|YXU|
YXU|NGO,|NGO|ICN|YVR|YYC|YXU|
YXU|TOY,|TOY|DLC|PEK|YYZ|YXU|
YXU|MFM,|MFM|XMN|PEK|YYZ|YXU|
YXU|TGO,|TGO|HET|DLC|PEK|YYZ|YXU|
YXU|XIL,|XIL|HET|DLC|PEK|YYZ|YXU|
YXU|HEK,|HEK|HRB|PEK|YYZ|YXU|
YXU|KIJ,|KIJ|HRB|PEK|YYZ|YXU|
YXU|LDS,|LDS|HRB|PEK|YYZ|YXU|
YXU|OHE,|OHE|HRB|PEK|YYZ|YXU|
YXU|HSN,|HSN|PEK|YYZ|YXU|
YXU|DLU,|DLU|KMG|PEK|YYZ|YXU|
YXU|SYM,|SYM|KMG|PEK|YYZ|YXU|
YXU|ZAT,|ZAT|KMG|PEK|YYZ|YXU|
YXU|LUN,|LUN|NBO|ZRH|YYZ|YXU|
YXU|AOG,|AOG|PEK|YYZ|YXU|
YXU|GMP,|GMP|PEK|YYZ|YXU|
YXU|ISB,|ISB|IST|YYZ|YXU|
YXU|TAS,|TAS|IST|YYZ|YXU|
YXU|WUS,|WUS|PEK|YYZ|YXU|
YXU|JMU,|JMU|PVG|YYZ|YXU|
YXU|NDG,|NDG|PVG|YYZ|YXU|
YXU|JXA,|JXA|SHE|PEK|YYZ|YXU|
