DAR|SEA,|SEA|FRA|IST|DAR|
DAR|SYD,|SYD|BKK|NBO|DAR|
DAR|YBL,|YBL|YVR|MUC|IST|DAR|
DAR|YCD,|YCD|YVR|MUC|IST|DAR|
DAR|YCG,|YCG|YYC|FRA|IST|DAR|
DAR|YKA,|YKA|YYC|FRA|IST|DAR|
DAR|YPR,|YPR|YVR|MUC|IST|DAR|
DAR|YQZ,|YQZ|YVR|MUC|IST|DAR|
DAR|YXC,|YXC|YYC|FRA|IST|DAR|
DAR|YXJ,|YXJ|YYC|FRA|IST|DAR|
DAR|YXS,|YXS|YYC|FRA|IST|DAR|
DAR|YXT,|YXT|YVR|MUC|IST|DAR|
DAR|YXY,|YXY|YVR|MUC|IST|DAR|
DAR|YYD,|YYD|YVR|MUC|IST|DAR|
DAR|YYF,|YYF|YVR|MUC|IST|DAR|
DAR|YZP,|YZP|YVR|MUC|IST|DAR|
DAR|YQT,|YQT|YYZ|ZRH|NBO|DAR|
DAR|SJD,|SJD|ORD|ZRH|NBO|DAR|
DAR|YQF,|YQF|YYC|FRA|IST|DAR|
DAR|YQL,|YQL|YYC|FRA|IST|DAR|
DAR|YXH,|YXH|YYC|FRA|IST|DAR|
DAR|YWK,|YWK|YYR|YYT|LHR|IST|DAR|
DAR|ANU,|ANU|EWR|ZRH|NBO|DAR|
DAR|AUA,|AUA|EWR|ZRH|NBO|DAR|
DAR|AUH,|AUH|IST|DAR|
DAR|BCN,|BCN|IST|DAR|
DAR|BDA,|BDA|EWR|ZRH|NBO|DAR|
DAR|BGI,|BGI|YYZ|ZRH|NBO|DAR|
DAR|BNA,|BNA|YYZ|ZRH|NBO|DAR|
DAR|BOG,|BOG|MIA|ZRH|NBO|DAR|
DAR|BWI,|BWI|BOS|ZRH|NBO|DAR|
DAR|CLE,|CLE|YYZ|ZRH|NBO|DAR|
DAR|CLT,|CLT|EWR|ZRH|NBO|DAR|
DAR|CMH,|CMH|YYZ|ZRH|NBO|DAR|
DAR|CVG,|CVG|YYZ|ZRH|NBO|DAR|
DAR|DFW,|DFW|YYZ|ZRH|NBO|DAR|
DAR|DTW,|DTW|YYZ|ZRH|NBO|DAR|
DAR|DUB,|DUB|IST|DAR|
DAR|FCO,|FCO|IST|DAR|
DAR|GCM,|GCM|EWR|ZRH|NBO|DAR|
DAR|GGT,|GGT|FLL|EWR|ZRH|NBO|DAR|
DAR|GND,|GND|YYZ|ZRH|NBO|DAR|
DAR|GRU,|GRU|IST|DAR|
DAR|HAV,|HAV|YYZ|ZRH|NBO|DAR|
DAR|IND,|IND|YYZ|ZRH|NBO|DAR|
DAR|JFK,|JFK|ZRH|NBO|DAR|
DAR|KIN,|KIN|YYZ|ZRH|NBO|DAR|
DAR|LIM,|LIM|MIA|ZRH|NBO|DAR|
DAR|LIR,|LIR|EWR|ZRH|NBO|DAR|
DAR|MCI,|MCI|ORD|ZRH|NBO|DAR|
DAR|MDT,|MDT|IAD|ZRH|NBO|DAR|
DAR|MIA,|MIA|ZRH|NBO|DAR|
DAR|MKE,|MKE|YYZ|ZRH|NBO|DAR|
DAR|MSP,|MSP|YUL|ZRH|NBO|DAR|
DAR|NAS,|NAS|EWR|ZRH|NBO|DAR|
DAR|PHL,|PHL|IAD|ZRH|NBO|DAR|
DAR|PHX,|PHX|ORD|ZRH|NBO|DAR|
DAR|PIT,|PIT|EWR|ZRH|NBO|DAR|
DAR|PLS,|PLS|EWR|ZRH|NBO|DAR|
DAR|POP,|POP|EWR|ZRH|NBO|DAR|
DAR|RDU,|RDU|EWR|ZRH|NBO|DAR|
DAR|ROC,|ROC|YYZ|ZRH|NBO|DAR|
DAR|RSW,|RSW|MCO|BOS|ZRH|NBO|DAR|
DAR|SAN,|SAN|LAX|ZRH|NBO|DAR|
DAR|SJO,|SJO|EWR|ZRH|NBO|DAR|
DAR|STL,|STL|YYZ|ZRH|NBO|DAR|
DAR|SYR,|SYR|EWR|ZRH|NBO|DAR|
DAR|TLV,|TLV|IST|DAR|
DAR|TPA,|TPA|EWR|ZRH|NBO|DAR|
DAR|UVF,|UVF|EWR|ZRH|NBO|DAR|
DAR|VIE,|VIE|IST|DAR|
DAR|YAM,|YAM|YYZ|ZRH|NBO|DAR|
DAR|YGK,|YGK|YYZ|ZRH|NBO|DAR|
