MBS|YYF,|YYF|YVR|ORD|MBS|
MBS|YZP,|YZP|YVR|ORD|MBS|
MBS|YQT,|YQT|YYZ|ORD|MBS|
MBS|SJD,|SJD|ORD|MBS|
MBS|YQF,|YQF|YYC|ORD|MBS|
MBS|YQL,|YQL|YYC|ORD|MBS|
MBS|YXH,|YXH|YYC|ORD|MBS|
MBS|YWK,|YWK|YZV|YQB|ORD|MBS|
MBS|ANU,|ANU|EWR|ORD|MBS|
MBS|AUA,|AUA|ATL|ORD|MBS|
MBS|AUH,|AUH|YYZ|ORD|MBS|
MBS|BCN,|BCN|YYZ|ORD|MBS|
MBS|BDA,|BDA|EWR|ORD|MBS|
MBS|BGI,|BGI|YYZ|ORD|MBS|
MBS|BNA,|BNA|ORD|MBS|
MBS|BOG,|BOG|MIA|ORD|MBS|
MBS|BWI,|BWI|ORD|MBS|
MBS|CLE,|CLE|ORD|MBS|
MBS|CLT,|CLT|ORD|MBS|
MBS|CMH,|CMH|ORD|MBS|
MBS|CVG,|CVG|ORD|MBS|
MBS|DFW,|DFW|ORD|MBS|
MBS|DTW,|DTW|ORD|MBS|
MBS|DUB,|DUB|ORD|MBS|
MBS|FCO,|FCO|YYZ|ORD|MBS|
MBS|GCM,|GCM|IAD|ORD|MBS|
MBS|GGT,|GGT|FLL|ORD|MBS|
MBS|GND,|GND|YYZ|ORD|MBS|
MBS|GRU,|GRU|ORD|MBS|
MBS|HAV,|HAV|YYZ|ORD|MBS|
MBS|IND,|IND|ORD|MBS|
MBS|JFK,|JFK|YYZ|ORD|MBS|
MBS|KIN,|KIN|YYZ|ORD|MBS|
MBS|LIM,|LIM|MIA|ORD|MBS|
MBS|LIR,|LIR|IAH|ORD|MBS|
MBS|MCI,|MCI|ORD|MBS|
MBS|MDT,|MDT|ORD|MBS|
MBS|MIA,|MIA|ORD|MBS|
MBS|MKE,|MKE|ORD|MBS|
MBS|MSP,|MSP|ORD|MBS|
MBS|NAS,|NAS|ORD|MBS|
MBS|PHL,|PHL|ORD|MBS|
MBS|PHX,|PHX|ORD|MBS|
MBS|PIT,|PIT|ORD|MBS|
MBS|PLS,|PLS|YYZ|ORD|MBS|
MBS|POP,|POP|YYZ|ORD|MBS|
MBS|RDU,|RDU|ORD|MBS|
MBS|ROC,|ROC|ORD|MBS|
MBS|RSW,|RSW|ORD|MBS|
MBS|SAN,|SAN|ORD|MBS|
MBS|SJO,|SJO|ORD|MBS|
MBS|STL,|STL|ORD|MBS|
