TIA|YQZ,|YQZ|YVR|MUC|IST|TIA|
TIA|YXC,|YXC|YYC|FRA|IST|TIA|
TIA|YXJ,|YXJ|YYC|FRA|IST|TIA|
TIA|YXS,|YXS|YYC|FRA|IST|TIA|
TIA|YXT,|YXT|YVR|MUC|IST|TIA|
TIA|YXY,|YXY|YVR|MUC|IST|TIA|
TIA|YYD,|YYD|YVR|MUC|IST|TIA|
TIA|YYF,|YYF|YVR|MUC|IST|TIA|
TIA|YZP,|YZP|YVR|MUC|IST|TIA|
TIA|YQT,|YQT|YYZ|IST|TIA|
TIA|SJD,|SJD|ORD|IST|TIA|
TIA|YQF,|YQF|YYC|FRA|IST|TIA|
TIA|YQL,|YQL|YYC|FRA|IST|TIA|
TIA|YXH,|YXH|YYC|FRA|IST|TIA|
TIA|YWK,|YWK|YYR|YYT|LHR|IST|TIA|
TIA|ANU,|ANU|EWR|BHX|IST|TIA|
TIA|AUA,|AUA|EWR|BHX|IST|TIA|
TIA|AUH,|AUH|IST|TIA|
TIA|BCN,|BCN|IST|TIA|
TIA|BDA,|BDA|EWR|BHX|IST|TIA|
TIA|BGI,|BGI|YYZ|IST|TIA|
TIA|BNA,|BNA|YYZ|IST|TIA|
TIA|BOG,|BOG|MIA|ZRH|IST|TIA|
TIA|BWI,|BWI|EWR|BHX|IST|TIA|
TIA|CLE,|CLE|YYZ|IST|TIA|
TIA|CLT,|CLT|EWR|BHX|IST|TIA|
TIA|CMH,|CMH|YYZ|IST|TIA|
TIA|CVG,|CVG|YYZ|IST|TIA|
TIA|DFW,|DFW|ORD|IST|TIA|
TIA|DTW,|DTW|FRA|IST|TIA|
TIA|DUB,|DUB|IST|TIA|
TIA|FCO,|FCO|IST|TIA|
TIA|GCM,|GCM|EWR|BHX|IST|TIA|
TIA|GGT,|GGT|FLL|MCO|FRA|IST|TIA|
TIA|GND,|GND|YYZ|IST|TIA|
TIA|GRU,|GRU|IST|TIA|
TIA|HAV,|HAV|YYZ|IST|TIA|
TIA|IND,|IND|YYZ|IST|TIA|
TIA|JFK,|JFK|IST|TIA|
TIA|KIN,|KIN|YYZ|IST|TIA|
TIA|LIM,|LIM|MIA|ZRH|IST|TIA|
TIA|LIR,|LIR|EWR|BHX|IST|TIA|
TIA|MCI,|MCI|ORD|IST|TIA|
TIA|MDT,|MDT|IAD|IST|TIA|
TIA|MIA,|MIA|ZRH|IST|TIA|
TIA|MKE,|MKE|YYZ|IST|TIA|
TIA|MSP,|MSP|YUL|FRA|IST|TIA|
TIA|NAS,|NAS|EWR|BHX|IST|TIA|
TIA|PHL,|PHL|IAD|IST|TIA|
TIA|PHX,|PHX|DEN|FRA|IST|TIA|
TIA|PIT,|PIT|YYZ|IST|TIA|
TIA|PLS,|PLS|EWR|BHX|IST|TIA|
TIA|POP,|POP|EWR|BHX|IST|TIA|
TIA|RDU,|RDU|EWR|BHX|IST|TIA|
TIA|ROC,|ROC|YYZ|IST|TIA|
TIA|RSW,|RSW|MCO|FRA|IST|TIA|
TIA|SAN,|SAN|LAX|IST|TIA|
TIA|SJO,|SJO|EWR|BHX|IST|TIA|
TIA|STL,|STL|ORD|IST|TIA|
TIA|SYR,|SYR|EWR|BHX|IST|TIA|
TIA|TLV,|TLV|IST|TIA|
TIA|TPA,|TPA|EWR|BHX|IST|TIA|
TIA|UVF,|UVF|EWR|BHX|IST|TIA|
TIA|VIE,|VIE|IST|TIA|
TIA|YAM,|YAM|YYZ|IST|TIA|
TIA|YGK,|YGK|YYZ|IST|TIA|
TIA|YQG,|YQG|YYZ|IST|TIA|
TIA|YSB,|YSB|YYZ|IST|TIA|
TIA|YTS,|YTS|YYZ|IST|TIA|
TIA|YYB,|YYB|YYZ|IST|TIA|
TIA|YZR,|YZR|YYZ|IST|TIA|
TIA|CAN,|CAN|IST|TIA|
TIA|URC,|URC|IST|TIA|
TIA|CTU,|CTU|URC|IST|TIA|
TIA|HGH,|HGH|URC|IST|TIA|
TIA|XMN,|XMN|CSX|URC|IST|TIA|
TIA|CGO,|CGO|URC|IST|TIA|
TIA|CSX,|CSX|URC|IST|TIA|
TIA|SHE,|SHE|PEK|IST|TIA|
TIA|SJW,|SJW|URC|IST|TIA|
TIA|WUH,|WUH|URC|IST|TIA|
TIA|SZX,|SZX|CKG|URC|IST|TIA|
TIA|CKG,|CKG|URC|IST|TIA|
TIA|KMG,|KMG|CTU|URC|IST|TIA|
TIA|FOC,|FOC|XIY|URC|IST|TIA|
TIA|NNG,|NNG|KWE|URC|IST|TIA|
TIA|SWA,|SWA|CAN|IST|TIA|
TIA|ACX,|ACX|CAN|IST|TIA|
TIA|AQG,|AQG|CAN|IST|TIA|
TIA|AVA,|AVA|CAN|IST|TIA|
TIA|BFJ,|BFJ|CAN|IST|TIA|
TIA|BHY,|BHY|CKG|URC|IST|TIA|
TIA|BNE,|BNE|BKK|IST|TIA|
TIA|CGD,|CGD|PEK|IST|TIA|
TIA|CGK,|CGK|SIN|IST|TIA|
TIA|CGQ,|CGQ|HET|URC|IST|TIA|
TIA|CIH,|CIH|PEK|IST|TIA|
TIA|CNX,|CNX|CAN|IST|TIA|
TIA|CZX,|CZX|TYN|URC|IST|TIA|
TIA|DAC,|DAC|IST|TIA|
TIA|DAD,|DAD|CAN|IST|TIA|
TIA|DEL,|DEL|IST|TIA|
TIA|DIG,|DIG|KMG|CTU|URC|IST|TIA|
TIA|DLC,|DLC|PEK|IST|TIA|
TIA|DPS,|DPS|CAN|IST|TIA|
