NSI|YKA,|YKA|YYC|YUL|BRU|NSI|
NSI|YPR,|YPR|YVR|YUL|BRU|NSI|
NSI|YQZ,|YQZ|YVR|YUL|BRU|NSI|
NSI|YXC,|YXC|YYC|YUL|BRU|NSI|
NSI|YXJ,|YXJ|YYC|YUL|BRU|NSI|
NSI|YXS,|YXS|YYC|YUL|BRU|NSI|
NSI|YXT,|YXT|YVR|YUL|BRU|NSI|
NSI|YXY,|YXY|YVR|YUL|BRU|NSI|
NSI|YYD,|YYD|YVR|YUL|BRU|NSI|
NSI|YYF,|YYF|YVR|YUL|BRU|NSI|
NSI|YZP,|YZP|YVR|YUL|BRU|NSI|
NSI|YQT,|YQT|YYZ|BRU|NSI|
NSI|SJD,|SJD|ORD|BRU|NSI|
NSI|YQF,|YQF|YYC|YUL|BRU|NSI|
NSI|YQL,|YQL|YYC|YUL|BRU|NSI|
NSI|YXH,|YXH|YYC|YUL|BRU|NSI|
NSI|YWK,|YWK|YZV|YUL|BRU|NSI|
NSI|ANU,|ANU|EWR|BRU|NSI|
NSI|AUA,|AUA|EWR|BRU|NSI|
NSI|AUH,|AUH|IST|DLA|NSI|
NSI|BCN,|BCN|IST|DLA|NSI|
NSI|BDA,|BDA|EWR|BRU|NSI|
NSI|BGI,|BGI|YYZ|BRU|NSI|
NSI|BNA,|BNA|YYZ|BRU|NSI|
NSI|BOG,|BOG|JFK|BRU|NSI|
NSI|BWI,|BWI|EWR|BRU|NSI|
NSI|CLE,|CLE|YYZ|BRU|NSI|
NSI|CLT,|CLT|EWR|BRU|NSI|
NSI|CMH,|CMH|YYZ|BRU|NSI|
NSI|CVG,|CVG|YYZ|BRU|NSI|
NSI|DFW,|DFW|ORD|BRU|NSI|
NSI|DTW,|DTW|YYZ|BRU|NSI|
NSI|DUB,|DUB|IST|DLA|NSI|
NSI|FCO,|FCO|IST|DLA|NSI|
NSI|GCM,|GCM|EWR|BRU|NSI|
NSI|GGT,|GGT|FLL|EWR|BRU|NSI|
NSI|GND,|GND|YYZ|BRU|NSI|
NSI|GRU,|GRU|IST|DLA|NSI|
NSI|HAV,|HAV|YYZ|BRU|NSI|
NSI|IND,|IND|YYZ|BRU|NSI|
NSI|JFK,|JFK|BRU|NSI|
NSI|KIN,|KIN|YYZ|BRU|NSI|
NSI|LIM,|LIM|EWR|BRU|NSI|
NSI|LIR,|LIR|EWR|BRU|NSI|
NSI|MCI,|MCI|ORD|BRU|NSI|
NSI|MDT,|MDT|IAD|BRU|NSI|
NSI|MIA,|MIA|EWR|BRU|NSI|
NSI|MKE,|MKE|YYZ|BRU|NSI|
NSI|MSP,|MSP|YUL|BRU|NSI|
NSI|NAS,|NAS|EWR|BRU|NSI|
NSI|PHL,|PHL|IAD|BRU|NSI|
NSI|PHX,|PHX|ORD|BRU|NSI|
NSI|PIT,|PIT|YYZ|BRU|NSI|
NSI|PLS,|PLS|EWR|BRU|NSI|
NSI|POP,|POP|EWR|BRU|NSI|
NSI|RDU,|RDU|EWR|BRU|NSI|
NSI|ROC,|ROC|YYZ|BRU|NSI|
NSI|RSW,|RSW|EWR|BRU|NSI|
NSI|SAN,|SAN|ORD|BRU|NSI|
NSI|SJO,|SJO|EWR|BRU|NSI|
NSI|STL,|STL|ORD|BRU|NSI|
NSI|SYR,|SYR|EWR|BRU|NSI|
NSI|TLV,|TLV|IST|DLA|NSI|
NSI|TPA,|TPA|EWR|BRU|NSI|
NSI|UVF,|UVF|EWR|BRU|NSI|
NSI|VIE,|VIE|IST|DLA|NSI|
NSI|YAM,|YAM|YYZ|BRU|NSI|
NSI|YGK,|YGK|YYZ|BRU|NSI|
NSI|YQG,|YQG|YYZ|BRU|NSI|
NSI|YSB,|YSB|YYZ|BRU|NSI|
NSI|YTS,|YTS|YYZ|BRU|NSI|
NSI|YYB,|YYB|YYZ|BRU|NSI|
NSI|YZR,|YZR|YYZ|BRU|NSI|
NSI|CAN,|CAN|IST|DLA|NSI|
NSI|URC,|URC|IST|DLA|NSI|
NSI|CTU,|CTU|URC|IST|DLA|NSI|
NSI|HGH,|HGH|URC|IST|DLA|NSI|
NSI|XMN,|XMN|CSX|URC|IST|DLA|NSI|
NSI|CGO,|CGO|URC|IST|DLA|NSI|
NSI|CSX,|CSX|URC|IST|DLA|NSI|
NSI|SHE,|SHE|PEK|IST|DLA|NSI|
NSI|SJW,|SJW|URC|IST|DLA|NSI|
NSI|WUH,|WUH|URC|IST|DLA|NSI|
NSI|SZX,|SZX|CKG|URC|IST|DLA|NSI|
NSI|CKG,|CKG|URC|IST|DLA|NSI|
NSI|KMG,|KMG|CTU|URC|IST|DLA|NSI|
NSI|FOC,|FOC|XIY|URC|IST|DLA|NSI|
NSI|NNG,|NNG|KWE|URC|IST|DLA|NSI|
NSI|SWA,|SWA|CAN|IST|DLA|NSI|
NSI|ACX,|ACX|CAN|IST|DLA|NSI|
NSI|AQG,|AQG|CAN|IST|DLA|NSI|
NSI|AVA,|AVA|CAN|IST|DLA|NSI|
NSI|BFJ,|BFJ|CAN|IST|DLA|NSI|
NSI|BHY,|BHY|CKG|URC|IST|DLA|NSI|
NSI|BNE,|BNE|BKK|IST|DLA|NSI|
NSI|CGD,|CGD|PEK|IST|DLA|NSI|
NSI|CGK,|CGK|SIN|IST|DLA|NSI|
NSI|CGQ,|CGQ|HET|URC|IST|DLA|NSI|
NSI|CIH,|CIH|PEK|IST|DLA|NSI|
NSI|CNX,|CNX|CAN|IST|DLA|NSI|
NSI|CZX,|CZX|TYN|URC|IST|DLA|NSI|
NSI|DAC,|DAC|IST|DLA|NSI|
NSI|DAD,|DAD|CAN|IST|DLA|NSI|
NSI|DEL,|DEL|IST|DLA|NSI|
NSI|DIG,|DIG|KMG|CTU|URC|IST|DLA|NSI|
NSI|DLC,|DLC|PEK|IST|DLA|NSI|
NSI|DPS,|DPS|CAN|IST|DLA|NSI|
NSI|DXB,|DXB|IST|DLA|NSI|
NSI|DYG,|DYG|CSX|URC|IST|DLA|NSI|
NSI|FUG,|FUG|CAN|IST|DLA|NSI|
NSI|FUK,|FUK|ICN|IST|DLA|NSI|
NSI|HAK,|HAK|CTU|URC|IST|DLA|NSI|
NSI|HAN,|HAN|CAN|IST|DLA|NSI|
NSI|HDG,|HDG|CAN|IST|DLA|NSI|
NSI|HET,|HET|URC|IST|DLA|NSI|
NSI|HFE,|HFE|XIY|URC|IST|DLA|NSI|
NSI|HJJ,|HJJ|CSX|URC|IST|DLA|NSI|
NSI|HKT,|HKT|KWE|URC|IST|DLA|NSI|
NSI|HRB,|HRB|PEK|IST|DLA|NSI|
NSI|HZH,|HZH|CAN|IST|DLA|NSI|
NSI|JIU,|JIU|CAN|IST|DLA|NSI|
NSI|JJN,|JJN|CSX|URC|IST|DLA|NSI|
NSI|JNG,|JNG|CAN|IST|DLA|NSI|
NSI|KHN,|KHN|XIY|URC|IST|DLA|NSI|
NSI|KIX,|KIX|IST|DLA|NSI|
NSI|KOW,|KOW|CAN|IST|DLA|NSI|
NSI|KTM,|KTM|IST|DLA|NSI|
NSI|KUL,|KUL|IST|DLA|NSI|
NSI|KWE,|KWE|URC|IST|DLA|NSI|
NSI|KWL,|KWL|CKG|URC|IST|DLA|NSI|
NSI|LHW,|LHW|URC|IST|DLA|NSI|
NSI|LYA,|LYA|KHN|XIY|URC|IST|DLA|NSI|
NSI|LYG,|LYG|XUZ|INC|URC|IST|DLA|NSI|
NSI|LZH,|LZH|CAN|IST|DLA|NSI|
NSI|MEL,|MEL|BKK|IST|DLA|NSI|
NSI|MIG,|MIG|CSX|URC|IST|DLA|NSI|
