TBS|YCD,|YCD|YVR|MUC|SAW|TBS|
TBS|YCG,|YCG|YYC|FRA|SAW|TBS|
TBS|YKA,|YKA|YYC|FRA|SAW|TBS|
TBS|YPR,|YPR|YVR|MUC|SAW|TBS|
TBS|YQZ,|YQZ|YVR|MUC|SAW|TBS|
TBS|YXC,|YXC|YYC|FRA|SAW|TBS|
TBS|YXJ,|YXJ|YYC|FRA|SAW|TBS|
TBS|YXS,|YXS|YYC|FRA|SAW|TBS|
TBS|YXT,|YXT|YVR|MUC|SAW|TBS|
TBS|YXY,|YXY|YVR|MUC|SAW|TBS|
TBS|YYD,|YYD|YVR|MUC|SAW|TBS|
TBS|YYF,|YYF|YVR|MUC|SAW|TBS|
TBS|YZP,|YZP|YVR|MUC|SAW|TBS|
TBS|YQT,|YQT|YYZ|VIE|SAW|TBS|
TBS|SJD,|SJD|ORD|VIE|SAW|TBS|
TBS|YQF,|YQF|YYC|FRA|SAW|TBS|
TBS|YQL,|YQL|YYC|FRA|SAW|TBS|
TBS|YXH,|YXH|YYC|FRA|SAW|TBS|
TBS|YWK,|YWK|YYR|YYT|LHR|IST|TBS|
TBS|ANU,|ANU|EWR|FRA|SAW|TBS|
TBS|AUA,|AUA|EWR|FRA|SAW|TBS|
TBS|AUH,|AUH|IST|TBS|
TBS|BCN,|BCN|IST|TBS|
TBS|BDA,|BDA|EWR|FRA|SAW|TBS|
TBS|BGI,|BGI|YYZ|VIE|SAW|TBS|
TBS|BNA,|BNA|YYZ|VIE|SAW|TBS|
TBS|BOG,|BOG|MIA|ZRH|IST|TBS|
TBS|BWI,|BWI|EWR|FRA|SAW|TBS|
TBS|CLE,|CLE|YYZ|VIE|SAW|TBS|
TBS|CLT,|CLT|EWR|FRA|SAW|TBS|
TBS|CMH,|CMH|YYZ|VIE|SAW|TBS|
TBS|CVG,|CVG|YYZ|VIE|SAW|TBS|
TBS|DFW,|DFW|ORD|VIE|SAW|TBS|
TBS|DTW,|DTW|YYZ|VIE|SAW|TBS|
TBS|DUB,|DUB|IST|TBS|
TBS|FCO,|FCO|IST|TBS|
TBS|GCM,|GCM|EWR|FRA|SAW|TBS|
TBS|GGT,|GGT|FLL|MCO|FRA|SAW|TBS|
TBS|GND,|GND|YYZ|VIE|SAW|TBS|
TBS|GRU,|GRU|IST|TBS|
TBS|HAV,|HAV|YYZ|VIE|SAW|TBS|
TBS|IND,|IND|YYZ|VIE|SAW|TBS|
TBS|JFK,|JFK|FRA|SAW|TBS|
TBS|KIN,|KIN|YYZ|VIE|SAW|TBS|
TBS|LIM,|LIM|MIA|ZRH|IST|TBS|
TBS|LIR,|LIR|EWR|FRA|SAW|TBS|
TBS|MCI,|MCI|ORD|VIE|SAW|TBS|
TBS|MDT,|MDT|IAD|FRA|SAW|TBS|
TBS|MIA,|MIA|ZRH|IST|TBS|
TBS|MKE,|MKE|YYZ|VIE|SAW|TBS|
TBS|MSP,|MSP|YUL|FRA|SAW|TBS|
TBS|NAS,|NAS|EWR|FRA|SAW|TBS|
TBS|PHL,|PHL|IAD|FRA|SAW|TBS|
TBS|PHX,|PHX|DEN|FRA|SAW|TBS|
TBS|PIT,|PIT|YYZ|VIE|SAW|TBS|
TBS|PLS,|PLS|EWR|FRA|SAW|TBS|
TBS|POP,|POP|EWR|FRA|SAW|TBS|
TBS|RDU,|RDU|EWR|FRA|SAW|TBS|
TBS|ROC,|ROC|YYZ|VIE|SAW|TBS|
TBS|RSW,|RSW|MCO|FRA|SAW|TBS|
TBS|SAN,|SAN|LAX|IST|TBS|
TBS|SJO,|SJO|EWR|FRA|SAW|TBS|
TBS|STL,|STL|ORD|VIE|SAW|TBS|
TBS|SYR,|SYR|EWR|FRA|SAW|TBS|
TBS|TLV,|TLV|SAW|TBS|
TBS|TPA,|TPA|EWR|FRA|SAW|TBS|
TBS|UVF,|UVF|EWR|FRA|SAW|TBS|
TBS|VIE,|VIE|SAW|TBS|
TBS|YAM,|YAM|YYZ|VIE|SAW|TBS|
TBS|YGK,|YGK|YYZ|VIE|SAW|TBS|
TBS|YQG,|YQG|YYZ|VIE|SAW|TBS|
TBS|YSB,|YSB|YYZ|VIE|SAW|TBS|
TBS|YTS,|YTS|YYZ|VIE|SAW|TBS|
TBS|YYB,|YYB|YYZ|VIE|SAW|TBS|
TBS|YZR,|YZR|YYZ|VIE|SAW|TBS|
TBS|CAN,|CAN|URC|TBS|
TBS|URC,|URC|TBS|
TBS|CTU,|CTU|URC|TBS|
TBS|HGH,|HGH|URC|TBS|
TBS|XMN,|XMN|CSX|URC|TBS|
TBS|CGO,|CGO|URC|TBS|
TBS|CSX,|CSX|URC|TBS|
TBS|SHE,|SHE|HET|URC|TBS|
TBS|SJW,|SJW|URC|TBS|
TBS|WUH,|WUH|URC|TBS|
TBS|SZX,|SZX|CKG|URC|TBS|
TBS|CKG,|CKG|URC|TBS|
TBS|KMG,|KMG|CTU|URC|TBS|
TBS|FOC,|FOC|XIY|URC|TBS|
TBS|NNG,|NNG|KWE|URC|TBS|
TBS|SWA,|SWA|CSX|URC|TBS|
TBS|ACX,|ACX|CAN|URC|TBS|
TBS|AQG,|AQG|CAN|URC|TBS|
TBS|AVA,|AVA|CAN|URC|TBS|
TBS|BFJ,|BFJ|CAN|URC|TBS|
TBS|BHY,|BHY|CKG|URC|TBS|
TBS|BNE,|BNE|CAN|URC|TBS|
TBS|CGD,|CGD|PEK|URC|TBS|
TBS|CGK,|CGK|CAN|URC|TBS|
TBS|CGQ,|CGQ|HET|URC|TBS|
TBS|CIH,|CIH|DAT|TYN|URC|TBS|
TBS|CNX,|CNX|CAN|URC|TBS|
TBS|CZX,|CZX|TYN|URC|TBS|
TBS|DAC,|DAC|IST|TBS|
TBS|DAD,|DAD|CAN|URC|TBS|
TBS|DEL,|DEL|IST|TBS|
TBS|DIG,|DIG|KMG|CTU|URC|TBS|
TBS|DLC,|DLC|PEK|URC|TBS|
TBS|DPS,|DPS|CAN|URC|TBS|
TBS|DXB,|DXB|IST|TBS|
TBS|DYG,|DYG|CSX|URC|TBS|
TBS|FUG,|FUG|CAN|URC|TBS|
TBS|FUK,|FUK|ICN|PEK|URC|TBS|
TBS|HAK,|HAK|CTU|URC|TBS|
TBS|HAN,|HAN|CAN|URC|TBS|
TBS|HDG,|HDG|CAN|URC|TBS|
TBS|HET,|HET|URC|TBS|
TBS|HFE,|HFE|XIY|URC|TBS|
TBS|HJJ,|HJJ|CSX|URC|TBS|
TBS|HKT,|HKT|KWE|URC|TBS|
TBS|HRB,|HRB|PEK|URC|TBS|
TBS|HZH,|HZH|CAN|URC|TBS|
TBS|JIU,|JIU|CAN|URC|TBS|
TBS|JJN,|JJN|CSX|URC|TBS|
TBS|JNG,|JNG|CAN|URC|TBS|
TBS|KHN,|KHN|XIY|URC|TBS|
TBS|KIX,|KIX|DLC|PEK|URC|TBS|
TBS|KOW,|KOW|CAN|URC|TBS|
TBS|KTM,|KTM|IST|TBS|
TBS|KUL,|KUL|BKK|NNG|KWE|URC|TBS|
TBS|KWE,|KWE|URC|TBS|
TBS|KWL,|KWL|CKG|URC|TBS|
TBS|LHW,|LHW|URC|TBS|
TBS|LYA,|LYA|KHN|XIY|URC|TBS|
TBS|LYG,|LYG|XUZ|INC|URC|TBS|
TBS|LZH,|LZH|CAN|URC|TBS|
TBS|MEL,|MEL|CAN|URC|TBS|
TBS|MIG,|MIG|CSX|URC|TBS|
TBS|MLE,|MLE|IST|TBS|
TBS|MNL,|MNL|CAN|URC|TBS|
TBS|MXZ,|MXZ|CAN|URC|TBS|
TBS|NAO,|NAO|PEK|URC|TBS|
TBS|NGB,|NGB|WUH|URC|TBS|
TBS|NKG,|NKG|URC|TBS|
TBS|NNY,|NNY|CGO|URC|TBS|
TBS|PEN,|PEN|CAN|URC|TBS|
TBS|PER,|PER|CAN|URC|TBS|
TBS|PNH,|PNH|CAN|URC|TBS|
TBS|REP,|REP|CAN|URC|TBS|
TBS|RGN,|RGN|CAN|URC|TBS|
TBS|SGN,|SGN|CAN|URC|TBS|
TBS|SHA,|SHA|URC|TBS|
TBS|SIN,|SIN|CAN|URC|TBS|
TBS|SVO,|SVO|URC|TBS|
TBS|SYX,|SYX|CKG|URC|TBS|
TBS|TAO,|TAO|TYN|URC|TBS|
TBS|TEN,|TEN|CAN|URC|TBS|
TBS|TNA,|TNA|URC|TBS|
TBS|TPE,|TPE|URC|TBS|
TBS|TSN,|TSN|HET|URC|TBS|
TBS|TXN,|TXN|TYN|URC|TBS|
TBS|TYN,|TYN|URC|TBS|
TBS|WNZ,|WNZ|XIY|URC|TBS|
TBS|WUX,|WUX|CAN|URC|TBS|
TBS|XFN,|XFN|CAN|URC|TBS|
TBS|XIY,|XIY|URC|TBS|
TBS|XUZ,|XUZ|INC|URC|TBS|
TBS|YIH,|YIH|CKG|URC|TBS|
TBS|YIW,|YIW|URC|TBS|
TBS|YNT,|YNT|SHE|HET|URC|TBS|
TBS|YNZ,|YNZ|WUH|URC|TBS|
TBS|YTY,|YTY|CGO|URC|TBS|
TBS|ZHA,|ZHA|CAN|URC|TBS|
TBS|ZYI,|ZYI|CAN|URC|TBS|
TBS|BAV,|BAV|URC|TBS|
TBS|CJU,|CJU|DLC|PEK|URC|TBS|
TBS|DSN,|DSN|CGO|URC|TBS|
TBS|HMI,|HMI|URC|TBS|
TBS|INC,|INC|URC|TBS|
TBS|KHH,|KHH|WUH|URC|TBS|
TBS|UYN,|UYN|XIY|URC|TBS|
TBS|XNN,|XNN|URC|TBS|
TBS|ZUH,|ZUH|KWE|URC|TBS|
TBS|YNJ,|YNJ|CGQ|HET|URC|TBS|
TBS|DAT,|DAT|TYN|URC|TBS|
TBS|JHG,|JHG|KMG|CTU|URC|TBS|
TBS|LJG,|LJG|KMG|CTU|URC|TBS|
TBS|LXA,|LXA|CKG|URC|TBS|
TBS|YCU,|YCU|CKG|URC|TBS|
TBS|LZO,|LZO|CSX|URC|TBS|
TBS|MDG,|MDG|DLC|PEK|URC|TBS|
TBS|NGO,|NGO|DLC|PEK|URC|TBS|
TBS|TOY,|TOY|DLC|PEK|URC|TBS|
TBS|MFM,|MFM|XMN|CSX|URC|TBS|
TBS|TGO,|TGO|HET|URC|TBS|
TBS|XIL,|XIL|HET|URC|TBS|
TBS|HEK,|HEK|HRB|PEK|URC|TBS|
TBS|KIJ,|KIJ|HRB|PEK|URC|TBS|
TBS|LDS,|LDS|HRB|PEK|URC|TBS|
TBS|OHE,|OHE|HRB|PEK|URC|TBS|
TBS|HSN,|HSN|LYG|XUZ|INC|URC|TBS|
TBS|DLU,|DLU|KMG|CTU|URC|TBS|
TBS|SYM,|SYM|KMG|CTU|URC|TBS|
TBS|ZAT,|ZAT|KMG|CTU|URC|TBS|
TBS|LUN,|LUN|NBO|IST|TBS|
TBS|AOG,|AOG|PEK|URC|TBS|
TBS|GMP,|GMP|PEK|URC|TBS|
TBS|ISB,|ISB|URC|TBS|
TBS|TAS,|TAS|IST|TBS|
TBS|WUS,|WUS|PEK|URC|TBS|
TBS|JMU,|JMU|PVG|URC|TBS|
TBS|NDG,|NDG|PVG|URC|TBS|
TBS|JXA,|JXA|SHE|HET|URC|TBS|
TBS|PUS,|PUS|SHE|HET|URC|TBS|
TBS|BKI,|BKI|SZX|CKG|URC|TBS|
TBS|AKU,|AKU|URC|TBS|
TBS|ALA,|ALA|URC|TBS|
TBS|ASB,|ASB|IST|TBS|
TBS|DNH,|DNH|URC|TBS|
TBS|DYU,|DYU|IST|TBS|
TBS|FRU,|FRU|URC|TBS|
TBS|GYD,|GYD|IST|TBS|
TBS|HTN,|HTN|URC|TBS|
TBS|IKA,|IKA|SAW|TBS|
TBS|KCA,|KCA|URC|TBS|
TBS|KHG,|KHG|URC|TBS|
TBS|KRL,|KRL|URC|TBS|
TBS|KRY,|KRY|URC|TBS|
TBS|LBD,|LBD|URC|TBS|
TBS|NLT,|NLT|URC|TBS|
TBS|OSS,|OSS|URC|TBS|
TBS|OVB,|OVB|URC|TBS|
TBS|TCG,|TCG|URC|TBS|
TBS|TSE,|TSE|IST|TBS|
TBS|YIN,|YIN|URC|TBS|
TBS|ENH,|ENH|WUH|URC|TBS|
TBS|ENY,|ENY|XIY|URC|TBS|
TBS|WXN,|WXN|XIY|URC|TBS|
TBS|BLL,|BLL|IST|TBS|
TBS|ESB,|ESB|SAW|TBS|
TBS|SAW,|SAW|TBS|
TBS|HAM,|HAM|IST|TBS|
TBS|HRE,|HRE|ADD|IST|TBS|
TBS|JUB,|JUB|CAI|IST|TBS|
TBS|SSG,|SSG|DLA|IST|TBS|
TBS|BGW,|BGW|ESB|SAW|TBS|
TBS|EBL,|EBL|IST|TBS|
TBS|VKO,|VKO|IST|TBS|
TBS|MCT,|MCT|BAH|KWI|SAW|TBS|
TBS|AYT,|AYT|SAW|TBS|
TBS|SCQ,|SCQ|BIO|IST|TBS|
TBS|AAL,|AAL|IST|TBS|
TBS|AOE,|AOE|BRU|SAW|TBS|
TBS|JNB,|JNB|IST|TBS|
TBS|LBV,|LBV|DLA|IST|TBS|
TBS|ADA,|ADA|SAW|TBS|
TBS|ADB,|ADB|SAW|TBS|
TBS|ADF,|ADF|ESB|SAW|TBS|
TBS|AJI,|AJI|ESB|SAW|TBS|
TBS|BAL,|BAL|ESB|SAW|TBS|
TBS|BJV,|BJV|SAW|TBS|
TBS|CKZ,|CKZ|ESB|SAW|TBS|
TBS|DIY,|DIY|SAW|TBS|
TBS|ECN,|ECN|SAW|TBS|
TBS|ERC,|ERC|ESB|SAW|TBS|
TBS|ERZ,|ERZ|SAW|TBS|
TBS|EZS,|EZS|SAW|TBS|
TBS|GNY,|GNY|ESB|SAW|TBS|
TBS|GZP,|GZP|ESB|SAW|TBS|
TBS|GZT,|GZT|SAW|TBS|
TBS|HTY,|HTY|SAW|TBS|
TBS|KCM,|KCM|ESB|SAW|TBS|
TBS|KSY,|KSY|SAW|TBS|
TBS|MLX,|MLX|ESB|SAW|TBS|
TBS|MQM,|MQM|SAW|TBS|
TBS|MSR,|MSR|ESB|SAW|TBS|
TBS|TEQ,|TEQ|ESB|SAW|TBS|
TBS|TZX,|TZX|SAW|TBS|
TBS|VAN,|VAN|SAW|TBS|
TBS|ULN,|ULN|FRU|URC|TBS|
TBS|HIJ,|HIJ|ICN|PEK|URC|TBS|
TBS|VVO,|VVO|ICN|PEK|URC|TBS|
TBS|ACC,|ACC|IST|TBS|
TBS|AER,|AER|IST|TBS|
TBS|AGP,|AGP|IST|TBS|
TBS|ALG,|ALG|IST|TBS|
TBS|AMM,|AMM|IST|TBS|
TBS|AQJ,|AQJ|IST|TBS|
TBS|ARN,|ARN|IST|TBS|
TBS|ASR,|ASR|SAW|TBS|
TBS|ATH,|ATH|IST|TBS|
TBS|BAH,|BAH|KWI|SAW|TBS|
TBS|BEG,|BEG|IST|TBS|
TBS|BEN,|BEN|IST|TBS|
TBS|BEY,|BEY|IST|TBS|
TBS|BHX,|BHX|BRU|SAW|TBS|
TBS|BIO,|BIO|IST|TBS|
TBS|BLQ,|BLQ|IST|TBS|
TBS|BOM,|BOM|IST|TBS|
TBS|BRE,|BRE|IST|TBS|
TBS|BSL,|BSL|IST|TBS|
TBS|BSR,|BSR|IST|TBS|
TBS|BUD,|BUD|IST|TBS|
TBS|BUS,|BUS|IST|TBS|
TBS|CAI,|CAI|IST|TBS|
TBS|CGN,|CGN|IST|TBS|
TBS|CMN,|CMN|IST|TBS|
TBS|CND,|CND|IST|TBS|
TBS|DAR,|DAR|IST|TBS|
TBS|DLM,|DLM|IST|TBS|
TBS|DMM,|DMM|IST|TBS|
TBS|DNK,|DNK|IST|TBS|
TBS|DNZ,|DNZ|IST|TBS|
TBS|DOK,|DOK|IST|TBS|
TBS|DUS,|DUS|SAW|TBS|
TBS|EDI,|EDI|IST|TBS|
TBS|ELQ,|ELQ|IST|TBS|
TBS|FDH,|FDH|IST|TBS|
TBS|GOA,|GOA|IST|TBS|
TBS|GOT,|GOT|IST|TBS|
TBS|HAJ,|HAJ|IST|TBS|
TBS|HBE,|HBE|IST|TBS|
TBS|HEL,|HEL|IST|TBS|
TBS|HRG,|HRG|IST|TBS|
TBS|IFN,|IFN|IST|TBS|
TBS|ISE,|ISE|IST|TBS|
