ACV|SEA,|SEA|SMF|ACV|
ACV|SYD,|SYD|SFO|ACV|
ACV|YBL,|YBL|YVR|PDX|SMF|ACV|
ACV|YCD,|YCD|YVR|PDX|SMF|ACV|
ACV|YCG,|YCG|YVR|PDX|SMF|ACV|
ACV|YKA,|YKA|YVR|PDX|SMF|ACV|
ACV|YPR,|YPR|YVR|PDX|SMF|ACV|
ACV|YQZ,|YQZ|YVR|PDX|SMF|ACV|
ACV|YXC,|YXC|YVR|PDX|SMF|ACV|
ACV|YXJ,|YXJ|YVR|PDX|SMF|ACV|
ACV|YXS,|YXS|YVR|PDX|SMF|ACV|
ACV|YXT,|YXT|YVR|PDX|SMF|ACV|
ACV|YXY,|YXY|YVR|PDX|SMF|ACV|
ACV|YYD,|YYD|YVR|PDX|SMF|ACV|
ACV|YYF,|YYF|YVR|PDX|SMF|ACV|
ACV|YZP,|YZP|YVR|PDX|SMF|ACV|
ACV|YQT,|YQT|YWG|DEN|SMF|ACV|
ACV|SJD,|SJD|LAX|SMF|ACV|
ACV|YQF,|YQF|YYC|PDX|SMF|ACV|
ACV|YQL,|YQL|YYC|PDX|SMF|ACV|
ACV|YXH,|YXH|YYC|PDX|SMF|ACV|
ACV|YWK,|YWK|YZV|YQB|ORD|SMF|ACV|
ACV|ANU,|ANU|EWR|ORD|SMF|ACV|
ACV|AUA,|AUA|ATL|DEN|SMF|ACV|
ACV|AUH,|AUH|FRA|SEA|SMF|ACV|
ACV|BCN,|BCN|YYZ|ORD|SMF|ACV|
ACV|BDA,|BDA|EWR|ORD|SMF|ACV|
ACV|BGI,|BGI|YYZ|ORD|SMF|ACV|
ACV|BNA,|BNA|DEN|SMF|ACV|
ACV|BOG,|BOG|IAH|SMF|ACV|
ACV|BWI,|BWI|DEN|SMF|ACV|
ACV|CLE,|CLE|ORD|SMF|ACV|
ACV|CLT,|CLT|MDW|SMF|ACV|
ACV|CMH,|CMH|DEN|SMF|ACV|
ACV|CVG,|CVG|DEN|SMF|ACV|
ACV|DFW,|DFW|SFO|ACV|
ACV|DTW,|DTW|ORD|SMF|ACV|
