LZH|JHW,|JHW|CLE|YYZ|PEK|CAN|LZH|
LZH|SHD,|SHD|IAD|PEK|CAN|LZH|
LZH|PTY,|PTY|ORD|PEK|CAN|LZH|
LZH|FNA,|FNA|BRU|DEL|CAN|LZH|
LZH|SXB,|SXB|BRU|DEL|CAN|LZH|
LZH|ACV,|ACV|SFO|PVG|CAN|LZH|
LZH|MGW,|MGW|IAD|PEK|CAN|LZH|
LZH|ALB,|ALB|EWR|PEK|CAN|LZH|
LZH|AUS,|AUS|DEN|YVR|CAN|LZH|
LZH|BFD,|BFD|CLE|YYZ|PEK|CAN|LZH|
LZH|BUF,|BUF|CLE|YYZ|PEK|CAN|LZH|
LZH|CHS,|CHS|ORD|PEK|CAN|LZH|
LZH|DAY,|DAY|ORD|PEK|CAN|LZH|
LZH|DUJ,|DUJ|CLE|YYZ|PEK|CAN|LZH|
LZH|ERI,|ERI|CLE|YYZ|PEK|CAN|LZH|
LZH|FKL,|FKL|CLE|YYZ|PEK|CAN|LZH|
LZH|FNT,|FNT|CLE|YYZ|PEK|CAN|LZH|
LZH|GRR,|GRR|ORD|PEK|CAN|LZH|
LZH|GSP,|GSP|ORD|PEK|CAN|LZH|
LZH|PBI,|PBI|ATL|ORD|PEK|CAN|LZH|
LZH|PKB,|PKB|CLE|YYZ|PEK|CAN|LZH|
LZH|RIC,|RIC|IAD|PEK|CAN|LZH|
LZH|SDF,|SDF|ORD|PEK|CAN|LZH|
LZH|GUM,|GUM|HKG|CAN|LZH|
LZH|WRL,|WRL|CYS|DEN|YVR|CAN|LZH|
LZH|LBL,|LZH|
LZH|ABQ,|ABQ|SEA|ICN|CAN|LZH|
LZH|AIA,|AIA|DEN|YVR|CAN|LZH|
LZH|ALS,|ALS|DEN|YVR|CAN|LZH|
LZH|AMA,|AMA|DEN|YVR|CAN|LZH|
LZH|ANC,|ANC|SEA|ICN|CAN|LZH|
LZH|ASE,|ASE|DEN|YVR|CAN|LZH|
LZH|BFL,|BFL|SFO|PVG|CAN|LZH|
LZH|BHM,|BHM|ORD|PEK|CAN|LZH|
LZH|BIL,|BIL|DEN|YVR|CAN|LZH|
LZH|BIS,|BIS|DEN|YVR|CAN|LZH|
LZH|BOI,|BOI|SFO|PVG|CAN|LZH|
LZH|BUR,|BUR|SFO|PVG|CAN|LZH|
LZH|BZN,|BZN|DEN|YVR|CAN|LZH|
LZH|CID,|CID|ORD|PEK|CAN|LZH|
LZH|COD,|COD|DEN|YVR|CAN|LZH|
LZH|COS,|COS|DEN|YVR|CAN|LZH|
LZH|CPR,|CPR|DEN|YVR|CAN|LZH|
LZH|CYS,|CYS|DEN|YVR|CAN|LZH|
LZH|DIK,|DIK|DEN|YVR|CAN|LZH|
LZH|DRO,|DRO|DEN|YVR|CAN|LZH|
LZH|DSM,|DSM|ORD|PEK|CAN|LZH|
LZH|EGE,|EGE|DEN|YVR|CAN|LZH|
LZH|ELP,|ELP|LAS|SFO|PVG|CAN|LZH|
LZH|EUG,|EUG|PDX|SEA|ICN|CAN|LZH|
LZH|FAR,|FAR|DEN|YVR|CAN|LZH|
LZH|FAT,|FAT|SFO|PVG|CAN|LZH|
LZH|FCA,|FCA|DEN|YVR|CAN|LZH|
LZH|FSD,|FSD|DEN|YVR|CAN|LZH|
LZH|GCC,|GCC|DEN|YVR|CAN|LZH|
LZH|GEG,|GEG|BOI|SFO|PVG|CAN|LZH|
LZH|GJT,|GJT|DEN|YVR|CAN|LZH|
LZH|GTF,|GTF|DEN|YVR|CAN|LZH|
LZH|GUC,|GUC|DEN|YVR|CAN|LZH|
LZH|HDN,|HDN|DEN|YVR|CAN|LZH|
LZH|HLN,|HLN|DEN|YVR|CAN|LZH|
LZH|HSV,|HSV|ORD|PEK|CAN|LZH|
LZH|ICT,|ICT|DEN|YVR|CAN|LZH|
LZH|IDA,|IDA|DEN|YVR|CAN|LZH|
LZH|ISN,|ISN|DEN|YVR|CAN|LZH|
LZH|JAC,|JAC|DEN|YVR|CAN|LZH|
LZH|KOA,|KOA|YVR|CAN|LZH|
LZH|LAR,|LAR|DEN|YVR|CAN|LZH|
LZH|LBB,|LBB|DEN|YVR|CAN|LZH|
LZH|LIH,|LIH|HNL|NRT|CAN|LZH|
LZH|LIT,|LIT|DEN|YVR|CAN|LZH|
LZH|LNK,|LNK|DEN|YVR|CAN|LZH|
LZH|MAF,|MAF|DEN|YVR|CAN|LZH|
LZH|MEM,|MEM|ORD|PEK|CAN|LZH|
LZH|MFR,|MFR|SFO|PVG|CAN|LZH|
LZH|MLI,|MLI|ORD|PEK|CAN|LZH|
LZH|MOT,|MOT|DEN|YVR|CAN|LZH|
LZH|MRY,|MRY|SFO|PVG|CAN|LZH|
LZH|MSN,|MSN|ORD|PEK|CAN|LZH|
LZH|MSO,|MSO|DEN|YVR|CAN|LZH|
LZH|MTJ,|MTJ|DEN|YVR|CAN|LZH|
LZH|OKC,|OKC|DEN|YVR|CAN|LZH|
LZH|OMA,|OMA|DEN|YVR|CAN|LZH|
LZH|ONT,|ONT|SFO|PVG|CAN|LZH|
LZH|PIA,|PIA|ORD|PEK|CAN|LZH|
LZH|PIR,|PIR|DEN|YVR|CAN|LZH|
LZH|PSC,|PSC|SFO|PVG|CAN|LZH|
LZH|PSP,|PSP|SFO|PVG|CAN|LZH|
LZH|PUB,|PUB|DEN|YVR|CAN|LZH|
LZH|RAP,|RAP|DEN|YVR|CAN|LZH|
LZH|RDM,|RDM|PDX|SEA|ICN|CAN|LZH|
LZH|RKS,|RKS|DEN|YVR|CAN|LZH|
LZH|RNO,|RNO|SEA|ICN|CAN|LZH|
LZH|SAF,|SAF|DEN|YVR|CAN|LZH|
LZH|SAT,|SAT|DEN|YVR|CAN|LZH|
LZH|SBA,|SBA|SFO|PVG|CAN|LZH|
LZH|SGF,|SGF|DEN|YVR|CAN|LZH|
LZH|SGU,|SGU|DEN|YVR|CAN|LZH|
LZH|SHV,|SHV|DEN|YVR|CAN|LZH|
LZH|SJC,|SJC|NRT|CAN|LZH|
LZH|SLC,|SLC|SEA|ICN|CAN|LZH|
LZH|SNA,|SNA|SFO|PVG|CAN|LZH|
LZH|TUL,|TUL|DEN|YVR|CAN|LZH|
LZH|TUS,|TUS|SFO|PVG|CAN|LZH|
LZH|TYS,|TYS|ORD|PEK|CAN|LZH|
LZH|XNA,|XNA|DEN|YVR|CAN|LZH|
LZH|SAL,|SAL|IAH|YVR|CAN|LZH|
LZH|BJL,|BJL|DKR|BRU|DEL|CAN|LZH|
LZH|BFS,|BFS|EWR|PEK|CAN|LZH|
LZH|BON,|BON|EWR|PEK|CAN|LZH|
LZH|BQN,|BQN|EWR|PEK|CAN|LZH|
LZH|BTV,|BTV|EWR|PEK|CAN|LZH|
LZH|BZE,|BZE|IAH|YVR|CAN|LZH|
LZH|GLA,|GLA|EWR|PEK|CAN|LZH|
LZH|GSO,|GSO|IAD|PEK|CAN|LZH|
LZH|ITH,|ITH|EWR|PEK|CAN|LZH|
LZH|JAX,|JAX|ORD|PEK|CAN|LZH|
LZH|MHT,|MHT|EWR|PEK|CAN|LZH|
LZH|MYR,|MYR|YYZ|PEK|CAN|LZH|
LZH|ORF,|ORF|IAD|PEK|CAN|LZH|
LZH|POS,|POS|EWR|PEK|CAN|LZH|
LZH|PVD,|PVD|EWR|PEK|CAN|LZH|
LZH|PWM,|PWM|EWR|PEK|CAN|LZH|
LZH|SAP,|SAP|IAH|YVR|CAN|LZH|
LZH|SAV,|SAV|ORD|PEK|CAN|LZH|
LZH|SDQ,|SDQ|EWR|PEK|CAN|LZH|
LZH|SJU,|SJU|EWR|PEK|CAN|LZH|
LZH|SNN,|SNN|EWR|PEK|CAN|LZH|
LZH|STT,|STT|EWR|PEK|CAN|LZH|
LZH|SXM,|SXM|EWR|PEK|CAN|LZH|
LZH|BIM,|BIM|FLL|ORD|PEK|CAN|LZH|
LZH|ELH,|ELH|PBI|ATL|ORD|PEK|CAN|LZH|
LZH|EYW,|EYW|TPA|ORD|PEK|CAN|LZH|
LZH|FPO,|FPO|FLL|ORD|PEK|CAN|LZH|
LZH|GHB,|GHB|FLL|ORD|PEK|CAN|LZH|
LZH|MHH,|MHH|JAX|ORD|PEK|CAN|LZH|
LZH|TCB,|TCB|FLL|ORD|PEK|CAN|LZH|
LZH|SOW,|SOW|PHX|SFO|PVG|CAN|LZH|
LZH|ROB,|ROB|FNA|BRU|DEL|CAN|LZH|
LZH|GIG,|GIG|GRU|IST|CAN|LZH|
LZH|CNS,|CNS|GUM|HKG|CAN|LZH|
LZH|CTS,|CTS|GUM|HKG|CAN|LZH|
LZH|OKJ,|OKJ|GUM|HKG|CAN|LZH|
LZH|ROP,|ROP|GUM|HKG|CAN|LZH|
LZH|ROR,|ROR|MNL|CAN|LZH|
LZH|SDJ,|SDJ|GUM|HKG|CAN|LZH|
LZH|SPN,|SPN|GUM|HKG|CAN|LZH|
LZH|TKK,|TKK|GUM|HKG|CAN|LZH|
LZH|YAP,|YAP|ROR|MNL|CAN|LZH|
LZH|MAJ,|MAJ|KWA|PNI|TKK|GUM|HKG|CAN|LZH|
LZH|AOO,|AOO|IAD|PEK|CAN|LZH|
LZH|BGM,|BGM|IAD|PEK|CAN|LZH|
LZH|BKW,|BKW|IAD|PEK|CAN|LZH|
LZH|CAE,|CAE|ORD|PEK|CAN|LZH|
LZH|CHO,|CHO|IAD|PEK|CAN|LZH|
LZH|CRW,|CRW|ORD|PEK|CAN|LZH|
LZH|FAY,|FAY|IAD|PEK|CAN|LZH|
LZH|LWB,|LWB|IAD|PEK|CAN|LZH|
LZH|ROA,|ROA|IAD|PEK|CAN|LZH|
LZH|SCE,|SCE|IAD|PEK|CAN|LZH|
LZH|ACA,|ACA|IAH|YVR|CAN|LZH|
LZH|ACY,|ACY|ORD|PEK|CAN|LZH|
LZH|AEX,|AEX|IAH|YVR|CAN|LZH|
LZH|AGU,|AGU|IAH|YVR|CAN|LZH|
LZH|BJX,|BJX|LAX|CAN|LZH|
LZH|BRO,|BRO|IAH|YVR|CAN|LZH|
LZH|BTR,|BTR|IAH|YVR|CAN|LZH|
LZH|CCS,|CCS|IAH|YVR|CAN|LZH|
LZH|CLL,|CLL|IAH|YVR|CAN|LZH|
LZH|CME,|CME|IAH|YVR|CAN|LZH|
LZH|CRP,|CRP|IAH|YVR|CAN|LZH|
LZH|CUU,|CUU|IAH|YVR|CAN|LZH|
LZH|DAL,|DAL|OKC|DEN|YVR|CAN|LZH|
LZH|DGO,|DGO|LAX|CAN|LZH|
LZH|GDL,|GDL|LAX|CAN|LZH|
LZH|GPT,|GPT|IAH|YVR|CAN|LZH|
LZH|GRK,|GRK|IAH|YVR|CAN|LZH|
LZH|HOB,|HOB|IAH|YVR|CAN|LZH|
LZH|HRL,|HRL|SAT|DEN|YVR|CAN|LZH|
LZH|HUX,|HUX|IAH|YVR|CAN|LZH|
LZH|JAN,|JAN|ORD|PEK|CAN|LZH|
LZH|LCH,|LCH|IAH|YVR|CAN|LZH|
LZH|LEX,|LEX|ORD|PEK|CAN|LZH|
LZH|LFT,|LFT|IAH|YVR|CAN|LZH|
LZH|LRD,|LRD|IAH|YVR|CAN|LZH|
LZH|MFE,|MFE|IAH|YVR|CAN|LZH|
LZH|MGA,|MGA|IAH|YVR|CAN|LZH|
LZH|MID,|MID|IAH|YVR|CAN|LZH|
LZH|MLM,|MLM|IAH|YVR|CAN|LZH|
LZH|MLU,|MLU|IAH|YVR|CAN|LZH|
LZH|MOB,|MOB|ORD|PEK|CAN|LZH|
LZH|MTY,|MTY|IAH|YVR|CAN|LZH|
LZH|OAX,|OAX|IAH|YVR|CAN|LZH|
LZH|PBC,|PBC|IAH|YVR|CAN|LZH|
LZH|PNS,|PNS|ORD|PEK|CAN|LZH|
LZH|QRO,|QRO|IAH|YVR|CAN|LZH|
LZH|RTB,|RTB|IAH|YVR|CAN|LZH|
LZH|SLP,|SLP|IAH|YVR|CAN|LZH|
LZH|SLW,|SLW|IAH|YVR|CAN|LZH|
LZH|TAM,|TAM|IAH|YVR|CAN|LZH|
LZH|TGU,|TGU|IAH|YVR|CAN|LZH|
LZH|TRC,|TRC|IAH|YVR|CAN|LZH|
LZH|TYR,|TYR|IAH|YVR|CAN|LZH|
LZH|UIO,|UIO|IAH|YVR|CAN|LZH|
LZH|VER,|VER|IAH|YVR|CAN|LZH|
LZH|VPS,|VPS|IAH|YVR|CAN|LZH|
LZH|VSA,|VSA|IAH|YVR|CAN|LZH|
LZH|ZIH,|ZIH|IAH|YVR|CAN|LZH|
LZH|ZLO,|ZLO|IAH|YVR|CAN|LZH|
LZH|KWA,|KWA|PNI|TKK|GUM|HKG|CAN|LZH|
LZH|PNI,|PNI|TKK|GUM|HKG|CAN|LZH|
LZH|KSA,|KSA|PNI|TKK|GUM|HKG|CAN|LZH|
LZH|CLD,|CLD|LAX|CAN|LZH|
LZH|ITO,|ITO|LAX|CAN|LZH|
LZH|SBP,|SBP|SFO|PVG|CAN|LZH|
LZH|SMX,|SMX|LAX|CAN|LZH|
LZH|YUM,|YUM|LAX|CAN|LZH|
LZH|DDC,|LZH|
LZH|TMS,|TMS|LIS|IST|CAN|LZH|
LZH|PHC,|PHC|LOS|IST|CAN|LZH|
LZH|GNV,|GNV|MCO|ORD|PEK|CAN|LZH|
LZH|TLH,|TLH|TPA|ORD|PEK|CAN|LZH|
LZH|CKB,|CKB|MGW|IAD|PEK|CAN|LZH|
LZH|BAQ,|BAQ|MIA|ORD|PEK|CAN|LZH|
LZH|CLO,|CLO|MIA|ORD|PEK|CAN|LZH|
LZH|CTG,|CTG|MIA|ORD|PEK|CAN|LZH|
LZH|MDE,|MDE|MIA|ORD|PEK|CAN|LZH|
LZH|ABE,|ABE|ORD|PEK|CAN|LZH|
LZH|ATW,|ATW|ORD|PEK|CAN|LZH|
LZH|AVL,|AVL|ORD|PEK|CAN|LZH|
LZH|AVP,|AVP|ORD|PEK|CAN|LZH|
LZH|CAK,|CAK|ORD|PEK|CAN|LZH|
LZH|CMX,|CMX|ORD|PEK|CAN|LZH|
LZH|CWA,|CWA|ORD|PEK|CAN|LZH|
LZH|DLH,|DLH|ORD|PEK|CAN|LZH|
LZH|EAU,|EAU|ORD|PEK|CAN|LZH|
LZH|ELM,|ELM|ORD|PEK|CAN|LZH|
LZH|FOE,|FOE|ORD|PEK|CAN|LZH|
LZH|FWA,|FWA|ORD|PEK|CAN|LZH|
LZH|GRB,|GRB|ORD|PEK|CAN|LZH|
LZH|HPN,|HPN|ORD|PEK|CAN|LZH|
LZH|LAN,|LAN|ORD|PEK|CAN|LZH|
LZH|MBS,|MBS|ORD|PEK|CAN|LZH|
LZH|MKG,|MKG|ORD|PEK|CAN|LZH|
LZH|PAH,|PAH|ORD|PEK|CAN|LZH|
LZH|SBN,|SBN|ORD|PEK|CAN|LZH|
LZH|SPI,|SPI|ORD|PEK|CAN|LZH|
LZH|SRQ,|SRQ|ORD|PEK|CAN|LZH|
LZH|STC,|STC|ORD|PEK|CAN|LZH|
LZH|TVC,|TVC|ORD|PEK|CAN|LZH|
LZH|LMT,|LMT|PDX|SEA|ICN|CAN|LZH|
LZH|HON,|HON|PIR|DEN|YVR|CAN|LZH|
LZH|CIC,|CIC|SFO|PVG|CAN|LZH|
LZH|MOD,|MOD|SFO|PVG|CAN|LZH|
LZH|OTH,|OTH|SFO|PVG|CAN|LZH|
LZH|RDD,|RDD|SFO|PVG|CAN|LZH|
LZH|EIS,|EIS|SJU|EWR|PEK|CAN|LZH|
LZH|DME,|DME|VIE|IST|CAN|LZH|
LZH|EVN,|EVN|VIE|IST|CAN|LZH|
LZH|HOU,|HOU|DEN|YVR|CAN|LZH|
LZH|MDW,|MDW|DTW|PEK|CAN|LZH|
LZH|OAK,|OAK|SEA|ICN|CAN|LZH|
LZH|ECP,|ECP|BNA|ORD|PEK|CAN|LZH|
LZH|ISP,|ISP|BWI|YYZ|PEK|CAN|LZH|
LZH|YHM,|YHM|YYC|YVR|CAN|LZH|
LZH|YXX,|YXX|YYC|YVR|CAN|LZH|
LZH|YBR,|YBR|YYC|YVR|CAN|LZH|
LZH|YKF,|YKF|YYC|YVR|CAN|LZH|
LZH|GDN,|LZH|
LZH|TRD,|LZH|
LZH|NKC,|LZH|
LZH|PGA,|LZH|
