LZH|PDX,|PDX|SEA|ICN|CAN|LZH|
LZH|PEK,|PEK|CAN|LZH|
LZH|PVG,|PVG|CAN|LZH|
LZH|PVR,|PVR|LAX|CAN|LZH|
LZH|SEA,|SEA|ICN|CAN|LZH|
LZH|SYD,|SYD|CAN|LZH|
LZH|YBL,|YBL|YVR|CAN|LZH|
LZH|YCD,|YCD|YVR|CAN|LZH|
LZH|YCG,|YCG|YVR|CAN|LZH|
LZH|YKA,|YKA|YVR|CAN|LZH|
LZH|YPR,|YPR|YVR|CAN|LZH|
LZH|YQZ,|YQZ|YVR|CAN|LZH|
LZH|YXC,|YXC|YVR|CAN|LZH|
LZH|YXJ,|YXJ|YVR|CAN|LZH|
LZH|YXS,|YXS|YVR|CAN|LZH|
LZH|YXT,|YXT|YVR|CAN|LZH|
LZH|YXY,|YXY|YVR|CAN|LZH|
LZH|YYD,|YYD|YVR|CAN|LZH|
LZH|YYF,|YYF|YVR|CAN|LZH|
LZH|YZP,|YZP|YVR|CAN|LZH|
LZH|YQT,|YQT|YWG|YVR|CAN|LZH|
LZH|SJD,|SJD|LAX|CAN|LZH|
LZH|YQF,|YQF|YYC|YVR|CAN|LZH|
LZH|YQL,|YQL|YYC|YVR|CAN|LZH|
LZH|YXH,|YXH|YYC|YVR|CAN|LZH|
LZH|YWK,|YWK|YZV|YQB|YYZ|PEK|CAN|LZH|
LZH|ANU,|ANU|EWR|PEK|CAN|LZH|
LZH|AUA,|AUA|EWR|PEK|CAN|LZH|
LZH|AUH,|AUH|IST|CAN|LZH|
LZH|BCN,|BCN|IST|CAN|LZH|
LZH|BDA,|BDA|EWR|PEK|CAN|LZH|
LZH|BGI,|BGI|YYZ|PEK|CAN|LZH|
LZH|BNA,|BNA|ORD|PEK|CAN|LZH|
LZH|BOG,|BOG|MIA|ORD|PEK|CAN|LZH|
LZH|BWI,|BWI|YYZ|PEK|CAN|LZH|
LZH|CLE,|CLE|YYZ|PEK|CAN|LZH|
LZH|CLT,|CLT|YYZ|PEK|CAN|LZH|
LZH|CMH,|CMH|ORD|PEK|CAN|LZH|
LZH|CVG,|CVG|ORD|PEK|CAN|LZH|
LZH|DFW,|DFW|YVR|CAN|LZH|
LZH|DTW,|DTW|PEK|CAN|LZH|
LZH|DUB,|DUB|IST|CAN|LZH|
LZH|FCO,|FCO|IST|CAN|LZH|
LZH|GCM,|GCM|YYZ|PEK|CAN|LZH|
LZH|GGT,|GGT|YYZ|PEK|CAN|LZH|
LZH|GND,|GND|YYZ|PEK|CAN|LZH|
LZH|GRU,|GRU|IST|CAN|LZH|
LZH|HAV,|HAV|YYZ|PEK|CAN|LZH|
LZH|IND,|IND|ORD|PEK|CAN|LZH|
LZH|JFK,|JFK|PEK|CAN|LZH|
LZH|KIN,|KIN|YYZ|PEK|CAN|LZH|
LZH|LIM,|LIM|IAH|YVR|CAN|LZH|
LZH|LIR,|LIR|IAH|YVR|CAN|LZH|
LZH|MCI,|MCI|DEN|YVR|CAN|LZH|
LZH|MDT,|MDT|YYZ|PEK|CAN|LZH|
LZH|MIA,|MIA|ORD|PEK|CAN|LZH|
LZH|MKE,|MKE|ORD|PEK|CAN|LZH|
LZH|MSP,|MSP|ORD|PEK|CAN|LZH|
LZH|NAS,|NAS|YYZ|PEK|CAN|LZH|
LZH|PHL,|PHL|YYZ|PEK|CAN|LZH|
LZH|PHX,|PHX|SFO|PVG|CAN|LZH|
LZH|PIT,|PIT|YYZ|PEK|CAN|LZH|
LZH|PLS,|PLS|EWR|PEK|CAN|LZH|
LZH|POP,|POP|EWR|PEK|CAN|LZH|
LZH|RDU,|RDU|YYZ|PEK|CAN|LZH|
LZH|ROC,|ROC|YYZ|PEK|CAN|LZH|
LZH|RSW,|RSW|ORD|PEK|CAN|LZH|
LZH|SAN,|SAN|LAX|CAN|LZH|
LZH|SJO,|SJO|IAH|YVR|CAN|LZH|
LZH|STL,|STL|ORD|PEK|CAN|LZH|
LZH|SYR,|SYR|YYZ|PEK|CAN|LZH|
LZH|TLV,|TLV|IST|CAN|LZH|
LZH|TPA,|TPA|ORD|PEK|CAN|LZH|
LZH|UVF,|UVF|EWR|PEK|CAN|LZH|
LZH|VIE,|VIE|IST|CAN|LZH|
LZH|YAM,|YAM|YYZ|PEK|CAN|LZH|
LZH|YGK,|YGK|YYZ|PEK|CAN|LZH|
LZH|YQG,|YQG|YYZ|PEK|CAN|LZH|
LZH|YSB,|YSB|YYZ|PEK|CAN|LZH|
LZH|YTS,|YTS|YYZ|PEK|CAN|LZH|
LZH|YYB,|YYB|YYZ|PEK|CAN|LZH|
LZH|YZR,|YZR|YYZ|PEK|CAN|LZH|
LZH|CAN,|CAN|LZH|
LZH|URC,|URC|CAN|LZH|
LZH|CTU,|CTU|CAN|LZH|
LZH|HGH,|HGH|CAN|LZH|
LZH|XMN,|XMN|CAN|LZH|
LZH|CGO,|CGO|CAN|LZH|
LZH|CSX,|CSX|CAN|LZH|
LZH|SHE,|SHE|CAN|LZH|
LZH|SJW,|SJW|CAN|LZH|
LZH|WUH,|WUH|CAN|LZH|
LZH|SZX,|SZX|MXZ|CAN|LZH|
LZH|CKG,|CKG|CAN|LZH|
LZH|KMG,|KMG|CAN|LZH|
LZH|FOC,|FOC|CAN|LZH|
LZH|NNG,|NNG|CAN|LZH|
LZH|SWA,|SWA|CAN|LZH|
LZH|ACX,|ACX|CAN|LZH|
LZH|AQG,|AQG|CAN|LZH|
LZH|AVA,|AVA|CAN|LZH|
LZH|BFJ,|BFJ|CAN|LZH|
LZH|BHY,|BHY|CAN|LZH|
LZH|BNE,|BNE|CAN|LZH|
LZH|CGD,|CGD|CAN|LZH|
LZH|CGK,|CGK|CAN|LZH|
LZH|CGQ,|CGQ|CAN|LZH|
LZH|CIH,|CIH|CAN|LZH|
LZH|CNX,|CNX|CAN|LZH|
LZH|CZX,|CZX|CAN|LZH|
LZH|DAC,|DAC|CAN|LZH|
LZH|DAD,|DAD|CAN|LZH|
LZH|DEL,|DEL|CAN|LZH|
LZH|DIG,|DIG|CAN|LZH|
LZH|DLC,|DLC|CAN|LZH|
LZH|DPS,|DPS|CAN|LZH|
LZH|DXB,|DXB|CAN|LZH|
LZH|DYG,|DYG|CAN|LZH|
LZH|FUG,|FUG|CAN|LZH|
LZH|FUK,|FUK|CAN|LZH|
LZH|HAK,|HAK|CAN|LZH|
LZH|HAN,|HAN|CAN|LZH|
LZH|HDG,|HDG|CAN|LZH|
LZH|HET,|HET|CAN|LZH|
LZH|HFE,|HFE|CAN|LZH|
LZH|HJJ,|HJJ|CAN|LZH|
LZH|HKT,|HKT|CAN|LZH|
LZH|HRB,|HRB|CAN|LZH|
LZH|HZH,|HZH|CAN|LZH|
LZH|JIU,|JIU|CAN|LZH|
LZH|JJN,|JJN|CAN|LZH|
LZH|JNG,|JNG|CAN|LZH|
LZH|KHN,|KHN|CAN|LZH|
LZH|KIX,|KIX|CAN|LZH|
LZH|KOW,|KOW|CAN|LZH|
LZH|KTM,|KTM|CAN|LZH|
LZH|KUL,|KUL|CAN|LZH|
LZH|KWE,|KWE|CAN|LZH|
LZH|KWL,|KWL|CAN|LZH|
LZH|LHW,|LHW|CAN|LZH|
LZH|LYA,|LYA|CAN|LZH|
LZH|LYG,|LYG|CAN|LZH|
LZH|MEL,|MEL|CAN|LZH|
LZH|MIG,|MIG|CAN|LZH|
LZH|MLE,|MLE|CAN|LZH|
LZH|MNL,|MNL|CAN|LZH|
LZH|MXZ,|MXZ|CAN|LZH|
LZH|NAO,|NAO|CAN|LZH|
LZH|NGB,|NGB|CAN|LZH|
LZH|NKG,|NKG|CAN|LZH|
LZH|NNY,|NNY|CAN|LZH|
LZH|PEN,|PEN|CAN|LZH|
LZH|PER,|PER|CAN|LZH|
LZH|PNH,|PNH|CAN|LZH|
LZH|REP,|REP|CAN|LZH|
LZH|RGN,|RGN|CAN|LZH|
LZH|SGN,|SGN|CAN|LZH|
LZH|SHA,|SHA|CAN|LZH|
LZH|SIN,|SIN|CAN|LZH|
LZH|SVO,|SVO|CAN|LZH|
LZH|SYX,|SYX|CAN|LZH|
LZH|TAO,|TAO|CAN|LZH|
LZH|TEN,|TEN|CAN|LZH|
LZH|TNA,|TNA|CAN|LZH|
LZH|TPE,|TPE|CAN|LZH|
LZH|TSN,|TSN|CAN|LZH|
LZH|TXN,|TXN|CAN|LZH|
LZH|TYN,|TYN|CAN|LZH|
LZH|WNZ,|WNZ|CAN|LZH|
LZH|WUX,|WUX|CAN|LZH|
LZH|XFN,|XFN|CAN|LZH|
LZH|XIY,|XIY|CAN|LZH|
LZH|XUZ,|XUZ|CAN|LZH|
LZH|YIH,|YIH|CAN|LZH|
LZH|YIW,|YIW|CAN|LZH|
LZH|YNT,|YNT|CAN|LZH|
LZH|YNZ,|YNZ|CAN|LZH|
LZH|YTY,|YTY|CAN|LZH|
LZH|ZHA,|ZHA|CAN|LZH|
LZH|ZYI,|ZYI|CAN|LZH|
LZH|BAV,|BAV|CSX|CAN|LZH|
LZH|CJU,|CJU|CSX|CAN|LZH|
LZH|DSN,|DSN|CGO|CAN|LZH|
LZH|HMI,|HMI|CGO|CAN|LZH|
LZH|INC,|INC|XIY|CAN|LZH|
LZH|KHH,|KHH|WUH|CAN|LZH|
LZH|UYN,|UYN|XIY|CAN|LZH|
LZH|XNN,|XNN|CKG|CAN|LZH|
LZH|ZUH,|ZUH|MXZ|CAN|LZH|
LZH|YNJ,|YNJ|ICN|CAN|LZH|
LZH|DAT,|DAT|CIH|CAN|LZH|
LZH|JHG,|JHG|KMG|CAN|LZH|
LZH|LJG,|LJG|KMG|CAN|LZH|
LZH|LXA,|LXA|CKG|CAN|LZH|
LZH|YCU,|YCU|CSX|CAN|LZH|
LZH|LZO,|LZO|CSX|CAN|LZH|
LZH|MDG,|MDG|DLC|CAN|LZH|
LZH|NGO,|NGO|PVG|CAN|LZH|
LZH|TOY,|TOY|DLC|CAN|LZH|
LZH|MFM,|MFM|XMN|CAN|LZH|
LZH|TGO,|TGO|HET|CAN|LZH|
LZH|XIL,|XIL|HET|CAN|LZH|
LZH|HEK,|HEK|HRB|CAN|LZH|
LZH|KIJ,|KIJ|HRB|CAN|LZH|
LZH|LDS,|LDS|HRB|CAN|LZH|
LZH|OHE,|OHE|HRB|CAN|LZH|
LZH|HSN,|HSN|XMN|CAN|LZH|
LZH|DLU,|DLU|KMG|CAN|LZH|
LZH|SYM,|SYM|KMG|CAN|LZH|
LZH|ZAT,|ZAT|KMG|CAN|LZH|
LZH|LUN,|LUN|NBO|CAN|LZH|
LZH|AOG,|AOG|PEK|CAN|LZH|
LZH|GMP,|GMP|PEK|CAN|LZH|
LZH|ISB,|ISB|URC|CAN|LZH|
LZH|TAS,|TAS|URC|CAN|LZH|
LZH|WUS,|WUS|PEK|CAN|LZH|
LZH|JMU,|JMU|PVG|CAN|LZH|
LZH|NDG,|NDG|PVG|CAN|LZH|
LZH|JXA,|JXA|SHE|CAN|LZH|
LZH|PUS,|PUS|SHE|CAN|LZH|
LZH|BKI,|BKI|SZX|MXZ|CAN|LZH|
LZH|AKU,|AKU|URC|CAN|LZH|
LZH|ALA,|ALA|URC|CAN|LZH|
LZH|ASB,|ASB|URC|CAN|LZH|
LZH|DNH,|DNH|XIY|CAN|LZH|
LZH|DYU,|DYU|URC|CAN|LZH|
LZH|FRU,|FRU|URC|CAN|LZH|
LZH|GYD,|GYD|URC|CAN|LZH|
LZH|HTN,|HTN|URC|CAN|LZH|
LZH|IKA,|IKA|URC|CAN|LZH|
LZH|KCA,|KCA|URC|CAN|LZH|
LZH|KHG,|KHG|URC|CAN|LZH|
LZH|KRL,|KRL|URC|CAN|LZH|
LZH|KRY,|KRY|URC|CAN|LZH|
LZH|LBD,|LBD|URC|CAN|LZH|
LZH|NLT,|NLT|URC|CAN|LZH|
LZH|OSS,|OSS|URC|CAN|LZH|
LZH|OVB,|OVB|URC|CAN|LZH|
LZH|TBS,|TBS|URC|CAN|LZH|
LZH|TCG,|TCG|URC|CAN|LZH|
LZH|TSE,|TSE|URC|CAN|LZH|
LZH|YIN,|YIN|URC|CAN|LZH|
