SDF|YPR,|YPR|YVR|ORD|SDF|
SDF|YQZ,|YQZ|YVR|ORD|SDF|
SDF|YXC,|YXC|YYC|ORD|SDF|
SDF|YXJ,|YXJ|YYC|ORD|SDF|
SDF|YXS,|YXS|YYC|ORD|SDF|
SDF|YXT,|YXT|YVR|ORD|SDF|
SDF|YXY,|YXY|YVR|ORD|SDF|
SDF|YYD,|YYD|YVR|ORD|SDF|
SDF|YYF,|YYF|YVR|ORD|SDF|
SDF|YZP,|YZP|YVR|ORD|SDF|
SDF|YQT,|YQT|YYZ|CLE|SDF|
SDF|SJD,|SJD|IAH|SDF|
SDF|YQF,|YQF|YYC|ORD|SDF|
SDF|YQL,|YQL|YYC|ORD|SDF|
SDF|YXH,|YXH|YYC|ORD|SDF|
SDF|YWK,|YWK|YZV|YQB|YYZ|CLE|SDF|
SDF|ANU,|ANU|EWR|SDF|
SDF|AUA,|AUA|ATL|SDF|
SDF|AUH,|AUH|YYZ|CLE|SDF|
SDF|BCN,|BCN|EWR|SDF|
SDF|BDA,|BDA|EWR|SDF|
SDF|BGI,|BGI|YYZ|CLE|SDF|
SDF|BNA,|BNA|MDW|SDF|
SDF|BOG,|BOG|IAD|SDF|
SDF|BWI,|BWI|SDF|
SDF|CLE,|CLE|SDF|
SDF|CLT,|CLT|CLE|SDF|
SDF|CMH,|CMH|CLE|SDF|
SDF|CVG,|CVG|ORD|SDF|
SDF|DFW,|DFW|IAH|SDF|
SDF|DTW,|DTW|MDW|SDF|
SDF|DUB,|DUB|YYZ|CLE|SDF|
SDF|FCO,|FCO|YYZ|CLE|SDF|
SDF|GCM,|GCM|IAD|SDF|
SDF|GGT,|GGT|FLL|MCO|SDF|
SDF|GND,|GND|YYZ|CLE|SDF|
SDF|GRU,|GRU|IAD|SDF|
SDF|HAV,|HAV|YYZ|CLE|SDF|
SDF|IND,|IND|ORD|SDF|
SDF|JFK,|JFK|IAD|SDF|
SDF|KIN,|KIN|YYZ|CLE|SDF|
SDF|LIM,|LIM|IAH|SDF|
SDF|LIR,|LIR|IAH|SDF|
SDF|MCI,|MCI|MDW|SDF|
SDF|MDT,|MDT|IAD|SDF|
SDF|MIA,|MIA|IAD|SDF|
SDF|MKE,|MKE|ORD|SDF|
SDF|MSP,|MSP|MDW|SDF|
SDF|NAS,|NAS|ATL|SDF|
SDF|PHL,|PHL|IAD|SDF|
SDF|PHX,|PHX|SDF|
SDF|PIT,|PIT|IAD|SDF|
SDF|PLS,|PLS|EWR|SDF|
SDF|POP,|POP|EWR|SDF|
SDF|RDU,|RDU|IAD|SDF|
SDF|ROC,|ROC|CLE|SDF|
SDF|RSW,|RSW|ATL|SDF|
SDF|SAN,|SAN|PHX|SDF|
SDF|SJO,|SJO|IAH|SDF|
SDF|STL,|STL|MDW|SDF|
SDF|SYR,|SYR|CLE|SDF|
SDF|TLV,|TLV|YYZ|CLE|SDF|
SDF|TPA,|TPA|SDF|
SDF|UVF,|UVF|EWR|SDF|
SDF|VIE,|VIE|YYZ|CLE|SDF|
SDF|YAM,|YAM|YYZ|CLE|SDF|
SDF|YGK,|YGK|YYZ|CLE|SDF|
SDF|YQG,|YQG|YYZ|CLE|SDF|
SDF|YSB,|YSB|YYZ|CLE|SDF|
SDF|YTS,|YTS|YYZ|CLE|SDF|
SDF|YYB,|YYB|YYZ|CLE|SDF|
SDF|YZR,|YZR|YYZ|CLE|SDF|
SDF|CAN,|CAN|PEK|ORD|SDF|
SDF|URC,|URC|TSE|FRA|YYZ|CLE|SDF|
SDF|CTU,|CTU|PEK|ORD|SDF|
SDF|HGH,|HGH|PEK|ORD|SDF|
SDF|XMN,|XMN|PEK|ORD|SDF|
SDF|CGO,|CGO|PEK|ORD|SDF|
SDF|CSX,|CSX|PEK|ORD|SDF|
SDF|SHE,|SHE|PEK|ORD|SDF|
SDF|SJW,|SJW|DLC|PEK|ORD|SDF|
SDF|WUH,|WUH|PEK|ORD|SDF|
SDF|SZX,|SZX|PEK|ORD|SDF|
SDF|CKG,|CKG|PEK|ORD|SDF|
SDF|KMG,|KMG|PEK|ORD|SDF|
SDF|FOC,|FOC|PEK|ORD|SDF|
SDF|NNG,|NNG|PEK|ORD|SDF|
SDF|SWA,|SWA|PEK|ORD|SDF|
SDF|ACX,|ACX|CAN|PEK|ORD|SDF|
SDF|AQG,|AQG|CAN|PEK|ORD|SDF|
SDF|AVA,|AVA|CAN|PEK|ORD|SDF|
SDF|BFJ,|BFJ|CAN|PEK|ORD|SDF|
SDF|BHY,|BHY|CGO|PEK|ORD|SDF|
SDF|BNE,|BNE|CAN|PEK|ORD|SDF|
SDF|CGD,|CGD|PEK|ORD|SDF|
SDF|CGK,|CGK|CAN|PEK|ORD|SDF|
SDF|CGQ,|CGQ|PEK|ORD|SDF|
SDF|CIH,|CIH|PEK|ORD|SDF|
SDF|CNX,|CNX|CAN|PEK|ORD|SDF|
SDF|CZX,|CZX|SHE|PEK|ORD|SDF|
SDF|DAC,|DAC|IST|YYZ|CLE|SDF|
SDF|DAD,|DAD|CAN|PEK|ORD|SDF|
SDF|DEL,|DEL|EWR|SDF|
SDF|DIG,|DIG|KMG|PEK|ORD|SDF|
SDF|DLC,|DLC|PEK|ORD|SDF|
SDF|DPS,|DPS|SZX|PEK|ORD|SDF|
SDF|DXB,|DXB|IST|YYZ|CLE|SDF|
SDF|DYG,|DYG|PEK|ORD|SDF|
SDF|FUG,|FUG|CAN|PEK|ORD|SDF|
SDF|FUK,|FUK|ICN|YVR|ORD|SDF|
SDF|HAK,|HAK|PEK|ORD|SDF|
SDF|HAN,|HAN|PEK|ORD|SDF|
SDF|HDG,|HDG|CAN|PEK|ORD|SDF|
SDF|HET,|HET|DLC|PEK|ORD|SDF|
SDF|HFE,|HFE|XIY|PEK|ORD|SDF|
SDF|HJJ,|HJJ|CSX|PEK|ORD|SDF|
SDF|HKT,|HKT|KWE|PEK|ORD|SDF|
SDF|HRB,|HRB|PEK|ORD|SDF|
SDF|HZH,|HZH|CAN|PEK|ORD|SDF|
SDF|JIU,|JIU|CAN|PEK|ORD|SDF|
SDF|JJN,|JJN|PEK|ORD|SDF|
SDF|JNG,|JNG|CAN|PEK|ORD|SDF|
SDF|KHN,|KHN|DLC|PEK|ORD|SDF|
SDF|KIX,|KIX|SFO|DEN|SDF|
SDF|KOW,|KOW|PEK|ORD|SDF|
SDF|KTM,|KTM|IST|YYZ|CLE|SDF|
SDF|KUL,|KUL|CAN|PEK|ORD|SDF|
SDF|KWE,|KWE|PEK|ORD|SDF|
SDF|KWL,|KWL|PEK|ORD|SDF|
SDF|LHW,|LHW|CGO|PEK|ORD|SDF|
SDF|LYA,|LYA|KHN|DLC|PEK|ORD|SDF|
SDF|LYG,|LYG|HSN|PEK|ORD|SDF|
SDF|LZH,|LZH|CAN|PEK|ORD|SDF|
SDF|MEL,|MEL|SYD|LAX|LAS|SDF|
SDF|MIG,|MIG|CSX|PEK|ORD|SDF|
SDF|MLE,|MLE|IST|YYZ|CLE|SDF|
SDF|MNL,|MNL|XMN|PEK|ORD|SDF|
SDF|MXZ,|MXZ|CAN|PEK|ORD|SDF|
SDF|NAO,|NAO|PEK|ORD|SDF|
SDF|NGB,|NGB|PEK|ORD|SDF|
SDF|NKG,|NKG|DLC|PEK|ORD|SDF|
SDF|NNY,|NNY|CGO|PEK|ORD|SDF|
SDF|PEN,|PEN|CAN|PEK|ORD|SDF|
SDF|PER,|PER|CAN|PEK|ORD|SDF|
SDF|PNH,|PNH|CAN|PEK|ORD|SDF|
SDF|REP,|REP|CAN|PEK|ORD|SDF|
SDF|RGN,|RGN|CAN|PEK|ORD|SDF|
SDF|SGN,|SGN|CAN|PEK|ORD|SDF|
SDF|SHA,|SHA|PEK|ORD|SDF|
SDF|SIN,|SIN|HKG|ORD|SDF|
SDF|SVO,|SVO|URC|TSE|FRA|YYZ|CLE|SDF|
SDF|SYX,|SYX|PEK|ORD|SDF|
SDF|TAO,|TAO|DLC|PEK|ORD|SDF|
SDF|TEN,|TEN|PEK|ORD|SDF|
SDF|TNA,|TNA|DLC|PEK|ORD|SDF|
SDF|TPE,|TPE|PVG|ORD|SDF|
SDF|TSN,|TSN|DLC|PEK|ORD|SDF|
SDF|TXN,|TXN|DLC|PEK|ORD|SDF|
SDF|TYN,|TYN|DAT|CIH|PEK|ORD|SDF|
SDF|WNZ,|WNZ|CGO|PEK|ORD|SDF|
SDF|WUX,|WUX|CAN|PEK|ORD|SDF|
SDF|XFN,|XFN|XMN|PEK|ORD|SDF|
SDF|XIY,|XIY|PEK|ORD|SDF|
SDF|XUZ,|XUZ|LYG|HSN|PEK|ORD|SDF|
SDF|YIH,|YIH|CKG|PEK|ORD|SDF|
SDF|YIW,|YIW|PEK|ORD|SDF|
SDF|YNT,|YNT|SHE|PEK|ORD|SDF|
SDF|YNZ,|YNZ|DLC|PEK|ORD|SDF|
SDF|YTY,|YTY|DLC|PEK|ORD|SDF|
SDF|ZHA,|ZHA|CAN|PEK|ORD|SDF|
SDF|ZYI,|ZYI|PEK|ORD|SDF|
SDF|BAV,|BAV|CGO|PEK|ORD|SDF|
SDF|CJU,|CJU|DLC|PEK|ORD|SDF|
SDF|DSN,|DSN|CGO|PEK|ORD|SDF|
SDF|HMI,|HMI|URC|TSE|FRA|YYZ|CLE|SDF|
SDF|INC,|INC|PEK|ORD|SDF|
SDF|KHH,|KHH|CGO|PEK|ORD|SDF|
SDF|UYN,|UYN|CGO|PEK|ORD|SDF|
SDF|XNN,|XNN|PEK|ORD|SDF|
SDF|ZUH,|ZUH|PEK|ORD|SDF|
SDF|YNJ,|YNJ|PEK|ORD|SDF|
SDF|DAT,|DAT|CIH|PEK|ORD|SDF|
SDF|JHG,|JHG|CKG|PEK|ORD|SDF|
SDF|LJG,|LJG|CKG|PEK|ORD|SDF|
SDF|LXA,|LXA|XIY|PEK|ORD|SDF|
SDF|YCU,|YCU|CSX|PEK|ORD|SDF|
SDF|LZO,|LZO|CSX|PEK|ORD|SDF|
SDF|MDG,|MDG|ICN|YVR|ORD|SDF|
SDF|NGO,|NGO|ICN|YVR|ORD|SDF|
SDF|TOY,|TOY|DLC|PEK|ORD|SDF|
SDF|MFM,|MFM|XMN|PEK|ORD|SDF|
SDF|TGO,|TGO|HET|DLC|PEK|ORD|SDF|
SDF|XIL,|XIL|HET|DLC|PEK|ORD|SDF|
SDF|HEK,|HEK|HRB|PEK|ORD|SDF|
SDF|KIJ,|KIJ|HRB|PEK|ORD|SDF|
SDF|LDS,|LDS|HRB|PEK|ORD|SDF|
SDF|OHE,|OHE|HRB|PEK|ORD|SDF|
SDF|HSN,|HSN|PEK|ORD|SDF|
SDF|DLU,|DLU|KMG|PEK|ORD|SDF|
SDF|SYM,|SYM|KMG|PEK|ORD|SDF|
SDF|ZAT,|ZAT|KMG|PEK|ORD|SDF|
SDF|LUN,|LUN|NBO|ZRH|YYZ|CLE|SDF|
SDF|AOG,|AOG|PEK|ORD|SDF|
SDF|GMP,|GMP|PEK|ORD|SDF|
SDF|ISB,|ISB|IST|YYZ|CLE|SDF|
SDF|TAS,|TAS|IST|YYZ|CLE|SDF|
SDF|WUS,|WUS|PEK|ORD|SDF|
SDF|JMU,|JMU|PVG|ORD|SDF|
SDF|NDG,|NDG|PVG|ORD|SDF|
SDF|JXA,|JXA|SHE|PEK|ORD|SDF|
SDF|PUS,|PUS|SHE|PEK|ORD|SDF|
SDF|BKI,|BKI|SZX|PEK|ORD|SDF|
SDF|AKU,|AKU|URC|TSE|FRA|YYZ|CLE|SDF|
SDF|ALA,|ALA|TSE|FRA|YYZ|CLE|SDF|
SDF|ASB,|ASB|GYD|FRA|YYZ|CLE|SDF|
SDF|DNH,|DNH|XIY|PEK|ORD|SDF|
SDF|DYU,|DYU|IST|YYZ|CLE|SDF|
SDF|FRU,|FRU|IST|YYZ|CLE|SDF|
SDF|GYD,|GYD|FRA|YYZ|CLE|SDF|
SDF|HTN,|HTN|URC|TSE|FRA|YYZ|CLE|SDF|
SDF|IKA,|IKA|SAW|VIE|YYZ|CLE|SDF|
SDF|KCA,|KCA|URC|TSE|FRA|YYZ|CLE|SDF|
SDF|KHG,|KHG|URC|TSE|FRA|YYZ|CLE|SDF|
SDF|KRL,|KRL|URC|TSE|FRA|YYZ|CLE|SDF|
SDF|KRY,|KRY|URC|TSE|FRA|YYZ|CLE|SDF|
SDF|LBD,|LBD|URC|TSE|FRA|YYZ|CLE|SDF|
SDF|NLT,|NLT|URC|TSE|FRA|YYZ|CLE|SDF|
SDF|OSS,|OSS|IST|YYZ|CLE|SDF|
SDF|OVB,|OVB|IST|YYZ|CLE|SDF|
