PIA|YYF,|YYF|YVR|ORD|PIA|
PIA|YZP,|YZP|YVR|ORD|PIA|
PIA|YQT,|YQT|YYZ|ORD|PIA|
PIA|SJD,|SJD|ORD|PIA|
PIA|YQF,|YQF|YYC|ORD|PIA|
PIA|YQL,|YQL|YYC|ORD|PIA|
PIA|YXH,|YXH|YYC|ORD|PIA|
PIA|YWK,|YWK|YZV|YQB|ORD|PIA|
PIA|ANU,|ANU|EWR|ORD|PIA|
PIA|AUA,|AUA|ATL|ORD|PIA|
PIA|AUH,|AUH|YYZ|ORD|PIA|
PIA|BCN,|BCN|YYZ|ORD|PIA|
PIA|BDA,|BDA|EWR|ORD|PIA|
PIA|BGI,|BGI|YYZ|ORD|PIA|
PIA|BNA,|BNA|ORD|PIA|
PIA|BOG,|BOG|MIA|ORD|PIA|
PIA|BWI,|BWI|ORD|PIA|
PIA|CLE,|CLE|ORD|PIA|
PIA|CLT,|CLT|ORD|PIA|
PIA|CMH,|CMH|ORD|PIA|
PIA|CVG,|CVG|ORD|PIA|
PIA|DFW,|DFW|ORD|PIA|
PIA|DTW,|DTW|ORD|PIA|
PIA|DUB,|DUB|ORD|PIA|
PIA|FCO,|FCO|YYZ|ORD|PIA|
PIA|GCM,|GCM|IAD|ORD|PIA|
PIA|GGT,|GGT|FLL|ORD|PIA|
PIA|GND,|GND|YYZ|ORD|PIA|
PIA|GRU,|GRU|ORD|PIA|
PIA|HAV,|HAV|YYZ|ORD|PIA|
PIA|IND,|IND|ORD|PIA|
PIA|JFK,|JFK|YYZ|ORD|PIA|
PIA|KIN,|KIN|YYZ|ORD|PIA|
PIA|LIM,|LIM|MIA|ORD|PIA|
PIA|LIR,|LIR|IAH|ORD|PIA|
PIA|MCI,|MCI|ORD|PIA|
PIA|MDT,|MDT|ORD|PIA|
PIA|MIA,|MIA|ORD|PIA|
PIA|MKE,|MKE|ORD|PIA|
PIA|MSP,|MSP|ORD|PIA|
PIA|NAS,|NAS|ORD|PIA|
PIA|PHL,|PHL|ORD|PIA|
PIA|PHX,|PHX|DEN|PIA|
PIA|PIT,|PIT|ORD|PIA|
PIA|PLS,|PLS|YYZ|ORD|PIA|
PIA|POP,|POP|YYZ|ORD|PIA|
PIA|RDU,|RDU|ORD|PIA|
PIA|ROC,|ROC|ORD|PIA|
PIA|RSW,|RSW|ORD|PIA|
PIA|SAN,|SAN|DEN|PIA|
PIA|SJO,|SJO|ORD|PIA|
PIA|STL,|STL|ORD|PIA|
PIA|SYR,|SYR|ORD|PIA|
PIA|TLV,|TLV|IST|ORD|PIA|
PIA|TPA,|TPA|ORD|PIA|
PIA|UVF,|UVF|EWR|ORD|PIA|
PIA|VIE,|VIE|ORD|PIA|
PIA|YAM,|YAM|YYZ|ORD|PIA|
PIA|YGK,|YGK|YYZ|ORD|PIA|
PIA|YQG,|YQG|YYZ|ORD|PIA|
PIA|YSB,|YSB|YYZ|ORD|PIA|
PIA|YTS,|YTS|YYZ|ORD|PIA|
PIA|YYB,|YYB|YYZ|ORD|PIA|
PIA|YZR,|YZR|YYZ|ORD|PIA|
PIA|CAN,|CAN|PEK|ORD|PIA|
PIA|URC,|URC|TSE|FRA|ORD|PIA|
