ABE|YYF,|YYF|YVR|ORD|ABE|
ABE|YZP,|YZP|YVR|ORD|ABE|
ABE|YQT,|YQT|YYZ|ORD|ABE|
ABE|SJD,|SJD|ORD|ABE|
ABE|YQF,|YQF|YYC|ORD|ABE|
ABE|YQL,|YQL|YYC|ORD|ABE|
ABE|YXH,|YXH|YYC|ORD|ABE|
ABE|YWK,|YWK|YZV|YQB|ORD|ABE|
ABE|ANU,|ANU|EWR|ORD|ABE|
ABE|AUA,|AUA|ATL|ORD|ABE|
ABE|AUH,|AUH|YYZ|ORD|ABE|
ABE|BCN,|BCN|YYZ|ORD|ABE|
ABE|BDA,|BDA|EWR|ORD|ABE|
ABE|BGI,|BGI|YYZ|ORD|ABE|
ABE|BNA,|BNA|ORD|ABE|
ABE|BOG,|BOG|MIA|ORD|ABE|
ABE|BWI,|BWI|ORD|ABE|
ABE|CLE,|CLE|ORD|ABE|
ABE|CLT,|CLT|ORD|ABE|
ABE|CMH,|CMH|ORD|ABE|
ABE|CVG,|CVG|ORD|ABE|
ABE|DFW,|DFW|ORD|ABE|
ABE|DTW,|DTW|ORD|ABE|
ABE|DUB,|DUB|ORD|ABE|
ABE|FCO,|FCO|YYZ|ORD|ABE|
ABE|GCM,|GCM|IAD|ORD|ABE|
ABE|GGT,|GGT|FLL|ORD|ABE|
ABE|GND,|GND|YYZ|ORD|ABE|
ABE|GRU,|GRU|ORD|ABE|
ABE|HAV,|HAV|YYZ|ORD|ABE|
ABE|IND,|IND|ORD|ABE|
ABE|JFK,|JFK|YYZ|ORD|ABE|
ABE|KIN,|KIN|YYZ|ORD|ABE|
ABE|LIM,|LIM|MIA|ORD|ABE|
ABE|LIR,|LIR|IAH|ORD|ABE|
ABE|MCI,|MCI|ORD|ABE|
ABE|MDT,|MDT|ORD|ABE|
ABE|MIA,|MIA|ORD|ABE|
ABE|MKE,|MKE|ORD|ABE|
ABE|MSP,|MSP|ORD|ABE|
ABE|NAS,|NAS|ORD|ABE|
ABE|PHL,|PHL|ORD|ABE|
ABE|PHX,|PHX|ORD|ABE|
ABE|PIT,|PIT|ORD|ABE|
ABE|PLS,|PLS|YYZ|ORD|ABE|
ABE|POP,|POP|YYZ|ORD|ABE|
ABE|RDU,|RDU|ORD|ABE|
ABE|ROC,|ROC|ORD|ABE|
ABE|RSW,|RSW|ORD|ABE|
ABE|SAN,|SAN|ORD|ABE|
ABE|SJO,|SJO|ORD|ABE|
ABE|STL,|STL|ORD|ABE|
ABE|SYR,|SYR|ORD|ABE|
ABE|TLV,|TLV|IST|ORD|ABE|
ABE|TPA,|TPA|ORD|ABE|
ABE|UVF,|UVF|EWR|ORD|ABE|
ABE|VIE,|VIE|ORD|ABE|
ABE|YAM,|YAM|YYZ|ORD|ABE|
